,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,联环药业,600513,45.59,45.67,46.27,45.46,87295,83652040.0,1.78,0.46,0.21,3.06
239,2025-01-24,联环药业,600513,45.59,45.46,45.63,45.03,78970,74631078.0,1.32,-0.09,-0.04,2.77
238,2025-01-23,联环药业,600513,46.83,45.5,46.83,45.46,113360,109514964.0,2.99,-0.57,-0.26,3.97
237,2025-01-22,联环药业,600513,45.63,45.76,46.15,45.42,72616,69345723.0,1.59,-0.56,-0.26,2.54
236,2025-01-21,联环药业,600513,45.89,46.02,46.4,45.8,117401,112968977.0,1.31,0.48,0.22,4.11
235,2025-01-20,联环药业,600513,45.38,45.8,46.15,45.33,141066,134891601.0,1.81,1.22,0.55,4.94
234,2025-01-17,联环药业,600513,45.12,45.25,45.38,44.56,96110,90162286.0,1.81,-0.09,-0.04,3.37
233,2025-01-16,联环药业,600513,45.46,45.29,46.15,45.08,150875,143442805.0,2.35,-0.66,-0.3,5.29
232,2025-01-15,联环药业,600513,45.55,45.59,45.97,44.82,183356,173282126.0,2.5,-0.93,-0.43,6.42
231,2025-01-14,联环药业,600513,44.99,46.02,46.02,44.78,213936,202975549.0,2.75,1.9,0.86,7.49
230,2025-01-13,联环药业,600513,47.26,45.16,47.3,44.3,314147,296364177.0,6.16,-7.21,-3.51,11.01
229,2025-01-10,联环药业,600513,51.46,48.67,52.36,48.42,350933,372304617.0,7.56,-6.66,-3.47,12.29
228,2025-01-09,联环药业,600513,52.83,52.14,54.46,52.02,522977,589288144.0,4.52,-3.5,-1.89,18.32
227,2025-01-08,联环药业,600513,48.85,54.03,54.03,48.59,547193,620401411.0,10.97,9.0,4.46,19.17
226,2025-01-07,联环药业,600513,50.64,49.57,50.86,47.65,278192,287739354.0,6.18,-4.62,-2.4,9.75
225,2025-01-06,联环药业,600513,50.47,51.97,52.74,49.15,376685,403580027.0,7.38,6.87,3.34,13.2
224,2025-01-03,联环药业,600513,47.39,48.63,50.47,47.05,218210,225775382.0,7.17,1.97,0.94,7.64
223,2025-01-02,联环药业,600513,47.26,47.69,48.97,46.87,105618,105976297.0,4.44,0.82,0.39,3.7
222,2024-12-31,联环药业,600513,48.63,47.3,49.1,47.3,87730,88198143.0,3.68,-3.25,-1.59,3.07
221,2024-12-30,联环药业,600513,48.55,48.89,49.92,47.65,105976,108701234.0,4.67,0.53,0.26,3.71
220,2024-12-27,联环药业,600513,47.86,48.63,49.1,47.39,91065,92912913.0,3.59,1.97,0.94,3.19
219,2024-12-26,联环药业,600513,47.52,47.69,48.29,47.52,71643,72021636.0,1.61,0.0,0.0,2.51
218,2024-12-25,联环药业,600513,49.62,47.69,49.74,47.09,122980,123459355.0,5.36,-3.46,-1.71,4.31
217,2024-12-24,联环药业,600513,50.26,49.4,50.47,48.55,132578,137299548.0,3.84,-1.2,-0.6,4.64
216,2024-12-23,联环药业,600513,51.46,50.0,52.66,49.66,237933,254467363.0,5.83,-2.84,-1.46,8.34
215,2024-12-20,联环药业,600513,48.5,51.46,52.87,48.42,257954,278591422.0,9.18,6.1,2.96,9.04
214,2024-12-19,联环药业,600513,47.86,48.5,48.72,47.77,51640,52354611.0,1.97,0.52,0.25,1.81
213,2024-12-18,联环药业,600513,48.37,48.25,48.93,47.65,51968,52767052.0,2.63,-0.7,-0.34,1.82
212,2024-12-17,联环药业,600513,50.52,48.59,51.03,48.37,107507,111328606.0,5.24,-4.29,-2.18,3.77
211,2024-12-16,联环药业,600513,50.47,50.77,51.16,50.26,62447,67070183.0,1.78,0.42,0.21,2.19
210,2024-12-13,联环药业,600513,51.42,50.56,51.42,50.39,86490,92927542.0,2.0,-1.83,-0.94,3.03
209,2024-12-12,联环药业,600513,50.82,51.5,51.54,50.56,94256,102149430.0,1.93,1.26,0.64,3.3
208,2024-12-11,联环药业,600513,50.3,50.86,51.03,50.17,71019,76133757.0,1.7,0.77,0.39,2.49
207,2024-12-10,联环药业,600513,52.1,50.47,52.44,50.34,127608,137612369.0,4.11,-1.27,-0.65,4.47
206,2024-12-09,联环药业,600513,50.82,51.12,51.59,50.26,131065,141222950.0,2.63,1.03,0.52,4.59
205,2024-12-06,联环药业,600513,49.62,50.6,50.64,49.53,88570,93791365.0,2.23,1.63,0.81,3.1
204,2024-12-05,联环药业,600513,49.4,49.79,50.04,49.19,69166,72370894.0,1.72,0.61,0.3,2.42
203,2024-12-04,联环药业,600513,50.34,49.49,50.77,49.23,86129,90757524.0,3.04,-2.19,-1.11,3.02
202,2024-12-03,联环药业,600513,50.86,50.6,50.86,50.0,83801,89040691.0,1.69,-0.51,-0.26,2.94
201,2024-12-02,联环药业,600513,49.79,50.86,50.99,49.62,138908,147990291.0,2.75,2.15,1.07,4.87
200,2024-11-29,联环药业,600513,49.79,49.79,50.26,49.23,113099,118711256.0,2.06,-0.26,-0.13,3.96
199,2024-11-28,联环药业,600513,49.19,49.92,50.22,49.06,89719,94028212.0,2.35,1.05,0.52,3.14
198,2024-11-27,联环药业,600513,49.36,49.4,49.66,48.03,81423,83506715.0,3.29,-0.34,-0.17,2.85
197,2024-11-26,联环药业,600513,49.1,49.57,50.17,48.93,107754,112925578.0,2.53,1.12,0.55,3.77
196,2024-11-25,联环药业,600513,48.2,49.02,49.02,47.99,85143,86726138.0,2.14,1.87,0.9,2.98
195,2024-11-22,联环药业,600513,50.3,48.12,50.3,47.73,142054,147032077.0,5.12,-4.18,-2.1,4.98
194,2024-11-21,联环药业,600513,49.79,50.22,50.56,49.45,132855,140108921.0,2.23,0.86,0.43,4.65
193,2024-11-20,联环药业,600513,48.5,49.79,50.26,48.12,136877,142512493.0,4.41,2.66,1.29,4.8
192,2024-11-19,联环药业,600513,47.6,48.5,48.63,47.3,116704,117308653.0,2.81,2.43,1.15,4.09
191,2024-11-18,联环药业,600513,49.45,47.35,49.74,47.13,159328,161457957.0,5.33,-3.31,-1.62,5.58
190,2024-11-15,联环药业,600513,49.32,48.97,49.79,48.8,127032,131946004.0,2.0,-0.97,-0.48,4.45
189,2024-11-14,联环药业,600513,51.46,49.45,51.46,49.45,156337,166412548.0,3.93,-3.34,-1.71,5.48
188,2024-11-13,联环药业,600513,51.97,51.16,52.27,50.47,216718,234340711.0,3.44,-2.37,-1.24,7.59
187,2024-11-12,联环药业,600513,52.79,52.4,54.76,51.33,339211,380809693.0,6.46,-1.3,-0.69,11.88
186,2024-11-11,联环药业,600513,53.56,53.09,56.73,51.97,416983,475029457.0,8.87,-1.12,-0.6,14.61
185,2024-11-08,联环药业,600513,60.58,53.69,60.58,53.04,674127,838165433.0,13.58,-3.31,-1.84,23.62
184,2024-11-07,联环药业,600513,50.9,55.53,55.53,49.92,411919,457899284.0,11.02,9.1,4.63,14.43
183,2024-11-06,联环药业,600513,46.92,50.9,50.9,46.36,318224,333988772.0,9.72,8.99,4.2,11.15
182,2024-11-05,联环药业,600513,46.4,46.7,46.7,46.23,106222,103256516.0,1.01,0.28,0.13,3.72
181,2024-11-04,联环药业,600513,45.72,46.57,46.83,45.72,103137,100039138.0,2.44,2.35,1.07,3.61
180,2024-11-01,联环药业,600513,45.33,45.5,46.49,44.26,105402,100031931.0,4.9,-0.11,-0.05,3.69
179,2024-10-31,联环药业,600513,44.99,45.55,46.06,44.95,55522,52727729.0,2.46,0.95,0.43,1.95
178,2024-10-30,联环药业,600513,45.03,45.12,45.8,44.69,54934,51676378.0,2.46,0.09,0.04,1.92
177,2024-10-29,联环药业,600513,46.62,45.08,46.7,44.9,76469,72677918.0,3.9,-2.4,-1.11,2.68
176,2024-10-28,联环药业,600513,45.2,46.19,46.19,45.03,77299,73897779.0,2.57,2.28,1.03,2.71
175,2024-10-25,联环药业,600513,45.16,45.16,45.29,44.86,54899,51550855.0,0.96,0.58,0.26,1.92
174,2024-10-24,联环药业,600513,44.52,44.9,45.12,44.43,68357,63765974.0,1.56,1.24,0.55,2.39
173,2024-10-23,联环药业,600513,44.26,44.35,44.6,44.05,63864,58844463.0,1.24,-0.09,-0.04,2.24
172,2024-10-22,联环药业,600513,43.7,44.39,44.65,43.62,64166,58986453.0,2.36,1.77,0.77,2.25
171,2024-10-21,联环药业,600513,44.09,43.62,44.13,43.15,62388,56317102.0,2.25,0.0,0.0,2.19
170,2024-10-18,联环药业,600513,43.02,43.62,44.09,42.85,73614,66378479.0,2.88,1.39,0.6,2.58
169,2024-10-17,联环药业,600513,43.23,43.02,43.79,42.98,39601,35604713.0,1.87,-0.69,-0.3,1.39
168,2024-10-16,联环药业,600513,42.89,43.32,43.62,42.33,40829,36500497.0,3.01,1.0,0.43,1.43
167,2024-10-15,联环药业,600513,43.15,42.89,43.7,42.85,47462,42617038.0,1.95,-1.38,-0.6,1.66
166,2024-10-14,联环药业,600513,42.98,43.49,43.66,42.68,60100,53884741.0,2.28,1.0,0.43,2.11
165,2024-10-11,联环药业,600513,44.73,43.06,44.9,42.5,76896,69169363.0,5.38,-3.45,-1.54,2.69
164,2024-10-10,联环药业,600513,44.13,44.6,45.97,44.13,86404,81025684.0,4.2,1.76,0.77,3.03
163,2024-10-09,联环药业,600513,46.4,43.83,46.79,43.75,125012,117694284.0,6.44,-7.18,-3.39,4.38
162,2024-10-08,联环药业,600513,49.79,47.22,49.79,45.67,194988,194091597.0,9.0,3.1,1.42,6.83
161,2024-09-30,联环药业,600513,44.0,45.8,46.1,42.98,154486,143762473.0,7.28,6.88,2.95,5.41
160,2024-09-27,联环药业,600513,41.99,42.85,42.93,41.86,54936,48179379.0,2.56,2.68,1.12,1.92
159,2024-09-26,联环药业,600513,41.18,41.73,41.78,40.79,44736,38112600.0,2.42,1.88,0.77,1.57
158,2024-09-25,联环药业,600513,40.79,40.96,41.43,40.75,56404,47848298.0,1.68,1.06,0.43,1.98
157,2024-09-24,联环药业,600513,39.85,40.53,40.53,39.68,41532,34294677.0,2.14,2.04,0.81,1.45
156,2024-09-23,联环药业,600513,39.59,39.72,39.98,39.33,23125,18817497.0,1.65,0.76,0.3,0.81
155,2024-09-20,联环药业,600513,39.55,39.42,39.59,39.16,17778,14340772.0,1.09,-0.1,-0.04,0.62
154,2024-09-19,联环药业,600513,38.73,39.46,39.63,38.52,30680,24588533.0,2.87,2.1,0.81,1.07
153,2024-09-18,联环药业,600513,38.95,38.65,39.03,38.13,28255,22177687.0,2.31,-0.87,-0.34,0.99
152,2024-09-13,联环药业,600513,39.76,38.99,39.76,38.95,20968,16853696.0,2.05,-1.52,-0.6,0.73
151,2024-09-12,联环药业,600513,39.72,39.59,40.15,39.51,17986,14669447.0,1.61,-0.33,-0.13,0.63
150,2024-09-11,联环药业,600513,39.81,39.72,39.98,39.51,23276,18947989.0,1.18,-0.65,-0.26,0.82
149,2024-09-10,联环药业,600513,39.89,39.98,40.19,39.33,27185,22132373.0,2.16,0.23,0.09,0.95
148,2024-09-09,联环药业,600513,39.68,39.89,40.28,39.46,26998,22105354.0,2.06,0.2,0.08,0.95
147,2024-09-06,联环药业,600513,40.41,39.81,40.62,39.76,23944,19729687.0,2.12,-1.9,-0.77,0.84
146,2024-09-05,联环药业,600513,40.15,40.58,40.62,40.11,20588,17109160.0,1.27,0.87,0.35,0.72
145,2024-09-04,联环药业,600513,40.11,40.23,40.53,40.02,24552,20360300.0,1.27,-0.12,-0.05,0.86
144,2024-09-03,联环药业,600513,40.02,40.28,40.58,39.68,35416,29263447.0,2.25,0.55,0.22,1.24
143,2024-09-02,联环药业,600513,39.93,40.06,40.36,39.81,45493,37516357.0,1.38,0.33,0.13,1.59
142,2024-08-30,联环药业,600513,39.85,39.93,40.36,39.42,47540,38940712.0,2.37,0.53,0.21,1.67
141,2024-08-29,联环药业,600513,39.12,39.72,39.72,38.99,24171,19559562.0,1.86,1.09,0.43,0.85
140,2024-08-28,联环药业,600513,39.33,39.29,39.63,38.73,29774,23919189.0,2.3,0.33,0.13,1.04
139,2024-08-27,联环药业,600513,38.69,39.16,39.38,38.61,31944,25562596.0,1.98,0.88,0.34,1.12
138,2024-08-26,联环药业,600513,38.86,38.82,39.03,38.26,28512,22533645.0,1.99,0.23,0.09,1.0
137,2024-08-23,联环药业,600513,38.95,38.73,39.08,37.92,45381,35596815.0,2.98,-0.46,-0.18,1.59
136,2024-08-22,联环药业,600513,39.29,38.91,39.46,38.78,25985,20759691.0,1.73,-1.07,-0.42,0.91
135,2024-08-21,联环药业,600513,39.46,39.33,39.72,39.12,34659,27955510.0,1.51,-0.98,-0.39,1.21
134,2024-08-20,联环药业,600513,40.49,39.72,40.62,39.51,37188,30491806.0,2.73,-2.22,-0.9,1.3
133,2024-08-19,联环药业,600513,40.88,40.62,41.18,40.58,34992,29392778.0,1.46,-1.14,-0.47,1.23
132,2024-08-16,联环药业,600513,40.62,41.09,41.26,40.23,47080,39493308.0,2.54,1.26,0.51,1.65
131,2024-08-15,联环药业,600513,40.75,40.58,41.09,40.41,37855,31655011.0,1.67,-0.1,-0.04,1.33
130,2024-08-14,联环药业,600513,41.18,40.62,41.22,40.58,32839,27545685.0,1.55,-1.55,-0.64,1.15
129,2024-08-13,联环药业,600513,41.65,41.26,41.73,40.71,67459,57181566.0,2.44,-1.34,-0.56,2.36
128,2024-08-12,联环药业,600513,41.61,41.82,42.46,41.26,93689,81078338.0,2.94,2.3,0.94,3.28
127,2024-08-09,联环药业,600513,41.95,40.88,41.95,40.83,50972,43338730.0,2.68,-2.04,-0.85,1.79
126,2024-08-08,联环药业,600513,41.01,41.73,42.03,40.92,70157,60405424.0,2.7,1.56,0.64,2.46
125,2024-08-07,联环药业,600513,41.39,41.09,41.48,40.79,49055,41558114.0,1.66,-1.13,-0.47,1.72
124,2024-08-06,联环药业,600513,40.36,41.56,41.56,40.32,83188,70337611.0,3.07,2.85,1.15,2.91
123,2024-08-05,联环药业,600513,40.62,40.41,41.43,40.28,94832,79748540.0,2.82,-0.83,-0.34,3.32
122,2024-08-02,联环药业,600513,39.89,40.75,41.61,39.81,117961,99443915.0,4.49,1.72,0.69,4.13
121,2024-08-01,联环药业,600513,40.15,40.06,40.58,39.93,39952,33014133.0,1.62,-0.32,-0.13,1.4
120,2024-07-31,联环药业,600513,38.95,40.19,40.28,38.73,57226,46675314.0,3.99,3.42,1.33,2.0
119,2024-07-30,联环药业,600513,38.73,38.86,39.12,38.52,23363,18567256.0,1.55,0.44,0.17,0.82
118,2024-07-29,联环药业,600513,38.91,38.69,39.12,38.43,21306,16831319.0,1.77,-0.67,-0.26,0.75
117,2024-07-26,联环药业,600513,38.91,38.95,39.03,38.69,23329,18545637.0,0.88,0.88,0.34,0.82
