,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,长园集团,600525,50.64,51.03,51.82,50.15,152069,74176500.0,3.3,0.77,0.39,1.15
239,2025-01-24,长园集团,600525,48.68,50.64,50.84,48.68,213422,101759633.0,4.44,4.03,1.96,1.62
238,2025-01-23,长园集团,600525,49.86,48.68,50.54,48.68,130817,62055841.0,3.75,-1.97,-0.98,0.99
237,2025-01-22,长园集团,600525,49.07,49.66,50.05,48.29,157188,73734249.0,3.59,1.2,0.59,1.19
236,2025-01-21,长园集团,600525,49.27,49.07,50.15,48.48,145811,68353696.0,3.41,0.2,0.1,1.11
235,2025-01-20,长园集团,600525,47.01,48.97,49.07,46.62,239995,109503028.0,5.01,0.18,0.09,1.82
234,2025-01-17,长园集团,600525,50.35,48.88,50.35,48.48,237486,111162946.0,3.71,-3.11,-1.57,1.8
233,2025-01-16,长园集团,600525,50.84,50.45,51.92,50.25,482564,235685828.0,3.16,-4.63,-2.45,3.66
232,2025-01-15,长园集团,600525,50.05,52.9,54.76,49.76,596573,305531931.0,9.99,5.69,2.85,4.52
231,2025-01-14,长园集团,600525,48.29,50.05,50.05,48.19,118106,55532684.0,3.84,3.45,1.67,0.9
230,2025-01-13,长园集团,600525,47.8,48.38,48.88,47.3,117998,54168890.0,3.28,0.39,0.19,0.89
229,2025-01-10,长园集团,600525,48.68,48.19,49.66,47.8,177384,82025817.0,3.86,0.0,0.0,1.35
228,2025-01-09,长园集团,600525,47.8,48.19,51.62,47.4,220861,103110345.0,8.83,0.82,0.39,1.68
227,2025-01-08,长园集团,600525,48.68,47.8,48.78,46.42,108178,48878241.0,4.87,-1.4,-0.68,0.82
226,2025-01-07,长园集团,600525,47.4,48.48,48.68,47.11,114559,52223584.0,3.33,2.69,1.27,0.87
225,2025-01-06,长园集团,600525,47.89,47.21,48.19,46.13,147163,65972050.0,4.3,-1.42,-0.68,1.12
224,2025-01-03,长园集团,600525,49.66,47.89,49.76,47.7,113577,52684825.0,4.15,-3.56,-1.77,0.86
223,2025-01-02,长园集团,600525,51.23,49.66,51.33,49.07,121755,58298126.0,4.43,-2.68,-1.37,0.93
222,2024-12-31,长园集团,600525,52.41,51.03,52.8,50.94,103378,51026203.0,3.56,-2.45,-1.28,0.79
221,2024-12-30,长园集团,600525,53.0,52.31,53.19,51.92,91287,45710320.0,2.39,-1.49,-0.79,0.69
220,2024-12-27,长园集团,600525,53.0,53.1,54.18,52.8,128639,65930301.0,2.6,0.19,0.1,0.98
219,2024-12-26,长园集团,600525,51.53,53.0,53.29,51.33,124541,62663958.0,3.8,2.67,1.38,0.95
218,2024-12-25,长园集团,600525,52.9,51.62,52.9,51.03,115159,56912921.0,3.54,-2.23,-1.18,0.88
217,2024-12-24,长园集团,600525,52.9,52.8,53.69,52.41,84916,43050644.0,2.44,0.55,0.29,0.65
216,2024-12-23,长园集团,600525,54.18,52.51,54.18,52.31,124582,63487606.0,3.45,-3.24,-1.76,0.95
215,2024-12-20,长园集团,600525,54.96,54.27,55.16,54.08,98277,51445883.0,1.98,-0.73,-0.4,0.75
214,2024-12-19,长园集团,600525,54.67,54.67,54.86,53.59,97670,50939068.0,2.32,0.0,0.0,0.74
213,2024-12-18,长园集团,600525,54.57,54.67,54.76,53.88,104912,54772188.0,1.63,1.28,0.69,0.8
212,2024-12-17,长园集团,600525,55.26,53.98,55.35,53.88,108068,56449875.0,2.66,-2.14,-1.18,0.82
211,2024-12-16,长园集团,600525,55.45,55.16,56.04,54.57,149178,78934523.0,2.65,-0.7,-0.39,1.13
210,2024-12-13,长园集团,600525,57.71,55.55,57.81,55.45,231371,125794907.0,4.05,-4.55,-2.65,1.76
209,2024-12-12,长园集团,600525,58.0,58.2,58.59,57.41,142972,79814162.0,2.04,0.67,0.39,1.09
208,2024-12-11,长园集团,600525,58.4,57.81,58.59,57.51,200423,111857020.0,1.85,-0.84,-0.49,1.52
207,2024-12-10,长园集团,600525,60.16,58.3,61.14,58.2,306726,175951145.0,4.96,-1.65,-0.98,2.33
206,2024-12-09,长园集团,600525,59.38,59.28,60.36,58.69,137407,78878927.0,2.82,0.0,0.0,1.05
205,2024-12-06,长园集团,600525,59.18,59.28,59.67,58.4,108818,62057596.0,2.15,0.17,0.1,0.83
204,2024-12-05,长园集团,600525,59.08,59.18,59.57,58.79,80870,46090305.0,1.32,0.17,0.1,0.62
203,2024-12-04,长园集团,600525,59.87,59.08,60.36,58.49,197313,113180613.0,3.12,-1.32,-0.79,1.5
202,2024-12-03,长园集团,600525,60.56,59.87,61.05,59.67,158518,92064193.0,2.27,-1.45,-0.88,1.21
201,2024-12-02,长园集团,600525,61.05,60.75,61.83,60.26,205123,120809312.0,2.57,-0.49,-0.3,1.56
200,2024-11-29,长园集团,600525,60.07,61.05,61.24,58.89,300206,174055151.0,3.87,0.49,0.3,2.28
199,2024-11-28,长园集团,600525,61.05,60.75,63.01,60.16,299599,177902655.0,4.69,0.0,0.0,2.28
198,2024-11-27,长园集团,600525,59.67,60.75,60.75,59.28,171182,99279769.0,2.46,1.81,1.08,1.3
