,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
239,2025-01-27,莫高股份,600543,8.85,8.65,8.92,8.63,91091,43051868.0,3.3,-1.59,-0.14,2.84
238,2025-01-24,莫高股份,600543,8.56,8.79,8.79,8.43,98537,45799732.0,4.2,2.45,0.21,3.07
237,2025-01-23,莫高股份,600543,8.81,8.58,8.94,8.56,148958,70129816.0,4.37,-1.27,-0.11,4.64
236,2025-01-22,莫高股份,600543,9.03,8.69,9.05,8.67,107393,50877472.0,4.21,-3.77,-0.34,3.34
235,2025-01-21,莫高股份,600543,9.15,9.03,9.15,8.81,226537,109490759.0,3.68,-2.27,-0.21,7.05
234,2025-01-20,莫高股份,600543,8.72,9.24,9.24,8.58,181839,87982978.0,7.83,9.61,0.81,5.66
233,2025-01-17,莫高股份,600543,8.49,8.43,8.54,8.36,62482,28428343.0,2.11,-1.29,-0.11,1.95
232,2025-01-16,莫高股份,600543,8.47,8.54,8.69,8.43,84559,38980017.0,3.07,0.83,0.07,2.63
231,2025-01-15,莫高股份,600543,8.42,8.47,8.52,8.33,78718,35816848.0,2.26,0.83,0.07,2.45
230,2025-01-14,莫高股份,600543,7.98,8.4,8.4,7.93,92033,40881889.0,5.89,5.26,0.42,2.87
229,2025-01-13,莫高股份,600543,7.95,7.98,8.04,7.68,75722,31985166.0,4.51,0.0,0.0,2.36
228,2025-01-10,莫高股份,600543,8.38,7.98,8.52,7.97,102293,45097552.0,6.6,-4.2,-0.35,3.19
227,2025-01-09,莫高股份,600543,8.22,8.33,8.36,8.11,66158,29528170.0,3.03,1.09,0.09,2.06
226,2025-01-08,莫高股份,600543,8.31,8.24,8.38,7.91,86958,38155671.0,5.66,-0.84,-0.07,2.71
225,2025-01-07,莫高股份,600543,7.98,8.31,8.31,7.93,82736,36141443.0,4.75,3.88,0.31,2.58
224,2025-01-06,莫高股份,600543,8.11,8.0,8.16,7.68,83204,35496268.0,5.89,-1.84,-0.15,2.59
223,2025-01-03,莫高股份,600543,8.6,8.15,8.69,8.09,122951,54892268.0,6.92,-6.0,-0.52,3.83
222,2025-01-02,莫高股份,600543,8.54,8.67,8.97,8.54,104532,49493610.0,4.99,0.7,0.06,3.26
221,2024-12-31,莫高股份,600543,8.76,8.61,8.88,8.6,85505,40224072.0,3.21,-1.26,-0.11,2.66
220,2024-12-30,莫高股份,600543,8.92,8.72,8.97,8.54,93800,43861829.0,4.84,-1.8,-0.16,2.92
