,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,厦门钨业,600549,196.6,196.52,197.83,195.46,90358,175918035.0,1.21,-0.04,-0.08,0.64
239,2025-01-24,厦门钨业,600549,195.2,196.6,197.04,194.85,94602,183691089.0,1.12,0.63,1.23,0.67
238,2025-01-23,厦门钨业,600549,198.71,195.37,199.94,195.37,137322,268861931.0,2.32,-0.81,-1.59,0.97
237,2025-01-22,厦门钨业,600549,197.83,196.96,198.89,195.99,85381,166671259.0,1.46,-1.02,-2.02,0.6
236,2025-01-21,厦门钨业,600549,199.86,198.98,199.94,196.6,68248,134029367.0,1.68,0.09,0.18,0.48
235,2025-01-20,厦门钨业,600549,201.44,198.8,201.44,198.71,109921,217458018.0,1.37,-0.53,-1.06,0.78
234,2025-01-17,厦门钨业,600549,199.68,199.86,201.17,199.24,96655,192045890.0,0.97,-0.04,-0.08,0.68
233,2025-01-16,厦门钨业,600549,199.59,199.94,201.88,198.27,116011,230252889.0,1.81,0.44,0.88,0.82
232,2025-01-15,厦门钨业,600549,199.68,199.06,200.91,197.75,93150,183471094.0,1.58,-0.31,-0.62,0.66
231,2025-01-14,厦门钨业,600549,194.23,199.68,200.38,193.09,190053,372675369.0,3.75,2.71,5.27,1.34
230,2025-01-13,厦门钨业,600549,190.98,194.41,195.46,190.72,111578,213828189.0,2.46,1.05,2.02,0.79
229,2025-01-10,厦门钨业,600549,195.55,192.39,196.34,192.12,90640,173193019.0,2.17,-1.17,-2.28,0.64
228,2025-01-09,厦门钨业,600549,192.39,194.67,196.16,190.63,135934,260921452.0,2.89,1.56,2.99,0.96
227,2025-01-08,厦门钨业,600549,195.02,191.68,195.02,187.64,184814,347264840.0,3.79,-1.67,-3.25,1.3
226,2025-01-07,厦门钨业,600549,193.18,194.93,196.78,190.98,125721,241436226.0,3.0,0.91,1.75,0.89
225,2025-01-06,厦门钨业,600549,191.86,193.18,195.9,190.72,115974,221291762.0,2.7,0.69,1.32,0.82
224,2025-01-03,厦门钨业,600549,191.68,191.86,196.78,191.33,134379,257187295.0,2.84,0.14,0.27,0.95
223,2025-01-02,厦门钨业,600549,194.41,191.59,196.34,190.1,117015,222558490.0,3.2,-1.76,-3.43,0.83
222,2024-12-31,厦门钨业,600549,198.89,195.02,199.59,194.41,130656,253735617.0,2.6,-1.99,-3.96,0.92
221,2024-12-30,厦门钨业,600549,199.24,198.98,199.94,197.92,103730,204257641.0,1.01,-0.22,-0.44,0.73
220,2024-12-27,厦门钨业,600549,199.59,199.42,201.44,198.8,87229,173075527.0,1.32,-0.13,-0.26,0.62
219,2024-12-26,厦门钨业,600549,199.68,199.68,200.91,199.5,65596,130272386.0,0.71,0.0,0.0,0.46
218,2024-12-25,厦门钨业,600549,202.32,199.68,202.32,198.89,80650,159933829.0,1.7,-1.22,-2.46,0.57
217,2024-12-24,厦门钨业,600549,200.12,202.14,202.49,200.12,88268,176579335.0,1.18,0.96,1.93,0.62
216,2024-12-23,厦门钨业,600549,202.14,200.21,203.81,199.94,95136,190543018.0,1.92,-0.69,-1.4,0.67
215,2024-12-20,厦门钨业,600549,200.03,201.61,204.95,199.94,152049,306630337.0,2.5,0.79,1.58,1.07
214,2024-12-19,厦门钨业,600549,196.87,200.03,201.09,196.43,141008,277773228.0,2.33,0.0,0.0,1.0
213,2024-12-18,厦门钨业,600549,204.69,200.03,204.78,199.33,189758,380110089.0,2.68,-1.6,-3.25,1.34
212,2024-12-17,厦门钨业,600549,203.19,203.28,205.13,202.84,103221,209326884.0,1.12,-0.3,-0.62,0.73
211,2024-12-16,厦门钨业,600549,206.36,203.9,206.8,202.84,127703,259599146.0,1.92,-1.11,-2.28,0.9
210,2024-12-13,厦门钨业,600549,209.79,206.18,210.14,205.92,210185,434682131.0,1.99,-2.66,-5.63,1.49
209,2024-12-12,厦门钨业,600549,211.37,211.81,212.42,210.05,150991,319130210.0,1.12,0.34,0.71,1.07
208,2024-12-11,厦门钨业,600549,207.5,211.1,211.98,207.33,174623,366391254.0,2.23,1.35,2.81,1.23
207,2024-12-10,厦门钨业,600549,215.06,208.29,215.06,207.94,243827,514618186.0,3.41,-0.3,-0.62,1.72
206,2024-12-09,厦门钨业,600549,210.23,208.91,214.44,208.03,296528,625998706.0,3.11,1.32,2.73,2.1
205,2024-12-06,厦门钨业,600549,204.78,206.18,207.24,203.28,149567,305842453.0,1.93,0.47,0.96,1.06
204,2024-12-05,厦门钨业,600549,206.53,205.22,206.53,203.46,136140,277462138.0,1.48,-0.85,-1.75,0.96
203,2024-12-04,厦门钨业,600549,209.61,206.97,211.1,206.27,208007,432115672.0,2.33,-0.17,-0.36,1.47
202,2024-12-03,厦门钨业,600549,208.91,207.33,209.52,205.92,158873,328866743.0,1.73,-0.59,-1.23,1.12
201,2024-12-02,厦门钨业,600549,204.95,208.56,208.91,203.63,222246,459044646.0,2.54,0.25,0.53,1.57
200,2024-11-29,厦门钨业,600549,202.32,208.03,211.37,201.52,355469,732055606.0,4.87,2.82,5.71,2.51
199,2024-11-28,厦门钨业,600549,205.48,202.32,205.48,202.14,148094,299772301.0,1.62,-1.66,-3.42,1.05
198,2024-11-27,厦门钨业,600549,204.07,205.74,205.74,200.03,185957,374977693.0,2.79,0.51,1.05,1.31
197,2024-11-26,厦门钨业,600549,207.24,204.69,208.38,204.51,145081,297687703.0,1.86,-1.65,-3.43,1.03
