,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,保变电气,600550,35.83,34.59,36.11,34.59,176951,133284275.0,4.28,-2.7,-0.96,0.96
239,2025-01-24,保变电气,600550,35.21,35.55,35.77,35.04,183790,139603942.0,2.07,0.97,0.34,1.0
238,2025-01-23,保变电气,600550,35.89,35.21,36.74,35.21,322661,248037255.0,4.3,-0.96,-0.34,1.75
237,2025-01-22,保变电气,600550,35.66,35.55,36.17,35.26,175917,134034653.0,2.54,-0.62,-0.22,0.96
236,2025-01-21,保变电气,600550,36.57,35.77,36.57,35.09,213855,162914947.0,4.11,-0.64,-0.23,1.16
235,2025-01-20,保变电气,600550,36.51,36.0,36.96,35.66,350167,271622507.0,3.67,1.61,0.57,1.9
234,2025-01-17,保变电气,600550,35.38,35.43,35.77,34.81,213769,161553392.0,2.7,-0.34,-0.12,1.16
233,2025-01-16,保变电气,600550,35.15,35.55,37.13,34.93,374607,286418951.0,6.25,0.97,0.34,2.03
232,2025-01-15,保变电气,600550,34.87,35.21,36.34,34.19,419527,315953792.0,6.14,0.49,0.17,2.28
231,2025-01-14,保变电气,600550,33.74,35.04,35.09,33.4,286853,212373535.0,5.05,4.75,1.59,1.56
230,2025-01-13,保变电气,600550,33.11,33.45,33.68,32.15,186481,133672164.0,4.58,0.15,0.05,1.01
229,2025-01-10,保变电气,600550,34.76,33.4,35.09,33.4,176883,130521817.0,4.85,-4.05,-1.41,0.96
228,2025-01-09,保变电气,600550,34.47,34.81,35.26,34.42,174896,131194083.0,2.41,0.0,0.0,0.95
227,2025-01-08,保变电气,600550,34.98,34.81,35.04,33.51,222009,164130647.0,4.37,-0.49,-0.17,1.21
226,2025-01-07,保变电气,600550,34.13,34.98,35.09,33.85,202925,150745867.0,3.63,2.49,0.85,1.1
225,2025-01-06,保变电气,600550,33.62,34.13,34.36,32.89,278294,203254678.0,4.36,1.16,0.39,1.51
224,2025-01-03,保变电气,600550,36.34,33.74,36.4,33.57,320902,238813736.0,7.89,-5.99,-2.15,1.74
223,2025-01-02,保变电气,600550,36.85,35.89,37.36,35.49,275146,213563493.0,5.06,-2.9,-1.07,1.49
222,2024-12-31,保变电气,600550,38.49,36.96,38.89,36.96,243316,193787729.0,5.01,-3.98,-1.53,1.32
221,2024-12-30,保变电气,600550,39.17,38.49,39.29,38.27,214493,174562188.0,2.6,-1.89,-0.74,1.16
220,2024-12-27,保变电气,600550,38.55,39.23,39.68,38.44,305557,252753671.0,3.22,1.76,0.68,1.66
219,2024-12-26,保变电气,600550,38.89,38.55,39.23,38.44,202472,165340387.0,2.05,0.0,0.0,1.1
218,2024-12-25,保变电气,600550,40.02,38.55,40.08,37.98,337782,274781175.0,5.24,-3.82,-1.53,1.83
217,2024-12-24,保变电气,600550,40.53,40.08,40.53,39.51,214894,180050152.0,2.56,0.58,0.23,1.17
216,2024-12-23,保变电气,600550,41.44,39.85,41.95,39.85,349387,296742497.0,5.01,-4.87,-2.04,1.9
215,2024-12-20,保变电气,600550,42.29,41.89,42.57,41.89,285403,250560276.0,1.6,-1.34,-0.57,1.55
214,2024-12-19,保变电气,600550,42.68,42.46,43.48,42.06,329914,292047304.0,3.26,-2.59,-1.13,1.79
213,2024-12-18,保变电气,600550,43.25,43.59,45.35,43.08,601305,548229581.0,5.38,3.37,1.42,3.27
212,2024-12-17,保变电气,600550,43.25,42.17,43.65,41.95,294915,261329107.0,3.91,-3.01,-1.31,1.6
211,2024-12-16,保变电气,600550,43.53,43.48,43.93,43.19,259724,233836010.0,1.69,-0.5,-0.22,1.41
210,2024-12-13,保变电气,600550,45.46,43.7,45.46,43.65,438000,400789074.0,3.98,-4.0,-1.82,2.38
209,2024-12-12,保变电气,600550,45.06,45.52,45.52,44.55,400274,371629542.0,2.16,1.4,0.63,2.17
208,2024-12-11,保变电气,600550,44.67,44.89,45.35,44.44,280656,259708122.0,2.03,0.0,0.0,1.52
207,2024-12-10,保变电气,600550,45.63,44.89,45.74,44.78,487001,454288368.0,2.15,0.76,0.34,2.64
206,2024-12-09,保变电气,600550,45.46,44.55,45.52,43.99,373726,344097887.0,3.36,-2.13,-0.97,2.03
205,2024-12-06,保变电气,600550,46.2,45.52,46.59,44.5,542576,506571635.0,4.61,0.51,0.23,2.95
204,2024-12-05,保变电气,600550,44.84,45.29,45.63,44.33,391712,363286135.0,2.91,1.39,0.62,2.13
203,2024-12-04,保变电气,600550,44.89,44.67,45.69,44.44,365528,338947151.0,2.76,-1.5,-0.68,1.98
202,2024-12-03,保变电气,600550,45.35,45.35,46.59,44.61,425429,396931305.0,4.37,0.13,0.06,2.31
201,2024-12-02,保变电气,600550,44.04,45.29,45.4,44.04,457791,424312181.0,3.06,2.05,0.91,2.49
200,2024-11-29,保变电气,600550,44.1,44.38,45.06,43.25,469322,428305917.0,4.09,0.25,0.11,2.55
199,2024-11-28,保变电气,600550,44.33,44.27,45.91,43.99,499189,460273218.0,4.33,-0.14,-0.06,2.71
198,2024-11-27,保变电气,600550,43.76,44.33,44.38,42.4,566201,508288677.0,4.37,-2.12,-0.96,3.07
197,2024-11-26,保变电气,600550,43.08,45.29,47.95,42.51,875138,811422732.0,12.63,5.13,2.21,4.75
196,2024-11-25,保变电气,600550,44.27,43.08,44.67,42.12,465714,415057423.0,5.76,-2.69,-1.19,2.53
195,2024-11-22,保变电气,600550,47.56,44.27,47.56,44.16,727592,683116804.0,7.15,-6.92,-3.29,3.95
194,2024-11-21,保变电气,600550,45.06,47.56,48.46,44.67,980597,938671672.0,8.41,5.55,2.5,5.32
193,2024-11-20,保变电气,600550,44.89,45.06,45.18,44.33,510455,471926578.0,1.9,0.63,0.28,2.77
192,2024-11-19,保变电气,600550,43.48,44.78,44.84,43.31,492347,448522646.0,3.52,2.99,1.3,2.67
191,2024-11-18,保变电气,600550,44.61,43.48,45.29,43.08,539394,492921561.0,4.95,-2.53,-1.13,2.93
190,2024-11-15,保变电气,600550,47.9,44.61,48.29,44.5,915422,867557122.0,7.78,-8.38,-4.08,4.97
189,2024-11-14,保变电气,600550,51.86,48.69,51.86,48.46,747814,758647132.0,6.56,-6.0,-3.11,4.06
188,2024-11-13,保变电气,600550,50.27,51.8,51.97,49.99,588506,611569652.0,3.88,1.55,0.79,3.2
187,2024-11-12,保变电气,600550,51.35,51.01,52.54,50.44,748476,779875355.0,4.1,-0.45,-0.23,4.06
186,2024-11-11,保变电气,600550,51.41,51.24,51.63,50.56,650661,673354967.0,2.07,-0.76,-0.39,3.53
185,2024-11-08,保变电气,600550,52.2,51.63,53.11,51.24,820478,863093602.0,3.59,-0.98,-0.51,4.46
184,2024-11-07,保变电气,600550,50.56,52.14,52.26,49.82,855716,890134051.0,4.75,1.54,0.79,4.65
183,2024-11-06,保变电气,600550,54.24,51.35,55.71,50.16,1354265,1452220913.0,10.19,-5.73,-3.12,7.35
182,2024-11-05,保变电气,600550,53.11,54.47,55.37,52.94,995430,1088235373.0,4.56,2.14,1.14,5.41
181,2024-11-04,保变电气,600550,52.94,53.33,56.05,52.94,1087821,1181911311.0,5.48,-5.99,-3.4,5.91
180,2024-11-01,保变电气,600550,62.28,56.73,63.02,56.73,1864268,2180162257.0,9.85,-11.18,-7.14,10.12
179,2024-10-31,保变电气,600550,59.9,63.87,66.64,58.88,2781790,3453781012.0,12.95,6.63,3.97,15.11
178,2024-10-30,保变电气,600550,56.0,59.9,60.07,54.3,1934147,2205580364.0,9.92,3.01,1.75,10.5
177,2024-10-29,保变电气,600550,59.79,58.15,61.04,58.03,2001957,2355102105.0,4.95,-4.37,-2.66,10.87
176,2024-10-28,保变电气,600550,56.84,60.81,61.89,55.03,2464874,2873730506.0,12.07,6.98,3.97,13.38
175,2024-10-25,保变电气,600550,58.2,56.84,60.87,56.28,2593968,2988539189.0,7.55,-6.53,-3.97,14.09
174,2024-10-24,保变电气,600550,62.85,60.81,66.08,58.09,2988903,3695631647.0,12.86,-2.09,-1.3,16.23
173,2024-10-23,保变电气,600550,54.69,62.11,62.11,54.24,2446389,2925786033.0,14.11,11.37,6.34,13.28
172,2024-10-22,保变电气,600550,54.81,55.77,58.71,50.84,2422415,2653792472.0,14.07,-0.3,-0.17,13.15
171,2024-10-21,保变电气,600550,53.05,55.94,58.43,51.97,2643473,2896279005.0,12.18,5.45,2.89,14.35
170,2024-10-18,保变电气,600550,49.14,53.05,54.81,46.93,2695630,2818878550.0,15.85,6.72,3.34,14.64
169,2024-10-17,保变电气,600550,55.54,49.71,56.22,48.18,2759429,2861813610.0,14.89,-7.96,-4.3,14.98
168,2024-10-16,保变电气,600550,50.22,54.01,56.22,49.82,2878371,3110825966.0,12.56,6.01,3.06,15.63
167,2024-10-15,保变电气,600550,48.18,50.95,54.24,46.88,3043280,3149161289.0,15.12,4.64,2.26,16.53
166,2024-10-14,保变电气,600550,43.25,48.69,48.69,42.97,2143516,2080502044.0,13.12,11.7,5.1,11.64
165,2024-10-11,保变电气,600550,41.78,43.59,45.69,40.53,1451284,1318978706.0,12.14,2.54,1.08,7.88
164,2024-10-10,保变电气,600550,45.97,42.51,47.95,42.23,1657360,1512196460.0,12.07,-10.3,-4.88,9.0
163,2024-10-09,保变电气,600550,53.05,47.39,53.05,47.39,1981417,2019846307.0,10.58,-11.42,-6.11,10.76
162,2024-10-08,保变电气,600550,52.71,53.5,53.5,48.18,3439832,3577989266.0,11.09,11.57,5.55,18.68
161,2024-09-30,保变电气,600550,43.76,47.95,48.52,43.76,3561611,3383268168.0,10.79,8.73,3.85,19.34
160,2024-09-27,保变电气,600550,45.52,44.1,45.74,43.53,2481285,2287280638.0,4.79,-4.42,-2.04,13.47
159,2024-09-26,保变电气,600550,46.88,46.14,50.22,44.38,3653618,3481824250.0,12.01,-5.12,-2.49,19.84
158,2024-09-25,保变电气,600550,51.97,48.63,54.07,48.63,3706338,3798612625.0,9.92,-11.36,-6.23,20.13
