,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,安阳钢铁,600569,4.46,4.46,4.6,4.42,657314,121932995.0,4.15,2.76,0.12,2.29
239,2025-01-24,安阳钢铁,600569,4.3,4.34,4.36,4.28,254864,43853775.0,1.85,0.23,0.01,0.89
238,2025-01-23,安阳钢铁,600569,4.36,4.33,4.42,4.33,197298,34639916.0,2.06,-0.69,-0.03,0.69
237,2025-01-22,安阳钢铁,600569,4.36,4.36,4.37,4.31,163920,28478433.0,1.38,0.0,0.0,0.57
236,2025-01-21,安阳钢铁,600569,4.45,4.36,4.45,4.36,152453,27003468.0,2.03,-1.58,-0.07,0.53
235,2025-01-20,安阳钢铁,600569,4.42,4.43,4.49,4.34,263262,47259134.0,3.41,0.68,0.03,0.92
234,2025-01-17,安阳钢铁,600569,4.4,4.4,4.42,4.36,194314,34419278.0,1.36,0.0,0.0,0.68
233,2025-01-16,安阳钢铁,600569,4.37,4.4,4.46,4.37,245125,43901149.0,2.06,0.69,0.03,0.85
232,2025-01-15,安阳钢铁,600569,4.4,4.37,4.4,4.34,167433,29408196.0,1.37,-0.46,-0.02,0.58
231,2025-01-14,安阳钢铁,600569,4.3,4.39,4.4,4.3,259143,45242442.0,2.33,2.09,0.09,0.9
230,2025-01-13,安阳钢铁,600569,4.27,4.3,4.31,4.22,178725,30270783.0,2.09,-0.23,-0.01,0.62
229,2025-01-10,安阳钢铁,600569,4.4,4.31,4.4,4.3,237261,41149032.0,2.28,-1.82,-0.08,0.83
228,2025-01-09,安阳钢铁,600569,4.36,4.39,4.4,4.34,190309,33649102.0,1.37,0.0,0.0,0.66
227,2025-01-08,安阳钢铁,600569,4.39,4.39,4.4,4.3,283300,49549049.0,2.27,-0.23,-0.01,0.99
226,2025-01-07,安阳钢铁,600569,4.36,4.4,4.4,4.33,299009,52441604.0,1.6,0.69,0.03,1.04
225,2025-01-06,安阳钢铁,600569,4.37,4.37,4.4,4.3,303262,53003877.0,2.26,-1.13,-0.05,1.06
224,2025-01-03,安阳钢铁,600569,4.45,4.42,4.49,4.37,342919,61716400.0,2.69,-0.9,-0.04,1.19
223,2025-01-02,安阳钢铁,600569,4.54,4.46,4.57,4.43,319097,58949555.0,3.1,-1.33,-0.06,1.11
222,2024-12-31,安阳钢铁,600569,4.6,4.52,4.63,4.51,276313,52132921.0,2.61,-1.74,-0.08,0.96
221,2024-12-30,安阳钢铁,600569,4.67,4.6,4.67,4.57,307287,58604525.0,2.14,-1.5,-0.07,1.07
220,2024-12-27,安阳钢铁,600569,4.66,4.67,4.72,4.64,328636,64727094.0,1.72,0.21,0.01,1.14
219,2024-12-26,安阳钢铁,600569,4.67,4.66,4.7,4.63,309930,60458661.0,1.51,0.43,0.02,1.08
218,2024-12-25,安阳钢铁,600569,4.76,4.64,4.79,4.63,453908,88893857.0,3.34,-3.13,-0.15,1.58
217,2024-12-24,安阳钢铁,600569,4.82,4.79,4.87,4.72,600044,121351314.0,3.11,-0.62,-0.03,2.09
216,2024-12-23,安阳钢铁,600569,5.02,4.82,5.05,4.81,750082,156334759.0,4.8,-3.6,-0.18,2.61
215,2024-12-20,安阳钢铁,600569,5.15,5.0,5.2,4.97,1057744,232833204.0,4.45,-3.29,-0.17,3.68
214,2024-12-19,安阳钢铁,600569,5.15,5.17,5.41,5.06,1857843,433156178.0,6.8,0.39,0.02,6.47
213,2024-12-18,安阳钢铁,600569,4.76,5.15,5.15,4.76,838474,187642043.0,8.06,6.4,0.31,2.92
212,2024-12-17,安阳钢铁,600569,5.15,4.84,5.18,4.84,1263346,267948060.0,6.56,-6.56,-0.34,4.4
211,2024-12-16,安阳钢铁,600569,5.23,5.18,5.48,5.12,2301789,543326697.0,6.92,-0.38,-0.02,8.01
210,2024-12-13,安阳钢铁,600569,5.2,5.2,5.2,5.2,543594,125570163.0,0.0,6.56,0.32,1.89
209,2024-12-12,安阳钢铁,600569,4.94,4.88,4.96,4.84,410325,86256560.0,2.43,-1.21,-0.06,1.43
208,2024-12-11,安阳钢铁,600569,4.79,4.94,4.96,4.76,797420,168714804.0,4.16,2.7,0.13,2.78
207,2024-12-10,安阳钢铁,600569,4.9,4.81,4.96,4.78,573259,119296463.0,3.73,-0.21,-0.01,2.0
206,2024-12-09,安阳钢铁,600569,4.88,4.82,4.97,4.78,511427,106560169.0,3.92,-0.62,-0.03,1.78
205,2024-12-06,安阳钢铁,600569,4.76,4.85,4.91,4.73,606622,125182940.0,3.78,1.89,0.09,2.11
204,2024-12-05,安阳钢铁,600569,4.66,4.76,4.76,4.64,439828,87348149.0,2.57,1.93,0.09,1.53
203,2024-12-04,安阳钢铁,600569,4.66,4.67,4.78,4.63,387014,76284454.0,3.21,0.0,0.0,1.35
202,2024-12-03,安阳钢铁,600569,4.7,4.67,4.73,4.63,347181,67962605.0,2.13,-0.64,-0.03,1.21
201,2024-12-02,安阳钢铁,600569,4.52,4.7,4.79,4.51,664038,129838796.0,6.19,3.98,0.18,2.31
200,2024-11-29,安阳钢铁,600569,4.55,4.52,4.57,4.48,244418,45392628.0,1.98,-0.66,-0.03,0.85
199,2024-11-28,安阳钢铁,600569,4.49,4.55,4.58,4.48,292531,54761223.0,2.23,1.34,0.06,1.02
198,2024-11-27,安阳钢铁,600569,4.45,4.49,4.51,4.37,256247,46202403.0,3.14,0.67,0.03,0.89
197,2024-11-26,安阳钢铁,600569,4.52,4.46,4.54,4.45,203039,37210914.0,2.0,-1.11,-0.05,0.71
196,2024-11-25,安阳钢铁,600569,4.48,4.51,4.55,4.45,204962,37807354.0,2.23,0.67,0.03,0.71
195,2024-11-22,安阳钢铁,600569,4.57,4.48,4.66,4.48,325250,61695253.0,3.93,-2.18,-0.1,1.13
194,2024-11-21,安阳钢铁,600569,4.6,4.58,4.63,4.54,170173,32320514.0,1.96,-0.43,-0.02,0.59
193,2024-11-20,安阳钢铁,600569,4.54,4.6,4.63,4.52,238008,45178259.0,2.41,0.66,0.03,0.83
192,2024-11-19,安阳钢铁,600569,4.58,4.57,4.58,4.46,382991,71019545.0,2.61,-0.65,-0.03,1.33
191,2024-11-18,安阳钢铁,600569,4.57,4.6,4.69,4.55,442609,85505819.0,3.08,1.32,0.06,1.54
190,2024-11-15,安阳钢铁,600569,4.58,4.54,4.61,4.51,305673,57832726.0,2.17,-1.3,-0.06,1.06
189,2024-11-14,安阳钢铁,600569,4.69,4.6,4.7,4.58,257895,49876874.0,2.56,-1.92,-0.09,0.9
188,2024-11-13,安阳钢铁,600569,4.7,4.69,4.75,4.63,363555,71401888.0,2.54,-0.85,-0.04,1.27
187,2024-11-12,安阳钢铁,600569,4.78,4.73,4.79,4.69,450142,90330675.0,2.09,-1.05,-0.05,1.57
186,2024-11-11,安阳钢铁,600569,4.85,4.78,4.87,4.73,508650,103165867.0,2.87,-1.85,-0.09,1.77
185,2024-11-08,安阳钢铁,600569,4.91,4.87,4.96,4.82,675423,141870460.0,2.86,-0.61,-0.03,2.35
184,2024-11-07,安阳钢铁,600569,4.79,4.9,4.99,4.75,931490,194805939.0,4.96,1.24,0.06,3.24
183,2024-11-06,安阳钢铁,600569,4.88,4.84,4.88,4.75,840621,172338907.0,2.65,-1.22,-0.06,2.93
182,2024-11-05,安阳钢铁,600569,4.7,4.9,5.05,4.7,1184555,248547255.0,7.28,1.87,0.09,4.12
181,2024-11-04,安阳钢铁,600569,5.18,4.81,5.18,4.78,1542004,319778587.0,7.81,-6.05,-0.31,5.37
180,2024-11-01,安阳钢铁,600569,4.79,5.12,5.12,4.72,1762532,382959361.0,8.32,6.44,0.31,6.14
179,2024-10-31,安阳钢铁,600569,4.58,4.81,4.81,4.48,1119185,219438762.0,7.13,3.89,0.18,3.9
178,2024-10-30,安阳钢铁,600569,4.42,4.63,4.7,4.4,803315,152902998.0,6.68,3.12,0.14,2.8
177,2024-10-29,安阳钢铁,600569,4.81,4.49,4.81,4.46,1240024,239755353.0,7.71,-1.1,-0.05,4.32
176,2024-10-28,安阳钢铁,600569,4.39,4.54,4.54,4.39,549458,101364648.0,3.5,6.07,0.26,1.91
175,2024-10-25,安阳钢铁,600569,4.22,4.28,4.34,4.22,301807,51066873.0,2.84,1.42,0.06,1.05
174,2024-10-24,安阳钢铁,600569,4.21,4.22,4.22,4.19,92802,15304549.0,0.71,0.0,0.0,0.32
173,2024-10-23,安阳钢铁,600569,4.16,4.22,4.27,4.16,233804,38834069.0,2.63,0.96,0.04,0.81
172,2024-10-22,安阳钢铁,600569,4.15,4.18,4.19,4.13,132716,21577256.0,1.44,0.48,0.02,0.46
171,2024-10-21,安阳钢铁,600569,4.18,4.16,4.18,4.13,147263,23803319.0,1.2,-0.48,-0.02,0.51
170,2024-10-18,安阳钢铁,600569,4.15,4.18,4.19,4.1,201954,32459768.0,2.17,0.72,0.03,0.7
169,2024-10-17,安阳钢铁,600569,4.22,4.15,4.24,4.15,184134,30027419.0,2.13,-1.66,-0.07,0.64
168,2024-10-16,安阳钢铁,600569,4.13,4.22,4.22,4.12,253403,41536882.0,2.41,1.69,0.07,0.88
167,2024-10-15,安阳钢铁,600569,4.19,4.15,4.21,4.15,134807,21924584.0,1.43,-1.43,-0.06,0.47
166,2024-10-14,安阳钢铁,600569,4.18,4.21,4.22,4.16,159675,26223842.0,1.44,1.2,0.05,0.56
165,2024-10-11,安阳钢铁,600569,4.24,4.16,4.27,4.15,195977,32355432.0,2.83,-1.89,-0.08,0.68
164,2024-10-10,安阳钢铁,600569,4.19,4.24,4.3,4.13,295268,49069481.0,4.06,1.19,0.05,1.03
163,2024-10-09,安阳钢铁,600569,4.42,4.19,4.42,4.19,426281,72438206.0,5.16,-6.05,-0.27,1.48
162,2024-10-08,安阳钢铁,600569,4.67,4.46,4.67,4.36,841630,155933697.0,7.01,0.9,0.04,2.93
161,2024-09-30,安阳钢铁,600569,4.33,4.42,4.46,4.24,843546,147559979.0,5.21,4.74,0.2,2.94
160,2024-09-27,安阳钢铁,600569,4.19,4.22,4.24,4.13,446282,72830510.0,2.63,0.72,0.03,1.55
159,2024-09-26,安阳钢铁,600569,4.03,4.19,4.19,4.01,754910,120923913.0,4.37,1.7,0.07,2.63
158,2024-09-25,安阳钢铁,600569,4.19,4.12,4.27,4.1,956346,157192694.0,4.21,1.98,0.08,3.33
157,2024-09-24,安阳钢铁,600569,3.82,4.04,4.04,3.8,415472,62478680.0,6.27,5.48,0.21,1.45
156,2024-09-23,安阳钢铁,600569,3.77,3.83,3.88,3.73,161547,22306131.0,3.98,1.59,0.06,0.56
155,2024-09-20,安阳钢铁,600569,3.77,3.77,3.79,3.76,57307,7764265.0,0.8,0.0,0.0,0.2
154,2024-09-19,安阳钢铁,600569,3.74,3.77,3.79,3.73,82479,11166746.0,1.61,1.07,0.04,0.29
153,2024-09-18,安阳钢铁,600569,3.76,3.73,3.76,3.71,52881,7042201.0,1.33,-1.06,-0.04,0.18
152,2024-09-13,安阳钢铁,600569,3.68,3.77,3.77,3.68,102914,13682094.0,2.45,2.45,0.09,0.36
151,2024-09-12,安阳钢铁,600569,3.68,3.68,3.71,3.67,33920,4441402.0,1.09,0.0,0.0,0.12
150,2024-09-11,安阳钢铁,600569,3.71,3.68,3.71,3.67,56330,7326193.0,1.08,-0.81,-0.03,0.2
149,2024-09-10,安阳钢铁,600569,3.71,3.71,3.73,3.7,61732,8131924.0,0.8,-0.54,-0.02,0.21
148,2024-09-09,安阳钢铁,600569,3.76,3.73,3.76,3.71,64488,8562008.0,1.33,-0.8,-0.03,0.22
147,2024-09-06,安阳钢铁,600569,3.77,3.76,3.79,3.76,48113,6528811.0,0.8,-0.27,-0.01,0.17
146,2024-09-05,安阳钢铁,600569,3.76,3.77,3.79,3.76,38916,5281677.0,0.79,-0.53,-0.02,0.14
145,2024-09-04,安阳钢铁,600569,3.79,3.79,3.79,3.76,83251,11313155.0,0.79,-0.26,-0.01,0.29
144,2024-09-03,安阳钢铁,600569,3.8,3.8,3.82,3.77,49763,6839589.0,1.32,0.0,0.0,0.17
143,2024-09-02,安阳钢铁,600569,3.83,3.8,3.83,3.8,45885,6363432.0,0.79,-0.52,-0.02,0.16
142,2024-08-30,安阳钢铁,600569,3.8,3.82,3.85,3.79,71365,9953312.0,1.58,0.53,0.02,0.25
141,2024-08-29,安阳钢铁,600569,3.82,3.8,3.82,3.79,21486,2965000.0,0.79,0.0,0.0,0.07
140,2024-08-28,安阳钢铁,600569,3.8,3.8,3.82,3.79,21246,2930214.0,0.79,0.0,0.0,0.07
139,2024-08-27,安阳钢铁,600569,3.83,3.8,3.83,3.79,34789,4809163.0,1.04,-0.78,-0.03,0.12
138,2024-08-26,安阳钢铁,600569,3.8,3.83,3.85,3.8,48066,6697999.0,1.31,0.26,0.01,0.17
137,2024-08-23,安阳钢铁,600569,3.82,3.82,3.82,3.79,43059,5938713.0,0.79,0.53,0.02,0.15
136,2024-08-22,安阳钢铁,600569,3.83,3.8,3.85,3.8,52748,7333873.0,1.31,-0.78,-0.03,0.18
135,2024-08-21,安阳钢铁,600569,3.83,3.83,3.85,3.82,45591,6378978.0,0.78,0.0,0.0,0.16
134,2024-08-20,安阳钢铁,600569,3.86,3.83,3.86,3.83,41456,5841546.0,0.78,-0.78,-0.03,0.14
133,2024-08-19,安阳钢铁,600569,3.86,3.86,3.88,3.85,41911,5946339.0,0.78,0.0,0.0,0.15
132,2024-08-16,安阳钢铁,600569,3.89,3.86,3.91,3.85,70690,10101528.0,1.55,-0.52,-0.02,0.25
131,2024-08-15,安阳钢铁,600569,3.86,3.88,3.89,3.83,86041,12225309.0,1.55,0.52,0.02,0.3
130,2024-08-14,安阳钢铁,600569,3.88,3.86,3.88,3.85,31578,4486592.0,0.77,-0.52,-0.02,0.11
129,2024-08-13,安阳钢铁,600569,3.88,3.88,3.89,3.86,40606,5800952.0,0.78,0.52,0.02,0.14
128,2024-08-12,安阳钢铁,600569,3.88,3.86,3.88,3.85,38611,5487381.0,0.77,-0.52,-0.02,0.13
127,2024-08-09,安阳钢铁,600569,3.89,3.88,3.91,3.88,46458,6685831.0,0.77,-0.26,-0.01,0.16
126,2024-08-08,安阳钢铁,600569,3.85,3.89,3.89,3.85,49581,7069875.0,1.04,0.78,0.03,0.17
125,2024-08-07,安阳钢铁,600569,3.88,3.86,3.88,3.85,44624,6336939.0,0.78,0.0,0.0,0.16
124,2024-08-06,安阳钢铁,600569,3.86,3.86,3.89,3.85,64371,9150929.0,1.04,0.0,0.0,0.22
123,2024-08-05,安阳钢铁,600569,3.88,3.86,3.91,3.86,80402,11499839.0,1.29,-0.77,-0.03,0.28
122,2024-08-02,安阳钢铁,600569,3.89,3.89,3.92,3.89,49811,7207255.0,0.77,-0.51,-0.02,0.17
121,2024-08-01,安阳钢铁,600569,3.91,3.91,3.94,3.89,76799,11165803.0,1.28,-0.26,-0.01,0.27
120,2024-07-31,安阳钢铁,600569,3.88,3.92,3.92,3.85,94572,13629033.0,1.81,1.55,0.06,0.33
119,2024-07-30,安阳钢铁,600569,3.86,3.86,3.88,3.85,32258,4570759.0,0.78,0.0,0.0,0.11
118,2024-07-29,安阳钢铁,600569,3.85,3.86,3.86,3.83,40153,5668341.0,0.78,0.26,0.01,0.14
117,2024-07-26,安阳钢铁,600569,3.82,3.85,3.85,3.82,43330,6074988.0,0.79,0.79,0.03,0.15
116,2024-07-25,安阳钢铁,600569,3.82,3.82,3.83,3.8,39044,5428289.0,0.79,0.0,0.0,0.14
115,2024-07-24,安阳钢铁,600569,3.85,3.82,3.86,3.8,89473,12480238.0,1.56,-0.78,-0.03,0.31
114,2024-07-23,安阳钢铁,600569,3.88,3.85,3.89,3.85,57688,8201919.0,1.04,-0.26,-0.01,0.2
113,2024-07-22,安阳钢铁,600569,3.88,3.86,3.89,3.86,40699,5798074.0,0.77,-0.52,-0.02,0.14
112,2024-07-19,安阳钢铁,600569,3.89,3.88,3.89,3.85,41359,5896369.0,1.03,-0.26,-0.01,0.14
111,2024-07-18,安阳钢铁,600569,3.89,3.89,3.89,3.85,52398,7475821.0,1.03,0.26,0.01,0.18
110,2024-07-17,安阳钢铁,600569,3.91,3.88,3.91,3.88,38400,5518653.0,0.77,-0.26,-0.01,0.13
109,2024-07-16,安阳钢铁,600569,3.92,3.89,3.92,3.89,35339,5109852.0,0.77,-0.51,-0.02,0.12
