,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,信雅达,600571,92.8,95.26,95.33,92.4,219938,271194934.0,3.15,2.29,2.13,4.8
240,2025-01-23,信雅达,600571,94.73,93.13,96.53,93.0,236087,293391632.0,3.8,0.28,0.26,5.16
239,2025-01-22,信雅达,600571,94.6,92.87,95.26,92.73,161493,197974127.0,2.65,-2.65,-2.53,3.53
238,2025-01-21,信雅达,600571,95.93,95.4,96.93,94.4,176450,220798116.0,2.67,0.5,0.47,3.85
237,2025-01-20,信雅达,600571,95.6,94.93,96.0,93.87,192730,239851486.0,2.27,0.99,0.93,4.21
236,2025-01-17,信雅达,600571,93.33,94.0,94.8,92.73,208696,256427776.0,2.22,0.64,0.6,4.56
235,2025-01-16,信雅达,600571,93.53,93.4,95.6,92.27,204547,251111337.0,3.57,0.21,0.2,4.47
234,2025-01-15,信雅达,600571,93.0,93.2,94.07,92.27,215806,262128018.0,1.94,0.22,0.2,4.71
233,2025-01-14,信雅达,600571,88.74,93.0,93.07,88.34,268248,319171993.0,5.38,5.75,5.06,5.86
232,2025-01-13,信雅达,600571,87.01,87.94,88.34,84.88,149579,168305433.0,3.94,0.15,0.13,3.27
231,2025-01-10,信雅达,600571,91.14,87.81,92.14,87.74,205986,240688535.0,4.81,-4.0,-3.66,4.5
230,2025-01-09,信雅达,600571,90.67,91.47,92.34,90.07,214118,255860867.0,2.49,0.44,0.4,4.68
229,2025-01-08,信雅达,600571,89.27,91.07,91.87,88.41,282099,331272585.0,3.84,1.03,0.93,6.16
228,2025-01-07,信雅达,600571,87.74,90.14,90.21,87.48,241581,278812321.0,3.14,3.6,3.13,5.28
227,2025-01-06,信雅达,600571,88.41,87.01,89.47,86.08,190083,215648157.0,3.83,-1.58,-1.4,4.15
226,2025-01-03,信雅达,600571,94.2,88.41,95.06,88.27,284697,335747930.0,7.23,-5.82,-5.46,6.22
225,2025-01-02,信雅达,600571,95.4,93.87,97.13,93.0,244033,303607662.0,4.31,-2.01,-1.93,5.33
224,2024-12-31,信雅达,600571,101.52,95.8,102.12,95.73,320823,414181145.0,6.31,-5.38,-5.45,7.01
223,2024-12-30,信雅达,600571,103.38,101.25,104.25,100.26,262500,354523834.0,3.82,-3.06,-3.2,5.73
222,2024-12-27,信雅达,600571,104.38,104.45,107.24,102.98,335346,470053778.0,4.07,-0.26,-0.27,7.33
221,2024-12-26,信雅达,600571,103.32,104.72,106.51,103.32,284075,396717330.0,3.08,1.23,1.27,6.21
220,2024-12-25,信雅达,600571,106.91,103.45,109.91,103.38,420023,586693073.0,5.96,-5.53,-6.06,9.18
219,2024-12-24,信雅达,600571,107.78,109.51,111.1,104.05,644201,917024020.0,6.32,-1.85,-2.06,14.07
218,2024-12-23,信雅达,600571,122.02,111.57,122.02,111.57,628076,962483697.0,8.52,-9.01,-11.05,13.72
217,2024-12-20,信雅达,600571,128.68,122.62,131.67,120.89,1180461,2014481353.0,8.66,-1.45,-1.8,25.79
216,2024-12-19,信雅达,600571,112.04,124.42,124.42,111.04,972043,1575531845.0,11.71,8.92,10.19,21.24
215,2024-12-18,信雅达,600571,110.44,114.23,115.96,107.38,466769,700009256.0,7.67,2.08,2.33,10.2
214,2024-12-17,信雅达,600571,114.9,111.9,118.49,110.71,491841,752093054.0,6.71,-3.5,-4.06,10.74
213,2024-12-16,信雅达,600571,112.84,115.96,120.16,108.84,641435,979314001.0,10.06,3.08,3.46,14.01
212,2024-12-13,信雅达,600571,112.17,112.5,116.56,111.64,513383,783181139.0,4.33,-1.06,-1.2,11.22
211,2024-12-12,信雅达,600571,113.3,113.7,114.23,110.84,496063,750890648.0,2.99,0.35,0.4,10.84
210,2024-12-11,信雅达,600571,111.97,113.3,114.7,111.77,576219,871701076.0,2.54,-1.67,-1.93,12.59
209,2024-12-10,信雅达,600571,118.69,115.23,122.22,113.57,1007761,1596540445.0,7.52,0.11,0.13,22.02
208,2024-12-09,信雅达,600571,126.75,115.1,132.0,112.84,1184076,1909548805.0,15.76,-5.31,-6.45,25.87
207,2024-12-06,信雅达,600571,121.55,121.55,121.55,116.56,679049,1100608531.0,4.47,8.88,9.91,14.83
206,2024-12-05,信雅达,600571,104.38,111.64,111.64,104.32,261847,387343280.0,7.14,8.82,9.05,5.72
205,2024-12-04,信雅达,600571,103.85,102.59,105.18,101.72,241547,331154706.0,3.3,-2.03,-2.13,5.28
204,2024-12-03,信雅达,600571,105.05,104.72,105.38,102.72,272513,376992484.0,2.52,-0.63,-0.66,5.95
203,2024-12-02,信雅达,600571,101.05,105.38,107.04,101.05,390081,542227448.0,5.82,2.39,2.46,8.52
202,2024-11-29,信雅达,600571,98.72,102.92,104.45,97.59,530870,715437638.0,6.98,4.67,4.59,11.6
201,2024-11-28,信雅达,600571,99.12,98.33,101.99,98.13,307453,403512358.0,3.93,0.07,0.07,6.72
