,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,京能电力,600578,13.72,13.7,13.77,13.55,314386,106738994.0,1.61,0.22,0.03,0.47
240,2025-01-23,京能电力,600578,13.67,13.67,13.77,13.62,269388,91641738.0,1.1,0.37,0.05,0.4
239,2025-01-22,京能电力,600578,13.6,13.62,13.67,13.5,194148,65094829.0,1.25,0.0,0.0,0.29
238,2025-01-21,京能电力,600578,13.65,13.62,13.72,13.58,164094,55377593.0,1.03,-0.22,-0.03,0.25
237,2025-01-20,京能电力,600578,13.74,13.65,13.79,13.62,190328,64591998.0,1.24,-0.36,-0.05,0.28
236,2025-01-17,京能电力,600578,13.72,13.7,13.74,13.6,212480,72217375.0,1.02,-0.15,-0.02,0.32
235,2025-01-16,京能电力,600578,13.79,13.72,13.86,13.7,217539,74724067.0,1.16,-0.15,-0.02,0.32
234,2025-01-15,京能电力,600578,13.79,13.74,13.89,13.72,243507,83809919.0,1.23,-0.36,-0.05,0.36
233,2025-01-14,京能电力,600578,13.65,13.79,13.82,13.65,275429,94003058.0,1.24,0.88,0.12,0.41
232,2025-01-13,京能电力,600578,13.58,13.67,13.7,13.5,224073,75511647.0,1.47,0.51,0.07,0.33
231,2025-01-10,京能电力,600578,13.6,13.6,13.7,13.55,234565,79158791.0,1.1,0.0,0.0,0.35
230,2025-01-09,京能电力,600578,13.74,13.6,13.74,13.58,261134,88376951.0,1.16,-1.38,-0.19,0.39
229,2025-01-08,京能电力,600578,13.65,13.79,13.82,13.6,364053,124015263.0,1.61,1.03,0.14,0.54
228,2025-01-07,京能电力,600578,13.7,13.65,13.79,13.6,268723,91251226.0,1.39,-0.36,-0.05,0.4
227,2025-01-06,京能电力,600578,13.67,13.7,13.77,13.58,263910,89649467.0,1.39,0.22,0.03,0.39
226,2025-01-03,京能电力,600578,13.77,13.67,13.89,13.62,276757,94807781.0,1.97,-0.51,-0.07,0.41
225,2025-01-02,京能电力,600578,14.01,13.74,14.06,13.67,325836,113210426.0,2.79,-1.72,-0.24,0.49
224,2024-12-31,京能电力,600578,14.13,13.98,14.2,13.98,298702,106562908.0,1.56,-1.06,-0.15,0.45
223,2024-12-30,京能电力,600578,14.2,14.13,14.22,14.08,221364,79342409.0,0.98,-0.63,-0.09,0.33
222,2024-12-27,京能电力,600578,14.03,14.22,14.22,14.01,304365,109302195.0,1.5,1.5,0.21,0.45
221,2024-12-26,京能电力,600578,14.13,14.01,14.2,14.01,230912,82279279.0,1.34,-0.99,-0.14,0.34
220,2024-12-25,京能电力,600578,14.18,14.15,14.25,14.13,193985,69836133.0,0.84,-0.49,-0.07,0.29
219,2024-12-24,京能电力,600578,14.03,14.22,14.22,14.03,263843,94772930.0,1.34,0.64,0.09,0.39
218,2024-12-23,京能电力,600578,14.06,14.13,14.18,14.01,330210,117806948.0,1.21,0.71,0.1,0.49
217,2024-12-20,京能电力,600578,14.25,14.03,14.3,14.01,291499,103915002.0,2.04,-1.54,-0.22,0.44
216,2024-12-19,京能电力,600578,14.44,14.25,14.46,14.2,326220,118836783.0,1.79,-1.66,-0.24,0.49
215,2024-12-18,京能电力,600578,14.39,14.49,14.58,14.37,227485,85120180.0,1.46,0.69,0.1,0.34
214,2024-12-17,京能电力,600578,14.58,14.39,14.63,14.34,270385,100440032.0,1.99,-1.3,-0.19,0.4
213,2024-12-16,京能电力,600578,14.44,14.58,14.61,14.44,322579,121308253.0,1.17,0.62,0.09,0.48
212,2024-12-13,京能电力,600578,14.54,14.49,14.63,14.42,370304,138479159.0,1.44,-0.34,-0.05,0.55
211,2024-12-12,京能电力,600578,14.44,14.54,14.61,14.37,350784,131328648.0,1.66,0.83,0.12,0.52
210,2024-12-11,京能电力,600578,14.39,14.42,14.51,14.37,252903,93843808.0,0.97,0.21,0.03,0.38
209,2024-12-10,京能电力,600578,14.54,14.39,14.56,14.32,413179,152785036.0,1.67,0.0,0.0,0.62
208,2024-12-09,京能电力,600578,14.42,14.39,14.51,14.34,312315,115591247.0,1.18,-0.21,-0.03,0.47
207,2024-12-06,京能电力,600578,14.3,14.42,14.44,14.27,391351,144282556.0,1.19,0.7,0.1,0.58
206,2024-12-05,京能电力,600578,14.3,14.32,14.34,14.13,330570,119908799.0,1.47,0.0,0.0,0.49
205,2024-12-04,京能电力,600578,14.34,14.32,14.39,14.27,315497,115675804.0,0.83,-0.49,-0.07,0.47
204,2024-12-03,京能电力,600578,14.32,14.39,14.44,14.27,325687,119725797.0,1.19,0.63,0.09,0.49
203,2024-12-02,京能电力,600578,14.25,14.3,14.37,14.2,338858,123691368.0,1.2,0.56,0.08,0.51
202,2024-11-29,京能电力,600578,14.3,14.22,14.34,14.18,276920,100595556.0,1.12,-0.21,-0.03,0.41
201,2024-11-28,京能电力,600578,14.18,14.25,14.3,14.15,210370,76372576.0,1.05,0.21,0.03,0.31
200,2024-11-27,京能电力,600578,14.15,14.22,14.25,14.01,250717,89734603.0,1.69,0.28,0.04,0.37
199,2024-11-26,京能电力,600578,14.25,14.18,14.25,14.13,184411,66456747.0,0.84,-0.28,-0.04,0.28
198,2024-11-25,京能电力,600578,14.25,14.22,14.3,14.13,243243,87983628.0,1.2,0.14,0.02,0.36
197,2024-11-22,京能电力,600578,14.51,14.2,14.61,14.2,283530,104416843.0,2.83,-2.14,-0.31,0.42
196,2024-11-21,京能电力,600578,14.51,14.51,14.58,14.44,198058,73998346.0,0.96,0.0,0.0,0.3
195,2024-11-20,京能电力,600578,14.49,14.51,14.56,14.39,237092,88314712.0,1.17,0.14,0.02,0.35
194,2024-11-19,京能电力,600578,14.51,14.49,14.56,14.34,257028,95516113.0,1.52,0.0,0.0,0.38
