,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,卧龙电驱,600580,92.7,100.68,102.4,92.7,2312533,4806486912.0,10.34,7.33,6.88,17.75
240,2025-01-23,卧龙电驱,600580,98.1,93.8,99.85,92.87,1707683,3462848427.0,7.22,-2.95,-2.85,13.11
239,2025-01-22,卧龙电驱,600580,96.78,96.65,100.29,94.72,1511222,3076706748.0,5.65,-1.91,-1.88,11.6
238,2025-01-21,卧龙电驱,600580,93.31,98.53,101.96,92.92,1991371,4103606013.0,9.6,4.65,4.38,15.29
237,2025-01-20,卧龙电驱,600580,93.27,94.15,94.85,90.68,1632061,3155868021.0,4.51,1.9,1.76,12.53
236,2025-01-17,卧龙电驱,600580,91.78,92.39,97.13,91.69,1612576,3154755049.0,5.94,0.81,0.74,12.38
235,2025-01-16,卧龙电驱,600580,91.08,91.65,95.46,90.77,1760920,3414837905.0,5.13,0.2,0.18,13.52
234,2025-01-15,卧龙电驱,600580,92.3,91.47,95.99,90.29,2304015,4440610919.0,6.3,1.06,0.96,17.69
233,2025-01-14,卧龙电驱,600580,82.3,90.51,90.51,81.77,1374771,2521624097.0,10.54,9.1,7.55,10.55
232,2025-01-13,卧龙电驱,600580,80.19,82.96,85.37,80.19,1305089,2234071612.0,6.33,1.46,1.19,10.02
231,2025-01-10,卧龙电驱,600580,83.09,81.77,87.83,81.56,1564452,2744843046.0,7.55,-1.59,-1.32,12.01
230,2025-01-09,卧龙电驱,600580,81.69,83.09,85.77,81.34,1526974,2634546282.0,5.28,-0.94,-0.79,11.72
229,2025-01-08,卧龙电驱,600580,78.35,83.88,84.93,76.95,1869586,3105730463.0,10.07,5.87,4.65,14.35
228,2025-01-07,卧龙电驱,600580,76.38,79.23,79.45,75.54,1159327,1841296682.0,5.13,3.85,2.94,8.9
227,2025-01-06,卧龙电驱,600580,78.62,76.29,80.33,75.63,1192887,1903335113.0,5.98,-2.96,-2.33,9.16
226,2025-01-03,卧龙电驱,600580,81.86,78.62,83.0,78.35,1510324,2496568680.0,5.58,-5.73,-4.78,11.59
225,2025-01-02,卧龙电驱,600580,85.55,83.4,86.51,82.04,1646666,2865683489.0,5.38,0.32,0.27,12.64
224,2024-12-31,卧龙电驱,600580,90.2,83.13,91.38,83.13,2112357,3788804500.0,9.02,-9.16,-8.38,16.22
223,2024-12-30,卧龙电驱,600580,94.37,91.51,97.39,90.11,2875085,5663703276.0,8.03,0.96,0.87,22.07
222,2024-12-27,卧龙电驱,600580,86.03,90.64,93.53,84.01,2701002,5076496425.0,11.11,5.74,4.92,20.74
221,2024-12-26,卧龙电驱,600580,81.2,85.72,89.32,81.2,2064088,3668822604.0,9.81,3.6,2.98,15.85
220,2024-12-25,卧龙电驱,600580,86.69,82.74,86.69,80.98,2448541,4254742743.0,7.14,3.52,2.81,18.8
