,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,龙溪股份,600592,26.18,26.42,27.12,26.1,273239,295339560.0,3.86,-0.08,-0.02,6.84
240,2025-01-23,龙溪股份,600592,26.26,26.44,26.94,25.86,427504,462557699.0,4.14,1.46,0.38,10.7
239,2025-01-22,龙溪股份,600592,26.52,26.06,26.56,25.6,505157,536958198.0,3.5,-4.96,-1.36,12.64
238,2025-01-21,龙溪股份,600592,28.64,27.42,29.36,27.12,848281,1001316516.0,8.26,1.11,0.3,21.23
237,2025-01-20,龙溪股份,600592,25.28,27.12,27.12,25.1,183920,200417741.0,8.05,8.13,2.04,4.6
236,2025-01-17,龙溪股份,600592,25.42,25.08,25.76,25.02,96477,99394005.0,2.91,-1.26,-0.32,2.41
235,2025-01-16,龙溪股份,600592,25.78,25.4,25.88,25.24,117076,121991743.0,2.5,-0.7,-0.18,2.93
234,2025-01-15,龙溪股份,600592,25.62,25.58,26.1,25.48,170623,179541542.0,2.42,-0.08,-0.02,4.27
233,2025-01-14,龙溪股份,600592,24.66,25.6,25.98,24.64,217891,223873086.0,5.47,4.49,1.1,5.45
232,2025-01-13,龙溪股份,600592,24.44,24.5,25.24,24.38,190083,190764853.0,3.49,-0.49,-0.12,4.76
231,2025-01-10,龙溪股份,600592,23.88,24.62,25.8,23.7,265866,269787623.0,8.79,3.1,0.74,6.65
230,2025-01-09,龙溪股份,600592,23.48,23.88,24.18,23.44,58349,56076134.0,3.13,1.1,0.26,1.46
229,2025-01-08,龙溪股份,600592,23.48,23.62,23.66,22.92,63042,58857412.0,3.15,0.6,0.14,1.58
228,2025-01-07,龙溪股份,600592,23.22,23.48,23.48,23.08,44219,41200258.0,1.72,1.12,0.26,1.11
227,2025-01-06,龙溪股份,600592,23.3,23.22,23.56,22.9,59831,55459524.0,2.82,-0.77,-0.18,1.5
226,2025-01-03,龙溪股份,600592,24.16,23.4,24.28,23.32,83667,79982599.0,3.97,-3.23,-0.78,2.09
225,2025-01-02,龙溪股份,600592,24.68,24.18,24.92,24.02,94395,93649877.0,3.68,-1.06,-0.26,2.36
224,2024-12-31,龙溪股份,600592,25.1,24.44,25.26,24.36,69557,69657982.0,3.58,-2.78,-0.7,1.74
223,2024-12-30,龙溪股份,600592,25.16,25.14,25.62,24.68,83927,85724056.0,3.74,-0.08,-0.02,2.1
222,2024-12-27,龙溪股份,600592,25.08,25.16,25.46,24.94,87042,89440088.0,2.1,1.62,0.4,2.18
221,2024-12-26,龙溪股份,600592,24.24,24.76,25.0,24.22,72663,72962570.0,3.21,1.98,0.48,1.82
220,2024-12-25,龙溪股份,600592,24.82,24.28,24.9,24.14,73382,72199668.0,3.06,-2.18,-0.54,1.84
219,2024-12-24,龙溪股份,600592,24.48,24.82,25.06,24.48,80311,80597325.0,2.38,1.97,0.48,2.01
218,2024-12-23,龙溪股份,600592,25.22,24.34,25.24,24.28,118936,118879722.0,3.8,-3.64,-0.92,2.98
217,2024-12-20,龙溪股份,600592,25.12,25.26,25.4,24.98,58687,60260420.0,1.67,0.4,0.1,1.47
216,2024-12-19,龙溪股份,600592,24.86,25.16,25.3,24.84,57196,58264204.0,1.83,0.32,0.08,1.43
215,2024-12-18,龙溪股份,600592,24.98,25.08,25.24,24.78,64192,65376037.0,1.84,0.32,0.08,1.61
214,2024-12-17,龙溪股份,600592,25.82,25.0,26.1,24.9,113327,116973464.0,4.6,-4.21,-1.1,2.84
213,2024-12-16,龙溪股份,600592,25.88,26.1,26.58,25.7,124851,133873719.0,3.4,0.93,0.24,3.12
212,2024-12-13,龙溪股份,600592,26.28,25.86,26.3,25.8,76380,81480175.0,1.9,-1.82,-0.48,1.91
211,2024-12-12,龙溪股份,600592,26.46,26.34,26.52,26.12,83962,90792985.0,1.51,-0.3,-0.08,2.1
210,2024-12-11,龙溪股份,600592,26.36,26.42,26.62,26.06,106075,114726978.0,2.12,-0.08,-0.02,2.65
209,2024-12-10,龙溪股份,600592,26.88,26.44,27.12,26.44,153691,170077608.0,2.57,0.0,0.0,3.85
208,2024-12-09,龙溪股份,600592,26.16,26.44,26.8,25.9,143962,155264843.0,3.44,0.99,0.26,3.6
207,2024-12-06,龙溪股份,600592,26.4,26.18,26.64,26.02,128178,137721291.0,2.34,-1.13,-0.3,3.21
206,2024-12-05,龙溪股份,600592,26.42,26.48,26.8,26.22,130571,142810454.0,2.19,0.15,0.04,3.27
205,2024-12-04,龙溪股份,600592,26.24,26.44,27.04,25.9,177838,193768632.0,4.36,1.07,0.28,4.45
204,2024-12-03,龙溪股份,600592,25.98,26.16,26.52,25.96,114183,123116622.0,2.16,0.69,0.18,2.86
203,2024-12-02,龙溪股份,600592,25.82,25.98,26.06,25.58,110521,117149101.0,1.87,1.01,0.26,2.77
202,2024-11-29,龙溪股份,600592,24.88,25.72,25.94,24.78,133771,138919450.0,4.65,3.13,0.78,3.35
201,2024-11-28,龙溪股份,600592,24.68,24.94,25.26,24.68,66108,67123711.0,2.34,0.73,0.18,1.65
200,2024-11-27,龙溪股份,600592,24.68,24.76,24.76,23.98,72933,71801856.0,3.16,0.32,0.08,1.83
199,2024-11-26,龙溪股份,600592,25.02,24.68,25.2,24.62,63449,63931658.0,2.32,-1.44,-0.36,1.59
