,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,丰华股份,600615,750.67,738.56,758.51,735.7,30267,36121307.0,3.04,-1.71,-12.82,1.61
239,2025-01-24,丰华股份,600615,740.69,751.38,757.09,730.72,53237,63337687.0,3.45,-1.59,-12.12,2.84
238,2025-01-23,丰华股份,600615,793.43,763.5,795.57,762.07,67380,83549803.0,4.29,-2.19,-17.1,3.59
237,2025-01-22,丰华股份,600615,764.93,780.6,794.86,751.38,84703,104858000.0,5.65,1.48,11.4,4.51
236,2025-01-21,丰华股份,600615,764.21,769.2,769.91,747.82,54277,65648937.0,2.89,0.75,5.7,2.89
235,2025-01-20,丰华股份,600615,783.46,763.5,789.87,757.09,59680,72663247.0,4.23,-1.56,-12.12,3.18
234,2025-01-17,丰华股份,600615,755.66,775.62,779.18,739.98,83060,101330848.0,5.14,1.68,12.83,4.43
233,2025-01-16,丰华股份,600615,747.11,762.79,777.04,742.83,83832,101412456.0,4.58,2.1,15.68,4.47
232,2025-01-15,丰华股份,600615,767.78,747.11,772.05,742.12,86676,104007928.0,3.83,-4.38,-34.21,4.62
231,2025-01-14,丰华股份,600615,758.51,781.32,821.23,749.25,154081,191678402.0,9.52,3.3,24.95,8.21
230,2025-01-13,丰华股份,600615,668.71,756.37,756.37,661.58,50470,59680797.0,13.98,11.56,78.39,2.69
229,2025-01-10,丰华股份,600615,660.16,677.98,716.46,655.88,50785,56167777.0,9.16,2.48,16.4,2.71
228,2025-01-09,丰华股份,600615,661.58,661.58,670.14,650.89,17677,19034846.0,2.91,-0.11,-0.72,0.94
227,2025-01-08,丰华股份,600615,670.85,662.3,672.27,636.64,22221,23618550.0,5.35,-0.64,-4.27,1.18
226,2025-01-07,丰华股份,600615,636.64,666.57,666.57,635.93,30760,32620197.0,4.79,4.12,26.37,1.64
225,2025-01-06,丰华股份,600615,645.19,640.2,655.17,618.82,21214,22128707.0,5.62,-0.99,-6.42,1.13
224,2025-01-03,丰华股份,600615,672.99,646.62,679.4,643.77,26584,28434207.0,5.29,-3.92,-26.37,1.42
223,2025-01-02,丰华股份,600615,682.96,672.99,702.21,666.57,24532,27115800.0,5.16,-2.48,-17.1,1.31
222,2024-12-31,丰华股份,600615,698.64,690.09,703.63,683.68,26521,29547495.0,2.85,-1.33,-9.27,1.41
221,2024-12-30,丰华股份,600615,720.02,699.36,727.15,692.23,28228,32048065.0,4.85,-2.87,-20.66,1.5
220,2024-12-27,丰华股份,600615,705.06,720.02,727.86,700.78,23122,26691468.0,3.84,2.12,14.96,1.23
219,2024-12-26,丰华股份,600615,691.52,705.06,709.33,684.39,22576,25488483.0,3.61,1.96,13.54,1.2
218,2024-12-25,丰华股份,600615,712.9,691.52,716.46,681.54,32932,36734465.0,4.86,-3.77,-27.08,1.76
217,2024-12-24,丰华股份,600615,720.02,718.6,730.72,705.06,29453,33874500.0,3.58,0.2,1.43,1.57
216,2024-12-23,丰华股份,600615,764.21,717.17,768.49,711.47,43349,50864341.0,7.5,-5.72,-43.48,2.31
215,2024-12-20,丰华股份,600615,749.25,760.65,771.34,742.12,33846,41089901.0,3.91,1.81,13.54,1.8
214,2024-12-19,丰华股份,600615,734.99,747.11,753.52,729.29,30502,36149781.0,3.28,1.16,8.55,1.63
213,2024-12-18,丰华股份,600615,738.56,738.56,754.95,725.01,30399,36053533.0,4.02,-0.77,-5.7,1.62
212,2024-12-17,丰华股份,600615,787.73,744.26,788.44,737.84,56967,68899075.0,6.37,-6.28,-49.89,3.04
211,2024-12-16,丰华股份,600615,811.96,794.15,816.24,785.59,39061,49245341.0,3.78,-1.94,-15.68,2.08
210,2024-12-13,丰华股份,600615,826.93,809.83,827.64,806.97,39060,50401221.0,2.5,-2.24,-18.53,2.08
209,2024-12-12,丰华股份,600615,837.62,828.36,839.05,816.24,56131,73244501.0,2.72,-1.11,-9.26,2.99
208,2024-12-11,丰华股份,600615,824.79,837.62,844.75,818.38,61268,80441515.0,3.2,1.56,12.83,3.27
207,2024-12-10,丰华股份,600615,858.29,824.79,870.41,823.37,82318,108674720.0,5.64,-1.11,-9.27,4.39
206,2024-12-09,丰华股份,600615,825.51,834.06,858.29,816.95,88010,115942846.0,5.04,1.65,13.54,4.69
205,2024-12-06,丰华股份,600615,837.62,820.52,837.62,809.83,91389,118579406.0,3.37,-0.52,-4.27,4.87
204,2024-12-05,丰华股份,600615,797.0,824.79,878.96,787.02,160228,210367031.0,11.63,4.33,34.21,8.54
203,2024-12-04,丰华股份,600615,814.81,790.58,826.93,783.46,92095,117035030.0,5.24,-4.64,-38.49,4.91
202,2024-12-03,丰华股份,600615,830.49,829.07,864.7,816.24,108247,142116093.0,5.75,-1.69,-14.25,5.77
201,2024-12-02,丰华股份,600615,819.09,843.32,866.13,803.41,135342,177228962.0,7.54,1.37,11.4,7.21
200,2024-11-29,丰华股份,600615,773.48,831.92,859.0,767.06,173374,222341799.0,11.57,4.66,37.06,9.24
199,2024-11-28,丰华股份,600615,881.1,794.86,901.05,787.73,205244,270943115.0,12.86,-9.79,-86.24,10.94
198,2024-11-27,丰华股份,600615,923.15,881.1,1047.87,843.32,330401,460166226.0,21.57,-7.07,-66.99,17.61
197,2024-11-26,丰华股份,600615,948.09,948.09,948.09,948.09,50953,75155734.0,0.0,11.2,95.5,2.72
196,2024-11-25,丰华股份,600615,852.59,852.59,852.59,852.59,17428,23370948.0,0.0,11.36,86.95,0.93
195,2024-11-22,丰华股份,600615,765.64,765.64,765.64,765.64,18937,23084252.0,0.0,11.52,79.11,1.01
194,2024-11-21,丰华股份,600615,687.95,686.53,706.48,674.41,33505,37405395.0,4.66,-0.21,-1.42,1.79
193,2024-11-20,丰华股份,600615,681.54,687.95,693.65,677.26,36337,40236302.0,2.4,0.84,5.7,1.94
192,2024-11-19,丰华股份,600615,665.15,682.25,682.96,652.32,31669,34166256.0,4.65,3.57,23.52,1.69
191,2024-11-18,丰华股份,600615,702.21,658.73,707.91,650.89,43512,47222763.0,8.16,-5.71,-39.91,2.32
190,2024-11-15,丰华股份,600615,723.59,698.64,743.54,697.93,48189,55628612.0,6.22,-4.76,-34.93,2.57
189,2024-11-14,丰华股份,600615,754.95,733.57,764.93,732.14,49682,59348665.0,4.27,-4.37,-33.49,2.65
188,2024-11-13,丰华股份,600615,748.53,767.06,773.48,719.31,82124,98260270.0,7.13,0.94,7.12,4.38
187,2024-11-12,丰华股份,600615,730.0,759.94,809.83,726.44,134456,163958709.0,11.48,4.61,33.5,7.17
186,2024-11-11,丰华股份,600615,705.77,726.44,728.58,692.94,77186,87726539.0,5.08,3.56,24.95,4.11
185,2024-11-08,丰华股份,600615,743.54,701.49,744.26,696.51,87002,99410320.0,6.58,-3.34,-24.24,4.64
184,2024-11-07,丰华股份,600615,712.9,725.73,729.29,705.77,65162,75410046.0,3.26,0.69,4.99,3.47
183,2024-11-06,丰华股份,600615,722.88,720.74,737.13,701.49,97687,113042410.0,4.94,-0.1,-0.71,5.21
182,2024-11-05,丰华股份,600615,715.04,721.45,728.58,706.48,76222,87725286.0,3.09,1.0,7.13,4.06
181,2024-11-04,丰华股份,600615,690.09,714.32,725.73,676.55,83795,94890414.0,7.08,2.87,19.95,4.47
180,2024-11-01,丰华股份,600615,716.46,694.37,716.46,672.27,111634,125121438.0,6.16,-3.28,-23.52,5.95
179,2024-10-31,丰华股份,600615,711.47,717.89,728.58,695.08,101864,116003693.0,4.74,1.51,10.69,5.43
178,2024-10-30,丰华股份,600615,695.79,707.2,728.58,695.08,94183,107014602.0,4.73,-0.2,-1.42,5.02
177,2024-10-29,丰华股份,600615,752.81,708.62,763.5,702.21,188207,218695917.0,8.14,-5.87,-44.19,10.03
176,2024-10-28,丰华股份,600615,680.11,752.81,752.81,672.99,253141,293162629.0,11.82,11.51,77.69,13.49
175,2024-10-25,丰华股份,600615,609.56,675.12,675.12,609.56,145395,156279287.0,10.84,11.67,70.55,7.75
