,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,天宸股份,600620,1943.86,1909.34,1988.73,1902.44,48253,25190212.0,4.44,-1.78,-34.52,0.7
239,2025-01-24,天宸股份,600620,1905.89,1943.86,1950.76,1892.08,61272,31665626.0,3.07,1.81,34.52,0.89
238,2025-01-23,天宸股份,600620,1947.31,1909.34,1988.73,1909.34,52942,27816979.0,4.09,-1.6,-31.07,0.77
237,2025-01-22,天宸股份,600620,1985.28,1940.41,1999.09,1930.05,59067,31086717.0,3.47,-2.43,-48.32,0.86
236,2025-01-21,天宸股份,600620,2037.06,1988.73,2054.32,1964.57,88835,47773900.0,4.41,-2.37,-48.33,1.29
235,2025-01-20,天宸股份,600620,2016.35,2037.06,2102.64,1964.57,116192,63730916.0,6.88,1.55,31.07,1.69
234,2025-01-17,天宸股份,600620,2068.12,2005.99,2095.74,1988.73,158372,85946032.0,5.17,-3.0,-62.13,2.31
233,2025-01-16,天宸股份,600620,1950.76,2068.12,2068.12,1950.76,44594,24482601.0,6.2,9.3,176.04,0.65
232,2025-01-15,天宸股份,600620,1919.7,1892.08,1926.6,1874.83,42975,21896487.0,2.71,-0.9,-17.26,0.63
231,2025-01-14,天宸股份,600620,1836.86,1909.34,1919.7,1819.6,49443,25049593.0,5.44,3.75,69.03,0.72
230,2025-01-13,天宸股份,600620,1823.05,1840.31,1867.92,1767.82,50234,24616066.0,5.48,0.76,13.81,0.73
229,2025-01-10,天宸股份,600620,1933.51,1826.5,1936.96,1826.5,52373,26355523.0,5.71,-5.53,-107.01,0.76
228,2025-01-09,天宸股份,600620,1905.89,1933.51,1968.02,1892.08,66462,34687052.0,3.96,0.9,17.26,0.97
227,2025-01-08,天宸股份,600620,1898.99,1916.25,1943.86,1843.76,71308,36360691.0,5.27,0.91,17.26,1.04
226,2025-01-07,天宸股份,600620,1857.57,1898.99,1923.15,1857.57,60082,30447118.0,3.5,1.48,27.62,0.87
225,2025-01-06,天宸股份,600620,1909.34,1871.37,1923.15,1819.6,66247,33233855.0,5.37,-3.04,-58.68,0.96
224,2025-01-03,天宸股份,600620,2043.96,1930.05,2064.67,1912.79,76518,40487845.0,7.49,-4.77,-96.65,1.11
223,2025-01-02,天宸股份,600620,2106.09,2026.7,2119.9,2012.9,71053,39825515.0,5.06,-4.08,-86.3,1.03
222,2024-12-31,天宸股份,600620,2202.74,2113.0,2230.36,2102.64,85643,49961116.0,5.78,-4.37,-96.65,1.25
221,2024-12-30,天宸股份,600620,2275.23,2209.65,2295.94,2199.29,87484,52905988.0,4.2,-4.05,-93.19,1.27
220,2024-12-27,天宸股份,600620,2257.97,2302.84,2327.01,2206.2,112112,69371583.0,5.46,4.05,89.74,1.63
