,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,华建集团,600629,75.67,77.54,80.49,75.31,518959,435328845.0,7.05,5.58,4.1,5.49
239,2025-01-24,华建集团,600629,72.9,73.44,73.7,71.74,196810,153838747.0,2.69,0.87,0.63,2.08
238,2025-01-23,华建集团,600629,73.97,72.81,76.47,72.81,317627,255052915.0,5.04,0.25,0.18,3.36
237,2025-01-22,华建集团,600629,74.42,72.63,74.42,72.28,205565,161140355.0,2.86,-3.1,-2.32,2.18
236,2025-01-21,华建集团,600629,74.06,74.95,76.56,72.99,316166,254904174.0,4.85,1.81,1.33,3.35
235,2025-01-20,华建集团,600629,73.88,73.62,74.78,73.08,183835,145665775.0,2.3,-0.23,-0.17,1.95
234,2025-01-17,华建集团,600629,74.69,73.79,74.78,72.19,274600,215941317.0,3.44,-2.14,-1.61,2.91
233,2025-01-16,华建集团,600629,75.85,75.4,78.17,74.6,274006,224069961.0,4.73,0.0,0.0,2.9
232,2025-01-15,华建集团,600629,78.08,75.4,78.7,75.13,290526,237462544.0,4.59,-3.1,-2.41,3.08
231,2025-01-14,华建集团,600629,75.31,77.81,77.81,75.31,313835,258931686.0,3.37,4.94,3.66,3.32
230,2025-01-13,华建集团,600629,73.97,74.15,75.04,72.54,310501,245796786.0,3.26,-3.26,-2.5,3.29
229,2025-01-10,华建集团,600629,77.99,76.65,81.02,76.65,406795,345631287.0,5.55,-2.72,-2.14,4.31
228,2025-01-09,华建集团,600629,79.51,78.79,80.4,77.54,443046,375944377.0,3.6,-0.79,-0.63,4.69
227,2025-01-08,华建集团,600629,77.9,79.42,80.75,75.22,792208,662702319.0,7.34,5.46,4.11,8.39
226,2025-01-07,华建集团,600629,69.69,75.31,75.31,69.42,118164,93748178.0,8.57,9.61,6.6,1.25
225,2025-01-06,华建集团,600629,72.46,68.71,73.35,68.26,367438,277846304.0,6.97,-5.86,-4.28,3.89
224,2025-01-03,华建集团,600629,76.74,72.99,77.54,72.46,472617,377943568.0,6.54,-6.09,-4.73,5.0
223,2025-01-02,华建集团,600629,82.81,77.72,84.32,77.1,722643,626710246.0,8.46,-8.9,-7.59,7.65
222,2024-12-31,华建集团,600629,86.73,85.31,90.57,83.43,1034125,958702911.0,8.6,2.7,2.24,10.95
221,2024-12-30,华建集团,600629,77.19,83.07,83.07,76.65,413044,361848477.0,8.47,9.65,7.31,4.37
220,2024-12-27,华建集团,600629,73.62,75.76,77.63,73.08,360378,295549185.0,6.12,1.92,1.43,3.81
219,2024-12-26,华建集团,600629,74.6,74.33,76.2,73.7,289300,232574893.0,3.36,-0.24,-0.18,3.06
218,2024-12-25,华建集团,600629,73.17,74.51,76.83,72.37,385640,311501195.0,6.06,1.21,0.89,4.08
217,2024-12-24,华建集团,600629,71.83,73.62,76.02,70.49,413202,324747701.0,7.75,3.14,2.24,4.37
216,2024-12-23,华建集团,600629,75.04,71.38,75.13,71.38,337381,264086036.0,4.96,-5.56,-4.2,3.57
