,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,锦江在线,600650,40.19,39.71,40.54,39.62,75419,105892613.0,2.29,-1.02,-0.41,1.93
239,2025-01-24,锦江在线,600650,39.77,40.12,40.5,39.37,89869,125689259.0,2.84,0.73,0.29,2.3
238,2025-01-23,锦江在线,600650,40.48,39.83,40.98,39.68,111346,158349386.0,3.24,-0.72,-0.29,2.85
237,2025-01-22,锦江在线,600650,40.79,40.12,41.13,40.08,105846,150406543.0,2.55,-2.6,-1.07,2.71
236,2025-01-21,锦江在线,600650,41.75,41.19,41.82,40.52,132592,192314427.0,3.13,-0.91,-0.38,3.39
235,2025-01-20,锦江在线,600650,41.63,41.57,41.82,41.23,143156,210953850.0,1.43,0.82,0.34,3.67
234,2025-01-17,锦江在线,600650,41.84,41.23,41.86,40.86,204825,299147898.0,2.35,-2.97,-1.26,5.24
233,2025-01-16,锦江在线,600650,41.19,42.49,44.26,41.11,332071,504165500.0,7.64,3.01,1.24,8.5
232,2025-01-15,锦江在线,600650,41.46,41.25,41.92,40.94,220602,323402479.0,2.33,-1.81,-0.76,5.65
231,2025-01-14,锦江在线,600650,40.56,42.01,42.03,40.1,339475,495827180.0,4.76,3.57,1.45,8.69
230,2025-01-13,锦江在线,600650,40.06,40.56,42.38,39.87,416078,608435021.0,6.15,-0.56,-0.23,10.65
229,2025-01-10,锦江在线,600650,38.12,40.79,40.79,37.7,234853,329708452.0,8.12,7.2,2.74,6.01
228,2025-01-09,锦江在线,600650,37.7,38.05,38.35,37.57,83099,108779521.0,2.06,0.26,0.1,2.13
227,2025-01-08,锦江在线,600650,37.78,37.95,38.05,36.92,113580,146267425.0,2.99,0.34,0.13,2.91
226,2025-01-07,锦江在线,600650,37.32,37.82,37.82,37.15,98351,126138397.0,1.8,1.56,0.58,2.52
225,2025-01-06,锦江在线,600650,37.24,37.24,37.87,36.38,110842,140571448.0,3.97,-0.72,-0.27,2.84
224,2025-01-03,锦江在线,600650,39.39,37.51,39.52,37.45,147403,193883600.0,5.26,-4.77,-1.88,3.77
223,2025-01-02,锦江在线,600650,39.89,39.39,40.37,39.14,113790,158651115.0,3.08,-1.38,-0.55,2.91
222,2024-12-31,锦江在线,600650,41.04,39.94,41.17,39.87,126582,179128479.0,3.17,-2.73,-1.12,3.24
221,2024-12-30,锦江在线,600650,41.8,41.06,41.8,40.65,89538,130154000.0,2.77,-1.23,-0.51,2.29
220,2024-12-27,锦江在线,600650,41.21,41.57,42.01,41.02,117321,173686656.0,2.4,0.97,0.4,3.0
219,2024-12-26,锦江在线,600650,40.92,41.17,41.63,40.86,110890,161579498.0,1.88,0.41,0.17,2.84
218,2024-12-25,锦江在线,600650,42.24,41.0,42.24,40.46,162665,236532785.0,4.2,-3.16,-1.34,4.16
217,2024-12-24,锦江在线,600650,42.57,42.34,43.05,42.03,141906,215262458.0,2.4,-0.54,-0.23,3.63
216,2024-12-23,锦江在线,600650,45.02,42.57,45.06,42.47,175908,273838719.0,5.82,-4.36,-1.94,4.5
215,2024-12-20,锦江在线,600650,43.85,44.51,45.12,43.76,135212,218993148.0,3.09,1.14,0.5,3.46
214,2024-12-19,锦江在线,600650,44.79,44.01,45.2,43.99,182390,293610529.0,2.66,-3.32,-1.51,4.67
213,2024-12-18,锦江在线,600650,44.87,45.52,46.02,44.18,216276,355343181.0,4.1,1.4,0.63,5.54
212,2024-12-17,锦江在线,600650,47.61,44.89,48.13,44.64,270625,457499059.0,7.4,-4.79,-2.26,6.93
211,2024-12-16,锦江在线,600650,48.72,47.15,49.32,47.04,276320,493571321.0,4.62,-4.44,-2.19,7.07
210,2024-12-13,锦江在线,600650,48.34,49.34,51.48,48.09,396157,733079911.0,6.94,1.07,0.52,10.14
209,2024-12-12,锦江在线,600650,48.65,48.82,52.04,47.32,571277,1044676976.0,9.68,0.16,0.08,14.63
208,2024-12-11,锦江在线,600650,45.29,48.74,48.74,45.27,443954,773280902.0,7.66,7.62,3.45,11.37
207,2024-12-10,锦江在线,600650,46.67,45.29,46.88,45.18,314110,526875344.0,3.71,-1.26,-0.58,8.04
206,2024-12-09,锦江在线,600650,44.01,45.87,46.31,44.01,421439,698725070.0,5.23,4.27,1.88,10.79
205,2024-12-06,锦江在线,600650,44.12,43.99,44.26,43.34,195442,309752104.0,2.1,0.23,0.1,5.0
204,2024-12-05,锦江在线,600650,43.53,43.89,43.97,43.32,159942,252625774.0,1.49,0.57,0.25,4.1
203,2024-12-04,锦江在线,600650,44.1,43.64,44.49,43.53,218006,346714094.0,2.17,-1.36,-0.6,5.58
202,2024-12-03,锦江在线,600650,44.43,44.24,44.68,43.82,277472,445569696.0,1.94,-0.16,-0.07,7.1
201,2024-12-02,锦江在线,600650,44.18,44.31,44.45,43.53,281778,450702447.0,2.09,0.77,0.34,7.21
200,2024-11-29,锦江在线,600650,43.8,43.97,44.49,43.22,300642,477762312.0,2.91,0.71,0.31,7.7
199,2024-11-28,锦江在线,600650,44.58,43.66,45.41,43.49,387112,619232200.0,4.27,-2.98,-1.34,9.91
198,2024-11-27,锦江在线,600650,43.76,45.0,46.77,43.76,521857,852047569.0,6.35,-5.02,-2.38,13.36
197,2024-11-26,锦江在线,600650,48.78,47.38,49.39,47.38,175499,311505162.0,3.91,-7.93,-4.08,4.49
196,2024-11-25,锦江在线,600650,55.76,51.46,55.81,51.46,500286,989769307.0,7.77,-8.09,-4.53,12.81
195,2024-11-22,锦江在线,600650,51.5,55.99,55.99,50.01,822878,1703689720.0,11.53,7.94,4.12,21.07
194,2024-11-21,锦江在线,600650,51.23,51.87,51.87,48.72,727357,1404310077.0,6.54,7.77,3.74,18.62
193,2024-11-20,锦江在线,600650,48.13,48.13,48.13,46.63,410344,730540300.0,3.35,7.63,3.41,10.51
192,2024-11-19,锦江在线,600650,40.23,44.72,44.72,40.23,201203,313758909.0,10.79,7.42,3.09,5.15
191,2024-11-18,锦江在线,600650,45.73,41.63,46.02,41.52,612197,962843727.0,10.01,-7.39,-3.32,15.67
190,2024-11-15,锦江在线,600650,41.23,44.95,44.95,41.06,408300,647164683.0,9.3,7.43,3.11,10.45
189,2024-11-14,锦江在线,600650,40.71,41.84,43.74,40.02,411351,616466759.0,9.06,1.95,0.8,10.53
188,2024-11-13,锦江在线,600650,40.81,41.04,41.96,40.19,275937,398668340.0,4.26,-1.23,-0.51,7.07
187,2024-11-12,锦江在线,600650,40.19,41.55,42.76,39.96,429866,626418435.0,7.02,4.11,1.64,11.01
186,2024-11-11,锦江在线,600650,39.29,39.91,39.94,38.68,182433,251372046.0,3.2,1.42,0.56,4.67
185,2024-11-08,锦江在线,600650,39.56,39.35,40.0,39.14,209045,288892412.0,2.2,0.49,0.19,5.35
184,2024-11-07,锦江在线,600650,38.79,39.16,39.33,38.39,192699,259718227.0,2.4,0.05,0.02,4.93
183,2024-11-06,锦江在线,600650,38.58,39.14,39.94,38.18,229031,309234821.0,4.56,1.5,0.58,5.86
182,2024-11-05,锦江在线,600650,38.16,38.56,38.93,37.89,163246,216409620.0,2.75,2.06,0.78,4.18
181,2024-11-04,锦江在线,600650,36.84,37.78,37.99,36.84,133709,171709360.0,3.05,0.16,0.06,3.42
180,2024-11-01,锦江在线,600650,40.27,37.72,40.31,37.72,354520,473537691.0,6.36,-7.39,-3.01,9.08
179,2024-10-31,锦江在线,600650,39.04,40.73,42.01,38.95,450586,644838225.0,7.78,3.56,1.4,11.54
178,2024-10-30,锦江在线,600650,38.93,39.33,39.89,38.3,301889,408346365.0,3.96,-2.09,-0.84,7.73
177,2024-10-29,锦江在线,600650,40.48,40.17,42.07,39.35,456435,645243065.0,6.71,-0.86,-0.35,11.69
176,2024-10-28,锦江在线,600650,38.51,40.52,41.63,38.49,397751,560723518.0,8.08,4.3,1.67,10.18
175,2024-10-25,锦江在线,600650,38.51,38.85,39.29,38.41,180817,243234562.0,2.3,1.6,0.61,4.63
174,2024-10-24,锦江在线,600650,39.04,38.24,39.45,38.24,172140,230979323.0,3.09,-2.35,-0.92,4.41
173,2024-10-23,锦江在线,600650,40.35,39.16,40.35,38.97,268865,368967281.0,3.42,-3.0,-1.21,6.88
172,2024-10-22,锦江在线,600650,39.04,40.37,40.98,38.72,371031,520227858.0,5.77,3.09,1.21,9.5
171,2024-10-21,锦江在线,600650,38.49,39.16,39.45,38.16,294009,396111857.0,3.31,0.54,0.21,7.53
170,2024-10-18,锦江在线,600650,38.72,38.95,39.89,37.89,435400,587529651.0,5.07,-1.17,-0.46,11.15
169,2024-10-17,锦江在线,600650,36.82,39.41,39.41,36.82,382686,498934931.0,7.04,7.09,2.61,9.8
168,2024-10-16,锦江在线,600650,36.4,36.8,37.24,36.23,203063,252750541.0,2.73,-0.57,-0.21,5.2
167,2024-10-15,锦江在线,600650,37.53,37.01,37.84,36.97,227854,290390786.0,2.28,-2.91,-1.11,5.83
166,2024-10-14,锦江在线,600650,36.67,38.12,38.81,35.82,310053,390589922.0,7.87,0.29,0.11,7.94
165,2024-10-11,锦江在线,600650,39.73,38.01,40.71,38.01,290614,392537238.0,6.58,-7.38,-3.03,7.44
164,2024-10-10,锦江在线,600650,44.58,41.04,44.58,39.68,581853,836262848.0,11.42,-4.34,-1.86,14.9
163,2024-10-09,锦江在线,600650,41.02,42.9,42.9,38.95,545238,811645204.0,9.88,7.3,2.92,13.96
162,2024-10-08,锦江在线,600650,39.98,39.98,39.98,38.85,392769,544646079.0,3.03,7.13,2.66,10.06
161,2024-09-30,锦江在线,600650,36.55,37.32,37.32,35.63,408972,509590627.0,4.84,6.93,2.42,10.47
160,2024-09-27,锦江在线,600650,34.46,34.9,35.04,34.23,236665,271153398.0,2.38,2.71,0.92,6.06
159,2024-09-26,锦江在线,600650,32.89,33.98,34.02,32.76,303556,331458500.0,3.83,3.19,1.05,7.77
158,2024-09-25,锦江在线,600650,32.68,32.93,33.79,32.66,303434,327159693.0,3.46,0.76,0.25,7.77
157,2024-09-24,锦江在线,600650,32.28,32.68,32.93,31.82,279167,290089269.0,3.41,0.4,0.13,7.15
156,2024-09-23,锦江在线,600650,32.26,32.55,32.74,32.01,226776,234858878.0,2.25,0.12,0.04,5.81
155,2024-09-20,锦江在线,600650,32.16,32.51,32.66,31.82,272589,281830161.0,2.61,1.15,0.37,6.98
154,2024-09-19,锦江在线,600650,31.7,32.14,32.28,31.13,266968,269766220.0,3.63,1.52,0.48,6.84
153,2024-09-18,锦江在线,600650,31.61,31.66,32.14,31.2,212957,212970041.0,2.97,0.0,0.0,5.45
152,2024-09-13,锦江在线,600650,31.05,31.66,32.01,30.69,337754,334268170.0,4.27,2.33,0.72,8.65
151,2024-09-12,锦江在线,600650,31.49,30.94,31.61,30.94,299391,294136730.0,2.12,-2.12,-0.67,7.67
150,2024-09-11,锦江在线,600650,30.94,31.61,32.37,30.65,429615,426672110.0,5.43,-0.28,-0.09,11.0
149,2024-09-10,锦江在线,600650,31.7,31.7,31.99,31.7,127771,128316286.0,0.85,-6.82,-2.32,3.27
148,2024-09-09,锦江在线,600650,38.24,34.02,38.24,34.02,194745,229201517.0,11.53,-7.07,-2.59,4.99
