,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,金牛化工,600722,20.94,22.0,22.09,20.76,444956,247147336.0,6.35,5.06,1.06,6.54
239,2025-01-24,金牛化工,600722,20.3,20.94,21.45,19.97,289409,155682293.0,7.28,2.95,0.6,4.25
238,2025-01-23,金牛化工,600722,20.2,20.34,21.91,20.2,388540,208759484.0,8.54,1.6,0.32,5.71
237,2025-01-22,金牛化工,600722,20.66,20.02,20.89,19.97,200898,105494297.0,4.4,-4.16,-0.87,2.95
236,2025-01-21,金牛化工,600722,21.45,20.89,22.14,20.53,239265,129477307.0,7.81,1.31,0.27,3.52
235,2025-01-20,金牛化工,600722,21.22,20.62,21.49,20.53,273921,146754760.0,4.48,-3.87,-0.83,4.03
234,2025-01-17,金牛化工,600722,21.95,21.45,22.14,21.31,241503,134087753.0,3.74,-3.29,-0.73,3.55
233,2025-01-16,金牛化工,600722,21.72,22.18,22.41,20.99,370888,205427704.0,6.51,1.7,0.37,5.45
232,2025-01-15,金牛化工,600722,22.32,21.81,22.32,21.68,329305,184450884.0,2.81,-4.26,-0.97,4.84
231,2025-01-14,金牛化工,600722,21.54,22.78,23.52,21.22,582140,329519872.0,10.39,2.89,0.64,8.56
230,2025-01-13,金牛化工,600722,20.16,22.14,22.64,19.97,573384,317748007.0,12.81,6.19,1.29,8.43
229,2025-01-10,金牛化工,600722,20.39,20.85,21.45,19.7,420865,222422809.0,8.62,2.71,0.55,6.19
228,2025-01-09,金牛化工,600722,20.66,20.3,20.99,20.2,263410,139261408.0,3.81,-2.22,-0.46,3.87
227,2025-01-08,金牛化工,600722,20.62,20.76,21.77,20.43,492625,265692645.0,6.25,-3.22,-0.69,7.24
226,2025-01-07,金牛化工,600722,19.93,21.45,22.09,19.61,758601,408599709.0,12.39,7.14,1.43,11.15
225,2025-01-06,金牛化工,600722,17.35,20.02,20.02,16.57,428114,210909528.0,19.32,12.09,2.16,6.29
224,2025-01-03,金牛化工,600722,17.63,17.86,18.64,16.89,247337,116729525.0,10.01,2.12,0.37,3.64
223,2025-01-02,金牛化工,600722,17.67,17.49,18.18,17.26,115426,54187027.0,5.21,-1.02,-0.18,1.7
222,2024-12-31,金牛化工,600722,18.04,17.67,18.32,17.63,91478,43341456.0,3.8,-2.81,-0.51,1.34
221,2024-12-30,金牛化工,600722,18.69,18.18,18.73,18.0,97591,46712074.0,3.92,-2.47,-0.46,1.43
220,2024-12-27,金牛化工,600722,18.13,18.64,18.92,18.09,120014,58539892.0,4.6,3.33,0.6,1.76
219,2024-12-26,金牛化工,600722,18.09,18.04,18.36,18.0,107005,51148856.0,2.0,0.0,0.0,1.57
218,2024-12-25,金牛化工,600722,19.01,18.04,19.1,17.81,142796,68368740.0,6.79,-5.1,-0.97,2.1
217,2024-12-24,金牛化工,600722,18.87,19.01,19.24,18.5,123340,60992399.0,3.9,0.26,0.05,1.81
216,2024-12-23,金牛化工,600722,20.43,18.96,20.57,18.78,184709,93197867.0,8.84,-6.37,-1.29,2.72
215,2024-12-20,金牛化工,600722,19.93,20.25,20.71,19.84,140951,73858084.0,4.37,1.61,0.32,2.07
214,2024-12-19,金牛化工,600722,20.16,19.93,20.57,19.79,170244,88379317.0,3.82,-2.45,-0.5,2.5
213,2024-12-18,金牛化工,600722,20.43,20.43,20.8,20.11,152739,80922091.0,3.36,-0.49,-0.1,2.25
212,2024-12-17,金牛化工,600722,21.81,20.53,21.95,20.43,210698,113742720.0,6.94,-6.3,-1.38,3.1
211,2024-12-16,金牛化工,600722,21.54,21.91,22.27,21.35,213520,119667792.0,4.24,1.06,0.23,3.14
210,2024-12-13,金牛化工,600722,22.64,21.68,22.69,21.58,340938,192041174.0,4.86,-5.04,-1.15,5.01
209,2024-12-12,金牛化工,600722,23.06,22.83,23.19,22.5,351570,203568099.0,3.02,0.0,0.0,5.17
208,2024-12-11,金牛化工,600722,22.55,22.83,23.15,22.14,454293,262495037.0,4.47,1.02,0.23,6.68
207,2024-12-10,金牛化工,600722,22.37,22.6,23.24,22.18,540866,310868567.0,4.76,1.48,0.33,7.95
206,2024-12-09,金牛化工,600722,22.73,22.27,24.07,22.09,578369,335113062.0,8.5,-4.38,-1.02,8.5
205,2024-12-06,金牛化工,600722,21.81,23.29,23.38,21.03,847003,475817301.0,10.77,6.79,1.48,12.45
204,2024-12-05,金牛化工,600722,22.55,21.81,23.65,21.35,878536,494554334.0,10.02,-5.01,-1.15,12.91
203,2024-12-04,金牛化工,600722,25.4,22.96,27.29,22.83,1399706,904737982.0,18.25,-6.06,-1.48,20.57
202,2024-12-03,金牛化工,600722,22.09,24.44,24.44,21.77,841833,497889991.0,12.21,11.8,2.58,12.37
201,2024-12-02,金牛化工,600722,19.24,21.86,21.86,19.24,600290,321488692.0,13.43,12.05,2.35,8.82
200,2024-11-29,金牛化工,600722,18.96,19.51,20.07,18.59,317701,160653295.0,7.81,2.9,0.55,4.67
199,2024-11-28,金牛化工,600722,18.5,18.96,19.28,18.23,212660,105175641.0,5.68,2.49,0.46,3.13
198,2024-11-27,金牛化工,600722,18.73,18.5,18.73,17.54,239987,114243326.0,6.35,-1.23,-0.23,3.53
197,2024-11-26,金牛化工,600722,19.51,18.73,19.7,18.64,345684,172198123.0,5.32,-6.02,-1.2,5.08
196,2024-11-25,金牛化工,600722,19.15,19.93,20.39,18.78,479354,244028901.0,8.29,2.63,0.51,7.05
195,2024-11-22,金牛化工,600722,20.3,19.42,21.86,19.33,679230,361999645.0,12.44,-4.52,-0.92,9.98
194,2024-11-21,金牛化工,600722,20.8,20.34,20.8,19.56,769008,401171596.0,6.32,3.72,0.73,11.3
193,2024-11-20,金牛化工,600722,17.44,19.61,19.61,17.4,133223,67107702.0,12.64,12.12,2.12,1.96
192,2024-11-19,金牛化工,600722,16.8,17.49,17.49,16.75,79297,36024578.0,4.39,3.8,0.64,1.17
191,2024-11-18,金牛化工,600722,17.44,16.85,17.44,16.66,86575,39401613.0,4.57,-1.35,-0.23,1.27
190,2024-11-15,金牛化工,600722,17.31,17.08,17.72,17.08,89728,41419118.0,3.7,-1.33,-0.23,1.32
189,2024-11-14,金牛化工,600722,18.04,17.31,18.04,17.26,103315,48221462.0,4.33,-3.83,-0.69,1.52
188,2024-11-13,金牛化工,600722,17.9,18.0,18.64,17.58,106180,50443741.0,5.98,1.58,0.28,1.56
187,2024-11-12,金牛化工,600722,18.0,17.72,18.36,17.54,133227,63106396.0,4.58,-1.01,-0.18,1.96
186,2024-11-11,金牛化工,600722,17.49,17.9,18.0,17.49,105579,49641596.0,2.88,1.02,0.18,1.55
185,2024-11-08,金牛化工,600722,18.46,17.72,18.46,17.58,114371,53951112.0,4.89,-1.56,-0.28,1.68
184,2024-11-07,金牛化工,600722,17.44,18.0,18.0,17.31,130411,61326089.0,3.92,2.39,0.42,1.92
183,2024-11-06,金牛化工,600722,17.81,17.58,17.81,17.4,98316,45759826.0,2.34,0.23,0.04,1.45
182,2024-11-05,金牛化工,600722,17.31,17.54,17.72,17.26,108740,50610822.0,2.66,1.33,0.23,1.6
181,2024-11-04,金牛化工,600722,17.21,17.31,17.49,17.08,113783,52135354.0,2.34,-1.03,-0.18,1.67
180,2024-11-01,金牛化工,600722,17.49,17.49,18.55,17.44,177795,83793312.0,6.31,-0.51,-0.09,2.61
179,2024-10-31,金牛化工,600722,17.49,17.58,17.77,17.21,145076,67721581.0,3.25,2.15,0.37,2.13
178,2024-10-30,金牛化工,600722,17.03,17.21,17.26,16.8,109497,49827881.0,2.7,1.06,0.18,1.61
177,2024-10-29,金牛化工,600722,17.21,17.03,17.31,16.66,149083,67408167.0,3.78,-1.05,-0.18,2.19
176,2024-10-28,金牛化工,600722,16.57,17.21,17.21,16.52,147573,67012255.0,4.13,2.99,0.5,2.17
175,2024-10-25,金牛化工,600722,16.29,16.71,16.85,16.29,133919,59588354.0,3.45,2.83,0.46,1.97
174,2024-10-24,金牛化工,600722,16.39,16.25,16.43,16.06,124870,54428573.0,2.22,-2.46,-0.41,1.84
173,2024-10-23,金牛化工,600722,15.79,16.66,17.17,15.79,215026,95054795.0,8.66,4.58,0.73,3.16
172,2024-10-22,金牛化工,600722,15.6,15.93,16.06,15.56,85989,36725705.0,3.19,1.79,0.28,1.26
171,2024-10-21,金牛化工,600722,15.65,15.65,15.93,15.47,132576,56217934.0,2.89,-1.76,-0.28,1.95
170,2024-10-18,金牛化工,600722,15.1,15.93,16.75,14.96,166746,70891234.0,11.85,5.5,0.83,2.45
169,2024-10-17,金牛化工,600722,15.51,15.1,15.7,15.05,67819,28316182.0,4.22,-2.08,-0.32,1.0
168,2024-10-16,金牛化工,600722,15.1,15.42,15.47,15.1,60448,25219010.0,2.43,1.18,0.18,0.89
