,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中国高科,600730,26.53,26.29,27.02,26.29,177088,111937381.0,2.81,1.08,0.28,3.02
239,2025-01-24,中国高科,600730,25.56,26.01,26.13,25.36,107064,65268401.0,3.01,1.76,0.45,1.82
238,2025-01-23,中国高科,600730,25.56,25.56,26.17,25.56,120434,73827846.0,2.4,0.63,0.16,2.05
237,2025-01-22,中国高科,600730,25.56,25.4,26.05,25.2,86067,52175109.0,3.3,-1.44,-0.37,1.47
236,2025-01-21,中国高科,600730,26.05,25.77,26.13,25.52,111933,68141175.0,2.35,-0.77,-0.2,1.91
235,2025-01-20,中国高科,600730,26.77,25.97,27.02,25.77,189539,117444050.0,4.82,0.15,0.04,3.23
234,2025-01-17,中国高科,600730,25.81,25.93,26.09,25.52,86518,52942972.0,2.21,0.31,0.08,1.47
233,2025-01-16,中国高科,600730,25.77,25.85,26.33,25.6,151518,93107611.0,2.8,-0.92,-0.24,2.58
232,2025-01-15,中国高科,600730,24.84,26.09,26.33,24.84,227624,139027299.0,5.97,4.53,1.13,3.88
231,2025-01-14,中国高科,600730,23.83,24.96,25.0,23.79,118846,68862179.0,5.09,5.09,1.21,2.03
230,2025-01-13,中国高科,600730,23.23,23.75,24.07,22.94,104550,57948351.0,4.77,0.17,0.04,1.78
229,2025-01-10,中国高科,600730,24.35,23.71,24.8,23.63,109630,62774899.0,4.79,-2.99,-0.73,1.87
228,2025-01-09,中国高科,600730,23.99,24.44,24.6,23.83,99297,56982007.0,3.2,1.71,0.41,1.69
227,2025-01-08,中国高科,600730,24.35,24.03,24.44,23.23,121605,68372668.0,4.98,-1.15,-0.28,2.07
226,2025-01-07,中国高科,600730,23.43,24.31,24.31,23.35,126157,70877595.0,4.1,3.76,0.88,2.15
225,2025-01-06,中国高科,600730,24.15,23.43,24.23,23.23,146426,81339906.0,4.1,-3.94,-0.96,2.5
224,2025-01-03,中国高科,600730,25.48,24.39,25.69,24.19,198097,115482443.0,5.9,-4.13,-1.05,3.38
223,2025-01-02,中国高科,600730,25.73,25.44,26.33,25.24,175254,106848745.0,4.26,-0.63,-0.16,2.99
222,2024-12-31,中国高科,600730,26.45,25.6,26.77,25.56,147121,90012330.0,4.58,-3.07,-0.81,2.51
221,2024-12-30,中国高科,600730,27.02,26.41,27.22,26.01,206857,129533207.0,4.46,-2.55,-0.69,3.53
220,2024-12-27,中国高科,600730,27.62,27.1,28.14,27.1,442624,289465823.0,3.77,-1.88,-0.52,7.54
219,2024-12-26,中国高科,600730,25.12,27.62,27.62,25.12,441057,283125989.0,9.92,9.6,2.42,7.52
218,2024-12-25,中国高科,600730,25.64,25.2,25.69,24.48,139532,82125601.0,4.72,-1.72,-0.44,2.38
217,2024-12-24,中国高科,600730,25.77,25.64,26.01,25.08,142710,85963172.0,3.64,0.31,0.08,2.43
216,2024-12-23,中国高科,600730,27.62,25.56,27.7,25.52,234999,145748858.0,7.88,-7.59,-2.1,4.01
215,2024-12-20,中国高科,600730,27.5,27.66,28.1,27.34,122306,80168118.0,2.76,0.58,0.16,2.08
214,2024-12-19,中国高科,600730,27.18,27.5,27.74,26.77,141516,91225402.0,3.5,-0.72,-0.2,2.41
213,2024-12-18,中国高科,600730,27.42,27.7,28.39,26.69,216212,142381282.0,6.25,1.91,0.52,3.69
212,2024-12-17,中国高科,600730,29.43,27.18,29.43,27.14,281256,185216253.0,7.75,-8.05,-2.38,4.79
211,2024-12-16,中国高科,600730,29.35,29.56,29.92,29.27,230776,162735941.0,2.24,1.69,0.49,3.93
210,2024-12-13,中国高科,600730,29.6,29.07,29.72,28.99,164245,114792635.0,2.45,-2.45,-0.73,2.8
209,2024-12-12,中国高科,600730,29.68,29.8,30.04,29.23,195401,137876863.0,2.72,0.13,0.04,3.33
208,2024-12-11,中国高科,600730,29.6,29.76,29.76,29.35,199259,139981923.0,1.38,0.13,0.04,3.4
207,2024-12-10,中国高科,600730,30.6,29.72,31.05,29.6,304024,219028122.0,4.83,-0.93,-0.28,5.18
206,2024-12-09,中国高科,600730,30.04,30.0,30.6,29.48,253435,180469204.0,3.68,-1.45,-0.44,4.32
205,2024-12-06,中国高科,600730,30.2,30.44,31.37,29.92,314152,229346286.0,4.83,1.47,0.44,5.35
204,2024-12-05,中国高科,600730,29.35,30.0,30.2,29.15,231495,164527177.0,3.56,1.63,0.48,3.95
203,2024-12-04,中国高科,600730,30.36,29.52,30.36,29.15,357890,252544606.0,3.93,-4.06,-1.25,6.1
202,2024-12-03,中国高科,600730,28.79,30.77,31.45,28.51,545477,387314248.0,10.2,6.73,1.94,9.3
201,2024-12-02,中国高科,600730,28.67,28.83,29.03,28.47,288282,196545662.0,1.96,0.7,0.2,4.91
