,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,长江传媒,600757,85.2,85.82,86.35,84.67,96949,87608677.0,1.99,1.67,1.41,0.8
239,2025-01-24,长江传媒,600757,82.82,84.41,85.38,80.62,130655,115641393.0,5.73,1.59,1.32,1.08
238,2025-01-23,长江传媒,600757,81.94,83.09,83.53,81.59,118134,102796105.0,2.39,2.29,1.86,0.97
237,2025-01-22,长江传媒,600757,81.41,81.23,81.5,80.35,88539,75127661.0,1.41,-0.65,-0.53,0.73
236,2025-01-21,长江传媒,600757,82.73,81.76,82.82,81.32,80958,69551140.0,1.82,-0.86,-0.71,0.67
235,2025-01-20,长江传媒,600757,82.91,82.47,83.53,82.29,71336,62106940.0,1.51,0.11,0.09,0.59
234,2025-01-17,长江传媒,600757,81.67,82.38,83.0,81.41,76887,66496499.0,1.93,-0.11,-0.09,0.63
233,2025-01-16,长江传媒,600757,83.0,82.47,83.97,81.85,103990,90381124.0,2.56,-0.53,-0.44,0.86
232,2025-01-15,长江传媒,600757,82.91,82.91,84.14,82.03,105221,92079623.0,2.54,-0.11,-0.09,0.87
231,2025-01-14,长江传媒,600757,80.53,83.0,83.0,80.35,186922,160465903.0,3.29,3.07,2.47,1.54
230,2025-01-13,长江传媒,600757,80.18,80.53,80.71,78.85,168628,140631919.0,2.3,-0.32,-0.26,1.39
229,2025-01-10,长江传媒,600757,82.47,80.79,83.0,80.71,181559,155507892.0,2.75,-2.86,-2.38,1.5
228,2025-01-09,长江传媒,600757,85.29,83.17,85.82,83.17,159982,141096268.0,3.08,-3.48,-3.0,1.32
227,2025-01-08,长江传媒,600757,85.47,86.17,86.79,83.7,140660,126681263.0,3.6,0.41,0.35,1.16
226,2025-01-07,长江传媒,600757,87.05,85.82,87.05,85.2,125606,113628327.0,2.13,-1.41,-1.23,1.04
225,2025-01-06,长江传媒,600757,87.76,87.05,89.08,86.0,193060,177607960.0,3.5,-1.2,-1.06,1.59
