,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,水井坊,600779,228.93,227.76,232.36,227.68,32614,152571716.0,2.05,-0.33,-0.76,0.67
239,2025-01-24,水井坊,600779,228.56,228.52,230.42,227.23,32789,152615593.0,1.38,-0.84,-1.94,0.67
238,2025-01-23,水井坊,600779,231.39,230.46,235.59,230.34,33724,160028443.0,2.29,0.42,0.97,0.69
237,2025-01-22,水井坊,600779,232.08,229.49,233.49,229.29,28836,135504851.0,1.8,-1.78,-4.16,0.59
236,2025-01-21,水井坊,600779,237.77,233.65,238.06,231.92,32892,157399934.0,2.6,-1.03,-2.43,0.67
235,2025-01-20,水井坊,600779,236.08,236.08,238.5,233.73,48115,232969589.0,2.04,0.99,2.31,0.99
234,2025-01-17,水井坊,600779,232.36,233.77,234.87,230.66,40059,191210661.0,1.81,0.73,1.69,0.82
233,2025-01-16,水井坊,600779,230.99,232.08,236.36,229.94,37105,176762615.0,2.77,0.18,0.41,0.76
232,2025-01-15,水井坊,600779,230.7,231.67,233.61,230.7,32754,155438900.0,1.25,-0.33,-0.77,0.67
231,2025-01-14,水井坊,600779,226.1,232.44,232.44,226.1,53612,252157370.0,2.81,2.97,6.7,1.1
230,2025-01-13,水井坊,600779,221.94,225.74,226.22,221.66,26908,122551899.0,2.03,0.7,1.58,0.55
229,2025-01-10,水井坊,600779,228.08,224.16,229.94,224.12,31521,145321323.0,2.54,-2.05,-4.69,0.65
228,2025-01-09,水井坊,600779,226.22,228.85,231.27,225.74,37791,176326746.0,2.44,0.78,1.78,0.78
227,2025-01-08,水井坊,600779,228.48,227.07,229.57,222.51,41280,189988256.0,3.09,-0.67,-1.53,0.85
226,2025-01-07,水井坊,600779,226.1,228.6,228.64,224.69,39657,183051092.0,1.75,1.4,3.15,0.81
225,2025-01-06,水井坊,600779,226.46,225.45,230.38,223.56,66374,306035377.0,2.92,-3.6,-8.41,1.36
224,2025-01-03,水井坊,600779,244.64,233.86,246.62,233.29,75106,368420586.0,5.45,-4.41,-10.78,1.54
223,2025-01-02,水井坊,600779,255.51,244.64,255.51,242.98,70686,363976216.0,4.88,-4.75,-12.2,1.45
222,2024-12-31,水井坊,600779,256.84,256.84,262.82,256.64,53945,292631710.0,2.41,-0.02,-0.04,1.11
221,2024-12-30,水井坊,600779,259.87,256.88,260.43,256.35,34210,183929025.0,1.57,-1.33,-3.47,0.7
220,2024-12-27,水井坊,600779,258.9,260.35,261.77,257.57,40363,218805586.0,1.62,0.39,1.01,0.83
219,2024-12-26,水井坊,600779,260.31,259.34,261.0,258.37,35793,193828694.0,1.01,-0.37,-0.97,0.73
218,2024-12-25,水井坊,600779,258.37,260.31,260.31,256.35,39889,215700361.0,1.53,0.81,2.1,0.82
217,2024-12-24,水井坊,600779,256.96,258.21,258.78,256.15,38549,206826178.0,1.02,0.02,0.04,0.79
216,2024-12-23,水井坊,600779,261.4,258.17,262.74,257.57,41485,225232001.0,1.98,-1.3,-3.39,0.85
215,2024-12-20,水井坊,600779,260.84,261.56,263.87,259.54,42143,230564802.0,1.66,0.18,0.48,0.86
214,2024-12-19,水井坊,600779,264.03,261.08,264.03,257.89,61020,331839915.0,2.31,-1.7,-4.52,1.25
213,2024-12-18,水井坊,600779,266.98,265.6,268.79,264.8,42651,237771366.0,1.5,-0.35,-0.93,0.87
212,2024-12-17,水井坊,600779,264.96,266.53,271.3,264.03,66483,373574993.0,2.74,0.55,1.45,1.36
211,2024-12-16,水井坊,600779,271.3,265.08,272.51,263.38,82712,464772817.0,3.36,-2.39,-6.5,1.7
210,2024-12-13,水井坊,600779,277.36,271.58,277.84,271.54,96491,557904756.0,2.25,-3.17,-8.89,1.98
209,2024-12-12,水井坊,600779,275.74,280.47,282.61,273.32,118965,699448546.0,3.33,0.68,1.9,2.44
208,2024-12-11,水井坊,600779,275.78,278.57,285.68,275.74,119645,708449476.0,3.57,0.12,0.32,2.45
207,2024-12-10,水井坊,600779,290.53,278.25,291.09,277.92,168125,1015872176.0,4.75,0.39,1.09,3.45
206,2024-12-09,水井坊,600779,273.44,277.16,281.07,270.94,107538,630330880.0,3.7,1.27,3.48,2.21
205,2024-12-06,水井坊,600779,271.42,273.68,277.44,270.29,88556,512102056.0,2.63,0.83,2.26,1.82
204,2024-12-05,水井坊,600779,273.16,271.42,273.16,267.26,85911,487798202.0,2.16,-0.74,-2.02,1.76
203,2024-12-04,水井坊,600779,277.16,273.44,278.93,272.67,86296,501307475.0,2.25,-1.51,-4.2,1.77
202,2024-12-03,水井坊,600779,276.55,277.64,278.97,274.21,85003,496589258.0,1.71,-0.12,-0.32,1.74
201,2024-12-02,水井坊,600779,278.97,277.96,283.01,275.26,146996,864314535.0,2.74,-1.73,-4.89,3.01
200,2024-11-29,水井坊,600779,283.62,282.85,291.01,278.97,176647,1066102028.0,4.31,1.33,3.72,3.62
199,2024-11-28,水井坊,600779,283.01,279.13,287.62,278.37,142937,855934151.0,3.24,-2.14,-6.1,2.93
198,2024-11-27,水井坊,600779,266.45,285.23,290.73,262.7,216751,1275550355.0,10.46,6.43,17.24,4.44
197,2024-11-26,水井坊,600779,264.03,267.99,274.89,261.2,124490,704577990.0,5.18,1.39,3.68,2.55
196,2024-11-25,水井坊,600779,252.11,264.31,273.72,252.11,139251,773372237.0,8.48,3.76,9.57,2.85
195,2024-11-22,水井坊,600779,262.82,254.74,265.64,254.33,85499,465137305.0,4.28,-3.5,-9.25,1.75
194,2024-11-21,水井坊,600779,266.05,263.99,267.26,261.32,94169,519835681.0,2.22,-1.15,-3.07,1.93
193,2024-11-20,水井坊,600779,255.26,267.06,267.26,254.74,132802,727384142.0,4.87,3.79,9.74,2.72
192,2024-11-19,水井坊,600779,251.91,257.32,257.36,248.88,96377,508081513.0,3.37,2.15,5.41,1.97
191,2024-11-18,水井坊,600779,259.99,251.91,263.06,250.7,112325,598934245.0,4.75,-3.11,-8.08,2.3
190,2024-11-15,水井坊,600779,267.95,259.99,271.66,259.38,136880,762247053.0,4.57,-3.26,-8.76,2.8
189,2024-11-14,水井坊,600779,282.2,268.75,282.61,267.54,197492,1143834954.0,5.26,-6.18,-17.7,4.04
188,2024-11-13,水井坊,600779,283.01,286.45,296.46,280.18,197598,1218865944.0,5.66,-0.43,-1.25,4.05
187,2024-11-12,水井坊,600779,283.34,287.7,296.46,275.74,239407,1454529760.0,7.32,1.67,4.73,4.9
186,2024-11-11,水井坊,600779,259.99,282.97,287.98,258.98,244678,1419472308.0,10.67,4.1,11.15,5.01
185,2024-11-08,水井坊,600779,287.62,271.82,287.62,271.7,352346,2084167309.0,6.0,2.51,6.66,7.21
184,2024-11-07,水井坊,600779,244.8,265.16,265.16,242.82,138576,749787260.0,9.13,8.33,20.4,2.84
183,2024-11-06,水井坊,600779,234.1,244.76,250.7,233.73,190596,942181378.0,7.16,3.22,7.63,3.9
182,2024-11-05,水井坊,600779,231.31,237.13,238.54,230.95,177782,856216267.0,3.2,0.0,0.0,3.64
