,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,轻纺城,600790,50.75,51.1,51.56,50.63,124725,44866071.0,1.84,0.93,0.47,0.85
239,2025-01-24,轻纺城,600790,50.52,50.63,50.63,50.05,101385,35755672.0,1.15,0.46,0.23,0.69
238,2025-01-23,轻纺城,600790,50.4,50.4,50.98,50.28,108631,38612089.0,1.4,0.7,0.35,0.74
237,2025-01-22,轻纺城,600790,50.63,50.05,50.75,49.94,92536,32516628.0,1.6,-1.15,-0.58,0.63
236,2025-01-21,轻纺城,600790,50.98,50.63,51.21,50.52,96544,34448659.0,1.36,-0.47,-0.24,0.66
235,2025-01-20,轻纺城,600790,50.98,50.87,51.45,50.28,115367,41251818.0,2.31,0.47,0.24,0.79
234,2025-01-17,轻纺城,600790,50.98,50.63,51.1,50.4,97843,34831442.0,1.37,-0.92,-0.47,0.67
233,2025-01-16,轻纺城,600790,50.28,51.1,51.45,50.17,159673,57173697.0,2.55,1.85,0.93,1.09
232,2025-01-15,轻纺城,600790,50.28,50.17,50.63,49.82,87771,30823838.0,1.61,-0.46,-0.23,0.6
231,2025-01-14,轻纺城,600790,49.24,50.4,50.4,49.12,111257,38869973.0,2.61,2.61,1.28,0.76
230,2025-01-13,轻纺城,600790,49.12,49.12,49.24,48.54,105402,35873335.0,1.42,-0.24,-0.12,0.72
229,2025-01-10,轻纺城,600790,50.63,49.24,50.75,49.24,128688,44851288.0,2.99,-2.53,-1.28,0.88
228,2025-01-09,轻纺城,600790,51.21,50.52,51.21,50.4,101770,36253215.0,1.58,-1.35,-0.69,0.69
227,2025-01-08,轻纺城,600790,51.1,51.21,51.56,50.28,173562,62065783.0,2.5,0.0,0.0,1.18
226,2025-01-07,轻纺城,600790,51.1,51.21,51.33,50.63,112659,40303425.0,1.37,0.22,0.11,0.77
225,2025-01-06,轻纺城,600790,51.21,51.1,51.56,50.17,160517,57465928.0,2.71,-0.21,-0.11,1.1
224,2025-01-03,轻纺城,600790,54.35,51.21,54.46,51.1,310411,114404460.0,6.21,-5.38,-2.91,2.12
223,2025-01-02,轻纺城,600790,52.84,54.12,56.55,52.84,442207,172740818.0,7.01,2.19,1.16,3.02
222,2024-12-31,轻纺城,600790,53.77,52.96,54.23,52.84,145982,55524761.0,2.59,-1.29,-0.69,1.0
221,2024-12-30,轻纺城,600790,54.35,53.65,54.46,52.96,178561,67833156.0,2.75,-1.7,-0.93,1.22
220,2024-12-27,轻纺城,600790,54.23,54.58,54.93,54.0,178163,69245557.0,1.72,0.85,0.46,1.22
219,2024-12-26,轻纺城,600790,54.0,54.12,54.58,53.77,118394,45586491.0,1.5,0.45,0.24,0.81
218,2024-12-25,轻纺城,600790,54.58,53.88,54.7,53.42,129030,49433145.0,2.35,-1.28,-0.7,0.88
217,2024-12-24,轻纺城,600790,54.35,54.58,54.81,53.88,136560,52856415.0,1.71,0.65,0.35,0.93
216,2024-12-23,轻纺城,600790,56.32,54.23,56.32,54.0,211691,82993544.0,4.13,-3.52,-1.98,1.44
215,2024-12-20,轻纺城,600790,56.44,56.21,56.9,55.86,140948,56929442.0,1.84,-0.6,-0.34,0.96
214,2024-12-19,轻纺城,600790,57.02,56.55,57.14,56.09,125064,50699511.0,1.84,-1.03,-0.59,0.85
213,2024-12-18,轻纺城,600790,57.48,57.14,57.72,56.79,167551,69004223.0,1.62,-0.59,-0.34,1.14
212,2024-12-17,轻纺城,600790,59.57,57.48,59.69,57.37,322923,135304681.0,3.87,-4.07,-2.44,2.2
211,2024-12-16,轻纺城,600790,59.46,59.92,61.43,59.23,337728,148057228.0,3.73,1.58,0.93,2.3
210,2024-12-13,轻纺城,600790,60.27,58.99,60.39,58.88,267863,115806434.0,2.5,-2.5,-1.51,1.83
209,2024-12-12,轻纺城,600790,59.34,60.5,60.73,58.64,342581,149095965.0,3.53,2.14,1.27,2.34
208,2024-12-11,轻纺城,600790,57.48,59.23,59.23,57.37,268411,113664645.0,3.24,3.24,1.86,1.83
207,2024-12-10,轻纺城,600790,58.76,57.37,59.11,57.25,197777,82473362.0,3.24,-0.19,-0.11,1.35
206,2024-12-09,轻纺城,600790,58.41,57.48,58.76,57.25,177629,74061237.0,2.59,-1.59,-0.93,1.21
205,2024-12-06,轻纺城,600790,57.83,58.41,58.53,57.6,149426,62789655.0,1.61,1.0,0.58,1.02
204,2024-12-05,轻纺城,600790,58.06,57.83,58.3,57.25,165069,68768627.0,1.81,-0.4,-0.23,1.13
203,2024-12-04,轻纺城,600790,57.95,58.06,59.69,57.83,278890,118451604.0,3.17,-1.19,-0.7,1.9
202,2024-12-03,轻纺城,600790,57.02,58.76,60.97,56.9,467224,199664862.0,7.14,3.05,1.74,3.19
201,2024-12-02,轻纺城,600790,55.97,57.02,57.37,55.97,211805,86444706.0,2.5,1.88,1.05,1.44
200,2024-11-29,轻纺城,600790,55.86,55.97,56.32,55.51,170298,68169793.0,1.45,0.0,0.0,1.16
199,2024-11-28,轻纺城,600790,54.7,55.97,56.32,54.58,257506,102732824.0,3.19,2.55,1.39,1.76
198,2024-11-27,轻纺城,600790,54.0,54.58,54.58,52.96,130354,49796448.0,2.99,0.85,0.46,0.89
197,2024-11-26,轻纺城,600790,54.35,54.12,54.7,53.88,120545,46575322.0,1.51,-0.42,-0.23,0.82
196,2024-11-25,轻纺城,600790,54.7,54.35,55.28,54.0,193855,75225970.0,2.34,-0.64,-0.35,1.32
195,2024-11-22,轻纺城,600790,55.63,54.7,56.55,54.46,283937,113293726.0,3.76,-1.67,-0.93,1.94
194,2024-11-21,轻纺城,600790,54.93,55.63,55.63,54.58,215070,84593073.0,1.9,0.63,0.35,1.47
193,2024-11-20,轻纺城,600790,54.7,55.28,56.09,54.12,362750,142252349.0,3.57,0.22,0.12,2.47
192,2024-11-19,轻纺城,600790,53.65,55.16,55.16,53.65,331086,127973809.0,2.83,3.26,1.74,2.26
191,2024-11-18,轻纺城,600790,52.84,53.42,54.35,52.72,264551,100553709.0,3.11,1.77,0.93,1.8
190,2024-11-15,轻纺城,600790,52.72,52.49,53.07,52.37,148212,55374383.0,1.34,0.44,0.23,1.01
189,2024-11-14,轻纺城,600790,52.96,52.26,53.07,52.14,102449,38069577.0,1.75,-1.53,-0.81,0.7
188,2024-11-13,轻纺城,600790,52.84,53.07,53.42,52.37,132283,49592048.0,1.99,0.44,0.23,0.9
187,2024-11-12,轻纺城,600790,53.19,52.84,53.54,52.49,135300,50974478.0,1.97,-0.86,-0.46,0.92
186,2024-11-11,轻纺城,600790,52.96,53.3,53.54,52.61,137984,51791747.0,1.75,0.21,0.11,0.94
185,2024-11-08,轻纺城,600790,54.46,53.19,54.58,52.96,196135,74487870.0,2.99,-1.92,-1.04,1.34
184,2024-11-07,轻纺城,600790,52.84,54.23,54.23,52.49,207245,78880563.0,3.29,2.4,1.27,1.41
183,2024-11-06,轻纺城,600790,52.37,52.96,53.07,51.68,174539,64857840.0,2.66,1.34,0.7,1.19
