,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,山西汾酒,600809,760.29,756.45,764.42,752.24,24028,416279702.0,1.6,-0.48,-3.68,0.2
239,2025-01-24,山西汾酒,600809,758.45,760.13,768.26,756.29,40116,698768920.0,1.57,-0.45,-3.45,0.33
238,2025-01-23,山西汾酒,600809,767.26,763.58,777.15,759.33,48177,855864106.0,2.34,0.35,2.65,0.39
237,2025-01-22,山西汾酒,600809,771.54,760.93,772.26,754.69,40931,722975943.0,2.27,-1.75,-13.54,0.34
236,2025-01-21,山西汾酒,600809,787.28,774.47,787.88,771.02,39771,716394717.0,2.15,-1.28,-10.01,0.33
235,2025-01-20,山西汾酒,600809,776.15,784.48,795.21,776.15,65130,1192246214.0,2.48,1.95,14.98,0.53
234,2025-01-17,山西汾酒,600809,766.78,769.5,782.99,766.78,48994,881127683.0,2.11,0.14,1.04,0.4
233,2025-01-16,山西汾酒,600809,778.47,768.46,785.28,763.26,38740,694559898.0,2.84,-1.01,-7.81,0.32
232,2025-01-15,山西汾酒,600809,775.47,776.27,781.27,764.9,41510,745751165.0,2.1,-0.31,-2.44,0.34
231,2025-01-14,山西汾酒,600809,751.24,778.71,779.23,749.6,76972,1378649004.0,3.95,3.9,29.23,0.63
230,2025-01-13,山西汾酒,600809,738.15,749.48,753.89,736.07,58594,1012581446.0,2.41,1.17,8.69,0.48
229,2025-01-10,山西汾酒,600809,747.24,740.79,751.52,737.95,41460,713827995.0,1.81,-0.92,-6.89,0.34
228,2025-01-09,山西汾酒,600809,741.55,747.68,759.85,735.59,51512,894067914.0,3.27,0.83,6.17,0.42
227,2025-01-08,山西汾酒,600809,751.12,741.51,755.21,735.63,48095,829466011.0,2.61,-1.26,-9.49,0.39
226,2025-01-07,山西汾酒,600809,752.08,751.0,759.97,745.48,37305,648478125.0,1.93,-0.14,-1.04,0.31
225,2025-01-06,山西汾酒,600809,759.61,752.04,766.06,745.24,69795,1220052716.0,2.71,-1.98,-15.22,0.57
224,2025-01-03,山西汾酒,600809,767.26,767.26,777.59,763.26,56724,1014909815.0,1.87,0.01,0.08,0.46
223,2025-01-02,山西汾酒,600809,788.28,767.18,791.28,763.26,89257,1600761357.0,3.54,-3.15,-24.94,0.73
222,2024-12-31,山西汾酒,600809,797.29,792.12,807.3,791.68,61554,1145172716.0,1.95,-0.86,-6.89,0.5
221,2024-12-30,山西汾酒,600809,807.3,799.01,810.62,797.09,47820,891931310.0,1.68,-0.92,-7.45,0.39
220,2024-12-27,山西汾酒,600809,809.94,806.46,814.51,803.62,44708,840366142.0,1.34,-0.56,-4.56,0.37
219,2024-12-26,山西汾酒,600809,810.82,811.02,816.11,804.9,30179,570676726.0,1.38,0.02,0.2,0.25
218,2024-12-25,山西汾酒,600809,815.27,810.82,817.51,804.9,48711,919489979.0,1.55,-0.32,-2.57,0.4
217,2024-12-24,山西汾酒,600809,808.94,813.39,817.27,805.34,51005,963954692.0,1.47,0.56,4.49,0.42
216,2024-12-23,山西汾酒,600809,826.84,808.9,828.92,807.38,62838,1196424975.0,2.61,-1.99,-16.42,0.52
215,2024-12-20,山西汾酒,600809,828.24,825.32,834.49,823.15,38897,751578252.0,1.37,-0.35,-2.92,0.32
214,2024-12-19,山西汾酒,600809,831.24,828.24,836.25,821.71,48678,940727078.0,1.74,-0.95,-7.93,0.4
