,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,益民集团,600824,120.59,115.29,121.31,114.81,602203,284331682.0,5.42,-3.81,-4.57,5.71
239,2025-01-24,益民集团,600824,117.46,119.86,120.35,116.01,702566,335751382.0,3.66,1.01,1.2,6.67
238,2025-01-23,益民集团,600824,124.2,118.66,126.12,117.46,1005276,493398782.0,7.05,-3.33,-4.09,9.54
237,2025-01-22,益民集团,600824,129.49,122.75,129.73,121.55,1244359,628045147.0,6.2,-6.94,-9.15,11.81
236,2025-01-21,益民集团,600824,126.6,131.9,133.58,126.36,1508697,801278751.0,5.7,4.19,5.3,14.31
235,2025-01-20,益民集团,600824,128.05,126.6,130.93,125.16,1080165,558695272.0,4.61,1.15,1.44,10.25
234,2025-01-17,益民集团,600824,131.66,125.16,132.62,124.2,1482150,762159483.0,6.26,-6.97,-9.38,14.06
233,2025-01-16,益民集团,600824,130.45,134.54,139.84,128.05,2155405,1158621668.0,9.1,3.9,5.05,20.45
232,2025-01-15,益民集团,600824,129.25,129.49,141.28,125.16,2490935,1331563432.0,12.52,0.56,0.72,23.63
231,2025-01-14,益民集团,600824,117.94,128.77,128.77,116.25,1752488,888943901.0,10.66,9.63,11.31,16.63
230,2025-01-13,益民集团,600824,111.2,117.46,123.23,107.83,1385625,641087665.0,13.22,0.83,0.97,13.15
229,2025-01-10,益民集团,600824,128.05,116.49,129.25,116.25,1627037,798660313.0,10.1,-9.54,-12.28,15.44
228,2025-01-09,益民集团,600824,134.54,128.77,136.47,126.12,2261453,1194934604.0,7.6,-5.48,-7.46,21.46
227,2025-01-08,益民集团,600824,120.1,136.23,136.23,119.14,1693732,896076126.0,13.76,9.69,12.03,16.07
226,2025-01-07,益民集团,600824,124.2,124.2,124.2,124.2,338403,169878306.0,0.0,-9.78,-13.47,3.21
225,2025-01-06,益民集团,600824,131.17,137.67,146.57,129.01,3086629,1766538888.0,13.15,3.06,4.09,29.28
224,2025-01-03,益民集团,600824,122.51,133.58,133.58,110.0,2509640,1234965820.0,19.36,9.68,11.79,23.81
223,2025-01-02,益民集团,600824,110.96,121.79,121.79,110.0,2002999,970167230.0,10.63,9.76,10.83,19.0
222,2024-12-31,益民集团,600824,113.13,110.96,117.7,110.72,1038822,480028485.0,6.13,-2.54,-2.89,9.86
221,2024-12-30,益民集团,600824,115.53,113.85,118.42,111.68,912686,418743028.0,5.83,-1.45,-1.68,8.66
220,2024-12-27,益民集团,600824,115.29,115.53,119.86,113.61,1239578,585759902.0,5.29,-2.24,-2.65,11.76
219,2024-12-26,益民集团,600824,111.92,118.18,120.59,111.68,1464750,684487376.0,7.83,3.8,4.33,13.9
218,2024-12-25,益民集团,600824,116.01,113.85,120.35,108.55,1617965,741238677.0,10.05,-3.07,-3.61,15.35
217,2024-12-24,益民集团,600824,122.51,117.46,123.47,115.53,1914072,915259497.0,6.24,-7.74,-9.86,18.16
216,2024-12-23,益民集团,600824,127.32,127.32,131.41,127.32,1687276,872191962.0,2.9,-9.73,-13.72,16.01
215,2024-12-20,益民集团,600824,141.04,141.04,141.04,141.04,508972,291131984.0,0.0,-9.71,-15.16,4.83
214,2024-12-19,益民集团,600824,179.06,156.2,187.24,156.2,3037371,2028575650.0,17.94,-9.74,-16.85,28.82
213,2024-12-18,益民集团,600824,162.94,173.05,173.05,159.81,1934467,1329859960.0,8.4,9.78,15.41,18.35
212,2024-12-17,益民集团,600824,157.64,157.64,157.64,154.52,2094542,1341987161.0,2.17,9.71,13.95,19.87
211,2024-12-16,益民集团,600824,143.69,143.69,143.69,143.69,95823,55864844.0,0.0,9.75,12.76,0.91
210,2024-12-13,益民集团,600824,130.93,130.93,130.93,126.12,754718,398712446.0,4.03,9.67,11.55,7.16
209,2024-12-12,益民集团,600824,118.9,119.38,119.38,111.68,957430,449634560.0,7.08,9.73,10.59,9.08
208,2024-12-11,益民集团,600824,102.06,108.79,108.79,102.06,698708,301373653.0,6.79,9.7,9.62,6.63
207,2024-12-10,益民集团,600824,100.85,99.17,101.33,98.93,236379,95185647.0,2.44,0.73,0.72,2.24
206,2024-12-09,益民集团,600824,100.61,98.45,101.33,97.72,153873,61282723.0,3.57,-2.61,-2.64,1.46
205,2024-12-06,益民集团,600824,98.45,101.09,101.09,97.48,197190,78976700.0,3.67,2.68,2.64,1.87
204,2024-12-05,益民集团,600824,97.97,98.45,98.69,97.0,106625,41844822.0,1.72,0.0,0.0,1.01
203,2024-12-04,益民集团,600824,99.17,98.45,100.85,97.48,167543,66623359.0,3.38,-1.2,-1.2,1.59
202,2024-12-03,益民集团,600824,100.85,99.65,101.58,98.45,208314,83520177.0,3.1,-1.42,-1.44,1.98
201,2024-12-02,益民集团,600824,98.69,101.09,102.06,98.69,248122,99983230.0,3.41,2.18,2.16,2.35
200,2024-11-29,益民集团,600824,98.21,98.93,99.89,97.72,259516,102883526.0,2.2,0.24,0.24,2.46
199,2024-11-28,益民集团,600824,94.84,98.69,102.06,94.84,437638,172761017.0,7.65,4.59,4.33,4.15
198,2024-11-27,益民集团,600824,93.39,94.36,94.36,90.02,192672,71269601.0,4.64,0.78,0.73,1.83
