,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,上海机电,600835,65.36,66.21,66.57,65.11,124860,223222051.0,2.23,1.04,0.68,1.55
240,2025-01-23,上海机电,600835,66.05,65.53,67.63,65.36,178243,321355754.0,3.45,-0.49,-0.32,2.21
239,2025-01-22,上海机电,600835,64.59,65.85,67.2,64.02,249302,442019304.0,4.9,1.43,0.93,3.09
238,2025-01-21,上海机电,600835,64.35,64.92,65.44,62.95,199596,344222369.0,3.89,1.49,0.95,2.47
237,2025-01-20,上海机电,600835,64.13,63.97,64.95,63.64,147764,255074433.0,2.06,0.79,0.5,1.83
236,2025-01-17,上海机电,600835,62.76,63.47,63.88,62.43,125213,210860340.0,2.3,0.83,0.52,1.55
235,2025-01-16,上海机电,600835,63.61,62.95,64.87,62.79,160451,272962088.0,3.28,-0.74,-0.47,1.99
234,2025-01-15,上海机电,600835,64.4,63.42,64.81,63.2,185472,318167968.0,2.51,-1.32,-0.85,2.3
233,2025-01-14,上海机电,600835,61.61,64.27,64.4,61.61,234634,397239270.0,4.51,4.0,2.47,2.91
232,2025-01-13,上海机电,600835,61.45,61.8,62.9,61.17,216242,355497981.0,2.74,-2.09,-1.32,2.68
231,2025-01-10,上海机电,600835,60.52,63.12,64.92,60.35,412262,704524048.0,7.54,4.21,2.55,5.11
230,2025-01-09,上海机电,600835,60.24,60.57,61.09,59.97,90190,143655867.0,1.85,-0.1,-0.06,1.12
229,2025-01-08,上海机电,600835,60.46,60.63,61.01,58.66,143509,225090443.0,3.87,-0.18,-0.11,1.78
228,2025-01-07,上海机电,600835,60.27,60.74,61.01,60.13,95695,152265683.0,1.46,0.78,0.47,1.19
227,2025-01-06,上海机电,600835,61.06,60.27,61.64,59.75,126669,201324837.0,3.08,-1.65,-1.01,1.57
226,2025-01-03,上海机电,600835,63.88,61.28,64.18,60.98,172416,284191048.0,5.01,-4.12,-2.63,2.14
225,2025-01-02,上海机电,600835,65.47,63.91,66.54,63.25,134676,234818190.0,4.98,-3.31,-2.19,1.67
224,2024-12-31,上海机电,600835,66.1,66.1,67.11,65.22,158903,285625633.0,2.86,0.0,0.0,1.97
223,2024-12-30,上海机电,600835,67.28,66.1,67.44,65.39,182815,328016971.0,3.03,-2.39,-1.62,2.27
222,2024-12-27,上海机电,600835,67.44,67.72,68.62,67.0,100419,185951422.0,2.39,0.09,0.06,1.25
221,2024-12-26,上海机电,600835,67.14,67.66,68.07,66.95,102008,188135871.0,1.67,0.73,0.49,1.26
220,2024-12-25,上海机电,600835,68.1,67.17,68.51,66.32,106407,194659594.0,3.22,-1.12,-0.76,1.32
219,2024-12-24,上海机电,600835,68.26,67.93,68.89,67.28,107785,200153338.0,2.35,-0.64,-0.44,1.34
218,2024-12-23,上海机电,600835,69.82,68.37,69.82,68.13,112574,212797444.0,2.42,-2.27,-1.59,1.4
217,2024-12-20,上海机电,600835,68.78,69.96,71.25,68.62,150995,292180010.0,3.8,1.03,0.71,1.87
216,2024-12-19,上海机电,600835,68.48,69.25,69.93,67.63,142904,271049794.0,3.33,0.32,0.22,1.77
215,2024-12-18,上海机电,600835,70.01,69.03,70.42,68.73,131740,252509023.0,2.42,-1.17,-0.82,1.63
214,2024-12-17,上海机电,600835,71.16,69.85,71.66,69.47,173357,337622915.0,3.07,-1.96,-1.4,2.15
213,2024-12-16,上海机电,600835,71.79,71.25,73.16,70.78,173952,347080775.0,3.28,-1.7,-1.23,2.16
212,2024-12-13,上海机电,600835,74.45,72.48,75.08,72.18,240788,492278595.0,3.87,-3.28,-2.46,2.99
211,2024-12-12,上海机电,600835,75.9,74.94,76.25,74.23,354225,751724974.0,2.62,-2.98,-2.3,4.39
210,2024-12-11,上海机电,600835,74.23,77.24,78.09,73.35,605859,1306419597.0,6.54,6.49,4.71,7.51
209,2024-12-10,上海机电,600835,74.5,72.53,75.19,72.26,291428,603297152.0,4.04,-0.11,-0.08,3.61
208,2024-12-09,上海机电,600835,73.71,72.61,76.64,71.79,342967,714887717.0,6.47,-3.11,-2.33,4.25
207,2024-12-06,上海机电,600835,73.44,74.94,76.04,70.32,480542,987329105.0,7.9,3.44,2.49,5.96
206,2024-12-05,上海机电,600835,68.89,72.45,72.45,68.13,389404,760511867.0,6.25,4.83,3.34,4.83
