,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,博瑞传播,600880,107.57,105.3,109.22,104.89,289351,132332798.0,4.06,-1.36,-1.45,2.65
239,2025-01-24,博瑞传播,600880,104.06,106.75,106.95,103.45,301709,135950874.0,3.34,1.98,2.07,2.76
238,2025-01-23,博瑞传播,600880,105.71,104.68,107.36,104.68,355482,161180025.0,2.56,0.0,0.0,3.25
237,2025-01-22,博瑞传播,600880,107.98,104.68,107.98,104.27,254382,114512977.0,3.44,-3.06,-3.3,2.33
236,2025-01-21,博瑞传播,600880,109.01,107.98,109.63,106.54,303318,140091243.0,2.86,-0.19,-0.21,2.78
235,2025-01-20,博瑞传播,600880,110.66,108.19,111.49,107.98,329780,154627856.0,3.25,0.19,0.21,3.02
234,2025-01-17,博瑞传播,600880,110.66,107.98,111.28,107.78,301142,140439544.0,3.16,-2.61,-2.89,2.76
233,2025-01-16,博瑞传播,600880,109.43,110.87,113.14,109.22,481201,229588446.0,3.56,0.56,0.62,4.4
232,2025-01-15,博瑞传播,600880,107.98,110.25,112.93,107.36,658104,309723269.0,5.2,2.88,3.09,6.02
231,2025-01-14,博瑞传播,600880,102.41,107.16,107.16,102.41,413773,185804585.0,4.69,5.7,5.78,3.79
230,2025-01-13,博瑞传播,600880,100.56,101.38,102.41,98.91,223587,95461680.0,3.42,-0.81,-0.83,2.05
229,2025-01-10,博瑞传播,600880,106.54,102.21,107.78,102.21,335527,149971990.0,5.23,-4.06,-4.33,3.07
228,2025-01-09,博瑞传播,600880,104.27,106.54,106.95,103.86,346030,156718384.0,2.95,1.57,1.65,3.17
227,2025-01-08,博瑞传播,600880,104.68,104.89,105.71,101.8,348507,154363841.0,3.7,-0.78,-0.82,3.19
226,2025-01-07,博瑞传播,600880,103.45,105.71,105.71,103.03,322842,143138829.0,2.59,2.18,2.26,2.95
225,2025-01-06,博瑞传播,600880,102.62,103.45,104.06,100.35,343431,149560222.0,3.59,0.2,0.21,3.14
224,2025-01-03,博瑞传播,600880,109.63,103.24,110.04,102.83,460915,207098911.0,6.61,-5.29,-5.77,4.22
223,2025-01-02,博瑞传播,600880,110.04,109.01,112.73,107.98,478984,226987960.0,4.3,-1.31,-1.45,4.38
222,2024-12-31,博瑞传播,600880,115.41,110.46,116.44,110.25,625300,303878187.0,5.32,-5.14,-5.98,5.72
221,2024-12-30,博瑞传播,600880,114.99,116.44,120.77,111.69,769290,387501179.0,7.83,0.36,0.42,7.04
220,2024-12-27,博瑞传播,600880,114.38,116.02,117.88,113.76,463589,233333472.0,3.57,0.53,0.61,4.24
219,2024-12-26,博瑞传播,600880,115.61,115.41,116.85,114.58,540324,270126095.0,1.98,0.72,0.83,4.94
218,2024-12-25,博瑞传播,600880,117.26,114.58,117.88,112.52,722374,357967594.0,4.55,-2.8,-3.3,6.61
217,2024-12-24,博瑞传播,600880,119.12,117.88,120.97,115.41,976697,497146751.0,4.58,-2.89,-3.51,8.94
216,2024-12-23,博瑞传播,600880,127.16,121.39,129.43,121.39,1054127,566222208.0,6.03,-8.97,-11.96,9.64
215,2024-12-20,博瑞传播,600880,137.06,133.35,139.53,133.35,1465556,863033454.0,4.21,-9.13,-13.4,13.41
214,2024-12-19,博瑞传播,600880,158.92,146.75,160.77,146.75,2162129,1437107826.0,8.68,-9.19,-14.85,19.78
213,2024-12-18,博瑞传播,600880,139.74,161.6,161.6,139.33,1602922,1135394927.0,15.05,9.2,13.61,14.66
212,2024-12-17,博瑞传播,600880,159.74,147.99,159.74,140.15,3139395,2139576712.0,13.39,1.13,1.65,28.72
211,2024-12-16,博瑞传播,600880,142.21,146.34,146.34,141.6,410720,262326709.0,3.53,9.07,12.17,3.76
210,2024-12-13,博瑞传播,600880,122.21,134.17,134.17,121.8,1650250,939630353.0,10.05,9.05,11.13,15.1
209,2024-12-12,博瑞传播,600880,122.01,123.04,125.92,120.77,617835,331057071.0,4.23,1.02,1.24,5.65
208,2024-12-11,博瑞传播,600880,118.71,121.8,122.42,118.29,467823,245384622.0,3.44,1.55,1.86,4.28
207,2024-12-10,博瑞传播,600880,121.18,119.94,122.62,118.5,608731,319159921.0,3.46,0.69,0.82,5.57
206,2024-12-09,博瑞传播,600880,119.74,119.12,120.77,117.47,426893,220349743.0,2.76,-0.52,-0.62,3.91
205,2024-12-06,博瑞传播,600880,118.5,119.74,121.18,117.06,649836,335857452.0,3.53,2.47,2.89,5.95
204,2024-12-05,博瑞传播,600880,112.11,116.85,117.06,112.11,466215,232664444.0,4.41,4.04,4.54,4.27
203,2024-12-04,博瑞传播,600880,116.02,112.31,116.64,111.49,417927,204516655.0,4.42,-3.71,-4.33,3.82
202,2024-12-03,博瑞传播,600880,117.06,116.64,117.26,114.99,349383,175503940.0,1.93,-0.88,-1.03,3.2
201,2024-12-02,博瑞传播,600880,116.02,117.67,119.32,115.61,588611,299617553.0,3.22,2.14,2.47,5.39
200,2024-11-29,博瑞传播,600880,116.64,115.2,118.91,113.14,623887,311560405.0,4.95,-1.23,-1.44,5.71
199,2024-11-28,博瑞传播,600880,120.97,116.64,125.51,116.23,938222,490171315.0,7.94,-0.18,-0.21,8.58
198,2024-11-27,博瑞传播,600880,112.73,116.85,117.06,109.84,640919,313864916.0,6.32,2.35,2.68,5.86
197,2024-11-26,博瑞传播,600880,111.08,114.17,116.85,110.87,694073,341312289.0,5.35,2.22,2.48,6.35
196,2024-11-25,博瑞传播,600880,110.25,111.69,111.9,106.95,355428,167032647.0,4.56,2.85,3.09,3.25
195,2024-11-22,博瑞传播,600880,110.66,108.6,113.96,108.19,424823,203679102.0,5.2,-2.05,-2.27,3.89
194,2024-11-21,博瑞传播,600880,108.39,110.87,112.93,107.78,317789,150895660.0,4.73,1.89,2.06,2.91
193,2024-11-20,博瑞传播,600880,104.89,108.81,109.43,104.48,265840,122172055.0,4.71,3.53,3.71,2.43
192,2024-11-19,博瑞传播,600880,103.03,105.1,105.1,102.0,198837,87822389.0,2.99,1.4,1.45,1.82
191,2024-11-18,博瑞传播,600880,111.28,103.65,111.69,102.83,388698,173707161.0,8.07,-5.64,-6.19,3.56
190,2024-11-15,博瑞传播,600880,109.22,109.84,113.34,108.81,390139,187558499.0,4.15,0.57,0.62,3.57
189,2024-11-14,博瑞传播,600880,112.31,109.22,114.38,108.81,259694,124238402.0,4.95,-2.93,-3.3,2.38
188,2024-11-13,博瑞传播,600880,111.08,112.52,112.93,109.01,313134,149671515.0,3.5,0.55,0.62,2.86
187,2024-11-12,博瑞传播,600880,114.17,111.9,116.23,110.46,355689,172645207.0,5.06,-1.81,-2.06,3.25
186,2024-11-11,博瑞传播,600880,110.66,113.96,114.58,110.46,413429,200746096.0,3.7,2.22,2.47,3.78
185,2024-11-08,博瑞传播,600880,113.96,111.49,115.82,110.46,548071,265515843.0,4.71,-2.0,-2.27,5.01
184,2024-11-07,博瑞传播,600880,109.63,113.76,114.38,109.01,977631,472395279.0,4.83,2.23,2.48,8.94
183,2024-11-06,博瑞传播,600880,107.16,111.28,116.44,107.16,1287291,629247012.0,8.68,4.05,4.33,11.78
