,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,张江高科,600895,552.23,529.97,553.12,529.97,192657,471876102.0,4.22,-3.45,-18.92,1.24
239,2025-01-24,张江高科,600895,544.66,548.89,551.79,541.77,174266,434247200.0,1.84,0.98,5.34,1.13
238,2025-01-23,张江高科,600895,552.9,543.55,565.81,543.33,285462,721712454.0,4.11,-0.69,-3.79,1.84
237,2025-01-22,张江高科,600895,552.23,547.34,555.79,544.89,176011,439335900.0,1.96,-1.76,-9.79,1.14
236,2025-01-21,张江高科,600895,561.58,557.13,564.7,552.46,196520,498065784.0,2.2,-0.08,-0.45,1.27
235,2025-01-20,张江高科,600895,564.7,557.58,568.48,555.79,206742,528291806.0,2.27,-0.48,-2.67,1.33
234,2025-01-17,张江高科,600895,553.57,560.25,569.38,552.46,237673,606012946.0,3.03,0.2,1.12,1.53
233,2025-01-16,张江高科,600895,567.82,559.13,574.05,554.68,246391,631405813.0,3.45,-0.36,-2.01,1.59
232,2025-01-15,张江高科,600895,569.15,561.14,571.16,559.13,258738,662054584.0,2.1,-1.91,-10.91,1.67
231,2025-01-14,张江高科,600895,558.69,572.05,574.94,548.67,438196,1123829914.0,4.74,3.13,17.37,2.83
230,2025-01-13,张江高科,600895,537.32,554.68,563.36,532.86,360367,903330338.0,5.63,2.42,13.13,2.33
229,2025-01-10,张江高科,600895,546.0,541.55,562.03,541.55,260550,654972198.0,3.75,-0.89,-4.89,1.68
228,2025-01-09,张江高科,600895,542.44,546.44,554.01,540.43,195319,487968241.0,2.49,0.16,0.89,1.26
227,2025-01-08,张江高科,600895,544.89,545.55,551.12,529.3,205857,506097004.0,3.98,-0.49,-2.68,1.33
226,2025-01-07,张江高科,600895,539.32,548.23,550.45,537.32,211163,523272956.0,2.45,2.12,11.36,1.36
225,2025-01-06,张江高科,600895,540.88,536.87,543.11,530.42,204474,497718784.0,2.36,0.0,0.0,1.32
224,2025-01-03,张江高科,600895,561.14,536.87,565.15,536.2,286257,713391981.0,5.16,-4.33,-24.27,1.85
223,2025-01-02,张江高科,600895,590.08,561.14,590.3,554.46,357435,928591012.0,6.07,-4.9,-28.94,2.31
222,2024-12-31,张江高科,600895,614.79,590.08,615.24,589.86,295586,804439105.0,4.15,-3.49,-21.37,1.91
221,2024-12-30,张江高科,600895,603.44,611.45,615.9,596.54,208467,576161273.0,3.19,0.66,4.01,1.35
220,2024-12-27,张江高科,600895,607.0,607.44,620.13,604.11,268238,746632008.0,2.64,-0.04,-0.23,1.73
219,2024-12-26,张江高科,600895,593.64,607.67,612.12,593.64,277658,764702964.0,3.12,2.44,14.47,1.79
218,2024-12-25,张江高科,600895,603.44,593.2,606.11,591.42,213601,578426720.0,2.42,-2.31,-14.02,1.38
217,2024-12-24,张江高科,600895,601.66,607.22,607.67,593.2,243393,664033182.0,2.41,0.92,5.56,1.57
216,2024-12-23,张江高科,600895,617.02,601.66,621.47,600.77,306507,850067558.0,3.32,-3.57,-22.26,1.98
215,2024-12-20,张江高科,600895,603.44,623.92,633.49,599.65,500325,1406909230.0,5.61,3.39,20.48,3.23
214,2024-12-19,张江高科,600895,591.42,603.44,607.44,586.07,268007,730787189.0,3.56,0.63,3.79,1.73
213,2024-12-18,张江高科,600895,593.86,599.65,609.67,590.3,274654,747551187.0,3.26,0.97,5.79,1.77
212,2024-12-17,张江高科,600895,607.44,593.86,611.9,592.97,305795,832813699.0,3.1,-2.84,-17.37,1.97
211,2024-12-16,张江高科,600895,624.14,611.23,625.7,608.11,285839,796492505.0,2.82,-2.0,-12.47,1.85
210,2024-12-13,张江高科,600895,638.61,623.7,641.06,623.47,406483,1161925037.0,2.72,-3.41,-22.04,2.62
209,2024-12-12,张江高科,600895,639.06,645.74,654.64,629.71,470097,1367363950.0,3.88,0.38,2.45,3.04
208,2024-12-11,张江高科,600895,642.4,643.29,654.86,639.06,545852,1601189590.0,2.52,2.52,15.81,3.52
207,2024-12-10,张江高科,600895,658.2,627.48,658.43,625.25,465450,1353904642.0,5.31,0.39,2.45,3.01
206,2024-12-09,张江高科,600895,642.4,625.03,642.62,620.8,345887,989181033.0,3.4,-2.67,-17.14,2.23
205,2024-12-06,张江高科,600895,641.28,642.17,652.42,629.04,455568,1323640968.0,3.62,-0.65,-4.23,2.94
204,2024-12-05,张江高科,600895,640.17,646.4,655.31,634.61,418466,1220725098.0,3.23,0.73,4.67,2.7
203,2024-12-04,张江高科,600895,669.11,641.73,681.13,639.73,635177,1903417079.0,6.2,-3.93,-26.27,4.1
202,2024-12-03,张江高科,600895,662.88,668.0,683.36,650.41,887686,2690108308.0,5.04,2.25,14.69,5.73
201,2024-12-02,张江高科,600895,627.48,653.31,653.75,624.14,617800,1790793840.0,4.72,4.15,26.05,3.99
200,2024-11-29,张江高科,600895,611.23,627.26,638.17,609.23,543234,1538333044.0,4.68,1.37,8.46,3.51
199,2024-11-28,张江高科,600895,626.81,618.8,636.39,614.57,515805,1463707316.0,3.49,-1.14,-7.12,3.33
198,2024-11-27,张江高科,600895,611.9,625.92,625.92,598.98,456204,1270342986.0,4.36,1.41,8.68,2.95
197,2024-11-26,张江高科,600895,619.47,617.24,632.38,615.01,406416,1146715165.0,2.81,-0.32,-2.0,2.62
196,2024-11-25,张江高科,600895,629.26,619.24,634.83,602.99,553710,1545624748.0,5.04,-2.04,-12.92,3.58
195,2024-11-22,张江高科,600895,664.88,632.16,680.47,629.71,681189,2029834745.0,7.62,-5.05,-33.61,4.4
