,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,厦门空港,600897,94.99,95.58,95.68,94.44,15907,22971235.0,1.3,0.57,0.54,0.38
240,2025-01-23,厦门空港,600897,95.38,95.04,96.02,94.94,11886,17242630.0,1.14,0.21,0.2,0.29
239,2025-01-22,厦门空港,600897,95.18,94.84,95.28,94.64,10321,14870938.0,0.67,-0.36,-0.34,0.25
238,2025-01-21,厦门空港,600897,95.68,95.18,95.93,94.79,14710,21257373.0,1.2,0.0,0.0,0.35
237,2025-01-20,厦门空港,600897,95.68,95.18,96.12,94.99,14297,20796454.0,1.18,-0.31,-0.3,0.34
236,2025-01-17,厦门空港,600897,94.94,95.48,95.63,94.44,19366,28021736.0,1.26,0.83,0.79,0.46
235,2025-01-16,厦门空港,600897,94.89,94.69,95.68,94.15,14699,21190107.0,1.61,-0.42,-0.4,0.35
234,2025-01-15,厦门空港,600897,94.74,95.09,95.83,94.49,22922,33197848.0,1.41,0.21,0.2,0.55
233,2025-01-14,厦门空港,600897,93.4,94.89,95.04,93.26,24629,35241963.0,1.91,1.8,1.68,0.59
232,2025-01-13,厦门空港,600897,93.65,93.21,93.7,91.92,20482,28748625.0,1.9,-0.52,-0.49,0.49
231,2025-01-10,厦门空港,600897,94.54,93.7,95.13,93.7,15427,22002836.0,1.51,-0.94,-0.89,0.37
230,2025-01-09,厦门空港,600897,94.54,94.59,95.43,93.4,23724,34015637.0,2.13,-0.72,-0.69,0.57
229,2025-01-08,厦门空港,600897,95.28,95.28,97.06,94.29,32242,46910838.0,2.91,0.0,0.0,0.77
228,2025-01-07,厦门空港,600897,94.69,95.28,95.53,94.44,21420,30887454.0,1.15,0.2,0.19,0.51
227,2025-01-06,厦门空港,600897,95.38,95.09,95.83,94.2,26172,37731799.0,1.71,-0.09,-0.09,0.63
226,2025-01-03,厦门空港,600897,96.77,95.18,97.16,94.94,37360,54689443.0,2.3,-1.59,-1.54,0.9
225,2025-01-02,厦门空港,600897,98.35,96.72,99.48,96.17,44707,67050309.0,3.34,-2.29,-2.27,1.07
224,2024-12-31,厦门空港,600897,99.29,98.99,100.67,98.79,50756,77998841.0,1.9,0.2,0.2,1.22
223,2024-12-30,厦门空港,600897,98.74,98.79,99.34,97.7,23828,36127258.0,1.66,-0.3,-0.3,0.57
222,2024-12-27,厦门空港,600897,97.51,99.09,99.68,97.46,43044,65535395.0,2.28,1.62,1.58,1.03
221,2024-12-26,厦门空港,600897,97.85,97.51,98.3,97.41,11592,17335090.0,0.91,-0.4,-0.39,0.28
220,2024-12-25,厦门空港,600897,97.8,97.9,98.2,97.11,24484,36620561.0,1.11,0.0,0.0,0.59
219,2024-12-24,厦门空港,600897,97.31,97.9,97.95,97.06,20754,30985191.0,0.92,0.76,0.74,0.5
218,2024-12-23,厦门空港,600897,98.05,97.16,98.25,96.77,27342,40769508.0,1.51,-0.71,-0.69,0.66
217,2024-12-20,厦门空港,600897,97.65,97.85,98.64,97.46,29549,44368769.0,1.2,-0.25,-0.25,0.71
216,2024-12-19,厦门空港,600897,98.1,98.1,98.5,96.86,49461,73887417.0,1.66,-0.41,-0.4,1.19
215,2024-12-18,厦门空港,600897,99.43,98.5,100.37,97.9,43156,65752199.0,2.49,-0.89,-0.88,1.04
214,2024-12-17,厦门空港,600897,100.37,99.38,101.11,98.89,62028,95335549.0,2.2,-1.33,-1.34,1.49
213,2024-12-16,厦门空港,600897,98.35,100.72,102.75,98.2,106223,166105901.0,4.63,2.57,2.52,2.55
212,2024-12-13,厦门空港,600897,98.99,98.2,99.38,98.0,31249,47375210.0,1.39,-1.1,-1.09,0.75
211,2024-12-12,厦门空港,600897,98.5,99.29,99.73,97.9,50730,77205373.0,1.86,1.11,1.09,1.22
210,2024-12-11,厦门空港,600897,97.61,98.2,98.35,97.16,34690,52156019.0,1.22,0.6,0.59,0.83
209,2024-12-10,厦门空港,600897,98.59,97.61,99.09,97.41,37192,55939285.0,1.73,0.26,0.25,0.89
208,2024-12-09,厦门空港,600897,98.2,97.36,98.54,96.91,41895,62515063.0,1.66,-0.96,-0.94,1.0
207,2024-12-06,厦门空港,600897,97.31,98.3,98.3,97.01,27083,40534713.0,1.33,1.23,1.19,0.65
206,2024-12-05,厦门空港,600897,98.1,97.11,98.1,96.91,32220,48070486.0,1.22,-0.76,-0.74,0.77
205,2024-12-04,厦门空港,600897,98.84,97.85,98.84,97.61,25966,39165154.0,1.24,-1.25,-1.24,0.62
204,2024-12-03,厦门空港,600897,98.4,99.09,99.29,98.1,36635,55638406.0,1.21,0.7,0.69,0.88
203,2024-12-02,厦门空港,600897,98.35,98.4,98.79,98.15,28359,42891209.0,0.65,0.15,0.15,0.68
202,2024-11-29,厦门空港,600897,98.05,98.25,98.84,97.85,25929,39156223.0,1.01,0.41,0.4,0.62
201,2024-11-28,厦门空港,600897,97.31,97.85,98.45,97.31,30394,45676080.0,1.17,0.55,0.54,0.73
200,2024-11-27,厦门空港,600897,97.06,97.31,97.46,95.48,37048,54709319.0,2.04,0.21,0.2,0.89
199,2024-11-26,厦门空港,600897,96.07,97.11,98.1,96.07,32007,47702995.0,2.1,0.56,0.54,0.77
198,2024-11-25,厦门空港,600897,96.17,96.57,97.16,95.88,30748,45321329.0,1.33,0.52,0.5,0.74
197,2024-11-22,厦门空港,600897,98.64,96.07,99.14,95.88,53335,79799797.0,3.29,-3.0,-2.97,1.28
196,2024-11-21,厦门空港,600897,99.48,99.04,99.73,98.4,59322,90313425.0,1.33,-1.18,-1.18,1.42
195,2024-11-20,厦门空港,600897,98.59,100.22,103.14,97.65,85364,130896622.0,5.55,1.34,1.33,2.05
194,2024-11-19,厦门空港,600897,97.31,98.89,98.99,97.31,54570,82411690.0,1.72,1.36,1.33,1.31
193,2024-11-18,厦门空港,600897,97.16,97.56,98.54,97.01,48843,73097809.0,1.58,0.57,0.55,1.17
192,2024-11-15,厦门空港,600897,96.37,97.01,98.1,96.37,42709,63716684.0,1.79,0.56,0.54,1.02
191,2024-11-14,厦门空港,600897,97.46,96.47,98.64,96.47,31521,47044844.0,2.23,-1.02,-0.99,0.76
190,2024-11-13,厦门空港,600897,96.91,97.46,97.56,96.62,26307,39046540.0,0.97,0.52,0.5,0.63
