,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,雪天盐业,600929,6.19,6.22,6.3,6.19,90308,48747191.0,1.78,0.48,0.03,0.55
239,2025-01-24,雪天盐业,600929,6.14,6.19,6.19,6.12,70153,37254130.0,1.14,0.65,0.04,0.43
238,2025-01-23,雪天盐业,600929,6.17,6.15,6.21,6.13,77798,41406729.0,1.31,0.33,0.02,0.48
237,2025-01-22,雪天盐业,600929,6.11,6.13,6.14,6.08,46682,24568276.0,0.98,0.0,0.0,0.29
236,2025-01-21,雪天盐业,600929,6.18,6.13,6.19,6.1,53228,28093555.0,1.46,-0.49,-0.03,0.33
235,2025-01-20,雪天盐业,600929,6.18,6.16,6.2,6.13,64102,34045534.0,1.14,0.0,0.0,0.39
234,2025-01-17,雪天盐业,600929,6.11,6.16,6.19,6.09,80567,42752717.0,1.63,0.49,0.03,0.65
233,2025-01-16,雪天盐业,600929,6.09,6.13,6.17,6.08,90995,48029138.0,1.48,0.82,0.05,0.73
232,2025-01-15,雪天盐业,600929,6.19,6.08,6.21,6.03,126229,66107104.0,2.89,-2.41,-0.15,1.02
231,2025-01-14,雪天盐业,600929,6.15,6.23,6.24,6.14,104290,55764128.0,1.62,1.14,0.07,0.84
230,2025-01-13,雪天盐业,600929,6.1,6.16,6.17,6.07,72310,38147664.0,1.64,1.15,0.07,0.58
229,2025-01-10,雪天盐业,600929,6.16,6.09,6.19,6.09,58389,30910498.0,1.62,-1.3,-0.08,0.47
228,2025-01-09,雪天盐业,600929,6.2,6.17,6.22,6.16,58207,31113305.0,0.96,-0.8,-0.05,0.47
227,2025-01-08,雪天盐业,600929,6.24,6.22,6.27,6.13,88641,47456258.0,2.24,-0.64,-0.04,0.71
226,2025-01-07,雪天盐业,600929,6.28,6.26,6.3,6.2,75876,40967497.0,1.59,-0.32,-0.02,0.61
225,2025-01-06,雪天盐业,600929,6.28,6.28,6.36,6.24,87927,47825761.0,1.91,-0.16,-0.01,0.71
224,2025-01-03,雪天盐业,600929,6.35,6.29,6.44,6.27,99186,54541089.0,2.67,-1.1,-0.07,0.8
223,2025-01-02,雪天盐业,600929,6.43,6.36,6.5,6.31,112929,62884884.0,2.95,-1.24,-0.08,0.91
222,2024-12-31,雪天盐业,600929,6.54,6.44,6.57,6.43,120729,68169971.0,2.14,-1.68,-0.11,0.97
221,2024-12-30,雪天盐业,600929,6.59,6.55,6.61,6.51,81267,46324880.0,1.52,-0.46,-0.03,0.65
220,2024-12-27,雪天盐业,600929,6.47,6.58,6.61,6.45,110801,63140642.0,2.47,1.7,0.11,0.89
219,2024-12-26,雪天盐业,600929,6.49,6.47,6.52,6.47,66226,37406998.0,0.77,-0.46,-0.03,0.53
218,2024-12-25,雪天盐业,600929,6.52,6.5,6.53,6.45,76532,43046835.0,1.23,-0.31,-0.02,0.62
217,2024-12-24,雪天盐业,600929,6.44,6.52,6.54,6.44,81470,46014018.0,1.55,1.24,0.08,0.66
216,2024-12-23,雪天盐业,600929,6.55,6.44,6.56,6.43,132533,74802205.0,1.99,-1.53,-0.1,1.07
215,2024-12-20,雪天盐业,600929,6.55,6.54,6.59,6.53,78659,44866496.0,0.92,-0.15,-0.01,0.63
214,2024-12-19,雪天盐业,600929,6.63,6.55,6.64,6.48,143146,81434543.0,2.4,-1.65,-0.11,1.15
213,2024-12-18,雪天盐业,600929,6.67,6.66,6.73,6.63,102728,59888338.0,1.49,-0.45,-0.03,0.83
212,2024-12-17,雪天盐业,600929,6.78,6.69,6.8,6.64,154910,90762893.0,2.36,-1.33,-0.09,1.25
211,2024-12-16,雪天盐业,600929,6.77,6.78,6.82,6.75,127813,75772890.0,1.04,0.44,0.03,1.03
210,2024-12-13,雪天盐业,600929,6.93,6.75,6.94,6.74,249724,149064010.0,2.88,-2.74,-0.19,2.01
209,2024-12-12,雪天盐业,600929,6.89,6.94,6.94,6.82,199083,120359282.0,1.74,0.87,0.06,1.6
208,2024-12-11,雪天盐业,600929,6.82,6.88,6.9,6.79,166581,100176433.0,1.62,1.03,0.07,1.34
207,2024-12-10,雪天盐业,600929,6.95,6.81,6.98,6.8,176145,105988227.0,2.64,-0.15,-0.01,1.42
206,2024-12-09,雪天盐业,600929,6.84,6.82,6.9,6.78,140192,83976765.0,1.76,-0.15,-0.01,1.13
205,2024-12-06,雪天盐业,600929,6.76,6.83,6.84,6.71,138417,82125047.0,1.92,1.04,0.07,1.12
204,2024-12-05,雪天盐业,600929,6.73,6.76,6.77,6.72,82878,48826449.0,0.74,0.15,0.01,0.67
203,2024-12-04,雪天盐业,600929,6.82,6.75,6.83,6.73,132378,78582931.0,1.47,-1.03,-0.07,1.07
202,2024-12-03,雪天盐业,600929,6.8,6.82,6.85,6.76,170029,101306238.0,1.32,0.29,0.02,1.37
201,2024-12-02,雪天盐业,600929,6.73,6.8,6.82,6.73,166204,98487591.0,1.34,1.49,0.1,1.34
