,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,郴电国际,600969,9.47,9.49,9.64,9.45,64390,38595799.0,2.01,0.42,0.04,1.74
239,2025-01-24,郴电国际,600969,9.49,9.45,9.49,9.32,68395,40251197.0,1.8,0.0,0.0,1.85
238,2025-01-23,郴电国际,600969,9.49,9.45,9.6,9.43,71296,42606326.0,1.8,0.21,0.02,1.93
237,2025-01-22,郴电国际,600969,9.53,9.43,9.54,9.4,52222,30930196.0,1.47,-1.05,-0.1,1.41
236,2025-01-21,郴电国际,600969,9.71,9.53,9.77,9.47,72299,43418664.0,3.11,-1.14,-0.11,1.95
235,2025-01-20,郴电国际,600969,9.5,9.64,9.71,9.42,115190,69599374.0,3.06,1.58,0.15,3.11
234,2025-01-17,郴电国际,600969,9.42,9.49,9.6,9.35,150869,89792516.0,2.53,-3.95,-0.39,4.08
233,2025-01-16,郴电国际,600969,9.84,9.88,9.98,9.8,65432,40819755.0,1.83,0.71,0.07,1.77
232,2025-01-15,郴电国际,600969,9.77,9.81,9.87,9.71,69757,43056548.0,1.64,0.62,0.06,1.89
231,2025-01-14,郴电国际,600969,9.46,9.75,9.75,9.45,72862,44258236.0,3.17,3.07,0.29,1.97
230,2025-01-13,郴电国际,600969,9.39,9.46,9.47,9.17,58681,34400750.0,3.2,0.85,0.08,1.59
229,2025-01-10,郴电国际,600969,9.64,9.38,9.67,9.36,61248,36475747.0,3.22,-2.6,-0.25,1.66
228,2025-01-09,郴电国际,600969,9.64,9.63,9.71,9.6,44321,26905139.0,1.13,-0.82,-0.08,1.2
227,2025-01-08,郴电国际,600969,9.68,9.71,9.74,9.43,71245,43115200.0,3.2,0.1,0.01,1.93
226,2025-01-07,郴电国际,600969,9.61,9.7,9.71,9.49,63325,38271271.0,2.29,1.04,0.1,1.71
225,2025-01-06,郴电国际,600969,9.54,9.6,9.73,9.29,90502,54292020.0,4.6,0.42,0.04,2.45
224,2025-01-03,郴电国际,600969,10.02,9.56,10.06,9.53,108787,66716133.0,5.31,-4.21,-0.42,2.94
223,2025-01-02,郴电国际,600969,10.13,9.98,10.29,9.91,85413,54626839.0,3.74,-1.77,-0.18,2.31
222,2024-12-31,郴电国际,600969,10.26,10.16,10.45,10.15,83155,54273184.0,2.9,-1.65,-0.17,2.25
221,2024-12-30,郴电国际,600969,10.72,10.33,10.82,10.31,140760,93367146.0,4.73,-4.26,-0.46,3.8
220,2024-12-27,郴电国际,600969,10.52,10.79,10.99,10.37,159326,108786338.0,6.06,5.47,0.56,4.31
219,2024-12-26,郴电国际,600969,10.19,10.23,10.33,10.16,63275,41087611.0,1.66,-0.1,-0.01,1.71
218,2024-12-25,郴电国际,600969,10.57,10.24,10.62,10.12,89138,58179174.0,4.71,-3.58,-0.38,2.41
217,2024-12-24,郴电国际,600969,10.55,10.62,10.69,10.44,71190,47878118.0,2.38,0.95,0.1,1.92
216,2024-12-23,郴电国际,600969,10.96,10.52,10.96,10.43,81483,55381750.0,4.86,-3.49,-0.38,2.2
215,2024-12-20,郴电国际,600969,10.96,10.9,11.04,10.86,65327,45653676.0,1.64,-0.55,-0.06,1.77
214,2024-12-19,郴电国际,600969,11.1,10.96,11.18,10.82,87488,61090396.0,3.21,-2.14,-0.24,2.36
213,2024-12-18,郴电国际,600969,11.2,11.2,11.45,10.99,94942,68319764.0,4.13,0.54,0.06,2.57
212,2024-12-17,郴电国际,600969,11.69,11.14,11.83,11.11,141935,103917701.0,6.17,-4.46,-0.52,3.84
211,2024-12-16,郴电国际,600969,11.45,11.66,11.76,11.45,92098,68773275.0,2.71,1.75,0.2,2.49
210,2024-12-13,郴电国际,600969,11.62,11.46,11.64,11.42,71312,52748844.0,1.9,-1.21,-0.14,1.93
209,2024-12-12,郴电国际,600969,11.45,11.6,11.62,11.41,76762,56889314.0,1.83,1.05,0.12,2.07
208,2024-12-11,郴电国际,600969,11.38,11.48,11.5,11.34,64619,47415287.0,1.41,1.23,0.14,1.75
207,2024-12-10,郴电国际,600969,11.5,11.34,11.59,11.32,114727,84165088.0,2.39,0.18,0.02,3.1
206,2024-12-09,郴电国际,600969,11.36,11.32,11.45,11.2,65386,47491197.0,2.19,-0.61,-0.07,1.77
205,2024-12-06,郴电国际,600969,11.35,11.39,11.43,11.29,70291,51356546.0,1.23,0.0,0.0,1.9
204,2024-12-05,郴电国际,600969,11.24,11.39,11.39,11.18,73126,53064732.0,1.86,0.71,0.08,1.98
203,2024-12-04,郴电国际,600969,11.5,11.31,11.6,11.25,91661,67368680.0,3.02,-2.42,-0.28,2.48
202,2024-12-03,郴电国际,600969,11.35,11.59,11.62,11.25,123501,91164029.0,3.26,2.11,0.24,3.34
201,2024-12-02,郴电国际,600969,11.07,11.35,11.36,11.01,106578,76788211.0,3.16,2.44,0.27,2.88
200,2024-11-29,郴电国际,600969,11.08,11.08,11.15,10.96,95091,67313093.0,1.71,0.0,0.0,2.57
199,2024-11-28,郴电国际,600969,11.01,11.08,11.25,11.0,111951,79821821.0,2.27,0.73,0.08,3.03
198,2024-11-27,郴电国际,600969,11.03,11.0,11.13,10.71,143828,99943608.0,3.77,-1.17,-0.13,3.89
197,2024-11-26,郴电国际,600969,11.27,11.13,11.29,11.04,151650,108238037.0,2.21,-1.59,-0.18,4.1
196,2024-11-25,郴电国际,600969,11.18,11.31,11.57,11.15,240495,174374277.0,3.78,1.8,0.2,6.5
195,2024-11-22,郴电国际,600969,11.03,11.11,11.85,11.03,281653,203712790.0,7.43,0.73,0.08,7.61
194,2024-11-21,郴电国际,600969,10.86,11.03,11.04,10.8,123659,86191461.0,2.2,0.91,0.1,3.34
193,2024-11-20,郴电国际,600969,10.87,10.93,10.94,10.72,170308,117728705.0,2.03,0.74,0.08,4.6
192,2024-11-19,郴电国际,600969,10.89,10.85,10.99,10.57,301033,206756374.0,3.8,-1.72,-0.19,8.13
191,2024-11-18,郴电国际,600969,10.69,11.04,11.28,10.69,413151,293312099.0,5.69,6.56,0.68,11.16
190,2024-11-15,郴电国际,600969,10.47,10.36,10.64,10.33,67152,44852276.0,2.96,-1.05,-0.11,1.81
189,2024-11-14,郴电国际,600969,10.72,10.47,10.82,10.47,70092,47315534.0,3.25,-2.88,-0.31,1.89
188,2024-11-13,郴电国际,600969,10.87,10.78,10.94,10.61,76811,52689199.0,3.04,-0.74,-0.08,2.08
187,2024-11-12,郴电国际,600969,10.94,10.86,11.03,10.75,118213,82187040.0,2.57,-0.37,-0.04,3.19
186,2024-11-11,郴电国际,600969,10.66,10.9,10.9,10.61,110513,75784090.0,2.74,2.93,0.31,2.99
185,2024-11-08,郴电国际,600969,10.79,10.59,10.87,10.55,124594,84677614.0,2.97,-1.85,-0.2,3.37
184,2024-11-07,郴电国际,600969,10.54,10.79,10.82,10.47,97027,66237405.0,3.32,2.37,0.25,2.62
183,2024-11-06,郴电国际,600969,10.57,10.54,10.64,10.48,83435,55969832.0,1.51,-0.47,-0.05,2.25
182,2024-11-05,郴电国际,600969,10.55,10.59,10.65,10.48,86078,57895286.0,1.62,0.86,0.09,2.33
181,2024-11-04,郴电国际,600969,10.47,10.5,10.57,10.37,71631,47694583.0,1.92,0.67,0.07,1.94
180,2024-11-01,郴电国际,600969,10.83,10.43,10.83,10.36,124959,83498202.0,4.34,-3.6,-0.39,3.38
179,2024-10-31,郴电国际,600969,10.71,10.82,10.99,10.71,102026,70528727.0,2.61,0.93,0.1,2.76
178,2024-10-30,郴电国际,600969,10.58,10.72,10.82,10.5,106660,72418275.0,3.02,1.32,0.14,2.88
177,2024-10-29,郴电国际,600969,10.76,10.58,10.93,10.58,136763,93448621.0,3.23,-2.31,-0.25,3.7
176,2024-10-28,郴电国际,600969,10.38,10.83,10.83,10.34,120972,81949539.0,4.72,4.34,0.45,3.27
175,2024-10-25,郴电国际,600969,10.24,10.38,10.44,10.24,90445,59396081.0,1.95,1.37,0.14,2.44
