,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,文峰股份,601010,14.56,13.96,14.56,13.96,416152,109341798.0,4.18,-2.85,-0.41,2.25
239,2025-01-24,文峰股份,601010,14.44,14.37,14.48,14.18,464746,123306896.0,2.08,-0.28,-0.04,2.51
238,2025-01-23,文峰股份,601010,14.67,14.41,14.86,14.37,697607,190910082.0,3.36,-1.23,-0.18,3.77
237,2025-01-22,文峰股份,601010,14.89,14.59,14.89,14.48,990082,272502587.0,2.7,-3.95,-0.6,5.36
236,2025-01-21,文峰股份,601010,14.67,15.19,15.57,14.59,1524096,437225837.0,6.73,4.33,0.63,8.25
235,2025-01-20,文峰股份,601010,14.41,14.56,14.97,14.26,750536,205251873.0,4.94,1.32,0.19,4.06
234,2025-01-17,文峰股份,601010,14.71,14.37,14.71,14.33,716412,192484990.0,2.56,-3.04,-0.45,3.88
233,2025-01-16,文峰股份,601010,14.18,14.82,14.97,14.18,1108586,303447468.0,5.57,4.51,0.64,6.0
232,2025-01-15,文峰股份,601010,14.41,14.18,14.56,14.03,714813,188678633.0,3.68,-1.6,-0.23,3.87
231,2025-01-14,文峰股份,601010,13.77,14.41,14.44,13.73,892239,234162225.0,5.14,4.34,0.6,4.83
230,2025-01-13,文峰股份,601010,13.77,13.81,14.18,13.43,886821,222290721.0,5.23,-3.63,-0.52,4.8
229,2025-01-10,文峰股份,601010,15.16,14.33,15.19,14.33,921971,254465331.0,5.63,-6.16,-0.94,4.99
228,2025-01-09,文峰股份,601010,15.23,15.27,15.49,15.08,1075062,313105182.0,2.61,-2.61,-0.41,5.82
227,2025-01-08,文峰股份,601010,14.93,15.68,15.76,14.56,1491720,430625424.0,7.96,3.98,0.6,8.07
226,2025-01-07,文峰股份,601010,14.59,15.08,15.12,14.48,1252772,345667640.0,4.24,0.0,0.0,6.78
225,2025-01-06,文峰股份,601010,15.61,15.08,15.61,15.08,1175810,340674022.0,3.26,-7.37,-1.2,6.36
224,2025-01-03,文峰股份,601010,15.94,16.28,16.62,15.27,2509861,783953374.0,8.59,3.56,0.56,13.58
223,2025-01-02,文峰股份,601010,14.63,15.72,15.72,14.52,782696,230639044.0,8.18,7.16,1.05,4.24
222,2024-12-31,文峰股份,601010,14.63,14.67,15.01,14.56,708281,197688532.0,3.07,0.0,0.0,3.83
221,2024-12-30,文峰股份,601010,14.93,14.67,14.97,14.52,582224,160670052.0,2.99,-2.46,-0.37,3.15
220,2024-12-27,文峰股份,601010,14.93,15.04,15.27,14.59,856641,244391935.0,4.54,0.47,0.07,4.64
219,2024-12-26,文峰股份,601010,14.56,14.97,15.01,14.44,894283,249641932.0,3.91,2.6,0.38,4.84
218,2024-12-25,文峰股份,601010,14.71,14.59,14.93,14.11,991489,268436392.0,5.53,-1.55,-0.23,5.37
217,2024-12-24,文峰股份,601010,14.78,14.82,14.97,14.52,903329,250246999.0,3.03,-0.27,-0.04,4.89
216,2024-12-23,文峰股份,601010,15.61,14.86,15.64,14.74,1232546,352436315.0,5.74,-5.23,-0.82,6.67
215,2024-12-20,文峰股份,601010,15.64,15.68,16.24,15.57,1283875,392132329.0,4.2,-1.63,-0.26,6.95
214,2024-12-19,文峰股份,601010,16.58,15.94,16.69,15.94,1392759,436756950.0,4.36,-7.43,-1.28,7.54
