,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,节能风电,601016,7.53,7.53,7.68,7.5,516663,156810306.0,2.41,0.8,0.06,0.87
239,2025-01-24,节能风电,601016,7.47,7.47,7.53,7.4,430621,128817214.0,1.74,0.27,0.02,0.72
238,2025-01-23,节能风电,601016,7.55,7.45,7.66,7.45,482978,145720338.0,2.8,-0.67,-0.05,0.81
237,2025-01-22,节能风电,601016,7.5,7.5,7.55,7.45,285446,85532498.0,1.33,-0.4,-0.03,0.48
236,2025-01-21,节能风电,601016,7.55,7.53,7.6,7.45,347077,104297725.0,1.99,-0.26,-0.02,0.58
235,2025-01-20,节能风电,601016,7.63,7.55,7.68,7.53,414494,125612620.0,1.97,-0.66,-0.05,0.7
234,2025-01-17,节能风电,601016,7.55,7.6,7.63,7.5,375591,114013723.0,1.72,0.66,0.05,0.63
233,2025-01-16,节能风电,601016,7.47,7.55,7.6,7.47,513188,155096009.0,1.74,1.34,0.1,0.86
232,2025-01-15,节能风电,601016,7.53,7.45,7.53,7.42,360135,107666657.0,1.46,-1.06,-0.08,0.6
231,2025-01-14,节能风电,601016,7.4,7.53,7.55,7.37,529644,158433361.0,2.44,2.17,0.16,0.89
230,2025-01-13,节能风电,601016,7.34,7.37,7.42,7.27,404241,119029955.0,2.03,-0.41,-0.03,0.68
229,2025-01-10,节能风电,601016,7.47,7.4,7.5,7.37,406082,120870226.0,1.74,-0.94,-0.07,0.68
228,2025-01-09,节能风电,601016,7.5,7.47,7.53,7.42,371093,111143997.0,1.47,-0.4,-0.03,0.62
227,2025-01-08,节能风电,601016,7.58,7.5,7.58,7.37,570341,170705402.0,2.76,-1.32,-0.1,0.96
226,2025-01-07,节能风电,601016,7.6,7.6,7.63,7.5,406804,123037210.0,1.7,-0.39,-0.03,0.68
225,2025-01-06,节能风电,601016,7.53,7.63,7.63,7.47,556904,168554981.0,2.12,1.33,0.1,0.93
224,2025-01-03,节能风电,601016,7.66,7.53,7.79,7.5,656486,200598252.0,3.8,-1.31,-0.1,1.1
223,2025-01-02,节能风电,601016,7.94,7.63,7.97,7.58,744385,231053829.0,4.91,-3.9,-0.31,1.25
222,2024-12-31,节能风电,601016,8.12,7.94,8.18,7.92,570193,182356849.0,3.2,-2.22,-0.18,0.96
221,2024-12-30,节能风电,601016,8.23,8.12,8.25,8.1,501677,162927809.0,1.82,-1.34,-0.11,0.84
220,2024-12-27,节能风电,601016,8.1,8.23,8.25,8.1,573797,187420741.0,1.85,1.6,0.13,0.96
219,2024-12-26,节能风电,601016,8.2,8.1,8.23,8.07,483498,157034271.0,1.95,-1.22,-0.1,0.81
218,2024-12-25,节能风电,601016,8.25,8.2,8.28,8.12,488496,159546674.0,1.94,-0.61,-0.05,0.82
217,2024-12-24,节能风电,601016,8.1,8.25,8.28,8.1,617483,202399325.0,2.22,1.6,0.13,1.04
216,2024-12-23,节能风电,601016,8.15,8.12,8.2,8.1,534617,173677134.0,1.22,-0.73,-0.06,0.9
215,2024-12-20,节能风电,601016,8.28,8.18,8.33,8.12,635932,207798207.0,2.53,-1.56,-0.13,1.07
214,2024-12-19,节能风电,601016,8.36,8.31,8.41,8.15,750490,247370655.0,3.09,-1.19,-0.1,1.26
213,2024-12-18,节能风电,601016,8.23,8.41,8.46,8.23,992222,332117211.0,2.79,2.19,0.18,1.66
212,2024-12-17,节能风电,601016,8.31,8.23,8.36,8.15,612205,201200472.0,2.54,-0.6,-0.05,1.03
211,2024-12-16,节能风电,601016,8.25,8.28,8.41,8.25,559219,185328289.0,1.94,0.36,0.03,0.94
210,2024-12-13,节能风电,601016,8.49,8.25,8.51,8.25,798545,265257768.0,3.06,-3.06,-0.26,1.34
209,2024-12-12,节能风电,601016,8.49,8.51,8.51,8.41,575752,194282476.0,1.18,0.0,0.0,0.97
208,2024-12-11,节能风电,601016,8.33,8.51,8.51,8.31,847393,285756334.0,2.4,2.16,0.18,1.42
207,2024-12-10,节能风电,601016,8.57,8.33,8.64,8.31,873524,294062364.0,3.92,-0.95,-0.08,1.47
206,2024-12-09,节能风电,601016,8.46,8.41,8.54,8.36,703648,236688187.0,2.13,-0.59,-0.05,1.18
205,2024-12-06,节能风电,601016,8.25,8.46,8.51,8.25,920310,307912427.0,3.14,2.17,0.18,1.54
204,2024-12-05,节能风电,601016,8.31,8.28,8.36,8.23,598947,197700519.0,1.56,-0.6,-0.05,1.01
203,2024-12-04,节能风电,601016,8.44,8.33,8.51,8.28,1066823,355520145.0,2.69,-2.46,-0.21,1.79
202,2024-12-03,节能风电,601016,8.18,8.54,8.75,8.1,2203812,742039976.0,7.95,4.4,0.36,3.7
201,2024-12-02,节能风电,601016,7.99,8.18,8.2,7.97,716143,231686287.0,2.88,2.38,0.19,1.2
200,2024-11-29,节能风电,601016,7.99,7.99,8.05,7.94,550147,175580712.0,1.38,0.0,0.0,0.92
199,2024-11-28,节能风电,601016,7.89,7.99,8.05,7.86,637820,203074883.0,2.41,1.27,0.1,1.07
198,2024-11-27,节能风电,601016,7.81,7.89,7.92,7.66,637072,198010079.0,3.32,0.64,0.05,1.07
197,2024-11-26,节能风电,601016,7.81,7.84,7.86,7.76,456016,142443164.0,1.28,0.0,0.0,0.77
196,2024-11-25,节能风电,601016,7.81,7.84,7.89,7.73,550238,171840698.0,2.05,0.64,0.05,0.92
195,2024-11-22,节能风电,601016,8.05,7.79,8.12,7.79,740386,235623336.0,4.09,-3.47,-0.28,1.24
194,2024-11-21,节能风电,601016,8.1,8.07,8.18,8.02,499692,161166330.0,1.97,-0.62,-0.05,0.84
193,2024-11-20,节能风电,601016,8.12,8.12,8.15,8.02,581701,187871686.0,1.6,0.0,0.0,0.98
192,2024-11-19,节能风电,601016,8.1,8.12,8.18,7.97,622929,200808822.0,2.59,0.25,0.02,1.05
191,2024-11-18,节能风电,601016,7.99,8.1,8.28,7.99,942809,306778811.0,3.64,1.63,0.13,1.58
190,2024-11-15,节能风电,601016,8.07,7.97,8.15,7.94,673179,216106697.0,2.6,-1.24,-0.1,1.13
189,2024-11-14,节能风电,601016,8.25,8.07,8.31,8.07,669473,218242162.0,2.9,-2.54,-0.21,1.12
188,2024-11-13,节能风电,601016,8.31,8.28,8.38,8.18,738479,243243505.0,2.4,-0.6,-0.05,1.24
187,2024-11-12,节能风电,601016,8.51,8.33,8.54,8.25,905242,302610648.0,3.42,-1.88,-0.16,1.52
186,2024-11-11,节能风电,601016,8.51,8.49,8.59,8.38,785517,264787298.0,2.47,-0.24,-0.02,1.32
185,2024-11-08,节能风电,601016,8.64,8.51,8.8,8.49,1155406,395802146.0,3.6,-1.28,-0.11,1.94
184,2024-11-07,节能风电,601016,8.44,8.62,8.62,8.38,1076370,365560619.0,2.84,1.89,0.16,1.81
183,2024-11-06,节能风电,601016,8.46,8.46,8.57,8.38,941166,317510017.0,2.24,-0.35,-0.03,1.58
182,2024-11-05,节能风电,601016,8.31,8.49,8.49,8.23,1214360,407488208.0,3.13,2.17,0.18,2.04
181,2024-11-04,节能风电,601016,8.31,8.31,8.36,8.18,767929,253349954.0,2.17,0.36,0.03,1.29
180,2024-11-01,节能风电,601016,8.38,8.28,8.44,8.12,1072682,353402132.0,3.83,-0.96,-0.08,1.8
179,2024-10-31,节能风电,601016,8.18,8.36,8.46,8.18,1739991,578270927.0,3.49,4.24,0.34,2.92
178,2024-10-30,节能风电,601016,7.99,8.02,8.1,7.94,579083,185301686.0,1.99,-0.37,-0.03,0.97
177,2024-10-29,节能风电,601016,8.23,8.05,8.28,7.97,853479,275485059.0,3.77,-2.19,-0.18,1.43
176,2024-10-28,节能风电,601016,8.15,8.23,8.23,8.05,830063,269807350.0,2.21,0.98,0.08,1.39
175,2024-10-25,节能风电,601016,7.94,8.15,8.2,7.94,802807,258883522.0,3.26,2.26,0.18,1.35
174,2024-10-24,节能风电,601016,8.1,7.97,8.12,7.92,699059,222313004.0,2.45,-2.21,-0.18,1.17
173,2024-10-23,节能风电,601016,7.89,8.15,8.25,7.86,1413322,454554682.0,4.96,3.69,0.29,2.37
172,2024-10-22,节能风电,601016,7.71,7.86,7.89,7.68,747279,233039261.0,2.72,1.95,0.15,1.25
171,2024-10-21,节能风电,601016,7.79,7.71,7.84,7.66,778959,240882518.0,2.33,0.0,0.0,1.31
170,2024-10-18,节能风电,601016,7.58,7.71,7.89,7.53,908996,278671579.0,4.75,1.72,0.13,1.53
169,2024-10-17,节能风电,601016,7.76,7.58,7.81,7.58,652639,200294472.0,2.96,-2.32,-0.18,1.1
168,2024-10-16,节能风电,601016,7.66,7.76,7.81,7.63,662534,204433896.0,2.33,0.65,0.05,1.11
167,2024-10-15,节能风电,601016,7.89,7.71,7.92,7.68,717835,223966360.0,3.03,-2.65,-0.21,1.2
166,2024-10-14,节能风电,601016,7.86,7.92,7.97,7.79,707907,222889918.0,2.29,0.76,0.06,1.19
165,2024-10-11,节能风电,601016,8.1,7.86,8.12,7.76,748892,236864108.0,4.44,-2.96,-0.24,1.26
164,2024-10-10,节能风电,601016,7.94,8.1,8.25,7.86,1085376,349869312.0,4.91,2.02,0.16,1.82
163,2024-10-09,节能风电,601016,8.51,7.94,8.51,7.92,1517648,494093585.0,6.87,-7.57,-0.65,2.55
162,2024-10-08,节能风电,601016,9.11,8.59,9.11,8.25,2369350,818904226.0,10.42,4.12,0.34,3.98
161,2024-09-30,节能风电,601016,7.68,8.25,8.25,7.68,2073309,664186919.0,7.63,10.44,0.78,3.48
160,2024-09-27,节能风电,601016,7.32,7.47,7.53,7.27,703691,208604812.0,3.59,3.18,0.23,1.18
159,2024-09-26,节能风电,601016,7.03,7.24,7.24,6.98,667994,190880900.0,3.71,3.28,0.23,1.12
158,2024-09-25,节能风电,601016,6.98,7.01,7.19,6.98,664477,188827565.0,3.03,1.15,0.08,1.11
157,2024-09-24,节能风电,601016,6.72,6.93,6.93,6.69,562397,154604417.0,3.59,3.59,0.24,0.94
156,2024-09-23,节能风电,601016,6.69,6.69,6.75,6.67,204060,55021538.0,1.2,0.0,0.0,0.34
155,2024-09-20,节能风电,601016,6.72,6.69,6.72,6.64,192946,51773774.0,1.19,-0.45,-0.03,0.32
154,2024-09-19,节能风电,601016,6.56,6.72,6.75,6.56,351907,94339553.0,2.9,2.44,0.16,0.59
153,2024-09-18,节能风电,601016,6.56,6.56,6.59,6.41,222585,58230941.0,2.74,0.0,0.0,0.37
152,2024-09-13,节能风电,601016,6.56,6.56,6.62,6.51,189239,50094460.0,1.68,0.31,0.02,0.32
151,2024-09-12,节能风电,601016,6.51,6.54,6.62,6.51,216035,57137769.0,1.69,0.46,0.03,0.36
150,2024-09-11,节能风电,601016,6.59,6.51,6.59,6.49,203194,53479163.0,1.51,-1.66,-0.11,0.34
149,2024-09-10,节能风电,601016,6.59,6.62,6.64,6.46,292708,77003659.0,2.73,0.46,0.03,0.49
148,2024-09-09,节能风电,601016,6.69,6.59,6.69,6.56,253392,67311310.0,1.94,-1.49,-0.1,0.43
147,2024-09-06,节能风电,601016,6.75,6.69,6.77,6.67,203258,54812841.0,1.48,-0.89,-0.06,0.34
146,2024-09-05,节能风电,601016,6.72,6.75,6.77,6.69,198118,53606363.0,1.19,0.45,0.03,0.33
145,2024-09-04,节能风电,601016,6.77,6.72,6.82,6.69,251929,68384410.0,1.92,-0.74,-0.05,0.42
144,2024-09-03,节能风电,601016,6.77,6.77,6.82,6.75,282955,77095930.0,1.03,-0.44,-0.03,0.47
143,2024-09-02,节能风电,601016,6.98,6.8,7.01,6.8,413078,114299404.0,3.01,-2.58,-0.18,0.69
142,2024-08-30,节能风电,601016,6.98,6.98,7.08,6.95,462446,130330771.0,1.85,-0.43,-0.03,0.78
141,2024-08-29,节能风电,601016,6.9,7.01,7.03,6.85,319130,89140718.0,2.61,1.59,0.11,0.54
140,2024-08-28,节能风电,601016,6.85,6.9,6.95,6.82,291760,80794935.0,1.9,0.73,0.05,0.49
139,2024-08-27,节能风电,601016,6.98,6.85,7.01,6.82,305290,84432929.0,2.71,-2.28,-0.16,0.51
138,2024-08-26,节能风电,601016,6.93,7.01,7.03,6.93,235225,65925497.0,1.43,0.43,0.03,0.39
137,2024-08-23,节能风电,601016,7.06,6.98,7.08,6.93,337077,94508067.0,2.12,-1.41,-0.1,0.57
136,2024-08-22,节能风电,601016,7.16,7.08,7.19,7.06,276984,78974321.0,1.82,-0.84,-0.06,0.46
135,2024-08-21,节能风电,601016,7.24,7.14,7.27,7.14,288447,82969535.0,1.79,-1.79,-0.13,0.48
134,2024-08-20,节能风电,601016,7.34,7.27,7.37,7.21,354368,103215522.0,2.17,-1.36,-0.1,0.59
133,2024-08-19,节能风电,601016,7.32,7.37,7.4,7.29,240834,70880522.0,1.5,0.68,0.05,0.4
132,2024-08-16,节能风电,601016,7.42,7.32,7.42,7.32,280320,82555872.0,1.35,-1.35,-0.1,0.47
131,2024-08-15,节能风电,601016,7.34,7.42,7.45,7.32,353630,104690134.0,1.76,0.68,0.05,0.59
130,2024-08-14,节能风电,601016,7.37,7.37,7.42,7.29,309619,91362161.0,1.76,0.0,0.0,0.52
129,2024-08-13,节能风电,601016,7.32,7.37,7.4,7.27,310139,91082000.0,1.77,0.41,0.03,0.52
128,2024-08-12,节能风电,601016,7.32,7.34,7.47,7.32,542934,160420320.0,2.06,0.96,0.07,0.91
127,2024-08-09,节能风电,601016,7.34,7.27,7.4,7.27,298074,87358791.0,1.76,-1.36,-0.1,0.5
126,2024-08-08,节能风电,601016,7.34,7.37,7.37,7.29,220895,64882430.0,1.09,0.41,0.03,0.37
125,2024-08-07,节能风电,601016,7.37,7.34,7.4,7.32,263009,77461103.0,1.09,-0.41,-0.03,0.44
124,2024-08-06,节能风电,601016,7.34,7.37,7.42,7.29,265739,78178391.0,1.78,0.68,0.05,0.45
123,2024-08-05,节能风电,601016,7.4,7.32,7.5,7.29,460115,136148758.0,2.83,-1.35,-0.1,0.77
122,2024-08-02,节能风电,601016,7.47,7.42,7.53,7.42,293325,87634659.0,1.47,-1.07,-0.08,0.49
