,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,赛轮轮胎,601058,70.43,73.07,73.07,70.17,511284,777080901.0,4.14,4.19,2.94,1.55
240,2025-01-23,赛轮轮胎,601058,70.87,70.13,71.31,69.95,385647,569893554.0,1.92,-0.81,-0.57,1.17
239,2025-01-22,赛轮轮胎,601058,71.89,70.7,72.28,70.52,377230,561544354.0,2.43,-2.43,-1.76,1.15
238,2025-01-21,赛轮轮胎,601058,73.6,72.46,73.95,71.62,409145,624953676.0,3.17,-1.43,-1.05,1.24
237,2025-01-20,赛轮轮胎,601058,73.82,73.51,75.76,73.16,493359,771936715.0,3.55,0.35,0.26,1.5
236,2025-01-17,赛轮轮胎,601058,69.33,73.25,73.43,69.33,797190,1211808289.0,5.88,5.11,3.56,2.42
235,2025-01-16,赛轮轮胎,601058,69.42,69.69,70.39,69.16,210455,307711947.0,1.77,0.52,0.36,0.64
234,2025-01-15,赛轮轮胎,601058,70.35,69.33,70.43,69.16,197257,288253533.0,1.81,-1.45,-1.02,0.6
233,2025-01-14,赛轮轮胎,601058,67.71,70.35,70.35,67.62,476656,695409533.0,4.01,3.44,2.34,1.45
232,2025-01-13,赛轮轮胎,601058,68.15,68.01,69.73,67.88,223545,320634804.0,2.69,-0.96,-0.66,0.68
231,2025-01-10,赛轮轮胎,601058,69.2,68.67,69.42,68.41,170720,245779144.0,1.47,-0.26,-0.18,0.52
230,2025-01-09,赛轮轮胎,601058,69.95,68.85,70.3,68.63,227348,329712846.0,2.39,-1.52,-1.06,0.69
229,2025-01-08,赛轮轮胎,601058,69.2,69.91,69.99,68.63,299593,436302466.0,1.96,0.84,0.58,0.91
228,2025-01-07,赛轮轮胎,601058,67.05,69.33,70.08,66.83,500402,726351195.0,4.83,3.0,2.02,1.52
227,2025-01-06,赛轮轮胎,601058,66.52,67.31,68.54,66.34,302236,427243964.0,3.32,1.72,1.14,0.92
226,2025-01-03,赛轮轮胎,601058,66.69,66.17,67.66,66.12,252741,352958699.0,2.31,-0.78,-0.52,0.77
225,2025-01-02,赛轮轮胎,601058,68.54,66.69,68.54,66.43,310934,437324373.0,3.08,-2.57,-1.76,0.95
224,2024-12-31,赛轮轮胎,601058,68.98,68.45,69.16,68.06,239682,343967608.0,1.59,-0.77,-0.53,0.73
223,2024-12-30,赛轮轮胎,601058,68.32,68.98,69.51,67.97,279422,404336183.0,2.25,0.7,0.48,0.85
222,2024-12-27,赛轮轮胎,601058,69.03,68.5,69.07,68.19,176073,252652313.0,1.28,-0.25,-0.17,0.54
221,2024-12-26,赛轮轮胎,601058,68.23,68.67,68.76,67.88,160274,229825789.0,1.29,0.57,0.39,0.49
220,2024-12-25,赛轮轮胎,601058,68.94,68.28,69.07,68.1,187615,269126965.0,1.41,-0.64,-0.44,0.57
219,2024-12-24,赛轮轮胎,601058,67.66,68.72,68.76,67.66,279105,399835435.0,1.62,1.43,0.97,0.85
218,2024-12-23,赛轮轮胎,601058,67.44,67.75,68.45,67.22,327213,465166077.0,1.83,0.59,0.4,1.0
217,2024-12-20,赛轮轮胎,601058,67.53,67.35,68.1,67.13,239901,338335118.0,1.44,-0.27,-0.18,0.73
216,2024-12-19,赛轮轮胎,601058,67.66,67.53,68.06,67.13,184782,261055420.0,1.37,-0.78,-0.53,0.56
215,2024-12-18,赛轮轮胎,601058,68.19,68.06,68.5,67.88,190642,271610772.0,0.91,-0.06,-0.04,0.58
214,2024-12-17,赛轮轮胎,601058,67.88,68.1,68.98,67.88,283241,405712639.0,1.62,0.06,0.04,0.86
213,2024-12-16,赛轮轮胎,601058,67.93,68.06,68.41,66.83,411131,583466129.0,2.34,0.78,0.53,1.25
212,2024-12-13,赛轮轮胎,601058,68.89,67.53,69.2,67.53,707211,1008031288.0,2.41,-2.41,-1.67,2.15
211,2024-12-12,赛轮轮胎,601058,70.3,69.2,70.43,68.81,588110,853934189.0,2.3,-1.75,-1.23,1.79
210,2024-12-11,赛轮轮胎,601058,70.35,70.43,71.36,69.99,320942,476349796.0,1.94,-0.2,-0.14,0.98
209,2024-12-10,赛轮轮胎,601058,70.52,70.57,71.18,69.47,576563,851694163.0,2.46,1.66,1.15,1.75
208,2024-12-09,赛轮轮胎,601058,69.47,69.42,69.6,68.85,273530,396764680.0,1.08,0.19,0.13,0.83
207,2024-12-06,赛轮轮胎,601058,68.41,69.29,69.73,68.15,458510,665562704.0,2.31,1.42,0.97,1.39
206,2024-12-05,赛轮轮胎,601058,68.41,68.32,68.59,67.71,264546,377385136.0,1.28,-0.32,-0.22,0.8
205,2024-12-04,赛轮轮胎,601058,68.98,68.54,69.55,68.45,291620,420099676.0,1.59,-1.08,-0.75,0.89
204,2024-12-03,赛轮轮胎,601058,68.37,69.29,69.6,67.93,439393,632155760.0,2.44,1.23,0.84,1.34
203,2024-12-02,赛轮轮胎,601058,69.69,68.45,69.77,67.71,951539,1359707613.0,2.93,-2.7,-1.9,2.89
202,2024-11-29,赛轮轮胎,601058,69.25,70.35,70.92,69.07,393236,578578853.0,2.66,1.27,0.88,1.2
201,2024-11-28,赛轮轮胎,601058,68.76,69.47,69.86,67.93,337263,488421939.0,2.8,0.84,0.58,1.03
200,2024-11-27,赛轮轮胎,601058,67.84,68.89,68.89,67.53,244735,349665615.0,2.0,1.49,1.01,0.74
199,2024-11-26,赛轮轮胎,601058,67.57,67.88,68.72,67.09,226006,321654855.0,2.4,0.13,0.09,0.69
198,2024-11-25,赛轮轮胎,601058,68.85,67.79,69.2,67.53,285683,408780812.0,2.43,-1.35,-0.93,0.87
197,2024-11-22,赛轮轮胎,601058,68.89,68.72,69.47,67.88,404220,581016012.0,2.3,-0.56,-0.39,1.23
196,2024-11-21,赛轮轮胎,601058,69.42,69.11,69.55,68.85,306743,444062710.0,1.0,-1.07,-0.75,0.93
195,2024-11-20,赛轮轮胎,601058,70.83,69.86,71.31,69.03,516357,754827178.0,3.2,-1.85,-1.32,1.57
194,2024-11-19,赛轮轮胎,601058,69.64,71.18,71.36,69.55,556257,826105689.0,2.61,2.67,1.85,1.69
193,2024-11-18,赛轮轮胎,601058,69.69,69.33,70.96,69.11,421544,616977748.0,2.66,-0.45,-0.31,1.28
192,2024-11-15,赛轮轮胎,601058,70.35,69.64,70.83,69.64,337501,496582754.0,1.69,-1.07,-0.75,1.03
191,2024-11-14,赛轮轮胎,601058,72.41,70.39,72.9,70.35,545092,815595407.0,3.53,-2.49,-1.8,1.66
190,2024-11-13,赛轮轮胎,601058,70.52,72.19,72.72,69.73,712903,1074728184.0,4.22,1.86,1.32,2.17
189,2024-11-12,赛轮轮胎,601058,71.18,70.87,72.46,70.3,953259,1429442151.0,3.12,2.22,1.54,2.9
188,2024-11-11,赛轮轮胎,601058,69.6,69.33,69.99,67.93,497267,719579891.0,2.96,-0.39,-0.27,1.51
187,2024-11-08,赛轮轮胎,601058,69.25,69.6,70.43,68.5,623140,918063679.0,2.8,1.09,0.75,1.9
186,2024-11-07,赛轮轮胎,601058,67.97,68.85,69.64,66.34,817921,1178977854.0,4.8,0.06,0.04,2.49
185,2024-11-06,赛轮轮胎,601058,71.14,68.81,71.53,67.97,952813,1410702175.0,4.99,-3.51,-2.5,2.9
184,2024-11-05,赛轮轮胎,601058,71.62,71.31,71.71,69.77,562727,846353895.0,2.72,0.06,0.04,1.71
183,2024-11-04,赛轮轮胎,601058,70.61,71.27,71.8,69.77,532236,801981227.0,2.9,1.76,1.23,1.62
182,2024-11-01,赛轮轮胎,601058,68.1,70.04,71.09,68.06,742707,1094900064.0,4.42,2.11,1.45,2.26
181,2024-10-31,赛轮轮胎,601058,69.91,68.59,69.99,68.5,476220,694054505.0,2.14,-1.27,-0.88,1.45
180,2024-10-30,赛轮轮胎,601058,69.2,69.47,70.65,68.19,579714,848513019.0,3.55,0.39,0.27,1.76
179,2024-10-29,赛轮轮胎,601058,69.16,69.2,70.21,67.93,579599,844790513.0,3.31,0.45,0.31,1.76
178,2024-10-28,赛轮轮胎,601058,65.33,68.89,69.07,64.76,822211,1176327842.0,6.57,5.03,3.3,2.5
177,2024-10-25,赛轮轮胎,601058,65.9,65.59,66.34,65.02,447731,620041924.0,1.99,-0.94,-0.62,1.36
176,2024-10-24,赛轮轮胎,601058,66.21,66.21,66.3,64.89,386717,535460621.0,2.13,-0.14,-0.09,1.18
175,2024-10-23,赛轮轮胎,601058,65.24,66.3,66.69,64.71,647140,899002231.0,3.03,1.62,1.06,1.97
174,2024-10-22,赛轮轮胎,601058,64.71,65.24,65.81,64.19,503400,690448516.0,2.52,1.37,0.88,1.53
173,2024-10-21,赛轮轮胎,601058,66.69,64.36,67.31,63.57,1113721,1514179883.0,5.64,-2.93,-1.94,3.39
172,2024-10-18,赛轮轮胎,601058,64.93,66.3,67.49,64.89,547820,764463951.0,3.99,1.83,1.19,1.67
171,2024-10-17,赛轮轮胎,601058,66.34,65.11,67.22,65.11,416852,581060990.0,3.19,-1.53,-1.01,1.27
170,2024-10-16,赛轮轮胎,601058,67.05,66.12,67.84,65.86,470054,659719602.0,2.92,-2.59,-1.76,1.43
169,2024-10-15,赛轮轮胎,601058,69.86,67.88,70.21,67.75,495301,723621731.0,3.51,-3.21,-2.25,1.51
168,2024-10-14,赛轮轮胎,601058,69.73,70.13,70.92,67.88,520106,765779935.0,4.37,0.89,0.62,1.58
167,2024-10-11,赛轮轮胎,601058,72.02,69.51,73.16,68.54,645059,969274041.0,6.45,-3.01,-2.16,1.96
166,2024-10-10,赛轮轮胎,601058,70.83,71.67,73.12,70.04,687345,1046165711.0,4.37,1.63,1.15,2.09
165,2024-10-09,赛轮轮胎,601058,74.26,70.52,74.61,68.81,1046781,1589786639.0,7.68,-6.58,-4.97,3.18
164,2024-10-08,赛轮轮胎,601058,82.18,75.49,82.18,73.29,1246658,2037867608.0,11.8,0.23,0.17,3.79
163,2024-09-30,赛轮轮胎,601058,73.12,75.32,76.02,71.09,1233155,1925238578.0,6.93,5.95,4.23,3.75
162,2024-09-27,赛轮轮胎,601058,68.5,71.09,71.14,67.57,448719,660155361.0,5.26,4.65,3.16,1.36
161,2024-09-26,赛轮轮胎,601058,66.47,67.93,68.1,65.77,682529,960659520.0,3.48,1.59,1.06,2.08
160,2024-09-25,赛轮轮胎,601058,67.05,66.87,68.59,65.86,601946,854451107.0,4.06,-0.46,-0.31,1.83
159,2024-09-24,赛轮轮胎,601058,66.17,67.18,67.22,64.63,446187,623110055.0,3.94,2.08,1.37,1.36
158,2024-09-23,赛轮轮胎,601058,66.25,65.81,66.91,65.68,254176,354894833.0,1.87,0.2,0.13,0.77
157,2024-09-20,赛轮轮胎,601058,65.86,65.68,66.03,64.67,258161,355135802.0,2.06,-0.53,-0.35,0.79
156,2024-09-19,赛轮轮胎,601058,66.08,66.03,66.74,65.2,296602,412148014.0,2.34,0.2,0.13,0.9
155,2024-09-18,赛轮轮胎,601058,64.63,65.9,66.08,64.23,240638,332407647.0,2.86,1.97,1.27,0.73
154,2024-09-13,赛轮轮胎,601058,65.46,64.63,65.59,64.41,230306,314341399.0,1.8,-1.34,-0.88,0.7
