,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中国神华,601088,60.03,60.93,61.03,60.02,294570,1172778344.0,1.68,1.53,0.92,0.18
239,2025-01-24,中国神华,601088,59.55,60.01,60.33,59.13,362081,1413648472.0,2.02,1.13,0.67,0.22
238,2025-01-23,中国神华,601088,59.28,59.34,59.91,59.1,254596,983066790.0,1.37,0.54,0.32,0.15
237,2025-01-22,中国神华,601088,59.42,59.02,59.43,58.84,237790,905388715.0,1.0,-0.2,-0.12,0.14
236,2025-01-21,中国神华,601088,59.71,59.14,59.81,59.03,254690,976524409.0,1.31,-0.89,-0.53,0.15
235,2025-01-20,中国神华,601088,60.63,59.67,60.63,59.63,358526,1401060793.0,1.65,-1.44,-0.87,0.22
234,2025-01-17,中国神华,601088,60.61,60.54,60.99,60.4,251202,998189721.0,0.97,-0.15,-0.09,0.15
233,2025-01-16,中国神华,601088,60.28,60.63,60.85,59.98,310889,1229326895.0,1.45,0.81,0.49,0.19
232,2025-01-15,中国神华,601088,60.11,60.14,60.86,59.89,296397,1165666418.0,1.61,-0.18,-0.11,0.18
231,2025-01-14,中国神华,601088,60.13,60.25,60.25,59.62,308139,1202030435.0,1.05,0.72,0.43,0.19
230,2025-01-13,中国神华,601088,60.16,59.82,60.44,59.69,243307,950014027.0,1.25,-0.48,-0.29,0.15
229,2025-01-10,中国神华,601088,60.43,60.11,60.86,59.83,284883,1119437483.0,1.7,-0.64,-0.39,0.17
228,2025-01-09,中国神华,601088,61.43,60.5,61.59,60.43,404247,1608901506.0,1.88,-2.12,-1.31,0.25
227,2025-01-08,中国神华,601088,61.88,61.81,62.48,61.43,284577,1163425590.0,1.69,-0.35,-0.22,0.17
226,2025-01-07,中国神华,601088,62.76,62.03,62.85,61.71,218459,898530525.0,1.82,-1.13,-0.71,0.13
225,2025-01-06,中国神华,601088,63.13,62.74,63.26,62.35,215897,902132666.0,1.44,-0.41,-0.26,0.13
224,2025-01-03,中国神华,601088,63.85,63.0,63.94,62.9,240857,1020680626.0,1.64,-0.82,-0.52,0.15
223,2025-01-02,中国神华,601088,64.27,63.52,64.92,63.23,303614,1306206673.0,2.62,-1.38,-0.89,0.18
222,2024-12-31,中国神华,601088,63.83,64.41,64.9,63.63,358717,1563375731.0,1.99,1.1,0.7,0.22
221,2024-12-30,中国神华,601088,63.33,63.71,64.22,63.33,217621,932948660.0,1.41,0.93,0.59,0.13
220,2024-12-27,中国神华,601088,63.11,63.12,63.46,62.61,186498,785971308.0,1.35,0.1,0.06,0.11
219,2024-12-26,中国神华,601088,63.61,63.06,64.02,63.03,221777,938499373.0,1.55,-1.21,-0.77,0.13
218,2024-12-25,中国神华,601088,62.75,63.83,64.19,62.67,283469,1210170702.0,2.43,1.85,1.16,0.17
217,2024-12-24,中国神华,601088,62.63,62.67,62.91,62.09,195970,815761895.0,1.31,-0.06,-0.04,0.12
216,2024-12-23,中国神华,601088,62.13,62.71,63.1,61.91,334907,1397011568.0,1.91,0.71,0.44,0.2
215,2024-12-20,中国神华,601088,63.53,62.27,63.65,61.98,401080,1664064919.0,2.63,-2.0,-1.27,0.24
214,2024-12-19,中国神华,601088,63.65,63.54,64.28,63.43,172714,739556626.0,1.33,-0.7,-0.45,0.1
