,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,桐昆股份,601233,36.99,37.13,37.3,36.8,167990,195389559.0,1.35,0.38,0.14,0.7
240,2025-01-23,桐昆股份,601233,37.72,36.99,37.89,36.94,250974,295137653.0,2.54,-1.2,-0.45,1.05
239,2025-01-22,桐昆股份,601233,37.78,37.44,37.83,37.25,186351,219561928.0,1.53,-1.11,-0.42,0.78
238,2025-01-21,桐昆股份,601233,38.67,37.86,38.67,37.81,267020,319809931.0,2.23,-1.89,-0.73,1.11
237,2025-01-20,桐昆股份,601233,38.48,38.59,38.76,38.37,200556,244373124.0,1.02,0.52,0.2,0.84
236,2025-01-17,桐昆股份,601233,37.78,38.39,38.65,37.69,278087,336852493.0,2.53,1.32,0.5,1.16
235,2025-01-16,桐昆股份,601233,37.95,37.89,38.31,37.61,179861,215268864.0,1.85,0.0,0.0,0.75
234,2025-01-15,桐昆股份,601233,38.23,37.89,38.48,37.78,176378,211599370.0,1.82,-1.3,-0.5,0.74
233,2025-01-14,桐昆股份,601233,37.72,38.39,38.42,37.39,243116,291568920.0,2.73,1.61,0.61,1.01
232,2025-01-13,桐昆股份,601233,37.22,37.78,38.28,37.19,204084,243790405.0,2.91,0.75,0.28,0.85
231,2025-01-10,桐昆股份,601233,38.2,37.5,38.59,37.5,209630,250956005.0,2.85,-2.04,-0.78,0.87
230,2025-01-09,桐昆股份,601233,38.34,38.28,39.01,38.23,242101,294837711.0,2.02,-0.73,-0.28,1.01
229,2025-01-08,桐昆股份,601233,39.04,38.56,39.04,37.72,396809,479822776.0,3.37,-1.58,-0.62,1.66
228,2025-01-07,桐昆股份,601233,38.53,39.18,39.21,37.92,413540,506725289.0,3.37,2.35,0.9,1.73
227,2025-01-06,桐昆股份,601233,37.89,38.28,38.76,37.58,338806,410040256.0,3.1,0.45,0.17,1.41
226,2025-01-03,桐昆股份,601233,37.36,38.11,38.84,37.27,541958,655232798.0,4.2,1.87,0.7,2.26
225,2025-01-02,桐昆股份,601233,37.47,37.41,38.11,37.16,280682,332582734.0,2.53,-0.24,-0.09,1.17
224,2024-12-31,桐昆股份,601233,38.11,37.5,38.25,37.39,219006,259649060.0,2.26,-1.55,-0.59,0.91
223,2024-12-30,桐昆股份,601233,38.09,38.09,38.34,37.92,197635,237455579.0,1.1,-0.05,-0.02,0.82
222,2024-12-27,桐昆股份,601233,37.86,38.11,38.17,37.61,252334,301735174.0,1.48,0.87,0.33,1.05
221,2024-12-26,桐昆股份,601233,37.78,37.78,38.0,37.3,142973,170277834.0,1.85,0.08,0.03,0.6
220,2024-12-25,桐昆股份,601233,38.14,37.75,38.2,37.39,159623,189104471.0,2.12,-1.02,-0.39,0.67
219,2024-12-24,桐昆股份,601233,37.44,38.14,38.34,37.44,203758,244530408.0,2.4,1.57,0.59,0.85
218,2024-12-23,桐昆股份,601233,37.39,37.55,38.28,37.36,266967,318614409.0,2.46,0.43,0.16,1.11
217,2024-12-20,桐昆股份,601233,37.53,37.39,37.72,37.27,168438,198126075.0,1.2,-0.58,-0.22,0.7
216,2024-12-19,桐昆股份,601233,37.78,37.61,37.81,37.3,179018,211439352.0,1.34,-0.95,-0.36,0.75
215,2024-12-18,桐昆股份,601233,38.2,37.97,38.51,37.89,144424,173831773.0,1.62,-0.6,-0.23,0.6
214,2024-12-17,桐昆股份,601233,38.42,38.2,38.56,38.03,159438,192459862.0,1.38,-0.73,-0.28,0.67
213,2024-12-16,桐昆股份,601233,38.31,38.48,38.87,38.2,211212,256583774.0,1.75,0.29,0.11,0.88
212,2024-12-13,桐昆股份,601233,39.18,38.37,39.18,38.28,292970,357000772.0,2.29,-2.42,-0.95,1.22
211,2024-12-12,桐昆股份,601233,39.26,39.32,39.68,39.09,227341,283528682.0,1.5,-0.08,-0.03,0.95
