,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,广深铁路,601333,4.37,4.42,4.43,4.36,383268,124565099.0,1.6,0.91,0.04,0.68
240,2025-01-23,广深铁路,601333,4.37,4.38,4.44,4.36,448766,145962366.0,1.84,0.92,0.04,0.79
239,2025-01-22,广深铁路,601333,4.35,4.34,4.36,4.32,256431,81696398.0,0.92,-0.46,-0.02,0.45
238,2025-01-21,广深铁路,601333,4.39,4.36,4.4,4.35,311544,100288104.0,1.14,-0.68,-0.03,0.55
237,2025-01-20,广深铁路,601333,4.43,4.39,4.45,4.38,404671,132060108.0,1.58,-0.68,-0.03,0.72
236,2025-01-17,广深铁路,601333,4.4,4.42,4.43,4.37,270000,87903857.0,1.36,0.23,0.01,0.48
235,2025-01-16,广深铁路,601333,4.38,4.41,4.44,4.37,402443,131399956.0,1.6,0.92,0.04,0.71
234,2025-01-15,广深铁路,601333,4.4,4.37,4.43,4.36,365149,118213200.0,1.59,-0.68,-0.03,0.65
233,2025-01-14,广深铁路,601333,4.32,4.4,4.41,4.31,425175,137567817.0,2.31,1.85,0.08,0.75
232,2025-01-13,广深铁路,601333,4.28,4.32,4.32,4.25,347170,108945871.0,1.63,0.47,0.02,0.61
231,2025-01-10,广深铁路,601333,4.37,4.3,4.38,4.29,433147,137351276.0,2.06,-1.6,-0.07,0.77
230,2025-01-09,广深铁路,601333,4.42,4.37,4.43,4.35,424939,136836527.0,1.81,-1.13,-0.05,0.75
229,2025-01-08,广深铁路,601333,4.43,4.42,4.46,4.38,345850,113248296.0,1.81,-0.23,-0.01,0.61
228,2025-01-07,广深铁路,601333,4.46,4.43,4.47,4.38,426378,139425886.0,2.02,-0.67,-0.03,0.75
227,2025-01-06,广深铁路,601333,4.44,4.46,4.49,4.41,479747,158573092.0,1.8,0.45,0.02,0.85
226,2025-01-03,广深铁路,601333,4.47,4.44,4.52,4.44,539977,179540487.0,1.79,-0.67,-0.03,0.96
225,2025-01-02,广深铁路,601333,4.57,4.47,4.6,4.45,763844,256287970.0,3.28,-2.4,-0.11,1.35
224,2024-12-31,广深铁路,601333,4.63,4.58,4.67,4.57,517802,179317912.0,2.16,-1.08,-0.05,0.92
223,2024-12-30,广深铁路,601333,4.65,4.63,4.66,4.61,345183,120286893.0,1.08,-0.22,-0.01,0.61
222,2024-12-27,广深铁路,601333,4.58,4.64,4.66,4.57,687128,238931284.0,1.96,1.09,0.05,1.22
221,2024-12-26,广深铁路,601333,4.68,4.59,4.7,4.57,592029,204831101.0,2.78,-1.92,-0.09,1.05
220,2024-12-25,广深铁路,601333,4.65,4.68,4.69,4.62,483234,169356137.0,1.5,0.43,0.02,0.85
219,2024-12-24,广深铁路,601333,4.57,4.66,4.67,4.55,528788,183506671.0,2.63,2.19,0.1,0.94
