,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,东吴证券,601555,10.37,10.51,10.58,10.32,426985,327377803.0,2.5,1.15,0.12,0.86
240,2025-01-23,东吴证券,601555,10.46,10.39,10.69,10.36,520439,399858608.0,3.22,1.27,0.13,1.05
239,2025-01-22,东吴证券,601555,10.24,10.26,10.31,10.09,271291,203419980.0,2.14,-0.1,-0.01,0.55
238,2025-01-21,东吴证券,601555,10.42,10.27,10.44,10.19,283323,214050283.0,2.42,-0.48,-0.05,0.57
237,2025-01-20,东吴证券,601555,10.34,10.32,10.42,10.26,313288,237682060.0,1.56,0.78,0.08,0.63
236,2025-01-17,东吴证券,601555,10.19,10.24,10.32,10.15,293471,220482118.0,1.66,0.0,0.0,0.59
235,2025-01-16,东吴证券,601555,10.26,10.24,10.49,10.1,400954,302539944.0,3.82,0.2,0.02,0.81
234,2025-01-15,东吴证券,601555,10.14,10.22,10.27,10.1,459111,343812712.0,1.67,0.29,0.03,0.92
233,2025-01-14,东吴证券,601555,9.85,10.19,10.24,9.83,546934,405851469.0,4.17,3.66,0.36,1.1
232,2025-01-13,东吴证券,601555,9.66,9.83,9.87,9.63,282101,204207193.0,2.46,0.61,0.06,0.57
231,2025-01-10,东吴证券,601555,9.98,9.77,10.02,9.75,272645,199145448.0,2.71,-1.81,-0.18,0.55
230,2025-01-09,东吴证券,601555,10.02,9.95,10.1,9.92,253020,186789875.0,1.78,-1.39,-0.14,0.51
229,2025-01-08,东吴证券,601555,10.1,10.09,10.15,9.78,483064,355512559.0,3.65,-0.49,-0.05,0.97
228,2025-01-07,东吴证券,601555,10.14,10.14,10.19,9.97,365927,271948142.0,2.18,0.7,0.07,0.74
227,2025-01-06,东吴证券,601555,10.02,10.07,10.17,9.93,353792,261719731.0,2.4,0.5,0.05,0.71
226,2025-01-03,东吴证券,601555,10.19,10.02,10.34,9.95,513485,382841002.0,3.85,-1.18,-0.12,1.03
225,2025-01-02,东吴证券,601555,10.76,10.14,10.76,10.0,712907,543288182.0,7.1,-5.32,-0.57,1.43
224,2024-12-31,东吴证券,601555,11.42,10.71,11.44,10.71,813268,649931945.0,6.39,-6.22,-0.71,1.64
