,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,风范股份,601700,27.85,27.8,28.3,27.8,89708,38736171.0,1.8,0.0,0.0,0.79
239,2025-01-24,风范股份,601700,27.75,27.8,27.95,27.55,83657,35541204.0,1.44,-0.18,-0.05,0.73
238,2025-01-23,风范股份,601700,28.1,27.85,28.35,27.8,66813,28842421.0,1.97,-0.36,-0.1,0.58
237,2025-01-22,风范股份,601700,28.05,27.95,28.2,27.85,55892,24027478.0,1.25,-0.36,-0.1,0.49
236,2025-01-21,风范股份,601700,28.25,28.05,28.4,27.85,72286,31157627.0,1.95,-0.71,-0.2,0.63
235,2025-01-20,风范股份,601700,27.9,28.25,28.4,27.7,98437,42593615.0,2.52,1.8,0.5,0.86
234,2025-01-17,风范股份,601700,27.65,27.75,27.85,27.4,56177,23765202.0,1.63,0.36,0.1,0.49
233,2025-01-16,风范股份,601700,27.75,27.65,28.05,27.4,73300,31053117.0,2.36,0.18,0.05,0.64
232,2025-01-15,风范股份,601700,27.8,27.6,27.8,27.35,69358,29208470.0,1.62,-0.36,-0.1,0.61
231,2025-01-14,风范股份,601700,27.2,27.7,27.75,27.15,92513,38867047.0,2.22,2.59,0.7,0.81
230,2025-01-13,风范股份,601700,26.95,27.0,27.15,26.55,67484,27496022.0,2.22,-0.18,-0.05,0.59
229,2025-01-10,风范股份,601700,27.9,27.05,27.9,27.05,78330,32739932.0,3.08,-1.99,-0.55,0.69
228,2025-01-09,风范股份,601700,27.75,27.6,28.0,27.55,57651,24524986.0,1.62,-0.72,-0.2,0.5
227,2025-01-08,风范股份,601700,27.9,27.8,28.0,27.15,95012,40123097.0,3.05,-0.36,-0.1,0.83
226,2025-01-07,风范股份,601700,27.55,27.9,28.0,27.4,77966,33054013.0,2.17,0.72,0.2,0.68
225,2025-01-06,风范股份,601700,27.0,27.7,27.9,26.65,142426,59263528.0,4.51,0.0,0.0,1.25
224,2025-01-03,风范股份,601700,28.45,27.7,28.65,27.6,107608,46468574.0,3.69,-2.64,-0.75,0.94
223,2025-01-02,风范股份,601700,29.15,28.45,29.2,28.2,94993,42105309.0,3.45,-1.9,-0.55,0.83
222,2024-12-31,风范股份,601700,29.65,29.0,29.75,28.9,98866,44872415.0,2.87,-2.03,-0.6,0.87
221,2024-12-30,风范股份,601700,30.0,29.6,30.2,29.5,82997,38501137.0,2.33,-1.5,-0.45,0.73
220,2024-12-27,风范股份,601700,29.45,30.05,30.15,29.3,106128,49737012.0,2.9,2.39,0.7,0.93
219,2024-12-26,风范股份,601700,29.25,29.35,29.6,29.15,57188,26252574.0,1.54,0.17,0.05,0.5
218,2024-12-25,风范股份,601700,29.75,29.3,29.8,28.95,101067,45945331.0,2.86,-1.35,-0.4,0.88
217,2024-12-24,风范股份,601700,29.5,29.7,30.1,29.5,81613,37924410.0,2.03,0.68,0.2,0.71
216,2024-12-23,风范股份,601700,30.55,29.5,30.75,29.4,157536,73620467.0,4.42,-3.44,-1.05,1.38
215,2024-12-20,风范股份,601700,30.75,30.55,30.8,30.45,96671,46580493.0,1.14,-0.81,-0.25,0.85
214,2024-12-19,风范股份,601700,30.45,30.8,30.9,30.2,104405,50366917.0,2.3,0.98,0.3,0.91
213,2024-12-18,风范股份,601700,30.5,30.5,30.8,30.3,82229,39600454.0,1.64,0.33,0.1,0.72
212,2024-12-17,风范股份,601700,31.25,30.4,31.25,30.35,142261,68829239.0,2.89,-2.41,-0.75,1.25
211,2024-12-16,风范股份,601700,31.25,31.15,31.6,31.1,109613,54476692.0,1.6,-0.32,-0.1,0.96
210,2024-12-13,风范股份,601700,31.75,31.25,31.8,31.25,155813,77764440.0,1.73,-1.88,-0.6,1.36
209,2024-12-12,风范股份,601700,31.9,31.85,32.15,31.6,146873,74437829.0,1.73,0.0,0.0,1.29
208,2024-12-11,风范股份,601700,31.4,31.85,31.9,31.35,210099,106033959.0,1.75,1.59,0.5,1.84
207,2024-12-10,风范股份,601700,31.95,31.35,32.2,31.35,196627,98922607.0,2.69,-0.63,-0.2,1.72
206,2024-12-09,风范股份,601700,31.7,31.55,31.8,31.3,148192,74145026.0,1.58,-0.47,-0.15,1.3
205,2024-12-06,风范股份,601700,31.35,31.7,31.75,31.1,178364,88982937.0,2.07,0.96,0.3,1.56
204,2024-12-05,风范股份,601700,31.45,31.4,31.55,31.2,167159,83073506.0,1.11,0.0,0.0,1.46
203,2024-12-04,风范股份,601700,31.8,31.4,31.95,31.25,186543,93504025.0,2.2,-1.1,-0.35,1.63
202,2024-12-03,风范股份,601700,31.95,31.75,32.0,31.5,161582,81456678.0,1.57,-0.47,-0.15,1.41
201,2024-12-02,风范股份,601700,31.45,31.9,32.1,31.3,230021,116686047.0,2.54,1.43,0.45,2.01
200,2024-11-29,风范股份,601700,31.35,31.45,31.9,31.2,191949,96090347.0,2.23,0.32,0.1,1.68
199,2024-11-28,风范股份,601700,31.2,31.35,31.95,31.05,195911,98180253.0,2.88,0.48,0.15,1.72
198,2024-11-27,风范股份,601700,30.75,31.2,31.25,30.15,191962,92621383.0,3.54,0.32,0.1,1.68
197,2024-11-26,风范股份,601700,31.0,31.1,32.4,31.0,212586,106514936.0,4.54,0.81,0.25,1.86
196,2024-11-25,风范股份,601700,31.0,30.85,31.1,30.3,141625,68459595.0,2.61,0.49,0.15,1.24
195,2024-11-22,风范股份,601700,31.9,30.7,32.15,30.6,304393,151241469.0,4.82,-4.51,-1.45,2.66
