,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,美凯龙,601828,4.26,4.22,4.35,4.22,197077,57982325.0,3.06,-0.71,-0.03,0.55
239,2025-01-24,美凯龙,601828,4.28,4.25,4.3,4.24,221059,64728891.0,1.4,-0.7,-0.03,0.61
238,2025-01-23,美凯龙,601828,4.3,4.28,4.4,4.28,257941,77334226.0,2.8,0.0,0.0,0.71
237,2025-01-22,美凯龙,601828,4.34,4.28,4.35,4.26,199445,58918295.0,2.06,-1.83,-0.08,0.55
236,2025-01-21,美凯龙,601828,4.42,4.36,4.46,4.34,275763,83943609.0,2.73,-0.91,-0.04,0.76
235,2025-01-20,美凯龙,601828,4.43,4.4,4.46,4.31,264273,80512966.0,3.37,-1.12,-0.05,0.73
234,2025-01-17,美凯龙,601828,4.46,4.45,4.48,4.41,154058,47658725.0,1.57,-0.45,-0.02,0.43
233,2025-01-16,美凯龙,601828,4.43,4.47,4.56,4.43,261842,82239362.0,2.93,0.9,0.04,0.72
232,2025-01-15,美凯龙,601828,4.44,4.43,4.46,4.36,203909,62550225.0,2.25,-0.23,-0.01,0.56
231,2025-01-14,美凯龙,601828,4.3,4.44,4.46,4.29,250275,76095669.0,3.95,3.26,0.14,0.69
230,2025-01-13,美凯龙,601828,4.24,4.3,4.3,4.17,212912,62019220.0,3.04,0.47,0.02,0.59
229,2025-01-10,美凯龙,601828,4.46,4.28,4.47,4.28,281104,84892437.0,4.27,-3.82,-0.17,0.78
228,2025-01-09,美凯龙,601828,4.41,4.45,4.5,4.37,224724,69671706.0,2.93,0.45,0.02,0.62
227,2025-01-08,美凯龙,601828,4.39,4.43,4.46,4.32,288283,87794376.0,3.17,0.23,0.01,0.8
226,2025-01-07,美凯龙,601828,4.39,4.42,4.42,4.32,258908,78375491.0,2.28,0.68,0.03,0.72
225,2025-01-06,美凯龙,601828,4.34,4.39,4.48,4.34,305949,93212001.0,3.15,-1.35,-0.06,0.85
224,2025-01-03,美凯龙,601828,4.62,4.45,4.62,4.43,452245,142462653.0,4.09,-4.09,-0.19,1.25
223,2025-01-02,美凯龙,601828,4.56,4.64,4.85,4.56,657968,219582537.0,6.35,1.53,0.07,1.82
222,2024-12-31,美凯龙,601828,4.66,4.57,4.73,4.56,261138,85528975.0,3.65,-1.93,-0.09,0.72
221,2024-12-30,美凯龙,601828,4.75,4.66,4.76,4.61,268397,87973105.0,3.16,-1.69,-0.08,0.74
220,2024-12-27,美凯龙,601828,4.69,4.74,4.81,4.69,288881,97983866.0,2.53,-0.21,-0.01,0.8
219,2024-12-26,美凯龙,601828,4.76,4.75,4.8,4.7,262812,88472594.0,2.11,0.21,0.01,0.73
218,2024-12-25,美凯龙,601828,4.8,4.74,4.81,4.65,355488,118639464.0,3.33,-1.25,-0.06,0.98
217,2024-12-24,美凯龙,601828,4.8,4.8,4.83,4.73,293317,99641619.0,2.08,-0.21,-0.01,0.81
216,2024-12-23,美凯龙,601828,4.97,4.81,4.99,4.79,384608,133495729.0,4.01,-3.61,-0.18,1.06
215,2024-12-20,美凯龙,601828,5.02,4.99,5.06,4.97,297092,107128099.0,1.8,-0.2,-0.01,0.82
214,2024-12-19,美凯龙,601828,5.07,5.0,5.1,4.95,515650,185675938.0,2.92,-2.53,-0.13,1.43
213,2024-12-18,美凯龙,601828,5.18,5.13,5.24,5.11,470294,176052180.0,2.54,0.2,0.01,1.3
212,2024-12-17,美凯龙,601828,5.46,5.12,5.46,5.1,1074570,407040715.0,6.61,-6.06,-0.33,2.97
211,2024-12-16,美凯龙,601828,5.44,5.45,5.63,5.43,873469,355274000.0,3.68,0.18,0.01,2.42
210,2024-12-13,美凯龙,601828,5.63,5.44,5.64,5.44,1156295,470659400.0,3.49,-5.06,-0.29,3.2
209,2024-12-12,美凯龙,601828,5.5,5.73,5.8,5.42,1354031,564508787.0,6.9,3.99,0.22,3.75
208,2024-12-11,美凯龙,601828,5.23,5.51,5.52,5.22,1112285,442579720.0,5.71,4.95,0.26,3.08
207,2024-12-10,美凯龙,601828,5.47,5.25,5.53,5.23,812601,320417055.0,5.71,0.0,0.0,2.25
206,2024-12-09,美凯龙,601828,5.35,5.25,5.43,5.19,598438,230442038.0,4.49,-1.87,-0.1,1.66
205,2024-12-06,美凯龙,601828,5.28,5.35,5.41,5.21,719109,279722157.0,3.8,1.52,0.08,1.99
204,2024-12-05,美凯龙,601828,5.19,5.27,5.28,5.16,489003,185711932.0,2.3,1.15,0.06,1.35
203,2024-12-04,美凯龙,601828,5.22,5.21,5.41,5.18,620952,238981448.0,4.36,-1.14,-0.06,1.72
202,2024-12-03,美凯龙,601828,5.29,5.27,5.33,5.21,639361,245604371.0,2.26,-0.94,-0.05,1.77
201,2024-12-02,美凯龙,601828,5.22,5.32,5.5,5.17,1066811,414793138.0,6.4,3.1,0.16,2.95
