,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,亚星锚链,601890,21.73,22.0,22.02,21.68,103497,79698079.0,1.56,0.64,0.14,1.08
240,2025-01-23,亚星锚链,601890,22.21,21.86,22.37,21.84,153522,119327318.0,2.41,-0.73,-0.16,1.6
239,2025-01-22,亚星锚链,601890,22.21,22.02,22.26,21.92,102652,79493084.0,1.53,-1.08,-0.24,1.07
238,2025-01-21,亚星锚链,601890,22.32,22.26,22.37,21.92,146681,113970387.0,2.03,0.23,0.05,1.53
237,2025-01-20,亚星锚链,601890,22.37,22.21,22.53,21.97,255536,200639539.0,2.52,-0.22,-0.05,2.66
236,2025-01-17,亚星锚链,601890,23.22,22.26,24.53,22.21,551662,453632780.0,10.35,-0.71,-0.16,5.75
235,2025-01-16,亚星锚链,601890,22.42,22.42,22.61,22.18,167337,131831344.0,1.93,0.58,0.13,1.74
234,2025-01-15,亚星锚链,601890,22.53,22.29,22.56,22.02,163169,127445231.0,2.41,-0.71,-0.16,1.7
233,2025-01-14,亚星锚链,601890,21.33,22.45,22.53,21.01,348826,270002522.0,7.27,7.42,1.55,3.64
232,2025-01-13,亚星锚链,601890,20.64,20.9,21.06,20.56,94196,68737539.0,2.41,0.63,0.13,0.98
231,2025-01-10,亚星锚链,601890,21.01,20.77,21.17,20.77,107606,79044663.0,1.9,-1.38,-0.29,1.12
230,2025-01-09,亚星锚链,601890,20.93,21.06,21.3,20.93,126294,93341768.0,1.75,-0.38,-0.08,1.32
229,2025-01-08,亚星锚链,601890,21.09,21.14,21.33,20.61,148858,109605098.0,3.4,-0.14,-0.03,1.55
228,2025-01-07,亚星锚链,601890,20.9,21.17,21.2,20.8,114898,84476474.0,1.91,1.0,0.21,1.2
227,2025-01-06,亚星锚链,601890,21.12,20.96,21.46,20.77,229569,169680343.0,3.17,-3.68,-0.8,2.39
226,2025-01-03,亚星锚链,601890,21.68,21.76,22.93,21.52,385398,300757569.0,6.59,1.78,0.38,4.02
225,2025-01-02,亚星锚链,601890,21.94,21.38,22.16,21.17,186786,142308066.0,4.47,-3.52,-0.78,1.95
224,2024-12-31,亚星锚链,601890,22.8,22.16,22.8,22.1,179160,140885787.0,3.07,-2.68,-0.61,1.87
223,2024-12-30,亚星锚链,601890,22.9,22.77,23.17,22.64,152762,122996241.0,2.31,-0.7,-0.16,1.59
222,2024-12-27,亚星锚链,601890,22.58,22.93,23.04,22.58,167892,135233323.0,2.04,1.91,0.43,1.75
