,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,招商南油,601975,3.17,3.18,3.21,3.17,792692,252516189.0,1.26,0.32,0.01,1.65
239,2025-01-24,招商南油,601975,3.17,3.17,3.18,3.15,874735,276937440.0,0.95,0.0,0.0,1.82
238,2025-01-23,招商南油,601975,3.21,3.17,3.23,3.16,1089665,348416439.0,2.19,-0.63,-0.02,2.27
237,2025-01-22,招商南油,601975,3.23,3.19,3.23,3.16,892920,284656681.0,2.16,-1.54,-0.05,1.86
236,2025-01-21,招商南油,601975,3.24,3.24,3.26,3.19,908909,292941053.0,2.16,0.0,0.0,1.89
235,2025-01-20,招商南油,601975,3.33,3.24,3.35,3.23,1442248,471094358.0,3.61,-2.41,-0.08,3.0
234,2025-01-17,招商南油,601975,3.26,3.32,3.34,3.25,1180704,390365118.0,2.74,1.22,0.04,2.46
233,2025-01-16,招商南油,601975,3.27,3.28,3.32,3.25,1218563,400172812.0,2.13,0.0,0.0,2.54
232,2025-01-15,招商南油,601975,3.23,3.28,3.39,3.21,2389973,786913957.0,5.56,1.23,0.04,4.98
231,2025-01-14,招商南油,601975,3.16,3.24,3.25,3.14,1781427,574815751.0,3.47,2.21,0.07,3.71
230,2025-01-13,招商南油,601975,3.14,3.17,3.26,3.14,1774211,567123613.0,3.9,2.92,0.09,3.69
229,2025-01-10,招商南油,601975,3.13,3.08,3.17,3.08,856775,267110256.0,2.88,-1.6,-0.05,1.78
228,2025-01-09,招商南油,601975,3.19,3.13,3.19,3.11,1326394,416379040.0,2.47,-3.4,-0.11,2.76
227,2025-01-08,招商南油,601975,3.11,3.24,3.28,3.11,2460030,790884919.0,5.52,5.19,0.16,5.12
226,2025-01-07,招商南油,601975,3.1,3.08,3.11,3.05,623485,191692747.0,1.94,-0.65,-0.02,1.3
225,2025-01-06,招商南油,601975,3.14,3.1,3.17,3.08,746891,232857408.0,2.87,-1.27,-0.04,1.56
224,2025-01-03,招商南油,601975,3.09,3.14,3.18,3.09,1137022,357143178.0,2.92,1.95,0.06,2.37
223,2025-01-02,招商南油,601975,3.14,3.08,3.18,3.06,793686,247647218.0,3.83,-1.6,-0.05,1.65
222,2024-12-31,招商南油,601975,3.19,3.13,3.2,3.13,681935,216036951.0,2.19,-1.88,-0.06,1.42
221,2024-12-30,招商南油,601975,3.17,3.19,3.21,3.16,793753,253038739.0,1.58,0.63,0.02,1.65
220,2024-12-27,招商南油,601975,3.13,3.17,3.17,3.12,634058,200022683.0,1.59,0.96,0.03,1.32
219,2024-12-26,招商南油,601975,3.16,3.14,3.17,3.12,618040,194390186.0,1.58,-0.95,-0.03,1.29
218,2024-12-25,招商南油,601975,3.16,3.17,3.18,3.14,537705,169831479.0,1.27,0.32,0.01,1.12
217,2024-12-24,招商南油,601975,3.1,3.16,3.19,3.09,823914,260224836.0,3.23,1.94,0.06,1.72
216,2024-12-23,招商南油,601975,3.08,3.1,3.13,3.08,777067,241489183.0,1.62,0.65,0.02,1.62
215,2024-12-20,招商南油,601975,3.1,3.08,3.12,3.08,532275,164692052.0,1.29,-0.96,-0.03,1.11
214,2024-12-19,招商南油,601975,3.09,3.11,3.11,3.06,696810,214979566.0,1.6,-0.32,-0.01,1.45
213,2024-12-18,招商南油,601975,3.14,3.12,3.18,3.11,802653,252903122.0,2.24,-0.32,-0.01,1.67
212,2024-12-17,招商南油,601975,3.16,3.13,3.19,3.12,795683,250769678.0,2.22,-0.95,-0.03,1.66
211,2024-12-16,招商南油,601975,3.16,3.16,3.19,3.14,657747,208190128.0,1.58,0.0,0.0,1.37
210,2024-12-13,招商南油,601975,3.26,3.16,3.27,3.15,1301033,415236387.0,3.67,-3.36,-0.11,2.71
209,2024-12-12,招商南油,601975,3.26,3.27,3.28,3.24,840255,274113363.0,1.23,0.62,0.02,1.75
208,2024-12-11,招商南油,601975,3.21,3.25,3.26,3.2,805921,261198836.0,1.86,0.93,0.03,1.68
207,2024-12-10,招商南油,601975,3.29,3.22,3.3,3.21,1009623,327512706.0,2.8,0.31,0.01,2.1
206,2024-12-09,招商南油,601975,3.24,3.21,3.3,3.2,978808,317632941.0,3.09,-0.93,-0.03,2.04
205,2024-12-06,招商南油,601975,3.15,3.24,3.25,3.15,1289851,413796927.0,3.17,2.86,0.09,2.69
204,2024-12-05,招商南油,601975,3.16,3.15,3.17,3.14,658901,207880992.0,0.95,-0.63,-0.02,1.37
203,2024-12-04,招商南油,601975,3.17,3.17,3.2,3.16,701476,223206060.0,1.26,-0.31,-0.01,1.46
202,2024-12-03,招商南油,601975,3.18,3.18,3.19,3.14,873813,276475015.0,1.57,0.0,0.0,1.82
201,2024-12-02,招商南油,601975,3.16,3.18,3.2,3.14,884108,281008065.0,1.91,1.27,0.04,1.84
200,2024-11-29,招商南油,601975,3.08,3.14,3.16,3.08,1041134,325829222.0,2.6,1.95,0.06,2.17
199,2024-11-28,招商南油,601975,3.1,3.08,3.12,3.07,734683,227144314.0,1.6,-1.28,-0.04,1.53
198,2024-11-27,招商南油,601975,3.09,3.12,3.12,3.03,904426,277507104.0,2.91,0.97,0.03,1.88
197,2024-11-26,招商南油,601975,3.09,3.09,3.12,3.08,641846,199223660.0,1.29,-0.32,-0.01,1.34
196,2024-11-25,招商南油,601975,3.14,3.1,3.15,3.07,928767,288547693.0,2.56,-0.96,-0.03,1.93
195,2024-11-22,招商南油,601975,3.25,3.13,3.27,3.13,1134237,362158928.0,4.31,-3.69,-0.12,2.36
194,2024-11-21,招商南油,601975,3.28,3.25,3.28,3.23,711229,231146319.0,1.52,-0.91,-0.03,1.48
193,2024-11-20,招商南油,601975,3.26,3.28,3.29,3.25,798565,260966860.0,1.22,0.31,0.01,1.66
192,2024-11-19,招商南油,601975,3.29,3.27,3.29,3.21,900794,292703095.0,2.44,-0.3,-0.01,1.88
191,2024-11-18,招商南油,601975,3.27,3.28,3.34,3.27,1093658,361184692.0,2.14,0.31,0.01,2.28
190,2024-11-15,招商南油,601975,3.28,3.27,3.34,3.26,945514,311807023.0,2.44,-0.3,-0.01,1.97
189,2024-11-14,招商南油,601975,3.36,3.28,3.37,3.27,1005850,333903415.0,2.97,-2.67,-0.09,2.09
188,2024-11-13,招商南油,601975,3.33,3.37,3.37,3.32,937711,313910575.0,1.49,0.6,0.02,1.95
187,2024-11-12,招商南油,601975,3.41,3.35,3.43,3.32,1492682,504982182.0,3.23,-1.76,-0.06,3.11
186,2024-11-11,招商南油,601975,3.41,3.41,3.43,3.36,1491839,505299433.0,2.03,-0.87,-0.03,3.11
185,2024-11-08,招商南油,601975,3.51,3.44,3.53,3.43,1572792,544663368.0,2.87,-1.15,-0.04,3.28
184,2024-11-07,招商南油,601975,3.39,3.48,3.48,3.36,1531881,527119310.0,3.52,2.05,0.07,3.19
183,2024-11-06,招商南油,601975,3.4,3.41,3.51,3.38,1673599,573008467.0,3.82,0.29,0.01,3.49
182,2024-11-05,招商南油,601975,3.34,3.4,3.4,3.33,1735282,585619033.0,2.09,1.49,0.05,3.61
181,2024-11-04,招商南油,601975,3.36,3.35,3.38,3.3,1165859,388539239.0,2.38,-0.3,-0.01,2.43
180,2024-11-01,招商南油,601975,3.38,3.36,3.41,3.32,1460331,491906378.0,2.65,-0.88,-0.03,3.04
179,2024-10-31,招商南油,601975,3.32,3.39,3.39,3.29,1610246,541104561.0,3.0,1.8,0.06,3.35
178,2024-10-30,招商南油,601975,3.25,3.33,3.39,3.23,2015966,670951097.0,4.91,2.15,0.07,4.2
177,2024-10-29,招商南油,601975,3.34,3.26,3.38,3.25,1656416,547285923.0,3.9,-2.1,-0.07,3.45
176,2024-10-28,招商南油,601975,3.31,3.33,3.34,3.27,1601801,528612177.0,2.11,0.6,0.02,3.34
175,2024-10-25,招商南油,601975,3.27,3.31,3.33,3.26,1312594,432790393.0,2.15,1.85,0.06,2.73
174,2024-10-24,招商南油,601975,3.27,3.25,3.27,3.22,813056,263292709.0,1.52,-1.22,-0.04,1.69
173,2024-10-23,招商南油,601975,3.3,3.29,3.32,3.26,1123620,369799961.0,1.82,0.0,0.0,2.34
172,2024-10-22,招商南油,601975,3.27,3.29,3.32,3.24,1078373,352880710.0,2.43,0.0,0.0,2.25
171,2024-10-21,招商南油,601975,3.34,3.29,3.36,3.26,1219394,402184953.0,3.06,0.61,0.02,2.54
170,2024-10-18,招商南油,601975,3.17,3.27,3.32,3.16,1370239,442668378.0,5.03,2.83,0.09,2.85
169,2024-10-17,招商南油,601975,3.26,3.18,3.29,3.18,972409,313462608.0,3.38,-2.15,-0.07,2.03
168,2024-10-16,招商南油,601975,3.24,3.25,3.28,3.2,1063235,344809820.0,2.44,-0.91,-0.03,2.21
167,2024-10-15,招商南油,601975,3.4,3.28,3.42,3.28,1700892,566385689.0,4.15,-2.67,-0.09,3.54
166,2024-10-14,招商南油,601975,3.21,3.37,3.39,3.2,2024483,667308930.0,6.03,6.98,0.22,4.22
165,2024-10-11,招商南油,601975,3.28,3.15,3.28,3.1,1235002,391934873.0,5.52,-3.37,-0.11,2.57
164,2024-10-10,招商南油,601975,3.19,3.26,3.34,3.18,1563194,509348125.0,5.06,3.16,0.1,3.26
163,2024-10-09,招商南油,601975,3.45,3.16,3.45,3.16,2127802,696821979.0,8.29,-9.71,-0.34,4.43
162,2024-10-08,招商南油,601975,3.81,3.5,3.81,3.35,3000517,1062912090.0,13.29,1.16,0.04,6.25
161,2024-09-30,招商南油,601975,3.33,3.46,3.5,3.25,2329338,788634533.0,7.86,8.81,0.28,4.85
160,2024-09-27,招商南油,601975,3.11,3.18,3.18,3.08,965674,301507385.0,3.27,3.92,0.12,2.01
159,2024-09-26,招商南油,601975,2.95,3.06,3.06,2.94,977719,292444861.0,4.05,3.38,0.1,2.04
158,2024-09-25,招商南油,601975,2.97,2.96,3.06,2.94,1182518,354713815.0,4.1,1.02,0.03,2.46
157,2024-09-24,招商南油,601975,2.85,2.93,2.93,2.84,996137,288362315.0,3.17,3.17,0.09,2.07
156,2024-09-23,招商南油,601975,2.83,2.84,2.86,2.82,393659,111683675.0,1.41,0.0,0.0,0.82
155,2024-09-20,招商南油,601975,2.85,2.84,2.86,2.82,425734,120780926.0,1.4,-0.7,-0.02,0.89
154,2024-09-19,招商南油,601975,2.82,2.86,2.91,2.79,668428,190439053.0,4.27,1.78,0.05,1.39
153,2024-09-18,招商南油,601975,2.79,2.81,2.82,2.75,366510,102038418.0,2.52,1.08,0.03,0.76
152,2024-09-13,招商南油,601975,2.8,2.78,2.83,2.78,328674,92001194.0,1.79,-0.71,-0.02,0.68
151,2024-09-12,招商南油,601975,2.78,2.8,2.83,2.75,607533,170781249.0,2.89,1.08,0.03,1.27
150,2024-09-11,招商南油,601975,2.81,2.77,2.82,2.73,630492,174144467.0,3.18,-2.12,-0.06,1.31
149,2024-09-10,招商南油,601975,2.83,2.83,2.86,2.78,469291,131955349.0,2.84,0.35,0.01,0.98
148,2024-09-09,招商南油,601975,2.86,2.82,2.87,2.79,685415,192881833.0,2.78,-2.08,-0.06,1.43
147,2024-09-06,招商南油,601975,2.93,2.88,2.95,2.87,519739,151090206.0,2.73,-1.71,-0.05,1.08
146,2024-09-05,招商南油,601975,2.94,2.93,2.96,2.9,512057,149654000.0,2.04,-0.34,-0.01,1.07
145,2024-09-04,招商南油,601975,3.02,2.94,3.03,2.94,736343,218896707.0,2.96,-3.29,-0.1,1.53
144,2024-09-03,招商南油,601975,3.05,3.04,3.09,3.02,506869,154308530.0,2.28,-0.98,-0.03,1.06
143,2024-09-02,招商南油,601975,3.05,3.07,3.13,3.05,871057,269500428.0,2.62,0.66,0.02,1.81
142,2024-08-30,招商南油,601975,3.02,3.05,3.09,3.01,705317,215579638.0,2.64,0.66,0.02,1.47
141,2024-08-29,招商南油,601975,3.02,3.03,3.04,2.97,545082,163876823.0,2.31,0.0,0.0,1.14
140,2024-08-28,招商南油,601975,2.99,3.03,3.03,2.98,453527,136739892.0,1.67,1.34,0.04,0.94
139,2024-08-27,招商南油,601975,3.0,2.99,3.02,2.97,309474,92605366.0,1.66,-0.66,-0.02,0.64
138,2024-08-26,招商南油,601975,2.98,3.01,3.02,2.97,393127,117951254.0,1.68,1.35,0.04,0.82
137,2024-08-23,招商南油,601975,2.99,2.97,3.02,2.96,424008,126530284.0,2.01,-0.67,-0.02,0.88
136,2024-08-22,招商南油,601975,3.01,2.99,3.02,2.98,411329,123239971.0,1.32,-0.99,-0.03,0.86
135,2024-08-21,招商南油,601975,3.05,3.02,3.05,2.97,562450,169129291.0,2.65,0.0,0.0,1.17
134,2024-08-20,招商南油,601975,3.11,3.02,3.12,3.0,735474,223213190.0,3.86,-2.89,-0.09,1.53
133,2024-08-19,招商南油,601975,3.08,3.11,3.19,3.07,804088,252274672.0,3.9,0.97,0.03,1.67
132,2024-08-16,招商南油,601975,3.08,3.08,3.13,3.06,736867,228388698.0,2.3,1.32,0.04,1.53
131,2024-08-15,招商南油,601975,3.03,3.04,3.08,3.0,450608,137254453.0,2.64,0.33,0.01,0.94
130,2024-08-14,招商南油,601975,3.08,3.03,3.09,3.02,552354,168226966.0,2.26,-2.26,-0.07,1.15
129,2024-08-13,招商南油,601975,3.12,3.1,3.16,3.07,491833,153159089.0,2.9,0.0,0.0,1.02
128,2024-08-12,招商南油,601975,3.1,3.1,3.13,3.07,481516,149185083.0,1.95,0.65,0.02,1.0
127,2024-08-09,招商南油,601975,3.13,3.08,3.16,3.08,596464,185217208.0,2.56,-1.6,-0.05,1.24
126,2024-08-08,招商南油,601975,3.17,3.13,3.17,3.08,547398,170834520.0,2.85,-0.95,-0.03,1.14
125,2024-08-07,招商南油,601975,3.22,3.16,3.22,3.15,615128,194929036.0,2.18,-1.56,-0.05,1.28
124,2024-08-06,招商南油,601975,3.17,3.21,3.23,3.17,604988,193917916.0,1.9,1.9,0.06,1.26
123,2024-08-05,招商南油,601975,3.26,3.15,3.3,3.15,761976,245323261.0,4.57,-3.96,-0.13,1.59
122,2024-08-02,招商南油,601975,3.27,3.28,3.34,3.24,468408,154397963.0,3.03,-0.61,-0.02,0.98
121,2024-08-01,招商南油,601975,3.33,3.3,3.37,3.27,709068,234330725.0,2.99,-1.2,-0.04,1.48
120,2024-07-31,招商南油,601975,3.24,3.34,3.35,3.21,760119,250458912.0,4.32,3.09,0.1,1.58
119,2024-07-30,招商南油,601975,3.24,3.24,3.26,3.2,489295,157919916.0,1.84,-0.61,-0.02,1.02
118,2024-07-29,招商南油,601975,3.29,3.26,3.31,3.22,451188,146776771.0,2.74,-0.61,-0.02,0.94
