,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中国核电,601985,10.77,10.78,10.82,10.68,849741,809858374.0,1.3,0.0,0.0,0.45
240,2025-01-23,中国核电,601985,10.68,10.78,10.9,10.67,1439743,1379176501.0,2.17,1.51,0.16,0.76
239,2025-01-22,中国核电,601985,10.59,10.62,10.72,10.56,873702,822669765.0,1.51,0.19,0.02,0.46
238,2025-01-21,中国核电,601985,10.62,10.6,10.64,10.53,733776,687717582.0,1.04,0.09,0.01,0.39
237,2025-01-20,中国核电,601985,10.66,10.59,10.71,10.56,1013005,952298108.0,1.41,-0.56,-0.06,0.54
236,2025-01-17,中国核电,601985,10.81,10.65,10.81,10.54,1289654,1216374118.0,2.5,-1.48,-0.16,0.68
235,2025-01-16,中国核电,601985,10.82,10.81,10.88,10.74,1045935,1001162270.0,1.29,-0.09,-0.01,0.55
234,2025-01-15,中国核电,601985,10.72,10.82,10.93,10.59,1298554,1248154685.0,3.17,0.93,0.1,0.69
233,2025-01-14,中国核电,601985,10.49,10.72,10.75,10.49,1394897,1314665903.0,2.47,1.8,0.19,0.74
232,2025-01-13,中国核电,601985,10.49,10.53,10.54,10.23,2173320,1990783077.0,2.91,-1.13,-0.12,1.15
231,2025-01-10,中国核电,601985,11.05,10.65,11.06,10.64,1887215,1808346238.0,3.79,-3.97,-0.44,1.0
230,2025-01-09,中国核电,601985,11.39,11.09,11.4,11.07,1333467,1326234616.0,2.89,-2.8,-0.32,0.71
229,2025-01-08,中国核电,601985,11.18,11.41,11.51,11.11,1560110,1584761763.0,3.57,1.88,0.21,0.83
228,2025-01-07,中国核电,601985,11.18,11.2,11.24,11.1,946053,941065125.0,1.25,0.27,0.03,0.5
227,2025-01-06,中国核电,601985,11.24,11.17,11.29,11.07,1141091,1134286240.0,1.96,-0.62,-0.07,0.6
226,2025-01-03,中国核电,601985,11.43,11.24,11.51,11.21,1184430,1195569607.0,2.64,-1.14,-0.13,0.63
225,2025-01-02,中国核电,601985,11.62,11.37,11.71,11.34,1710086,1765127247.0,3.18,-2.4,-0.28,0.91
224,2024-12-31,中国核电,601985,11.5,11.65,11.8,11.48,2042768,2136919240.0,2.79,1.39,0.16,1.08
223,2024-12-30,中国核电,601985,11.64,11.49,11.73,11.47,1234125,1276274031.0,2.24,-0.95,-0.11,0.65
222,2024-12-27,中国核电,601985,11.41,11.6,11.63,11.34,1505827,1548319293.0,2.54,1.67,0.19,0.8
221,2024-12-26,中国核电,601985,11.51,11.41,11.54,11.36,1100437,1122085705.0,1.56,-0.95,-0.11,0.58
220,2024-12-25,中国核电,601985,11.56,11.52,11.71,11.49,1203812,1246743262.0,1.9,-0.52,-0.06,0.64
219,2024-12-24,中国核电,601985,11.52,11.58,11.6,11.41,1640776,1687645431.0,1.65,0.26,0.03,0.87
218,2024-12-23,中国核电,601985,10.98,11.55,11.58,10.92,3152237,3206293302.0,6.02,5.29,0.58,1.67
217,2024-12-20,中国核电,601985,11.13,10.97,11.18,10.97,1019250,999899111.0,1.88,-1.61,-0.18,0.54
216,2024-12-19,中国核电,601985,11.2,11.15,11.27,11.13,827762,825433058.0,1.25,-0.8,-0.09,0.44
215,2024-12-18,中国核电,601985,11.32,11.24,11.42,11.23,1123557,1133942361.0,1.69,-0.27,-0.03,0.6
214,2024-12-17,中国核电,601985,11.2,11.27,11.38,11.2,1534145,1546617732.0,1.61,0.63,0.07,0.81
213,2024-12-16,中国核电,601985,10.91,11.2,11.21,10.91,1798078,1781481908.0,2.75,2.75,0.3,0.95
212,2024-12-13,中国核电,601985,11.0,10.9,11.03,10.89,1015780,988695745.0,1.27,-1.09,-0.12,0.54
211,2024-12-12,中国核电,601985,11.06,11.02,11.08,10.93,1159377,1134372455.0,1.35,-0.63,-0.07,0.61
210,2024-12-11,中国核电,601985,11.11,11.09,11.16,11.03,840750,828128525.0,1.17,-0.36,-0.04,0.45
209,2024-12-10,中国核电,601985,11.32,11.13,11.33,11.1,1206129,1202136235.0,2.05,-0.71,-0.08,0.64
208,2024-12-09,中国核电,601985,11.12,11.21,11.24,11.08,951413,947353945.0,1.44,0.63,0.07,0.5
207,2024-12-06,中国核电,601985,11.01,11.14,11.2,11.0,1131887,1122921826.0,1.82,1.18,0.13,0.6
206,2024-12-05,中国核电,601985,11.01,11.01,11.13,10.92,847895,828659360.0,1.9,-0.36,-0.04,0.45
205,2024-12-04,中国核电,601985,10.98,11.05,11.09,10.9,1277081,1247926933.0,1.73,0.36,0.04,0.68
204,2024-12-03,中国核电,601985,10.73,11.01,11.07,10.69,1840036,1779324078.0,3.54,2.71,0.29,0.97
203,2024-12-02,中国核电,601985,10.63,10.72,10.76,10.55,1170077,1104649178.0,1.98,0.85,0.09,0.62
202,2024-11-29,中国核电,601985,10.6,10.63,10.71,10.56,1067691,1008142833.0,1.41,0.09,0.01,0.57
