,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,出版传媒,601999,7.19,7.29,7.29,7.07,67354,42809345.0,3.07,1.82,0.13,1.22
240,2025-01-23,出版传媒,601999,7.09,7.16,7.24,7.06,68078,43085468.0,2.56,1.99,0.14,1.24
239,2025-01-22,出版传媒,601999,7.12,7.02,7.12,7.01,40782,25356136.0,1.54,-1.4,-0.1,0.74
238,2025-01-21,出版传媒,601999,7.22,7.12,7.25,7.07,53677,33797666.0,2.5,-0.97,-0.07,0.97
237,2025-01-20,出版传媒,601999,7.07,7.19,7.21,7.0,58698,37063530.0,2.98,2.13,0.15,1.07
236,2025-01-17,出版传媒,601999,7.07,7.04,7.09,6.98,45004,27872982.0,1.54,-1.12,-0.08,0.82
235,2025-01-16,出版传媒,601999,7.01,7.12,7.21,7.01,61387,38565872.0,2.83,0.85,0.06,1.11
234,2025-01-15,出版传媒,601999,6.98,7.06,7.1,6.96,67083,41596111.0,2.01,1.15,0.08,1.22
233,2025-01-14,出版传媒,601999,6.76,6.98,6.98,6.71,73887,44731836.0,4.03,4.18,0.28,1.34
232,2025-01-13,出版传媒,601999,6.65,6.7,6.73,6.52,50411,29192585.0,3.14,0.15,0.01,0.92
231,2025-01-10,出版传媒,601999,6.98,6.69,6.98,6.69,58122,34772352.0,4.19,-3.32,-0.23,1.06
230,2025-01-09,出版传媒,601999,6.83,6.92,6.97,6.82,53402,32481764.0,2.18,0.73,0.05,0.97
229,2025-01-08,出版传媒,601999,6.83,6.87,6.93,6.69,55748,33391078.0,3.5,0.29,0.02,1.01
228,2025-01-07,出版传媒,601999,6.66,6.85,6.87,6.66,52039,30978748.0,3.1,1.03,0.07,0.94
227,2025-01-06,出版传媒,601999,6.81,6.78,6.88,6.56,82066,48474182.0,4.69,-0.59,-0.04,1.49
226,2025-01-03,出版传媒,601999,7.13,6.82,7.17,6.77,98919,60058511.0,5.61,-4.35,-0.31,1.8
225,2025-01-02,出版传媒,601999,7.1,7.13,7.3,7.04,81558,51737167.0,3.66,0.28,0.02,1.48
224,2024-12-31,出版传媒,601999,7.32,7.11,7.43,7.11,113289,72638964.0,4.37,-3.0,-0.22,2.06
223,2024-12-30,出版传媒,601999,7.52,7.33,7.53,7.27,83226,54042499.0,3.45,-2.79,-0.21,1.51
222,2024-12-27,出版传媒,601999,7.47,7.54,7.61,7.38,76570,51209647.0,3.07,0.8,0.06,1.39
221,2024-12-26,出版传媒,601999,7.57,7.48,7.79,7.45,99365,67004086.0,4.46,-1.84,-0.14,1.8
220,2024-12-25,出版传媒,601999,7.52,7.62,7.77,7.42,168473,114005268.0,4.65,1.33,0.1,3.06
219,2024-12-24,出版传媒,601999,7.45,7.52,7.55,7.24,145706,95730844.0,4.18,1.35,0.1,2.64
218,2024-12-23,出版传媒,601999,8.04,7.42,8.04,7.39,198063,133991631.0,8.09,-7.6,-0.61,3.6
217,2024-12-20,出版传媒,601999,8.33,8.03,8.39,8.01,189256,137849288.0,4.54,-4.06,-0.34,3.44
216,2024-12-19,出版传媒,601999,8.41,8.37,8.49,7.99,255437,188459594.0,5.97,0.0,0.0,4.64
215,2024-12-18,出版传媒,601999,8.54,8.37,8.82,8.23,296257,226464873.0,7.15,1.45,0.12,5.38
214,2024-12-17,出版传媒,601999,8.72,8.25,8.74,8.11,366470,275211657.0,7.14,-6.46,-0.57,6.65
213,2024-12-16,出版传媒,601999,8.6,8.82,9.31,8.52,453251,368103783.0,9.25,3.28,0.28,8.23
212,2024-12-13,出版传媒,601999,8.38,8.54,8.92,8.34,231346,181340367.0,6.87,1.18,0.1,4.2
211,2024-12-12,出版传媒,601999,8.37,8.44,8.5,8.22,144775,108886278.0,3.35,0.84,0.07,2.63
210,2024-12-11,出版传媒,601999,8.11,8.37,8.57,8.08,169713,126572187.0,6.02,2.83,0.23,3.08
209,2024-12-10,出版传媒,601999,8.31,8.14,8.39,8.13,183040,135095070.0,3.19,0.0,0.0,3.32
208,2024-12-09,出版传媒,601999,8.21,8.14,8.36,8.1,310590,228311846.0,3.1,-2.86,-0.24,5.64
207,2024-12-06,出版传媒,601999,7.84,8.38,8.54,7.84,344292,256941376.0,8.93,6.89,0.54,6.25
206,2024-12-05,出版传媒,601999,7.63,7.84,7.85,7.63,81220,56540340.0,2.87,2.22,0.17,1.47
205,2024-12-04,出版传媒,601999,7.94,7.67,7.94,7.62,83836,57870101.0,4.05,-3.03,-0.24,1.52
204,2024-12-03,出版传媒,601999,7.93,7.91,8.04,7.84,78976,56030271.0,2.53,-0.13,-0.01,1.43
203,2024-12-02,出版传媒,601999,7.79,7.92,7.99,7.76,99467,70264501.0,2.95,1.67,0.13,1.81
202,2024-11-29,出版传媒,601999,7.88,7.79,7.94,7.76,88395,61821566.0,2.29,-0.89,-0.07,1.6
201,2024-11-28,出版传媒,601999,7.91,7.86,8.06,7.81,119032,84206813.0,3.16,-0.63,-0.05,2.16
200,2024-11-27,出版传媒,601999,7.7,7.91,7.92,7.49,138164,94760677.0,5.54,1.93,0.15,2.51
199,2024-11-26,出版传媒,601999,7.76,7.76,7.99,7.71,162246,113606081.0,3.61,0.13,0.01,2.95
198,2024-11-25,出版传媒,601999,7.54,7.75,7.75,7.34,103097,69654217.0,5.44,2.79,0.21,1.87
197,2024-11-22,出版传媒,601999,7.7,7.54,7.91,7.5,121850,84102638.0,5.35,-1.57,-0.12,2.21
196,2024-11-21,出版传媒,601999,7.58,7.66,7.83,7.58,97192,66472803.0,3.3,1.06,0.08,1.76
195,2024-11-20,出版传媒,601999,7.3,7.58,7.62,7.3,87631,58607947.0,4.37,3.55,0.26,1.59
194,2024-11-19,出版传媒,601999,7.25,7.32,7.35,7.14,60404,38745102.0,2.9,1.24,0.09,1.1
193,2024-11-18,出版传媒,601999,7.49,7.23,7.54,7.15,86908,56029684.0,5.21,-3.34,-0.25,1.58
192,2024-11-15,出版传媒,601999,7.42,7.48,7.68,7.4,95258,64151201.0,3.76,0.54,0.04,1.73
191,2024-11-14,出版传媒,601999,7.64,7.44,7.73,7.43,71253,47855678.0,3.91,-3.13,-0.24,1.29
190,2024-11-13,出版传媒,601999,7.47,7.68,7.69,7.47,90051,60895867.0,2.93,2.13,0.16,1.63
189,2024-11-12,出版传媒,601999,7.73,7.52,7.73,7.45,84158,56830370.0,3.63,-2.59,-0.2,1.53
188,2024-11-11,出版传媒,601999,7.44,7.72,7.73,7.44,111908,75956318.0,3.89,3.49,0.26,2.03
187,2024-11-08,出版传媒,601999,7.62,7.46,7.62,7.44,75224,50241292.0,2.39,-1.06,-0.08,1.37
186,2024-11-07,出版传媒,601999,7.36,7.54,7.54,7.36,78505,52062724.0,2.43,1.75,0.13,1.42
185,2024-11-06,出版传媒,601999,7.37,7.41,7.46,7.24,83058,54325513.0,3.02,1.65,0.12,1.51
184,2024-11-05,出版传媒,601999,7.16,7.29,7.31,7.11,73998,47184488.0,2.81,2.53,0.18,1.34
183,2024-11-04,出版传媒,601999,7.04,7.11,7.11,6.97,62211,38604164.0,2.0,1.72,0.12,1.13
182,2024-11-01,出版传媒,601999,7.3,6.99,7.34,6.98,107456,67451519.0,4.93,-4.25,-0.31,1.95
181,2024-10-31,出版传媒,601999,7.25,7.3,7.38,7.21,90917,58879831.0,2.35,0.83,0.06,1.65
180,2024-10-30,出版传媒,601999,7.17,7.24,7.35,7.12,87458,55974150.0,3.16,-0.55,-0.04,1.59
179,2024-10-29,出版传媒,601999,7.63,7.28,7.7,7.27,125469,83129129.0,5.75,-2.67,-0.2,2.28
178,2024-10-28,出版传媒,601999,7.27,7.48,7.48,7.26,97080,63573391.0,3.03,2.89,0.21,1.76
177,2024-10-25,出版传媒,601999,7.15,7.27,7.27,7.14,89908,57464198.0,1.81,1.25,0.09,1.63
176,2024-10-24,出版传媒,601999,7.09,7.18,7.21,7.05,78915,49734499.0,2.25,0.84,0.06,1.43
175,2024-10-23,出版传媒,601999,7.1,7.12,7.19,7.06,69695,43789013.0,1.82,-0.56,-0.04,1.27
174,2024-10-22,出版传媒,601999,7.0,7.16,7.31,7.0,111775,70797749.0,4.43,2.29,0.16,2.03
173,2024-10-21,出版传媒,601999,6.92,7.0,7.05,6.92,81371,50088809.0,1.88,1.3,0.09,1.48
172,2024-10-18,出版传媒,601999,6.9,6.91,7.0,6.82,80856,49263348.0,2.61,0.29,0.02,1.47
171,2024-10-17,出版传媒,601999,6.96,6.89,7.12,6.88,54569,33579793.0,3.47,-0.29,-0.02,0.99
170,2024-10-16,出版传媒,601999,6.81,6.91,6.98,6.75,58325,35367640.0,3.36,0.88,0.06,1.06
169,2024-10-15,出版传媒,601999,6.86,6.85,6.97,6.73,81984,49514624.0,3.51,0.29,0.02,1.49
168,2024-10-14,出版传媒,601999,6.72,6.83,6.87,6.69,60095,35758312.0,2.69,1.94,0.13,1.09
167,2024-10-11,出版传媒,601999,6.94,6.7,6.98,6.65,74369,44322658.0,4.73,-4.01,-0.28,1.35
