,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中衡设计,603017,43.36,43.48,44.04,43.32,32052,26439629.0,1.67,0.74,0.32,1.16
239,2025-01-24,中衡设计,603017,42.68,43.16,43.2,42.4,23223,18674774.0,1.87,1.03,0.44,0.84
238,2025-01-23,中衡设计,603017,42.72,42.72,43.44,42.72,37936,30670681.0,1.69,0.47,0.2,1.37
237,2025-01-22,中衡设计,603017,42.68,42.52,42.68,42.24,15568,12390166.0,1.03,-0.28,-0.12,0.56
236,2025-01-21,中衡设计,603017,42.88,42.64,42.96,42.36,18772,14949732.0,1.4,-0.47,-0.2,0.68
235,2025-01-20,中衡设计,603017,42.28,42.84,43.0,42.2,23973,19177970.0,1.89,1.04,0.44,0.87
234,2025-01-17,中衡设计,603017,42.36,42.4,42.52,42.12,15540,12298765.0,0.94,0.0,0.0,0.56
233,2025-01-16,中衡设计,603017,42.6,42.4,42.96,42.12,21784,17352567.0,1.98,-0.28,-0.12,0.79
232,2025-01-15,中衡设计,603017,42.4,42.52,42.6,42.08,27181,21555162.0,1.23,0.28,0.12,0.99
231,2025-01-14,中衡设计,603017,41.32,42.4,42.4,41.2,32487,25519749.0,2.9,2.61,1.08,1.18
230,2025-01-13,中衡设计,603017,40.8,41.32,41.52,40.28,29770,22549579.0,3.02,0.58,0.24,1.08
229,2025-01-10,中衡设计,603017,41.88,41.08,42.48,41.08,28874,22374586.0,3.34,-2.0,-0.84,1.05
228,2025-01-09,中衡设计,603017,41.52,41.92,42.08,41.48,24288,18952225.0,1.43,0.19,0.08,0.88
227,2025-01-08,中衡设计,603017,41.88,41.84,42.24,41.16,30601,23794184.0,2.58,-0.19,-0.08,1.11
226,2025-01-07,中衡设计,603017,41.2,41.92,42.0,41.08,27919,21475818.0,2.23,1.65,0.68,1.01
225,2025-01-06,中衡设计,603017,41.36,41.24,41.6,40.08,30675,23308702.0,3.68,-0.1,-0.04,1.11
224,2025-01-03,中衡设计,603017,42.36,41.28,42.6,41.16,48684,37625394.0,3.4,-2.46,-1.04,1.76
223,2025-01-02,中衡设计,603017,42.8,42.32,43.36,42.04,51291,41143620.0,3.08,-1.12,-0.48,1.86
222,2024-12-31,中衡设计,603017,43.56,42.8,43.96,42.76,33564,27294663.0,2.76,-1.65,-0.72,1.22
221,2024-12-30,中衡设计,603017,43.84,43.52,43.84,42.72,35232,28754034.0,2.55,-0.82,-0.36,1.28
220,2024-12-27,中衡设计,603017,43.44,43.88,44.16,43.24,35485,29465844.0,2.12,1.29,0.56,1.29
219,2024-12-26,中衡设计,603017,43.24,43.32,43.72,43.24,34333,28154353.0,1.1,-0.28,-0.12,1.24
218,2024-12-25,中衡设计,603017,43.92,43.44,44.16,42.8,51424,41956457.0,3.08,-1.63,-0.72,1.86
217,2024-12-24,中衡设计,603017,44.28,44.16,44.88,43.68,44530,37321431.0,2.72,0.0,0.0,1.61
216,2024-12-23,中衡设计,603017,46.48,44.16,46.56,43.88,62563,53739597.0,5.75,-5.24,-2.44,2.27
215,2024-12-20,中衡设计,603017,47.08,46.6,47.56,46.48,45676,41389575.0,2.32,0.0,0.0,1.66
214,2024-12-19,中衡设计,603017,45.76,46.6,46.76,45.2,51293,45933943.0,3.4,1.57,0.72,1.86
213,2024-12-18,中衡设计,603017,45.96,45.88,46.32,45.08,48230,42885641.0,2.68,-0.69,-0.32,1.75
212,2024-12-17,中衡设计,603017,48.28,46.2,48.48,46.0,81864,74584989.0,5.12,-4.62,-2.24,2.97
211,2024-12-16,中衡设计,603017,48.48,48.44,48.92,48.12,38463,36824572.0,1.65,-0.25,-0.12,1.39
210,2024-12-13,中衡设计,603017,48.72,48.56,49.24,48.28,55325,53162660.0,1.97,-0.57,-0.28,2.01
209,2024-12-12,中衡设计,603017,48.12,48.84,49.0,47.92,74192,70987802.0,2.24,1.33,0.64,2.69
208,2024-12-11,中衡设计,603017,47.76,48.2,48.24,47.48,42690,40327037.0,1.59,0.92,0.44,1.55
207,2024-12-10,中衡设计,603017,48.92,47.76,49.04,47.68,71157,67391150.0,2.82,-0.83,-0.4,2.58
206,2024-12-09,中衡设计,603017,48.24,48.16,48.36,47.64,59679,56198800.0,1.49,-0.17,-0.08,2.16
205,2024-12-06,中衡设计,603017,47.64,48.24,49.04,47.44,99350,94267391.0,3.38,1.77,0.84,3.6
204,2024-12-05,中衡设计,603017,47.0,47.4,47.52,46.84,37594,34794825.0,1.45,0.85,0.4,1.36
203,2024-12-04,中衡设计,603017,47.84,47.0,47.84,46.76,47794,44165079.0,2.27,-1.43,-0.68,1.73
202,2024-12-03,中衡设计,603017,47.68,47.68,48.0,47.32,56776,53016497.0,1.43,0.0,0.0,2.06
201,2024-12-02,中衡设计,603017,47.52,47.68,47.88,47.44,63651,59555464.0,0.93,0.51,0.24,2.31
200,2024-11-29,中衡设计,603017,47.08,47.44,47.6,46.88,63727,59054442.0,1.53,0.94,0.44,2.31
199,2024-11-28,中衡设计,603017,46.84,47.0,47.48,46.72,58627,53993175.0,1.63,0.77,0.36,2.12
198,2024-11-27,中衡设计,603017,46.12,46.64,46.68,45.12,39205,34887422.0,3.39,1.3,0.6,1.42
197,2024-11-26,中衡设计,603017,46.56,46.04,46.76,46.0,31829,28686316.0,1.63,-1.12,-0.52,1.15
196,2024-11-25,中衡设计,603017,45.72,46.56,46.64,45.28,42677,38302868.0,2.98,1.93,0.88,1.55
195,2024-11-22,中衡设计,603017,46.72,45.68,47.24,45.56,59023,53564297.0,3.58,-2.56,-1.2,2.14
