,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,宏盛股份,603090,19.66,20.0,20.13,19.44,15635,28837821.0,3.46,0.35,0.07,1.56
240,2025-01-23,宏盛股份,603090,19.94,19.93,21.11,19.71,24770,47078866.0,7.15,1.79,0.35,2.48
239,2025-01-22,宏盛股份,603090,19.77,19.58,20.29,19.32,16459,30258771.0,4.95,-0.1,-0.02,1.65
238,2025-01-21,宏盛股份,603090,19.9,19.6,19.96,19.34,13030,23699801.0,3.14,-0.86,-0.17,1.3
237,2025-01-20,宏盛股份,603090,19.41,19.77,19.99,19.34,18326,33655888.0,3.38,2.86,0.55,1.83
236,2025-01-17,宏盛股份,603090,19.1,19.22,19.25,18.9,7710,13642117.0,1.83,0.37,0.07,0.77
235,2025-01-16,宏盛股份,603090,19.37,19.15,19.41,18.98,9938,17691824.0,2.25,0.31,0.06,0.99
234,2025-01-15,宏盛股份,603090,19.36,19.09,19.49,18.9,10490,18692203.0,3.05,-1.39,-0.27,1.05
233,2025-01-14,宏盛股份,603090,18.43,19.36,19.39,18.43,14474,25588058.0,5.22,5.22,0.96,1.45
232,2025-01-13,宏盛股份,603090,18.1,18.4,18.57,17.77,10249,17261221.0,4.35,0.05,0.01,1.02
231,2025-01-10,宏盛股份,603090,19.15,18.39,19.2,18.36,14984,25878544.0,4.4,-3.77,-0.72,1.5
230,2025-01-09,宏盛股份,603090,18.8,19.11,19.48,18.73,12116,21559278.0,3.97,1.16,0.22,1.21
229,2025-01-08,宏盛股份,603090,19.15,18.89,19.5,18.3,20718,36086087.0,6.24,-1.72,-0.33,2.07
228,2025-01-07,宏盛股份,603090,18.65,19.22,19.35,18.28,25499,44581101.0,5.82,4.46,0.82,2.55
227,2025-01-06,宏盛股份,603090,18.2,18.4,19.09,17.56,22714,38543359.0,8.36,0.55,0.1,2.27
226,2025-01-03,宏盛股份,603090,18.88,18.3,19.26,18.09,21105,35988446.0,6.19,-3.17,-0.6,2.11
225,2025-01-02,宏盛股份,603090,18.98,18.9,19.5,18.6,19077,33674220.0,4.76,-0.05,-0.01,1.91
224,2024-12-31,宏盛股份,603090,19.51,18.91,19.88,18.88,14302,25423269.0,5.13,-3.08,-0.6,1.43
223,2024-12-30,宏盛股份,603090,20.07,19.51,20.07,19.3,18987,34655214.0,3.88,-1.66,-0.33,1.9
222,2024-12-27,宏盛股份,603090,19.69,19.84,20.48,19.66,22735,42395670.0,4.16,0.76,0.15,2.27
221,2024-12-26,宏盛股份,603090,19.31,19.69,19.9,19.1,23649,43202308.0,4.18,2.93,0.56,2.36
220,2024-12-25,宏盛股份,603090,20.18,19.13,20.26,18.8,24658,44074228.0,7.23,-5.25,-1.06,2.47
219,2024-12-24,宏盛股份,603090,19.69,20.19,20.34,19.53,21002,38956991.0,4.11,2.44,0.48,2.1
218,2024-12-23,宏盛股份,603090,20.85,19.71,20.88,19.61,28391,53076579.0,6.05,-6.1,-1.28,2.84
217,2024-12-20,宏盛股份,603090,20.3,20.99,21.44,20.02,37407,73046788.0,7.0,3.5,0.71,3.74
216,2024-12-19,宏盛股份,603090,19.63,20.28,20.54,19.41,19976,37058222.0,5.68,1.96,0.39,2.0
215,2024-12-18,宏盛股份,603090,19.77,19.89,20.11,19.27,23005,42275851.0,4.24,0.4,0.08,2.3
214,2024-12-17,宏盛股份,603090,21.17,19.81,21.29,19.72,33745,63681261.0,7.44,-6.07,-1.28,3.37
213,2024-12-16,宏盛股份,603090,21.61,21.09,22.18,21.09,31312,63138737.0,5.03,-2.63,-0.57,3.13
212,2024-12-13,宏盛股份,603090,21.82,21.66,22.1,21.5,23492,47881212.0,2.75,-0.69,-0.15,2.35
211,2024-12-12,宏盛股份,603090,21.3,21.81,21.95,21.2,23737,47975443.0,3.52,2.35,0.5,2.37
210,2024-12-11,宏盛股份,603090,21.18,21.31,21.69,21.18,20118,40203434.0,2.39,-0.09,-0.02,2.01
209,2024-12-10,宏盛股份,603090,21.8,21.33,21.96,21.24,28803,58015592.0,3.36,-0.56,-0.12,2.88
208,2024-12-09,宏盛股份,603090,20.58,21.45,22.1,20.55,43088,86620280.0,7.5,3.77,0.78,4.31
207,2024-12-06,宏盛股份,603090,20.51,20.67,20.73,20.18,19059,36427502.0,2.7,1.37,0.28,1.91
206,2024-12-05,宏盛股份,603090,20.22,20.39,20.6,20.05,17035,32461374.0,2.72,0.84,0.17,1.7
205,2024-12-04,宏盛股份,603090,20.57,20.22,20.57,20.08,15412,29181958.0,2.38,-1.7,-0.35,1.54
204,2024-12-03,宏盛股份,603090,20.53,20.57,20.84,20.29,22734,43479621.0,2.68,0.19,0.04,2.27
203,2024-12-02,宏盛股份,603090,20.49,20.53,20.59,20.31,20299,38717707.0,1.36,0.0,0.0,2.03
202,2024-11-29,宏盛股份,603090,20.21,20.53,20.73,20.04,25699,48974161.0,3.41,1.38,0.28,2.57
201,2024-11-28,宏盛股份,603090,19.6,20.25,21.25,19.55,48128,91553435.0,8.63,2.84,0.56,4.81
200,2024-11-27,宏盛股份,603090,19.86,19.69,19.95,19.08,25647,46320837.0,4.35,-1.6,-0.32,2.56
199,2024-11-26,宏盛股份,603090,19.84,20.01,20.8,19.48,40044,75249243.0,6.68,1.32,0.26,4.0
198,2024-11-25,宏盛股份,603090,19.57,19.75,19.96,19.3,28508,51838635.0,3.36,0.61,0.12,2.85
