,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,芯能科技,603105,8.75,8.82,8.83,8.69,62841,52031291.0,1.6,0.8,0.07,1.26
240,2025-01-23,芯能科技,603105,8.81,8.75,8.89,8.74,100271,83563069.0,1.71,0.0,0.0,2.01
239,2025-01-22,芯能科技,603105,8.66,8.75,8.94,8.63,99476,82244266.0,3.57,0.69,0.06,1.99
238,2025-01-21,芯能科技,603105,8.77,8.69,8.81,8.6,55321,45273528.0,2.4,-0.57,-0.05,1.11
237,2025-01-20,芯能科技,603105,8.69,8.74,8.78,8.65,65123,53683705.0,1.5,1.04,0.09,1.3
236,2025-01-17,芯能科技,603105,8.64,8.65,8.7,8.57,53989,44019597.0,1.5,-0.35,-0.03,1.08
235,2025-01-16,芯能科技,603105,8.6,8.68,8.79,8.59,71716,58789944.0,2.33,0.93,0.08,1.43
234,2025-01-15,芯能科技,603105,8.63,8.6,8.7,8.48,77603,62828481.0,2.55,-0.23,-0.02,1.55
233,2025-01-14,芯能科技,603105,8.34,8.62,8.62,8.29,95774,76531881.0,3.99,4.23,0.35,1.92
232,2025-01-13,芯能科技,603105,8.21,8.27,8.31,8.02,66614,51408254.0,3.5,-0.24,-0.02,1.33
231,2025-01-10,芯能科技,603105,8.67,8.29,8.68,8.29,118615,94569232.0,4.5,-4.38,-0.38,2.37
230,2025-01-09,芯能科技,603105,8.65,8.67,8.83,8.64,65789,54129291.0,2.18,-0.57,-0.05,1.32
229,2025-01-08,芯能科技,603105,8.86,8.72,8.87,8.51,103103,84630650.0,4.05,-1.91,-0.17,2.06
228,2025-01-07,芯能科技,603105,8.74,8.89,8.89,8.62,100220,82859499.0,3.09,1.6,0.14,2.0
227,2025-01-06,芯能科技,603105,8.65,8.75,8.98,8.43,123756,102099784.0,6.38,1.51,0.13,2.48
226,2025-01-03,芯能科技,603105,8.94,8.62,9.06,8.61,149090,124432765.0,4.99,-4.33,-0.39,2.98
225,2025-01-02,芯能科技,603105,9.48,9.01,9.48,8.92,236949,205525033.0,5.89,-5.16,-0.49,4.74
224,2024-12-31,芯能科技,603105,10.06,9.5,10.11,9.46,259502,239373413.0,6.46,-5.57,-0.56,5.19
223,2024-12-30,芯能科技,603105,10.19,10.06,10.44,10.0,261282,253808338.0,4.33,-1.08,-0.11,5.23
222,2024-12-27,芯能科技,603105,10.16,10.17,10.58,10.05,317579,310834416.0,5.19,-0.39,-0.04,6.35
221,2024-12-26,芯能科技,603105,9.99,10.21,10.35,9.89,400195,386988967.0,4.51,0.0,0.0,8.0
220,2024-12-25,芯能科技,603105,9.69,10.21,10.24,9.67,601185,577374476.0,5.85,4.83,0.47,12.02
219,2024-12-24,芯能科技,603105,9.35,9.74,9.79,9.35,215270,197897699.0,4.72,4.51,0.42,4.31
218,2024-12-23,芯能科技,603105,9.63,9.32,9.71,9.29,96194,86445794.0,4.37,-3.02,-0.29,1.92
217,2024-12-20,芯能科技,603105,9.5,9.61,9.64,9.42,76822,69731657.0,2.32,1.16,0.11,1.54
216,2024-12-19,芯能科技,603105,9.46,9.5,9.54,9.31,81229,72572784.0,2.41,-0.31,-0.03,1.62
215,2024-12-18,芯能科技,603105,9.39,9.53,9.64,9.35,85973,77830263.0,3.09,1.38,0.13,1.72
214,2024-12-17,芯能科技,603105,9.7,9.4,9.84,9.36,114287,103471410.0,4.97,-2.59,-0.25,2.29
213,2024-12-16,芯能科技,603105,9.56,9.65,9.74,9.54,102512,93860470.0,2.09,1.05,0.1,2.05
212,2024-12-13,芯能科技,603105,9.75,9.55,9.76,9.54,124963,113840422.0,2.26,-2.05,-0.2,2.5
211,2024-12-12,芯能科技,603105,9.73,9.75,9.77,9.65,91444,84433245.0,1.23,0.21,0.02,1.83
210,2024-12-11,芯能科技,603105,9.65,9.73,9.73,9.59,94197,86610665.0,1.46,1.46,0.14,1.88
209,2024-12-10,芯能科技,603105,9.84,9.59,9.89,9.57,109687,101111458.0,3.32,-0.62,-0.06,2.19
208,2024-12-09,芯能科技,603105,9.71,9.65,9.75,9.57,78619,72188794.0,1.86,-0.41,-0.04,1.57
207,2024-12-06,芯能科技,603105,9.61,9.69,9.72,9.55,96776,88720574.0,1.77,0.83,0.08,1.94
206,2024-12-05,芯能科技,603105,9.45,9.61,9.62,9.4,64009,58113551.0,2.32,1.48,0.14,1.28
205,2024-12-04,芯能科技,603105,9.65,9.47,9.72,9.42,82717,75080143.0,3.11,-1.87,-0.18,1.65
204,2024-12-03,芯能科技,603105,9.64,9.65,9.68,9.5,74642,68015032.0,1.87,0.21,0.02,1.49
203,2024-12-02,芯能科技,603105,9.6,9.63,9.65,9.47,79327,72209324.0,1.89,0.94,0.09,1.59
202,2024-11-29,芯能科技,603105,9.42,9.54,9.56,9.37,78046,70242861.0,2.02,1.49,0.14,1.56
201,2024-11-28,芯能科技,603105,9.4,9.4,9.47,9.37,63351,56617605.0,1.06,0.11,0.01,1.27
200,2024-11-27,芯能科技,603105,9.24,9.39,9.39,9.01,70718,61517757.0,4.09,1.19,0.11,1.41
199,2024-11-26,芯能科技,603105,9.31,9.28,9.44,9.28,49736,44073360.0,1.71,-0.75,-0.07,0.99
198,2024-11-25,芯能科技,603105,9.21,9.35,9.35,9.12,71226,62449838.0,2.49,1.3,0.12,1.42
