,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,润达医疗,603108,91.77,91.6,94.79,91.23,378268,626793533.0,3.93,1.07,0.97,6.27
239,2025-01-24,润达医疗,603108,84.8,90.63,91.23,84.37,496041,780285804.0,8.15,7.7,6.48,8.22
238,2025-01-23,润达医疗,603108,84.75,84.15,86.26,84.1,212476,322934922.0,2.57,0.0,0.0,3.52
237,2025-01-22,润达医疗,603108,84.31,84.15,88.74,84.1,232623,355405990.0,5.56,0.78,0.65,3.85
236,2025-01-21,润达医疗,603108,85.56,83.5,86.15,82.69,196421,293115896.0,4.03,-2.83,-2.43,3.25
235,2025-01-20,润达医疗,603108,84.85,85.93,86.74,84.1,163453,248517423.0,3.13,1.92,1.62,2.71
234,2025-01-17,润达医疗,603108,85.39,84.31,85.39,83.77,133841,200895996.0,1.89,-1.58,-1.35,2.22
233,2025-01-16,润达医疗,603108,85.72,85.66,87.55,84.58,198431,304211547.0,3.45,-0.63,-0.54,3.29
232,2025-01-15,润达医疗,603108,84.85,86.2,87.88,84.21,277327,426118782.0,4.34,1.84,1.56,4.59
231,2025-01-14,润达医疗,603108,81.13,84.64,84.69,80.59,204254,301419809.0,5.07,4.75,3.84,3.38
230,2025-01-13,润达医疗,603108,80.05,80.8,81.24,78.81,119875,171106684.0,3.02,0.46,0.37,1.99
229,2025-01-10,润达医疗,603108,82.53,80.43,83.23,80.43,140701,204506195.0,3.38,-2.86,-2.37,2.33
228,2025-01-09,润达医疗,603108,81.61,82.8,84.04,81.45,177871,262440781.0,3.14,0.39,0.32,2.95
227,2025-01-08,润达医疗,603108,83.56,82.48,84.21,80.26,203934,298914566.0,4.73,-1.22,-1.02,3.38
226,2025-01-07,润达医疗,603108,83.23,83.5,83.5,81.24,164495,241266505.0,2.73,0.71,0.59,2.73
225,2025-01-06,润达医疗,603108,82.64,82.91,84.15,81.99,169858,250850450.0,2.63,1.05,0.86,2.81
224,2025-01-03,润达医疗,603108,86.58,82.05,87.18,81.72,216911,324110403.0,6.3,-5.35,-4.64,3.59
223,2025-01-02,润达医疗,603108,89.28,86.69,89.93,85.56,181199,283264588.0,4.89,-2.97,-2.65,3.0
222,2024-12-31,润达医疗,603108,92.68,89.34,93.22,88.8,177610,286676140.0,4.78,-3.44,-3.18,2.94
221,2024-12-30,润达医疗,603108,94.57,92.52,94.57,91.98,205486,341273384.0,2.74,-2.28,-2.16,3.43
220,2024-12-27,润达医疗,603108,95.38,94.68,96.03,92.74,233605,394206119.0,3.44,-0.96,-0.92,3.9
219,2024-12-26,润达医疗,603108,96.79,95.6,97.87,95.11,232528,400239092.0,2.84,-1.67,-1.62,3.88
218,2024-12-25,润达医疗,603108,100.41,97.22,100.41,96.73,195643,344247715.0,3.8,0.51,0.49,3.27
217,2024-12-24,润达医疗,603108,100.3,96.73,100.41,94.95,247608,428857237.0,5.47,-3.09,-3.08,4.13
216,2024-12-23,润达医疗,603108,103.11,99.81,103.11,99.0,168453,302325872.0,3.98,-3.25,-3.35,2.81
215,2024-12-20,润达医疗,603108,100.78,103.16,104.4,100.41,222055,408319532.0,3.97,2.52,2.54,3.71
214,2024-12-19,润达医疗,603108,99.27,100.62,101.22,99.11,151253,271432035.0,2.09,-0.11,-0.11,2.53
213,2024-12-18,润达医疗,603108,100.84,100.73,102.08,99.06,180197,325650787.0,3.01,0.54,0.54,3.01
212,2024-12-17,润达医疗,603108,103.7,100.19,105.05,99.6,278026,505418217.0,5.17,-4.87,-5.13,4.64
211,2024-12-16,润达医疗,603108,105.27,105.32,106.89,104.56,216671,410588670.0,2.21,0.05,0.05,3.62
210,2024-12-13,润达医疗,603108,109.21,105.27,110.07,104.89,348180,670202065.0,4.7,-4.46,-4.91,5.81
209,2024-12-12,润达医疗,603108,114.28,110.18,114.5,109.32,386714,769049311.0,4.52,-3.81,-4.37,6.46
208,2024-12-11,润达医疗,603108,116.07,114.55,116.28,113.64,325764,673692707.0,2.24,-2.8,-3.3,5.44
207,2024-12-10,润达医疗,603108,114.82,117.85,117.85,110.29,620848,1279957726.0,6.7,4.45,5.02,10.37
206,2024-12-09,润达医疗,603108,114.88,112.83,116.12,109.75,493411,1001160114.0,5.7,0.97,1.08,8.24
205,2024-12-06,润达医疗,603108,110.77,111.75,113.74,107.53,566733,1131047688.0,5.8,4.28,4.59,9.46
204,2024-12-05,润达医疗,603108,100.08,107.16,108.88,99.16,570467,1081060313.0,9.69,6.79,6.81,9.53
203,2024-12-04,润达医疗,603108,100.95,100.35,102.08,99.27,218679,394782741.0,2.78,-0.69,-0.7,3.65
202,2024-12-03,润达医疗,603108,104.67,101.05,104.94,99.76,375519,683409100.0,4.93,-3.91,-4.11,6.27
201,2024-12-02,润达医疗,603108,103.65,105.16,107.64,103.21,294037,556928456.0,4.26,1.04,1.08,4.91
200,2024-11-29,润达医疗,603108,101.27,104.08,107.43,100.08,411496,770282369.0,7.27,3.0,3.03,6.87
199,2024-11-28,润达医疗,603108,106.45,101.05,107.21,100.89,384896,709515662.0,5.92,-5.37,-5.73,6.43
198,2024-11-27,润达医疗,603108,102.13,106.78,107.32,98.25,418249,771522461.0,8.8,3.56,3.67,6.98
