,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-24,万林物流,603117,8.02,8.13,8.14,7.92,101463,55168241.0,2.74,1.37,0.11,1.69
239,2025-01-23,万林物流,603117,8.16,8.02,8.3,8.0,138337,76472776.0,3.74,-0.12,-0.01,2.31
238,2025-01-22,万林物流,603117,8.3,8.03,8.34,8.02,139530,76850495.0,3.84,-3.72,-0.31,2.33
237,2025-01-21,万林物流,603117,8.33,8.34,8.69,8.16,154399,86870523.0,6.35,-0.12,-0.01,2.58
236,2025-01-20,万林物流,603117,8.3,8.35,8.47,8.16,108320,61113095.0,3.75,0.97,0.08,1.81
235,2025-01-17,万林物流,603117,8.34,8.27,8.34,8.16,72798,40466759.0,2.16,-0.84,-0.07,1.21
234,2025-01-16,万林物流,603117,8.33,8.34,8.51,8.23,82660,46667479.0,3.37,0.36,0.03,1.38
233,2025-01-15,万林物流,603117,8.35,8.31,8.45,8.24,121371,68266416.0,2.51,-0.48,-0.04,2.03
232,2025-01-14,万林物流,603117,8.03,8.35,8.35,8.03,121736,67779908.0,4.01,4.51,0.36,2.03
231,2025-01-13,万林物流,603117,7.88,7.99,8.09,7.74,123817,66315165.0,4.33,-1.24,-0.1,2.07
230,2025-01-10,万林物流,603117,8.41,8.09,8.47,8.09,101301,56644495.0,4.5,-4.15,-0.35,1.69
229,2025-01-09,万林物流,603117,8.37,8.44,8.51,8.34,106982,61003216.0,2.01,-0.12,-0.01,1.79
228,2025-01-08,万林物流,603117,8.38,8.45,8.49,8.2,125231,70633685.0,3.42,-0.47,-0.04,2.09
227,2025-01-07,万林物流,603117,8.3,8.49,8.49,8.23,126137,71011519.0,3.16,3.03,0.25,2.11
226,2025-01-06,万林物流,603117,8.3,8.24,8.44,8.03,157811,87765431.0,4.92,-1.2,-0.1,2.63
225,2025-01-03,万林物流,603117,8.9,8.34,9.01,8.3,191711,111117986.0,7.92,-6.92,-0.62,3.2
224,2025-01-02,万林物流,603117,8.98,8.96,9.47,8.82,201877,125151334.0,7.21,-0.55,-0.05,3.37
223,2024-12-31,万林物流,603117,9.28,9.01,9.32,8.93,161582,99496505.0,4.2,-3.01,-0.28,2.7
222,2024-12-30,万林物流,603117,9.45,9.29,9.61,9.22,147848,93681969.0,4.14,-1.38,-0.13,2.47
221,2024-12-27,万林物流,603117,9.81,9.42,9.81,9.38,279989,181020508.0,4.44,-2.69,-0.26,4.67
220,2024-12-26,万林物流,603117,8.8,9.68,9.68,8.73,282990,177606845.0,10.75,9.5,0.84,4.72
219,2024-12-25,万林物流,603117,9.24,8.84,9.36,8.75,185706,112205428.0,6.54,-5.25,-0.49,3.1
218,2024-12-24,万林物流,603117,9.19,9.33,9.35,9.03,125540,78479934.0,3.48,1.52,0.14,2.1
217,2024-12-23,万林物流,603117,9.68,9.19,9.7,9.17,148953,94317535.0,5.54,-3.97,-0.38,2.49
216,2024-12-20,万林物流,603117,9.45,9.57,9.67,9.45,126035,82189524.0,2.33,1.27,0.12,2.1
215,2024-12-19,万林物流,603117,9.53,9.45,9.53,9.25,194091,123687736.0,2.9,-1.97,-0.19,3.24
214,2024-12-18,万林物流,603117,9.77,9.64,9.94,9.56,170141,112372534.0,3.86,-2.13,-0.21,2.84
213,2024-12-17,万林物流,603117,10.19,9.85,10.22,9.84,156443,106406998.0,3.73,-3.34,-0.34,2.61
212,2024-12-16,万林物流,603117,10.54,10.19,10.68,10.13,196983,138827462.0,5.16,-4.41,-0.47,3.29
211,2024-12-13,万林物流,603117,10.66,10.66,10.94,10.59,194141,142410209.0,3.26,-0.84,-0.09,3.24
210,2024-12-12,万林物流,603117,10.79,10.75,10.96,10.57,172204,126219279.0,3.58,-1.38,-0.15,2.87
209,2024-12-11,万林物流,603117,10.68,10.9,10.94,10.61,153337,113785160.0,3.06,0.93,0.1,2.56
208,2024-12-10,万林物流,603117,11.11,10.8,11.15,10.78,234548,176122213.0,3.4,-0.64,-0.07,3.91
207,2024-12-09,万林物流,603117,11.22,10.87,11.22,10.71,286417,213620752.0,4.52,-3.63,-0.41,4.78
206,2024-12-06,万林物流,603117,10.69,11.28,11.34,10.54,393273,295217406.0,7.41,4.44,0.48,6.56
205,2024-12-05,万林物流,603117,10.16,10.8,11.18,10.15,399358,294411226.0,10.04,5.26,0.54,6.66
204,2024-12-04,万林物流,603117,10.52,10.26,10.72,10.24,237722,170191939.0,4.51,-3.57,-0.38,3.97
203,2024-12-03,万林物流,603117,10.45,10.64,10.68,10.3,280969,201669884.0,3.62,1.33,0.14,4.69
202,2024-12-02,万林物流,603117,10.17,10.5,10.51,10.12,253437,179692825.0,3.81,2.64,0.27,4.23
201,2024-11-29,万林物流,603117,10.02,10.23,10.33,9.92,291329,201350873.0,4.05,0.99,0.1,4.86
200,2024-11-28,万林物流,603117,10.3,10.13,10.43,10.02,218794,152396618.0,4.04,-0.2,-0.02,3.65
199,2024-11-27,万林物流,603117,10.06,10.15,10.17,9.77,220056,149606463.0,3.94,0.0,0.0,3.67
198,2024-11-26,万林物流,603117,10.22,10.15,10.61,10.02,273360,192019270.0,5.77,-0.68,-0.07,4.56
197,2024-11-25,万林物流,603117,10.12,10.22,10.3,9.74,270096,185205500.0,5.44,-0.78,-0.08,4.51
196,2024-11-22,万林物流,603117,10.75,10.3,11.15,10.22,299072,218568042.0,8.54,-5.42,-0.59,4.99
195,2024-11-21,万林物流,603117,11.14,10.89,11.14,10.78,260979,194795694.0,3.23,-2.16,-0.24,4.36
194,2024-11-20,万林物流,603117,11.11,11.13,11.46,10.96,425348,324566931.0,4.38,-2.45,-0.28,7.1
193,2024-11-19,万林物流,603117,10.83,11.41,11.64,10.55,591496,460489841.0,10.26,7.44,0.79,9.87
192,2024-11-18,万林物流,603117,10.87,10.62,11.13,10.41,311718,230174173.0,6.72,-0.93,-0.1,5.2
191,2024-11-15,万林物流,603117,11.18,10.72,11.59,10.58,399133,301495710.0,8.88,-5.8,-0.66,6.66
190,2024-11-14,万林物流,603117,11.84,11.38,12.05,11.24,426726,341161824.0,6.74,-5.32,-0.64,7.12
189,2024-11-13,万林物流,603117,13.09,12.02,13.62,11.94,557637,485515127.0,12.72,-9.01,-1.19,9.31
188,2024-11-12,万林物流,603117,13.14,13.21,13.59,12.69,498749,455507482.0,7.01,2.96,0.38,8.32
187,2024-11-11,万林物流,603117,12.08,12.83,13.23,12.08,469522,408599323.0,9.39,4.73,0.58,7.84
186,2024-11-08,万林物流,603117,12.08,12.25,12.75,12.08,459592,392659750.0,5.42,-0.97,-0.12,7.67
185,2024-11-07,万林物流,603117,12.54,12.37,12.86,11.83,660162,565306768.0,7.87,-5.5,-0.72,11.02
184,2024-11-06,万林物流,603117,13.69,13.09,14.43,12.86,1033173,975413975.0,11.31,-5.69,-0.79,17.24
183,2024-11-05,万林物流,603117,13.06,13.88,13.88,12.09,1275376,1174550120.0,14.13,9.55,1.21,21.28
182,2024-11-04,万林物流,603117,10.73,12.67,12.67,10.73,1119786,919880860.0,16.78,9.6,1.11,18.69
181,2024-11-01,万林物流,603117,10.06,11.56,11.56,9.54,1211709,839213377.0,19.15,9.57,1.01,20.22
180,2024-10-31,万林物流,603117,11.38,10.55,11.63,10.55,1015837,748688624.0,9.25,-9.6,-1.12,16.95
179,2024-10-30,万林物流,603117,11.67,11.67,12.83,11.67,1137928,934445530.0,8.98,-9.67,-1.25,18.99
178,2024-10-29,万林物流,603117,12.89,12.92,13.21,12.33,829516,743937458.0,7.3,7.22,0.87,13.84
177,2024-10-28,万林物流,603117,12.57,12.05,12.68,11.67,931420,796192107.0,8.73,4.15,0.48,15.54
176,2024-10-25,万林物流,603117,10.61,11.57,11.57,10.57,705234,544721719.0,9.46,9.46,1.0,11.77
175,2024-10-24,万林物流,603117,10.57,10.57,10.57,9.1,1357974,959632764.0,15.25,9.65,0.93,22.66
174,2024-10-23,万林物流,603117,9.64,9.64,9.64,9.64,35054,22995162.0,0.0,9.55,0.84,0.59
173,2024-10-22,万林物流,603117,8.8,8.8,8.8,8.8,31364,18692706.0,0.0,9.32,0.75,0.52
172,2024-10-21,万林物流,603117,8.05,8.05,8.05,7.77,231778,125027337.0,3.8,9.38,0.69,3.87
171,2024-10-18,万林物流,603117,6.73,7.36,7.36,6.67,757837,359670004.0,10.25,9.36,0.63,12.65
170,2024-10-17,万林物流,603117,6.27,6.73,6.9,6.13,896686,389017294.0,12.2,6.66,0.42,14.96
169,2024-10-16,万林物流,603117,6.04,6.31,6.41,6.04,228120,93955336.0,6.07,3.44,0.21,3.81
168,2024-10-15,万林物流,603117,6.14,6.1,6.16,6.1,93961,37991881.0,0.97,-0.97,-0.06,1.57
167,2024-10-14,万林物流,603117,6.14,6.16,6.18,6.1,89083,36135520.0,1.31,0.49,0.03,1.49
166,2024-10-11,万林物流,603117,6.07,6.13,6.24,6.07,128193,52105417.0,2.76,-0.65,-0.04,2.14
165,2024-10-10,万林物流,603117,6.06,6.17,6.28,6.03,214429,87667253.0,4.01,-0.96,-0.06,3.58
164,2024-10-09,万林物流,603117,6.62,6.23,6.63,6.23,371004,156426703.0,5.82,-9.32,-0.64,6.19
163,2024-10-08,万林物流,603117,7.67,6.87,7.68,6.59,745765,344216305.0,15.27,-3.78,-0.27,11.78
162,2024-09-30,万林物流,603117,6.79,7.14,7.29,6.69,267998,124841870.0,8.86,5.47,0.37,4.23
161,2024-09-27,万林物流,603117,6.76,6.77,6.79,6.59,54623,24262391.0,2.98,0.74,0.05,0.86
160,2024-09-26,万林物流,603117,6.58,6.72,6.79,6.49,84721,37484015.0,4.55,1.82,0.12,1.34
159,2024-09-25,万林物流,603117,6.45,6.6,6.6,6.31,156284,67313829.0,4.5,2.48,0.16,2.47
158,2024-09-24,万林物流,603117,6.53,6.44,6.65,6.35,118384,51377036.0,4.57,-1.83,-0.12,1.87
157,2024-09-23,万林物流,603117,6.37,6.56,6.6,6.35,79018,33941265.0,3.92,2.98,0.19,1.25
156,2024-09-20,万林物流,603117,6.34,6.37,6.42,6.14,52080,21973198.0,4.42,0.47,0.03,0.82
155,2024-09-19,万林物流,603117,6.45,6.34,6.56,6.32,58675,24859273.0,3.76,-0.78,-0.05,0.93
154,2024-09-18,万林物流,603117,6.46,6.39,6.51,6.38,19521,8324490.0,2.01,-1.08,-0.07,0.31
153,2024-09-13,万林物流,603117,6.49,6.46,6.55,6.42,20567,8863988.0,2.0,-0.46,-0.03,0.32
152,2024-09-12,万林物流,603117,6.52,6.49,6.58,6.49,20633,8943216.0,1.38,-0.61,-0.04,0.33
151,2024-09-11,万林物流,603117,6.6,6.53,6.62,6.52,28316,12328532.0,1.51,-1.36,-0.09,0.45
150,2024-09-10,万林物流,603117,6.63,6.62,6.7,6.58,24671,10841631.0,1.8,-0.45,-0.03,0.39
149,2024-09-09,万林物流,603117,6.72,6.65,6.76,6.63,41159,18266412.0,1.92,-1.77,-0.12,0.65
148,2024-09-06,万林物流,603117,6.77,6.77,6.8,6.73,41565,18711930.0,1.03,0.0,0.0,0.66
147,2024-09-05,万林物流,603117,6.8,6.77,6.87,6.74,57860,26272229.0,1.92,0.0,0.0,0.91
146,2024-09-04,万林物流,603117,6.83,6.77,6.9,6.72,78771,35721531.0,2.65,-0.44,-0.03,1.24
145,2024-09-03,万林物流,603117,6.73,6.8,6.88,6.73,66813,30337915.0,2.22,0.59,0.04,1.06
144,2024-09-02,万林物流,603117,6.81,6.76,6.95,6.72,60110,27297013.0,3.38,-0.73,-0.05,0.95
143,2024-08-30,万林物流,603117,6.9,6.81,6.91,6.73,59470,26942826.0,2.62,-0.87,-0.06,0.94
142,2024-08-29,万林物流,603117,6.6,6.87,6.97,6.58,102341,46461257.0,5.91,4.09,0.27,1.62
141,2024-08-28,万林物流,603117,6.58,6.6,6.7,6.53,26479,11671127.0,2.58,0.3,0.02,0.42
140,2024-08-27,万林物流,603117,6.59,6.58,6.66,6.52,12438,5449097.0,2.12,-0.15,-0.01,0.2
139,2024-08-26,万林物流,603117,6.55,6.59,6.7,6.52,13992,6140755.0,2.74,0.46,0.03,0.22
138,2024-08-23,万林物流,603117,6.49,6.56,6.58,6.48,11912,5167215.0,1.53,0.46,0.03,0.19
137,2024-08-22,万林物流,603117,6.59,6.53,6.66,6.46,17930,7802620.0,3.03,-1.06,-0.07,0.28
136,2024-08-21,万林物流,603117,6.59,6.6,6.7,6.53,18233,8010111.0,2.57,-0.3,-0.02,0.29
135,2024-08-20,万林物流,603117,6.63,6.62,6.65,6.56,16742,7340235.0,1.36,-0.15,-0.01,0.26
134,2024-08-19,万林物流,603117,6.67,6.63,6.69,6.59,24935,10995481.0,1.5,-0.45,-0.03,0.39
133,2024-08-16,万林物流,603117,6.87,6.66,6.9,6.65,45851,20488720.0,3.65,-2.63,-0.18,0.72
132,2024-08-15,万林物流,603117,6.74,6.84,6.88,6.72,61052,27697657.0,2.36,1.03,0.07,0.96
131,2024-08-14,万林物流,603117,6.67,6.77,6.79,6.65,57485,25780037.0,2.1,1.5,0.1,0.91
130,2024-08-13,万林物流,603117,6.67,6.67,6.79,6.65,33914,15146803.0,2.11,0.3,0.02,0.54
129,2024-08-12,万林物流,603117,6.66,6.65,6.94,6.6,52453,23657565.0,5.11,-0.15,-0.01,0.83
128,2024-08-09,万林物流,603117,6.69,6.66,6.81,6.49,50375,22391819.0,4.78,-0.45,-0.03,0.8
