,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,上海亚虹,603159,23.06,22.89,23.45,22.57,12501,19122089.0,3.82,-0.61,-0.14,0.89
240,2025-01-23,上海亚虹,603159,22.64,23.03,23.13,22.62,13980,21380776.0,2.26,1.86,0.42,1.0
239,2025-01-22,上海亚虹,603159,23.32,22.61,23.32,22.5,12641,19233198.0,3.53,-2.71,-0.63,0.9
238,2025-01-21,上海亚虹,603159,24.11,23.24,24.32,23.1,14255,22374791.0,5.04,-3.97,-0.96,1.02
237,2025-01-20,上海亚虹,603159,24.88,24.2,24.97,23.97,18779,30535451.0,4.07,-1.63,-0.4,1.34
236,2025-01-17,上海亚虹,603159,23.59,24.6,24.76,23.49,17832,28819706.0,5.35,3.67,0.87,1.27
235,2025-01-16,上海亚虹,603159,24.01,23.73,24.16,23.6,12781,20422535.0,2.36,0.0,0.0,0.91
234,2025-01-15,上海亚虹,603159,23.69,23.73,23.97,23.32,12086,19137836.0,2.75,0.47,0.11,0.86
233,2025-01-14,上海亚虹,603159,23.31,23.62,23.62,22.86,17880,27983411.0,3.32,3.19,0.73,1.28
232,2025-01-13,上海亚虹,603159,22.89,22.89,23.2,22.59,8696,13293796.0,2.66,0.0,0.0,0.62
231,2025-01-10,上海亚虹,603159,23.35,22.89,23.81,22.85,13720,21262993.0,4.14,-1.25,-0.29,0.98
230,2025-01-09,上海亚虹,603159,23.34,23.18,23.56,22.86,11829,18326508.0,3.0,-0.69,-0.16,0.84
229,2025-01-08,上海亚虹,603159,23.0,23.34,23.42,22.44,14362,21918125.0,4.26,1.43,0.33,1.03
228,2025-01-07,上海亚虹,603159,22.37,23.01,23.1,22.17,12595,19073565.0,4.16,2.86,0.64,0.9
227,2025-01-06,上海亚虹,603159,22.5,22.37,22.99,21.67,13710,20498635.0,5.89,-0.18,-0.04,0.98
226,2025-01-03,上海亚虹,603159,23.9,22.41,24.12,22.36,32394,49923313.0,7.25,-7.74,-1.88,2.31
225,2025-01-02,上海亚虹,603159,23.22,24.29,24.88,21.85,41863,67147493.0,13.05,4.61,1.07,2.99
224,2024-12-31,上海亚虹,603159,22.86,23.22,23.97,22.86,18954,29573165.0,4.82,0.83,0.19,1.35
223,2024-12-30,上海亚虹,603159,22.59,23.03,24.18,22.51,27127,42396876.0,7.32,1.01,0.23,1.94
222,2024-12-27,上海亚虹,603159,22.69,22.8,23.08,22.51,9525,14523472.0,2.51,0.48,0.11,0.68
221,2024-12-26,上海亚虹,603159,22.12,22.69,23.08,22.12,15024,22789689.0,4.31,1.93,0.43,1.07
220,2024-12-25,上海亚虹,603159,22.73,22.26,23.0,21.85,20018,29527007.0,5.06,-2.07,-0.47,1.43
219,2024-12-24,上海亚虹,603159,22.57,22.73,23.25,22.43,24371,37038438.0,3.6,-0.26,-0.06,1.74
218,2024-12-23,上海亚虹,603159,25.0,22.79,25.0,22.79,33369,52824018.0,9.27,-4.4,-1.05,2.38
217,2024-12-20,上海亚虹,603159,23.21,23.84,24.09,23.21,23438,37275152.0,3.77,2.1,0.49,1.67
216,2024-12-19,上海亚虹,603159,23.21,23.35,23.57,23.01,20962,32541899.0,2.37,-1.14,-0.27,1.5
215,2024-12-18,上海亚虹,603159,23.9,23.62,24.32,23.22,26831,42794923.0,4.64,-0.34,-0.08,1.92
214,2024-12-17,上海亚虹,603159,25.62,23.7,25.66,23.48,54202,88794512.0,8.42,-8.42,-2.18,3.87
213,2024-12-16,上海亚虹,603159,27.28,25.88,27.28,25.31,91480,160368520.0,7.09,-6.81,-1.89,6.53
212,2024-12-13,上海亚虹,603159,25.09,27.77,27.77,25.09,66084,121339983.0,10.56,9.42,2.39,4.72
211,2024-12-12,上海亚虹,603159,25.25,25.38,25.79,24.58,43693,73860379.0,4.78,0.32,0.08,3.12
210,2024-12-11,上海亚虹,603159,24.88,25.3,25.65,24.19,54358,91683354.0,6.0,4.03,0.98,3.88
209,2024-12-10,上海亚虹,603159,24.46,24.32,25.97,24.11,81432,136561599.0,7.56,-1.14,-0.28,5.82
208,2024-12-09,上海亚虹,603159,22.5,24.6,24.6,22.3,77452,125173150.0,10.22,9.33,2.1,5.53
207,2024-12-06,上海亚虹,603159,22.47,22.5,22.62,22.01,23239,34645200.0,2.71,-0.18,-0.04,1.66
206,2024-12-05,上海亚虹,603159,21.63,22.54,23.07,21.57,30412,45252397.0,6.97,4.69,1.01,2.17
205,2024-12-04,上海亚虹,603159,22.01,21.53,22.15,21.45,13068,18911834.0,3.18,-2.18,-0.48,0.93
204,2024-12-03,上海亚虹,603159,22.43,22.01,22.44,21.94,14186,20920276.0,2.26,-0.63,-0.14,1.01
203,2024-12-02,上海亚虹,603159,21.78,22.15,22.62,21.31,23075,33825287.0,6.12,3.5,0.75,1.65
202,2024-11-29,上海亚虹,603159,21.28,21.4,21.47,21.04,15534,21939416.0,2.02,0.52,0.11,1.11
201,2024-11-28,上海亚虹,603159,20.89,21.29,21.78,20.69,19931,28104739.0,5.22,1.91,0.4,1.42
200,2024-11-27,上海亚虹,603159,20.94,20.89,20.98,20.06,16525,22392928.0,4.4,0.0,0.0,1.18
199,2024-11-26,上海亚虹,603159,20.91,20.89,21.25,20.63,14692,20415803.0,2.96,-0.24,-0.05,1.05
198,2024-11-25,上海亚虹,603159,20.55,20.94,21.03,20.35,22540,30964302.0,3.37,3.66,0.74,1.61
197,2024-11-22,上海亚虹,603159,21.8,20.2,21.8,20.2,22070,30860662.0,7.41,-6.48,-1.4,1.58
196,2024-11-21,上海亚虹,603159,21.66,21.6,22.22,21.28,17922,25818574.0,4.32,-0.78,-0.17,1.28
195,2024-11-20,上海亚虹,603159,21.98,21.77,22.22,21.53,19523,28388778.0,3.2,1.11,0.24,1.39
194,2024-11-19,上海亚虹,603159,21.25,21.53,21.64,20.75,25095,35296546.0,4.19,1.32,0.28,1.79
193,2024-11-18,上海亚虹,603159,22.45,21.25,22.66,21.1,34731,50100817.0,7.02,-4.37,-0.97,2.48
192,2024-11-15,上海亚虹,603159,22.92,22.22,23.76,22.22,39095,59624802.0,6.76,-2.5,-0.57,2.79
191,2024-11-14,上海亚虹,603159,23.29,22.79,24.23,22.69,53226,83190650.0,6.57,-2.81,-0.66,3.8
190,2024-11-13,上海亚虹,603159,22.75,23.45,24.04,22.75,65797,103474186.0,5.69,3.35,0.76,4.7
189,2024-11-12,上海亚虹,603159,22.89,22.69,23.87,22.52,85220,132401749.0,5.9,-0.87,-0.2,6.09
188,2024-11-11,上海亚虹,603159,20.86,22.89,22.89,20.83,37337,56154423.0,9.84,9.31,1.95,2.67
187,2024-11-08,上海亚虹,603159,20.8,20.94,21.35,20.35,44583,61350009.0,4.8,0.48,0.1,3.18
186,2024-11-07,上海亚虹,603159,20.4,20.84,21.36,20.4,45176,62664777.0,4.71,2.31,0.47,3.23
185,2024-11-06,上海亚虹,603159,20.07,20.37,20.89,19.93,59006,79722622.0,4.78,1.49,0.3,4.21
