,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,兰石重装,603169,9.03,9.07,9.13,9.0,94624,51137252.0,1.43,0.0,0.0,0.72
240,2025-01-23,兰石重装,603169,9.03,9.07,9.23,9.02,141994,77357680.0,2.34,0.89,0.08,1.09
239,2025-01-22,兰石重装,603169,8.92,8.99,9.02,8.89,79929,42718777.0,1.45,0.45,0.04,0.61
238,2025-01-21,兰石重装,603169,9.1,8.95,9.13,8.91,79144,42336200.0,2.43,-1.32,-0.12,0.61
237,2025-01-20,兰石重装,603169,9.03,9.07,9.11,8.97,88841,48094335.0,1.56,1.11,0.1,0.68
236,2025-01-17,兰石重装,603169,8.94,8.97,9.02,8.87,80778,43169280.0,1.68,0.22,0.02,0.62
235,2025-01-16,兰石重装,603169,8.89,8.95,9.13,8.89,110803,59440687.0,2.69,0.45,0.04,0.85
234,2025-01-15,兰石重装,603169,9.07,8.91,9.11,8.86,133003,70924684.0,2.75,-1.87,-0.17,1.02
233,2025-01-14,兰石重装,603169,8.7,9.08,9.1,8.65,187332,99998499.0,5.23,5.58,0.48,1.43
232,2025-01-13,兰石重装,603169,8.65,8.6,8.68,8.43,110558,56358013.0,2.89,-0.58,-0.05,0.85
231,2025-01-10,兰石重装,603169,8.81,8.65,8.91,8.63,114698,60004930.0,3.17,-2.15,-0.19,0.88
230,2025-01-09,兰石重装,603169,8.84,8.84,8.97,8.75,116061,61252526.0,2.47,-0.56,-0.05,0.89
229,2025-01-08,兰石重装,603169,9.1,8.89,9.15,8.62,223902,118355284.0,5.79,-2.95,-0.27,1.71
228,2025-01-07,兰石重装,603169,8.68,9.16,9.18,8.68,237210,126777136.0,5.76,5.53,0.48,1.82
227,2025-01-06,兰石重装,603169,8.55,8.68,8.73,8.36,131027,67152371.0,4.31,1.05,0.09,1.0
226,2025-01-03,兰石重装,603169,8.75,8.59,8.87,8.54,149871,77620059.0,3.75,-2.5,-0.22,1.15
225,2025-01-02,兰石重装,603169,9.1,8.81,9.19,8.7,170966,91556921.0,5.37,-3.5,-0.32,1.31
224,2024-12-31,兰石重装,603169,9.51,9.13,9.56,9.13,197742,110238484.0,4.47,-4.99,-0.48,1.51
223,2024-12-30,兰石重装,603169,9.37,9.61,9.82,9.16,294374,167182575.0,7.06,2.78,0.26,2.25
222,2024-12-27,兰石重装,603169,9.15,9.35,9.45,9.15,139491,77868094.0,3.29,2.41,0.22,1.07
221,2024-12-26,兰石重装,603169,9.05,9.13,9.23,9.02,90166,49305923.0,2.32,0.88,0.08,0.69
220,2024-12-25,兰石重装,603169,9.21,9.05,9.26,8.92,119268,64148513.0,3.7,-1.52,-0.14,0.91
219,2024-12-24,兰石重装,603169,9.15,9.19,9.32,9.1,103264,56677406.0,2.4,0.44,0.04,0.79
218,2024-12-23,兰石重装,603169,9.35,9.15,9.35,9.11,134152,73939979.0,2.57,-2.03,-0.19,1.03
217,2024-12-20,兰石重装,603169,9.4,9.34,9.45,9.32,103092,57777558.0,1.38,-0.64,-0.06,0.79
216,2024-12-19,兰石重装,603169,9.24,9.4,9.43,9.19,116543,64795059.0,2.57,0.64,0.06,0.89
215,2024-12-18,兰石重装,603169,9.45,9.34,9.53,9.31,109483,61571276.0,2.34,-0.64,-0.06,0.84
214,2024-12-17,兰石重装,603169,9.61,9.4,9.63,9.34,153882,87129472.0,3.01,-2.49,-0.24,1.18
213,2024-12-16,兰石重装,603169,9.72,9.64,9.79,9.58,127527,73833656.0,2.16,-0.82,-0.08,0.98
212,2024-12-13,兰石重装,603169,9.85,9.72,9.88,9.71,161653,94662808.0,1.72,-1.82,-0.18,1.24
211,2024-12-12,兰石重装,603169,10.04,9.9,10.06,9.82,186503,110691881.0,2.39,-1.3,-0.13,1.43
210,2024-12-11,兰石重装,603169,10.01,10.03,10.04,9.91,159412,95457699.0,1.3,0.2,0.02,1.22
209,2024-12-10,兰石重装,603169,10.31,10.01,10.33,9.99,256577,156123105.0,3.39,-0.3,-0.03,1.96
208,2024-12-09,兰石重装,603169,9.96,10.04,10.09,9.88,253376,151972080.0,2.1,0.5,0.05,1.94
207,2024-12-06,兰石重装,603169,9.83,9.99,10.23,9.66,376673,225042619.0,5.79,1.42,0.14,2.88
206,2024-12-05,兰石重装,603169,9.74,9.85,10.07,9.74,250835,148186243.0,3.41,1.86,0.18,1.92
205,2024-12-04,兰石重装,603169,9.74,9.67,9.85,9.59,173338,100735986.0,2.67,-0.51,-0.05,1.33
204,2024-12-03,兰石重装,603169,9.87,9.72,9.91,9.58,187349,108589782.0,3.36,-1.12,-0.11,1.43
203,2024-12-02,兰石重装,603169,9.63,9.83,9.9,9.59,187069,109477067.0,3.22,2.08,0.2,1.43
202,2024-11-29,兰石重装,603169,9.48,9.63,9.69,9.32,206206,117416348.0,3.9,1.58,0.15,1.58
201,2024-11-28,兰石重装,603169,9.55,9.48,9.75,9.4,201860,115353242.0,3.65,-1.04,-0.1,1.55
200,2024-11-27,兰石重装,603169,9.47,9.58,9.59,9.24,213017,119582469.0,3.68,0.74,0.07,1.63
199,2024-11-26,兰石重装,603169,9.77,9.51,9.96,9.48,233961,135085453.0,4.94,-2.06,-0.2,1.79
198,2024-11-25,兰石重装,603169,9.72,9.71,10.01,9.48,310610,179453583.0,5.41,-0.82,-0.08,2.38
197,2024-11-22,兰石重装,603169,10.11,9.79,10.47,9.79,628158,385509319.0,6.72,-3.26,-0.33,4.81
196,2024-11-21,兰石重装,603169,9.69,10.12,10.25,9.64,600190,362855085.0,6.26,3.79,0.37,4.59
195,2024-11-20,兰石重装,603169,9.56,9.75,9.8,9.53,216283,125111070.0,2.8,1.14,0.11,1.66
194,2024-11-19,兰石重装,603169,9.15,9.64,9.66,9.13,305943,172718551.0,5.79,5.24,0.48,2.34
193,2024-11-18,兰石重装,603169,9.32,9.16,9.39,9.08,207727,114650219.0,3.37,-0.54,-0.05,1.59
192,2024-11-15,兰石重装,603169,9.37,9.21,9.51,9.19,164196,91871640.0,3.39,-2.54,-0.24,1.26
191,2024-11-14,兰石重装,603169,9.8,9.45,9.82,9.42,192280,110000615.0,4.07,-3.77,-0.37,1.47
190,2024-11-13,兰石重装,603169,9.72,9.82,9.87,9.58,205546,119679174.0,2.97,0.51,0.05,1.57
189,2024-11-12,兰石重装,603169,10.06,9.77,10.11,9.66,292699,172683326.0,4.47,-2.88,-0.29,2.24
188,2024-11-11,兰石重装,603169,9.98,10.06,10.11,9.9,258409,155289618.0,2.13,1.82,0.18,1.98
187,2024-11-08,兰石重装,603169,9.85,9.88,10.23,9.79,333968,199476848.0,4.48,0.61,0.06,2.56
186,2024-11-07,兰石重装,603169,9.77,9.82,9.85,9.63,250446,146663406.0,2.28,1.66,0.16,1.92
185,2024-11-06,兰石重装,603169,9.58,9.66,9.77,9.5,273636,157631465.0,2.82,1.05,0.1,2.09
184,2024-11-05,兰石重装,603169,9.45,9.56,9.59,9.4,216563,123156811.0,2.01,1.16,0.11,1.66
183,2024-11-04,兰石重装,603169,9.29,9.45,9.53,9.23,202150,113948800.0,3.21,1.18,0.11,1.55
182,2024-11-01,兰石重装,603169,9.59,9.34,9.96,9.34,400143,229226817.0,6.56,-1.16,-0.11,3.06
181,2024-10-31,兰石重装,603169,9.35,9.45,9.48,9.27,243527,136905875.0,2.27,2.05,0.19,1.86
180,2024-10-30,兰石重装,603169,9.16,9.26,9.34,9.13,204858,113198620.0,2.29,1.09,0.1,1.57
179,2024-10-29,兰石重装,603169,9.39,9.16,9.4,9.11,261962,144039945.0,3.11,-1.72,-0.16,2.01
178,2024-10-28,兰石重装,603169,9.19,9.32,9.35,9.18,211721,117508880.0,1.85,1.41,0.13,1.62
177,2024-10-25,兰石重装,603169,9.02,9.19,9.24,9.02,242222,132621115.0,2.43,1.55,0.14,1.85
176,2024-10-24,兰石重装,603169,9.03,9.05,9.26,9.0,234987,128005684.0,2.88,0.22,0.02,1.8
175,2024-10-23,兰石重装,603169,9.05,9.03,9.13,8.95,321774,173269270.0,1.98,-0.88,-0.08,2.46
174,2024-10-22,兰石重装,603169,8.76,9.11,9.29,8.73,451234,243669647.0,6.33,3.05,0.27,3.45
173,2024-10-21,兰石重装,603169,8.65,8.84,9.15,8.6,385958,203378942.0,6.4,2.91,0.25,2.95
172,2024-10-18,兰石重装,603169,8.46,8.59,8.73,8.36,322062,164114850.0,4.37,1.54,0.13,2.47
171,2024-10-17,兰石重装,603169,8.44,8.46,8.89,8.43,382427,197176529.0,5.54,1.81,0.15,2.93
170,2024-10-16,兰石重装,603169,8.14,8.31,8.41,8.14,126244,62120325.0,3.27,0.73,0.06,0.97
169,2024-10-15,兰石重装,603169,8.41,8.25,8.47,8.22,159637,79241492.0,2.96,-2.48,-0.21,1.22
168,2024-10-14,兰石重装,603169,8.3,8.46,8.47,8.23,165832,82503995.0,2.89,1.93,0.16,1.27
