,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,爱婴室,603214,33.17,33.34,35.36,32.64,87045,191130563.0,7.84,-3.89,-1.35,6.28
240,2025-01-23,爱婴室,603214,33.09,34.69,35.3,33.09,77927,176698721.0,6.68,4.87,1.61,5.62
239,2025-01-22,爱婴室,603214,33.34,33.08,33.55,32.49,51727,111629020.0,3.18,-0.78,-0.26,3.73
238,2025-01-21,爱婴室,603214,33.45,33.34,34.21,33.27,77418,170441874.0,2.78,-1.24,-0.42,5.59
237,2025-01-20,爱婴室,603214,32.5,33.76,35.19,32.25,102332,229075646.0,9.12,4.68,1.51,7.39
236,2025-01-17,爱婴室,603214,33.1,32.25,33.27,32.07,48982,103868275.0,3.6,-3.12,-1.04,3.54
235,2025-01-16,爱婴室,603214,32.29,33.29,34.29,32.29,72448,158421362.0,6.17,2.65,0.86,5.23
234,2025-01-15,爱婴室,603214,32.19,32.43,33.73,31.96,65871,140813298.0,5.5,0.81,0.26,4.75
233,2025-01-14,爱婴室,603214,30.72,32.17,32.61,30.53,69414,144009670.0,6.82,5.44,1.66,5.01
232,2025-01-13,爱婴室,603214,30.4,30.51,31.03,29.67,47190,92997737.0,4.42,-0.91,-0.28,3.41
231,2025-01-10,爱婴室,603214,34.11,30.79,34.46,30.77,69427,145193267.0,11.0,-8.23,-2.76,5.01
230,2025-01-09,爱婴室,603214,33.02,33.55,35.11,32.49,74613,166290273.0,7.94,1.73,0.57,5.39
229,2025-01-08,爱婴室,603214,31.73,32.98,33.33,31.45,74401,156582732.0,5.88,3.06,0.98,5.37
228,2025-01-07,爱婴室,603214,31.51,32.0,32.57,30.82,68038,140300932.0,5.58,1.98,0.62,4.91
227,2025-01-06,爱婴室,603214,32.22,31.38,33.19,31.09,105274,219392538.0,6.45,-3.65,-1.19,7.6
226,2025-01-03,爱婴室,603214,34.8,32.57,35.09,32.5,149730,328894142.0,7.24,-9.0,-3.22,10.81
225,2025-01-02,爱婴室,603214,34.01,35.79,37.57,34.01,192910,465593000.0,10.35,4.01,1.38,13.92
224,2024-12-31,爱婴室,603214,34.43,34.41,36.42,34.25,89870,208528557.0,6.2,-1.66,-0.58,6.49
223,2024-12-30,爱婴室,603214,35.19,34.99,35.19,33.62,74482,167476987.0,4.46,-0.68,-0.24,5.38
222,2024-12-27,爱婴室,603214,33.94,35.23,35.86,33.43,121853,279756825.0,7.09,2.74,0.94,8.8
221,2024-12-26,爱婴室,603214,33.62,34.29,34.85,33.12,111068,247146314.0,4.96,-1.69,-0.59,8.02
220,2024-12-25,爱婴室,603214,34.06,34.88,36.97,33.48,172717,402192416.0,10.25,2.41,0.82,12.47
219,2024-12-24,爱婴室,603214,36.02,34.06,36.7,34.06,121521,277775903.0,7.03,-9.25,-3.47,8.77
218,2024-12-23,爱婴室,603214,37.58,37.53,38.73,34.84,221923,535573741.0,10.87,4.86,1.74,16.02
217,2024-12-20,爱婴室,603214,34.74,35.79,37.64,34.31,174361,409820120.0,9.59,3.02,1.05,12.59
216,2024-12-19,爱婴室,603214,37.26,34.74,38.09,34.28,195385,460405083.0,10.09,-8.02,-3.03,14.1
215,2024-12-18,爱婴室,603214,35.02,37.77,38.59,33.65,211600,511286486.0,13.83,5.74,2.05,15.27
214,2024-12-17,爱婴室,603214,36.56,35.72,38.66,35.41,294836,728953241.0,9.18,0.9,0.32,21.28
213,2024-12-16,爱婴室,603214,32.73,35.4,35.48,32.71,175794,405020003.0,8.52,8.86,2.88,12.69
212,2024-12-13,爱婴室,603214,30.82,32.52,34.04,29.93,197995,415220114.0,13.16,4.1,1.28,14.29
211,2024-12-12,爱婴室,603214,29.6,31.24,31.66,29.42,153935,303497974.0,7.47,4.24,1.27,11.11
210,2024-12-11,爱婴室,603214,29.06,29.97,30.28,29.06,102949,198189075.0,4.22,3.63,1.05,7.43
209,2024-12-10,爱婴室,603214,28.74,28.92,30.33,28.37,131940,248916175.0,7.04,3.84,1.07,9.52
208,2024-12-09,爱婴室,603214,28.51,27.85,28.69,27.74,71488,128993573.0,3.27,-4.26,-1.24,5.16
207,2024-12-06,爱婴室,603214,28.26,29.09,29.66,28.08,111872,209377578.0,5.63,3.67,1.03,8.08
206,2024-12-05,爱婴室,603214,28.13,28.06,28.44,27.57,81584,146066550.0,3.07,-0.95,-0.27,5.89
205,2024-12-04,爱婴室,603214,28.22,28.33,30.18,27.91,138716,259378221.0,7.94,-0.87,-0.25,10.01
204,2024-12-03,爱婴室,603214,28.3,28.58,29.07,27.64,118532,216698730.0,5.05,0.99,0.28,8.56
203,2024-12-02,爱婴室,603214,28.46,28.3,29.14,27.94,141298,258198908.0,4.26,0.39,0.11,10.2
202,2024-11-29,爱婴室,603214,25.87,28.19,28.19,25.87,149260,262335767.0,8.96,8.93,2.31,10.77
201,2024-11-28,爱婴室,603214,24.94,25.88,27.06,24.94,96280,160549740.0,8.35,1.93,0.49,6.95
200,2024-11-27,爱婴室,603214,26.08,25.39,26.08,24.31,96204,151209923.0,6.63,-4.94,-1.32,6.94
199,2024-11-26,爱婴室,603214,25.22,26.71,27.62,25.22,103596,175215891.0,9.46,5.32,1.35,7.48
198,2024-11-25,爱婴室,603214,24.66,25.36,25.4,24.63,37572,59444015.0,3.07,0.96,0.24,2.71
197,2024-11-22,爱婴室,603214,25.61,25.12,26.62,25.07,54896,90590484.0,6.04,-2.1,-0.54,3.96
196,2024-11-21,爱婴室,603214,25.64,25.66,26.05,25.38,31936,52165360.0,2.6,-0.35,-0.09,2.31
195,2024-11-20,爱婴室,603214,24.59,25.75,26.13,24.59,64094,103732615.0,6.24,4.42,1.09,4.63
194,2024-11-19,爱婴室,603214,24.44,24.66,24.8,24.09,35278,54398409.0,2.91,1.19,0.29,2.55
193,2024-11-18,爱婴室,603214,25.17,24.37,25.25,24.24,36974,57587605.0,4.04,-2.64,-0.66,2.67
192,2024-11-15,爱婴室,603214,25.85,25.03,25.98,25.0,49827,80356447.0,3.79,-3.17,-0.82,3.6
191,2024-11-14,爱婴室,603214,26.76,25.85,26.97,25.71,55972,94117264.0,4.71,-3.47,-0.93,4.04
190,2024-11-13,爱婴室,603214,26.99,26.78,27.32,26.23,58130,98851456.0,4.02,-1.22,-0.33,4.2
189,2024-11-12,爱婴室,603214,27.52,27.11,27.95,27.04,72157,127143042.0,3.31,-1.49,-0.41,5.21
