,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,海天味业,603288,339.6,339.08,342.27,339.08,70416,289717404.0,0.94,-0.13,-0.45,0.13
239,2025-01-24,海天味业,603288,339.16,339.53,343.31,338.86,79770,329101061.0,1.31,-0.26,-0.89,0.14
238,2025-01-23,海天味业,603288,343.09,340.42,346.2,338.42,86293,357117118.0,2.29,0.15,0.52,0.16
237,2025-01-22,海天味业,603288,348.72,339.9,348.87,339.53,102046,421944316.0,2.68,-2.63,-9.19,0.18
236,2025-01-21,海天味业,603288,348.35,349.09,352.06,345.16,61145,258595421.0,1.99,0.47,1.63,0.11
235,2025-01-20,海天味业,603288,353.91,347.46,353.98,346.72,61069,259553993.0,2.08,-0.61,-2.15,0.11
234,2025-01-17,海天味业,603288,346.05,349.61,351.39,344.35,65545,277569260.0,2.04,1.09,3.78,0.12
233,2025-01-16,海天味业,603288,351.39,345.83,354.43,344.35,77813,328516424.0,2.88,-1.19,-4.15,0.14
232,2025-01-15,海天味业,603288,353.98,349.98,355.09,348.94,62041,263842667.0,1.74,-1.11,-3.93,0.11
231,2025-01-14,海天味业,603288,348.79,353.91,355.32,345.98,91960,392934512.0,2.68,1.51,5.26,0.17
230,2025-01-13,海天味业,603288,344.27,348.65,350.87,343.6,67584,285699731.0,2.1,0.6,2.08,0.12
229,2025-01-10,海天味业,603288,350.2,346.57,352.5,346.57,65848,278508962.0,1.7,-0.6,-2.08,0.12
228,2025-01-09,海天味业,603288,351.46,348.65,358.28,347.39,85593,364388515.0,3.1,-0.78,-2.74,0.15
227,2025-01-08,海天味业,603288,353.09,351.39,355.39,346.57,96904,412466658.0,2.5,-0.44,-1.56,0.17
226,2025-01-07,海天味业,603288,358.28,352.95,361.03,352.35,114044,492591120.0,2.42,-1.45,-5.18,0.21
225,2025-01-06,海天味业,603288,367.99,358.13,367.99,356.8,87816,386163599.0,3.08,-1.51,-5.49,0.16
224,2025-01-03,海天味业,603288,368.59,363.62,371.4,360.8,92688,413906239.0,2.87,-1.55,-5.71,0.17
223,2025-01-02,海天味业,603288,375.48,369.33,378.08,366.44,121910,554467296.0,3.1,-1.64,-6.15,0.22
222,2024-12-31,海天味业,603288,375.7,375.48,381.11,375.33,86907,402305068.0,1.53,-0.88,-3.34,0.16
221,2024-12-30,海天味业,603288,379.63,378.82,384.9,377.11,70530,327777477.0,2.04,-0.74,-2.81,0.13
220,2024-12-27,海天味业,603288,380.37,381.63,382.6,376.74,62232,289395984.0,1.54,0.51,1.92,0.11
219,2024-12-26,海天味业,603288,383.56,379.71,384.08,379.26,56242,262376209.0,1.26,-0.89,-3.41,0.1
218,2024-12-25,海天味业,603288,386.97,383.12,387.56,381.19,53923,253650636.0,1.65,-0.98,-3.78,0.1
217,2024-12-24,海天味业,603288,380.0,386.9,387.79,380.0,77146,364382316.0,2.04,1.48,5.64,0.14
216,2024-12-23,海天味业,603288,381.86,381.26,385.12,380.3,63313,296732035.0,1.26,0.06,0.22,0.11
215,2024-12-20,海天味业,603288,383.12,381.04,384.75,379.63,76548,358200070.0,1.34,-0.54,-2.08,0.14
214,2024-12-19,海天味业,603288,381.93,383.12,385.12,380.23,64851,303938434.0,1.26,-0.9,-3.48,0.12
213,2024-12-18,海天味业,603288,383.49,386.6,390.01,382.97,81761,387775688.0,1.84,1.16,4.45,0.15
212,2024-12-17,海天味业,603288,381.04,382.15,385.49,376.96,83980,392758564.0,2.24,0.14,0.52,0.15
211,2024-12-16,海天味业,603288,384.75,381.63,387.34,380.67,69589,326241142.0,1.73,-0.87,-3.34,0.13
210,2024-12-13,海天味业,603288,391.64,384.97,393.49,384.75,134411,640393491.0,2.22,-2.35,-9.27,0.24
209,2024-12-12,海天味业,603288,387.34,394.24,395.5,386.38,158200,760750880.0,2.34,1.1,4.3,0.28
208,2024-12-11,海天味业,603288,387.05,389.94,392.46,386.82,89740,429228696.0,1.46,0.81,3.12,0.16
207,2024-12-10,海天味业,603288,391.12,386.82,398.02,385.86,190238,915020367.0,3.22,2.27,8.6,0.34
206,2024-12-09,海天味业,603288,376.37,378.22,381.11,373.55,72131,332760787.0,1.99,-0.49,-1.86,0.13
205,2024-12-06,海天味业,603288,376.82,380.08,384.6,376.22,98454,458838244.0,2.22,0.67,2.52,0.18
204,2024-12-05,海天味业,603288,376.59,377.56,380.82,374.96,74922,346007276.0,1.54,-0.82,-3.11,0.13
203,2024-12-04,海天味业,603288,384.75,380.67,384.75,377.7,90718,422772625.0,1.83,-1.16,-4.45,0.16
202,2024-12-03,海天味业,603288,384.01,385.12,387.49,381.26,103953,489841209.0,1.62,0.29,1.11,0.19
201,2024-12-02,海天味业,603288,376.52,384.01,385.12,371.55,206166,962882701.0,3.67,3.83,14.16,0.37
