,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,文灿股份,603348,24.69,24.13,24.75,24.11,57111,133731282.0,2.64,-0.45,-0.11,1.82
239,2025-01-24,文灿股份,603348,23.57,24.24,24.34,23.55,61883,142594111.0,3.33,2.06,0.49,1.97
238,2025-01-23,文灿股份,603348,23.6,23.75,24.55,23.48,81334,186341041.0,4.58,1.71,0.4,2.59
237,2025-01-22,文灿股份,603348,23.75,23.35,23.75,23.21,41565,92848075.0,2.27,-1.68,-0.4,1.32
236,2025-01-21,文灿股份,603348,23.65,23.75,23.82,23.35,40502,91336711.0,1.99,0.55,0.13,1.29
235,2025-01-20,文灿股份,603348,23.58,23.62,23.83,23.45,43003,97101718.0,1.63,1.11,0.26,1.37
234,2025-01-17,文灿股份,603348,23.27,23.36,23.5,23.05,36127,80431152.0,1.93,-0.04,-0.01,1.15
233,2025-01-16,文灿股份,603348,23.5,23.37,24.0,23.09,55322,124243132.0,3.88,-0.3,-0.07,1.76
232,2025-01-15,文灿股份,603348,23.55,23.44,23.71,23.3,54767,122713573.0,1.73,-1.22,-0.29,1.74
231,2025-01-14,文灿股份,603348,22.4,23.73,23.91,22.13,125047,276320411.0,7.96,6.13,1.37,3.98
230,2025-01-13,文灿股份,603348,23.56,22.36,23.65,22.11,138931,298968231.0,6.37,-7.49,-1.81,4.42
229,2025-01-10,文灿股份,603348,24.28,24.17,25.02,24.17,33008,77685166.0,3.48,-1.19,-0.29,1.22
228,2025-01-09,文灿股份,603348,24.36,24.46,24.74,24.34,27365,64260641.0,1.63,-0.49,-0.12,1.01
227,2025-01-08,文灿股份,603348,24.09,24.58,24.73,23.4,44572,102939129.0,5.49,1.44,0.35,1.65
226,2025-01-07,文灿股份,603348,23.78,24.23,24.24,23.73,25630,58738267.0,2.14,1.89,0.45,0.95
