,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,柳药集团,603368,54.72,55.18,55.59,54.72,71588,126124548.0,1.59,0.93,0.51,1.8
239,2025-01-24,柳药集团,603368,54.11,54.67,54.67,53.85,45084,77725022.0,1.51,0.85,0.46,1.14
238,2025-01-23,柳药集团,603368,53.98,54.21,54.57,53.98,53535,92371579.0,1.1,0.71,0.38,1.35
237,2025-01-22,柳药集团,603368,54.16,53.83,54.16,53.62,35876,61137442.0,1.0,-0.65,-0.35,0.9
236,2025-01-21,柳药集团,603368,54.49,54.18,54.62,53.93,41239,70777898.0,1.27,-0.42,-0.23,1.04
235,2025-01-20,柳药集团,603368,54.36,54.41,54.69,54.29,42173,72976187.0,0.74,0.37,0.2,1.06
234,2025-01-17,柳药集团,603368,53.95,54.21,54.39,53.8,29547,50737892.0,1.09,0.18,0.1,0.74
233,2025-01-16,柳药集团,603368,54.03,54.11,54.59,53.9,48242,83077690.0,1.28,0.15,0.08,1.21
232,2025-01-15,柳药集团,603368,53.98,54.03,54.16,53.7,32419,55392374.0,0.85,-0.09,-0.05,0.82
231,2025-01-14,柳药集团,603368,53.01,54.08,54.13,52.96,54726,92888064.0,2.21,2.11,1.12,1.38
230,2025-01-13,柳药集团,603368,52.55,52.96,53.06,52.45,33193,55191646.0,1.16,0.28,0.15,0.84
229,2025-01-10,柳药集团,603368,53.67,52.81,53.78,52.76,49327,82876706.0,1.9,-1.71,-0.92,1.24
228,2025-01-09,柳药集团,603368,53.73,53.73,54.06,53.27,34399,58452730.0,1.47,-0.09,-0.05,0.87
227,2025-01-08,柳药集团,603368,54.29,53.78,54.44,53.22,72594,123660751.0,2.24,-1.21,-0.66,1.83
226,2025-01-07,柳药集团,603368,54.59,54.44,54.69,54.06,79822,137685965.0,1.14,-1.66,-0.92,2.01
225,2025-01-06,柳药集团,603368,54.34,55.36,56.07,54.13,98761,173820639.0,3.57,1.88,1.02,2.49
224,2025-01-03,柳药集团,603368,55.02,54.34,55.18,53.98,70340,122165703.0,2.19,-0.73,-0.4,1.77
223,2025-01-02,柳药集团,603368,56.04,54.74,56.17,54.64,78227,138047124.0,2.74,-2.11,-1.18,1.97
