,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,贵州三力,603439,13.43,13.37,13.47,13.26,30187,38753028.0,1.58,0.53,0.07,0.75
239,2025-01-24,贵州三力,603439,13.24,13.3,13.36,13.15,33907,43125809.0,1.58,0.23,0.03,0.84
238,2025-01-23,贵州三力,603439,13.37,13.27,13.51,13.25,35565,45651672.0,1.95,-0.3,-0.04,0.88
237,2025-01-22,贵州三力,603439,13.38,13.31,13.45,13.21,36734,46935094.0,1.78,-1.33,-0.18,0.91
236,2025-01-21,贵州三力,603439,13.34,13.49,13.75,13.17,79579,103047781.0,4.33,0.82,0.11,1.97
235,2025-01-20,贵州三力,603439,13.19,13.38,13.71,13.19,68605,88064442.0,3.94,1.44,0.19,1.7
234,2025-01-17,贵州三力,603439,13.0,13.19,13.2,12.91,34097,42795418.0,2.23,1.23,0.16,0.84
233,2025-01-16,贵州三力,603439,13.02,13.03,13.18,12.89,31629,39515188.0,2.23,0.39,0.05,0.78
232,2025-01-15,贵州三力,603439,13.08,12.98,13.16,12.96,35661,44503995.0,1.52,-1.44,-0.19,0.88
231,2025-01-14,贵州三力,603439,12.85,13.17,13.2,12.85,49099,61342579.0,2.71,2.01,0.26,1.22
230,2025-01-13,贵州三力,603439,12.88,12.91,13.0,12.78,35956,44353663.0,1.68,-1.22,-0.16,0.89
229,2025-01-10,贵州三力,603439,13.35,13.07,13.43,13.05,41961,53062189.0,2.84,-2.39,-0.32,1.04
228,2025-01-09,贵州三力,603439,13.31,13.39,13.52,13.15,43183,55368283.0,2.76,-0.3,-0.04,1.07
227,2025-01-08,贵州三力,603439,13.37,13.43,13.56,13.19,61663,79281796.0,2.75,-0.15,-0.02,1.53
226,2025-01-07,贵州三力,603439,13.76,13.45,13.77,13.13,96304,123369024.0,4.58,-3.65,-0.51,2.38
225,2025-01-06,贵州三力,603439,13.24,13.96,13.97,13.17,122191,160493160.0,6.13,6.89,0.9,3.03
224,2025-01-03,贵州三力,603439,13.27,13.06,13.42,12.98,48495,61345019.0,3.33,-1.21,-0.16,1.2
223,2025-01-02,贵州三力,603439,13.55,13.22,13.67,13.15,47827,61603904.0,3.84,-2.44,-0.33,1.18
222,2024-12-31,贵州三力,603439,13.95,13.55,13.97,13.5,50883,66993665.0,3.37,-2.94,-0.41,1.26
221,2024-12-30,贵州三力,603439,14.24,13.96,14.28,13.9,54343,73205132.0,2.66,-2.17,-0.31,1.35
220,2024-12-27,贵州三力,603439,14.06,14.27,14.35,13.99,48408,66160700.0,2.56,1.49,0.21,1.2
219,2024-12-26,贵州三力,603439,14.04,14.06,14.12,13.95,27712,37424986.0,1.21,0.21,0.03,0.69
218,2024-12-25,贵州三力,603439,14.14,14.03,14.17,13.92,36159,48646791.0,1.77,-0.78,-0.11,0.9
217,2024-12-24,贵州三力,603439,14.15,14.14,14.34,14.01,47084,64061412.0,2.33,-0.07,-0.01,1.17
216,2024-12-23,贵州三力,603439,14.48,14.15,14.59,14.09,46874,64413425.0,3.46,-2.21,-0.32,1.16
215,2024-12-20,贵州三力,603439,14.33,14.47,14.54,14.25,35725,49533361.0,2.04,1.54,0.22,0.88
214,2024-12-19,贵州三力,603439,14.15,14.25,14.36,14.15,33329,45676713.0,1.47,-0.56,-0.08,0.83
213,2024-12-18,贵州三力,603439,14.29,14.33,14.5,14.21,34199,47209284.0,2.03,0.14,0.02,0.85
212,2024-12-17,贵州三力,603439,14.61,14.31,14.62,14.23,52350,72378110.0,2.66,-2.25,-0.33,1.3
211,2024-12-16,贵州三力,603439,14.81,14.64,15.04,14.53,66839,94882507.0,3.42,-1.81,-0.27,1.66
210,2024-12-13,贵州三力,603439,14.96,14.91,15.15,14.88,95648,138319377.0,1.8,-0.4,-0.06,2.37
209,2024-12-12,贵州三力,603439,14.7,14.97,14.99,14.64,80724,115729781.0,2.38,1.84,0.27,2.0
208,2024-12-11,贵州三力,603439,14.57,14.7,14.77,14.55,51827,73277173.0,1.5,0.2,0.03,1.28
207,2024-12-10,贵州三力,603439,14.91,14.67,15.0,14.66,74427,106210619.0,2.32,0.0,0.0,1.84
206,2024-12-09,贵州三力,603439,14.65,14.67,14.81,14.52,54844,77466417.0,1.98,0.41,0.06,1.36
205,2024-12-06,贵州三力,603439,14.5,14.61,14.62,14.38,56662,79183599.0,1.65,0.41,0.06,1.4
204,2024-12-05,贵州三力,603439,14.59,14.55,14.68,14.47,64596,90409363.0,1.43,-1.15,-0.17,1.6
203,2024-12-04,贵州三力,603439,14.94,14.72,14.95,14.6,50306,71512528.0,2.36,-0.67,-0.1,1.25
202,2024-12-03,贵州三力,603439,15.01,14.82,15.28,14.76,61567,88459228.0,3.47,-1.07,-0.16,1.51
201,2024-12-02,贵州三力,603439,14.84,14.98,15.04,14.8,71412,102724046.0,1.62,1.22,0.18,1.75
200,2024-11-29,贵州三力,603439,14.64,14.8,14.84,14.51,58721,83295912.0,2.25,1.09,0.16,1.44
199,2024-11-28,贵州三力,603439,14.73,14.64,14.86,14.57,60315,85472853.0,1.97,-0.61,-0.09,1.47
198,2024-11-27,贵州三力,603439,14.3,14.73,14.73,14.12,84712,118294028.0,4.25,2.72,0.39,2.07
197,2024-11-26,贵州三力,603439,14.2,14.34,14.6,14.13,60720,84211634.0,3.31,0.99,0.14,1.48
196,2024-11-25,贵州三力,603439,13.93,14.2,14.2,13.9,43407,58659297.0,2.16,2.38,0.33,1.06
195,2024-11-22,贵州三力,603439,14.5,13.87,14.57,13.87,61426,83714831.0,4.81,-4.67,-0.68,1.5
194,2024-11-21,贵州三力,603439,14.53,14.55,14.62,14.4,39833,55566511.0,1.51,-0.14,-0.02,0.97
193,2024-11-20,贵州三力,603439,14.36,14.57,14.67,14.31,44872,62772553.0,2.5,1.32,0.19,1.1
192,2024-11-19,贵州三力,603439,14.01,14.38,14.4,14.01,51655,70599893.0,2.79,2.71,0.38,1.26
