,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,展鹏科技,603488,12.66,12.83,12.83,12.51,29468,22894730.0,2.54,1.74,0.22,1.01
240,2025-01-23,展鹏科技,603488,12.54,12.61,12.83,12.54,34391,26807939.0,2.33,1.12,0.14,1.18
239,2025-01-22,展鹏科技,603488,12.59,12.47,12.59,12.36,20978,15955757.0,1.83,-0.95,-0.12,0.72
238,2025-01-21,展鹏科技,603488,12.83,12.59,12.9,12.5,31155,24080873.0,3.13,-1.56,-0.2,1.07
237,2025-01-20,展鹏科技,603488,12.54,12.79,12.83,12.45,35420,27535402.0,3.04,2.48,0.31,1.21
236,2025-01-17,展鹏科技,603488,12.58,12.48,12.58,12.41,21932,16747595.0,1.35,-0.79,-0.1,0.75
235,2025-01-16,展鹏科技,603488,12.64,12.58,12.76,12.48,29537,22825819.0,2.22,-0.24,-0.03,1.01
234,2025-01-15,展鹏科技,603488,12.71,12.61,12.75,12.55,29016,22437529.0,1.58,-0.63,-0.08,0.99
233,2025-01-14,展鹏科技,603488,12.33,12.69,12.72,12.27,34996,26922737.0,3.65,2.92,0.36,1.2
232,2025-01-13,展鹏科技,603488,12.17,12.33,12.36,11.99,21615,16052986.0,3.01,0.16,0.02,0.74
231,2025-01-10,展鹏科技,603488,12.54,12.31,12.65,12.31,30466,23286799.0,2.71,-1.83,-0.23,1.04
230,2025-01-09,展鹏科技,603488,12.31,12.54,12.66,12.29,35005,26808776.0,2.99,1.29,0.16,1.2
229,2025-01-08,展鹏科技,603488,12.41,12.38,12.5,12.06,35531,26672819.0,3.53,-0.56,-0.07,1.22
228,2025-01-07,展鹏科技,603488,12.22,12.45,12.45,12.19,27754,20847205.0,2.12,1.55,0.19,0.95
227,2025-01-06,展鹏科技,603488,12.34,12.26,12.4,12.02,29653,22099743.0,3.07,-0.81,-0.1,1.02
226,2025-01-03,展鹏科技,603488,12.85,12.36,12.86,12.36,60062,46311570.0,3.87,-4.33,-0.56,2.06
225,2025-01-02,展鹏科技,603488,12.72,12.92,13.25,12.5,71688,56287862.0,5.9,1.57,0.2,2.46
224,2024-12-31,展鹏科技,603488,12.87,12.72,13.03,12.68,37769,29631012.0,2.72,-1.17,-0.15,1.29
223,2024-12-30,展鹏科技,603488,13.14,12.87,13.17,12.69,68895,54401654.0,3.62,-2.87,-0.38,2.36
222,2024-12-27,展鹏科技,603488,13.34,13.25,13.62,13.21,65060,53905381.0,3.1,0.23,0.03,2.23
221,2024-12-26,展鹏科技,603488,13.24,13.22,13.49,13.17,41890,34550768.0,2.41,-0.45,-0.06,1.43
220,2024-12-25,展鹏科技,603488,13.67,13.28,13.69,13.08,53947,44275682.0,4.45,-3.07,-0.42,1.85
219,2024-12-24,展鹏科技,603488,13.55,13.7,13.81,13.43,31951,27070381.0,2.8,1.03,0.14,1.09
218,2024-12-23,展鹏科技,603488,14.34,13.56,14.34,13.53,60429,52120772.0,5.65,-5.37,-0.77,2.07
217,2024-12-20,展鹏科技,603488,14.09,14.33,14.37,14.04,54924,48929313.0,2.35,2.07,0.29,1.88
216,2024-12-19,展鹏科技,603488,14.2,14.04,14.47,14.02,62188,54896910.0,3.13,-2.23,-0.32,2.13
215,2024-12-18,展鹏科技,603488,14.3,14.36,14.37,13.95,44893,39850686.0,2.94,0.49,0.07,1.54
214,2024-12-17,展鹏科技,603488,14.72,14.29,14.74,14.18,67854,61007333.0,3.81,-2.66,-0.39,2.32
213,2024-12-16,展鹏科技,603488,15.18,14.68,15.23,14.6,90490,83853416.0,4.15,-3.29,-0.5,3.1
212,2024-12-13,展鹏科技,603488,15.25,15.18,15.53,15.16,104798,101171967.0,2.42,-0.85,-0.13,3.59
211,2024-12-12,展鹏科技,603488,15.49,15.31,15.53,15.11,109462,105220000.0,2.73,-0.46,-0.07,3.75
