,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,思维列控,603508,53.05,52.52,53.72,52.52,48635,116264960.0,2.26,-0.89,-0.47,1.28
239,2025-01-24,思维列控,603508,51.74,52.99,53.44,51.64,58768,139573441.0,3.46,1.85,0.96,1.54
238,2025-01-23,思维列控,603508,52.95,52.03,52.95,51.21,75186,175621035.0,3.39,1.36,0.7,1.97
237,2025-01-22,思维列控,603508,51.17,51.33,51.84,51.01,31333,72202325.0,1.61,-0.25,-0.13,0.82
236,2025-01-21,思维列控,603508,51.37,51.46,52.25,51.15,46954,108584503.0,2.16,1.18,0.6,1.23
235,2025-01-20,思维列控,603508,50.39,50.86,50.91,50.19,32082,72789781.0,1.44,1.54,0.77,0.84
234,2025-01-17,思维列控,603508,49.84,50.09,50.31,49.29,26777,59606627.0,2.04,0.08,0.04,0.7
233,2025-01-16,思维列控,603508,50.52,50.05,50.86,49.76,29920,67208280.0,2.19,-0.32,-0.16,0.78
232,2025-01-15,思维列控,603508,50.62,50.21,51.62,49.95,48311,109433899.0,3.28,-1.24,-0.63,1.27
231,2025-01-14,思维列控,603508,49.13,50.84,50.89,48.7,50861,114346410.0,4.48,4.05,1.98,1.33
230,2025-01-13,思维列控,603508,48.58,48.86,49.41,48.15,29582,64363326.0,2.59,0.25,0.12,0.78
229,2025-01-10,思维列控,603508,49.6,48.74,50.03,48.74,32414,71572654.0,2.6,-1.69,-0.84,0.85
228,2025-01-09,思维列控,603508,49.52,49.58,50.35,49.37,38702,86169592.0,1.97,-0.28,-0.14,1.02
227,2025-01-08,思维列控,603508,49.19,49.72,50.15,47.84,50018,109104088.0,4.68,0.71,0.35,1.31
226,2025-01-07,思维列控,603508,49.33,49.37,49.66,48.27,46971,102569927.0,2.83,0.61,0.3,1.23
225,2025-01-06,思维列控,603508,48.58,49.07,49.86,48.5,49452,108542422.0,2.8,0.93,0.45,1.3
224,2025-01-03,思维列控,603508,50.35,48.62,51.09,48.48,66843,148393282.0,5.17,-3.61,-1.82,1.75
223,2025-01-02,思维列控,603508,52.8,50.44,53.05,49.82,82452,189859210.0,6.11,-4.56,-2.41,2.16
222,2024-12-31,思维列控,603508,55.01,52.85,55.32,52.85,85248,206488769.0,4.46,-4.46,-2.47,2.24
221,2024-12-30,思维列控,603508,54.91,55.32,55.74,53.99,85070,212458924.0,3.18,0.67,0.37,2.23
220,2024-12-27,思维列控,603508,53.95,54.95,55.44,53.56,100627,248568666.0,3.49,1.97,1.06,2.64
219,2024-12-26,思维列控,603508,53.64,53.89,54.19,53.36,56286,136324124.0,1.54,-0.11,-0.06,1.48
218,2024-12-25,思维列控,603508,54.56,53.95,54.56,53.09,67761,164100008.0,2.69,-1.12,-0.61,1.78
217,2024-12-24,思维列控,603508,52.07,54.56,54.85,52.07,112305,273259765.0,5.36,5.29,2.74,2.95
216,2024-12-23,思维列控,603508,52.42,51.82,53.13,51.56,51337,120592168.0,2.99,-1.41,-0.74,1.35
215,2024-12-20,思维列控,603508,51.62,52.56,53.07,51.33,54119,127905816.0,3.37,1.74,0.9,1.42
214,2024-12-19,思维列控,603508,50.27,51.66,52.01,50.17,45851,105391351.0,3.63,1.93,0.98,1.2
213,2024-12-18,思维列控,603508,50.39,50.68,50.99,50.39,32335,73314595.0,1.18,0.08,0.04,0.85
212,2024-12-17,思维列控,603508,51.09,50.64,51.91,50.5,43259,98932652.0,2.76,-0.92,-0.47,1.13
211,2024-12-16,思维列控,603508,51.91,51.11,51.93,50.8,38639,88526898.0,2.19,-1.06,-0.55,1.01
210,2024-12-13,思维列控,603508,52.13,51.66,52.44,51.62,59276,138220494.0,1.55,-2.05,-1.08,1.55
209,2024-12-12,思维列控,603508,51.17,52.74,52.8,50.84,77174,180098001.0,3.85,3.47,1.77,2.02
208,2024-12-11,思维列控,603508,50.5,50.97,51.33,50.35,35589,81117571.0,1.93,0.61,0.31,0.93
207,2024-12-10,思维列控,603508,51.97,50.66,52.31,50.42,64991,149148192.0,3.73,-0.12,-0.06,1.7
206,2024-12-09,思维列控,603508,51.91,50.72,51.95,50.56,47327,108230156.0,2.67,-2.41,-1.25,1.24
205,2024-12-06,思维列控,603508,51.86,51.97,52.25,51.33,33844,78699193.0,1.78,0.68,0.35,0.89
