,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,司太立,603520,27.31,27.06,27.56,26.98,50600,41858969.0,2.12,-0.92,-0.25,1.15
239,2025-01-24,司太立,603520,27.37,27.31,27.39,27.06,66213,54747270.0,1.21,0.0,0.0,1.51
238,2025-01-23,司太立,603520,27.78,27.31,28.08,27.31,76637,64681104.0,2.78,-1.3,-0.36,1.75
237,2025-01-22,司太立,603520,27.59,27.67,27.81,26.93,160287,133868854.0,3.15,-0.86,-0.24,3.66
236,2025-01-21,司太立,603520,27.26,27.91,28.13,26.63,224975,188137811.0,5.49,2.08,0.57,5.13
235,2025-01-20,司太立,603520,26.71,27.34,27.39,26.6,113716,93585487.0,2.96,2.36,0.63,2.59
234,2025-01-17,司太立,603520,26.41,26.71,26.71,26.08,84569,67759125.0,2.34,-1.0,-0.27,1.93
233,2025-01-16,司太立,603520,26.9,26.98,27.28,26.9,59830,49158329.0,1.41,0.3,0.08,1.36
232,2025-01-15,司太立,603520,27.17,26.9,27.17,26.82,56445,46180812.0,1.28,-1.5,-0.41,1.29
231,2025-01-14,司太立,603520,26.73,27.31,27.31,26.71,93364,76589508.0,2.25,2.55,0.68,2.13
230,2025-01-13,司太立,603520,26.05,26.63,26.76,25.88,74680,59439822.0,3.33,0.76,0.2,1.7
229,2025-01-10,司太立,603520,27.04,26.43,27.12,26.43,84687,68302711.0,2.54,-2.54,-0.69,1.93
228,2025-01-09,司太立,603520,27.34,27.12,27.34,26.84,90573,74448668.0,1.82,-1.2,-0.33,2.07
227,2025-01-08,司太立,603520,28.19,27.45,28.55,27.04,153917,129590992.0,5.32,-3.38,-0.96,3.51
226,2025-01-07,司太立,603520,29.34,28.41,29.34,27.89,165885,145268387.0,4.91,-3.73,-1.1,3.78
225,2025-01-06,司太立,603520,28.68,29.51,29.51,28.57,138720,124839077.0,3.27,2.5,0.72,3.16
224,2025-01-03,司太立,603520,28.82,28.79,29.4,28.38,152061,135561774.0,3.55,0.17,0.05,3.47
223,2025-01-02,司太立,603520,28.46,28.74,28.74,28.27,110614,96718702.0,1.66,1.27,0.36,2.52
222,2024-12-31,司太立,603520,28.38,28.38,28.55,28.0,96396,83537106.0,1.94,0.28,0.08,2.2
221,2024-12-30,司太立,603520,28.38,28.3,28.49,27.78,100131,85891417.0,2.49,-0.88,-0.25,2.28
220,2024-12-27,司太立,603520,28.3,28.55,28.79,28.13,77229,67622580.0,2.34,1.17,0.33,1.76
219,2024-12-26,司太立,603520,28.6,28.22,28.85,28.16,103077,89834321.0,2.41,-1.43,-0.41,2.35
218,2024-12-25,司太立,603520,29.23,28.63,29.37,28.44,93629,82431788.0,3.18,-2.15,-0.63,2.14
217,2024-12-24,司太立,603520,29.53,29.26,29.53,28.88,79101,71085294.0,2.22,-0.27,-0.08,1.8
216,2024-12-23,司太立,603520,30.71,29.34,30.71,29.18,141344,130341890.0,4.98,-4.46,-1.37,3.22
215,2024-12-20,司太立,603520,30.33,30.71,30.8,30.22,100016,94930285.0,1.91,1.35,0.41,2.28
214,2024-12-19,司太立,603520,30.19,30.3,30.38,30.08,72162,67545594.0,0.98,-0.56,-0.17,1.65
213,2024-12-18,司太立,603520,30.38,30.47,30.88,30.06,119523,112842048.0,2.68,-0.52,-0.16,2.73
212,2024-12-17,司太立,603520,30.99,30.63,31.26,30.47,118289,113230725.0,2.55,-1.07,-0.33,2.7
211,2024-12-16,司太立,603520,31.26,30.96,31.48,30.74,135325,130995009.0,2.36,-1.15,-0.36,3.09
210,2024-12-13,司太立,603520,31.56,31.32,31.84,31.26,158988,156043884.0,1.83,-1.11,-0.35,3.63
209,2024-12-12,司太立,603520,32.5,31.67,32.5,31.13,516920,507167460.0,4.16,-3.77,-1.24,11.79
208,2024-12-11,司太立,603520,32.61,32.91,32.99,32.36,106412,109217002.0,1.93,0.67,0.22,3.11
207,2024-12-10,司太立,603520,33.24,32.69,33.49,32.66,131152,135724582.0,2.54,-0.15,-0.05,3.83
206,2024-12-09,司太立,603520,33.43,32.74,33.59,32.74,118266,122818492.0,2.54,-2.24,-0.75,3.45
205,2024-12-06,司太立,603520,33.29,33.49,33.51,32.88,104604,109567331.0,1.89,0.33,0.11,3.05
204,2024-12-05,司太立,603520,33.35,33.38,33.49,32.74,119198,123792624.0,2.27,0.85,0.28,3.48
203,2024-12-04,司太立,603520,33.4,33.1,34.34,32.94,145746,154453078.0,4.15,-1.78,-0.6,4.26
202,2024-12-03,司太立,603520,34.88,33.7,34.88,33.46,205547,220138781.0,4.07,-3.38,-1.18,6.0
201,2024-12-02,司太立,603520,34.72,34.88,35.3,34.2,244278,268530846.0,3.16,0.06,0.02,7.13
200,2024-11-29,司太立,603520,33.84,34.86,35.63,33.21,296183,320865797.0,7.08,2.02,0.69,8.65
199,2024-11-28,司太立,603520,33.27,34.17,35.68,32.96,391566,428278187.0,8.14,2.31,0.77,11.43
198,2024-11-27,司太立,603520,32.85,33.4,33.95,32.39,252764,263028290.0,4.7,0.57,0.19,7.38
197,2024-11-26,司太立,603520,34.61,33.21,35.19,33.21,495269,534832379.0,5.94,-0.33,-0.11,14.46
196,2024-11-25,司太立,603520,30.88,33.32,33.32,30.41,195251,197744169.0,9.48,8.5,2.61,5.7
195,2024-11-22,司太立,603520,32.09,30.71,32.31,30.63,229064,224349679.0,5.19,-5.19,-1.68,6.69
194,2024-11-21,司太立,603520,32.74,32.39,32.85,31.89,340046,343518390.0,2.91,-1.91,-0.63,9.93
193,2024-11-20,司太立,603520,30.41,33.02,33.02,30.33,456855,465868644.0,8.84,8.48,2.58,13.34
192,2024-11-19,司太立,603520,29.95,30.44,30.47,29.64,81123,75507502.0,2.77,1.74,0.52,2.37
191,2024-11-18,司太立,603520,30.91,29.92,31.34,29.78,114877,108215001.0,5.02,-3.7,-1.15,3.35
190,2024-11-15,司太立,603520,30.25,31.07,31.67,30.16,152501,147734878.0,4.94,1.7,0.52,4.45
189,2024-11-14,司太立,603520,30.91,30.55,32.14,30.41,154832,149951133.0,5.6,-1.16,-0.36,4.52
188,2024-11-13,司太立,603520,30.82,30.91,31.34,30.22,87005,83206733.0,3.62,-0.06,-0.02,2.54
187,2024-11-12,司太立,603520,31.07,30.93,31.7,30.66,104859,102064915.0,3.35,-0.45,-0.14,3.06
186,2024-11-11,司太立,603520,30.16,31.07,31.1,30.16,98305,94164137.0,3.09,2.27,0.69,2.87
185,2024-11-08,司太立,603520,30.55,30.38,30.74,30.03,100983,94965193.0,2.34,0.0,0.0,2.95
184,2024-11-07,司太立,603520,29.37,30.38,30.38,29.37,106769,99454675.0,3.41,2.5,0.74,3.12
183,2024-11-06,司太立,603520,29.81,29.64,30.0,29.48,75685,69518033.0,1.74,-0.57,-0.17,2.21
182,2024-11-05,司太立,603520,29.7,29.81,29.86,29.31,94577,86568592.0,1.85,0.47,0.14,2.76
181,2024-11-04,司太立,603520,28.38,29.67,29.84,28.35,99146,89496260.0,5.24,4.44,1.26,2.89
