,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,地素时尚,603587,21.12,21.35,21.4,21.0,23375,27738640.0,1.89,1.04,0.22,0.49
240,2025-01-23,地素时尚,603587,21.24,21.13,21.4,21.13,18984,22624771.0,1.27,-0.24,-0.05,0.4
239,2025-01-22,地素时尚,603587,21.38,21.18,21.4,21.1,23946,28428085.0,1.4,-1.21,-0.26,0.51
238,2025-01-21,地素时尚,603587,21.67,21.44,21.77,21.36,25329,30618142.0,1.89,-0.97,-0.21,0.53
237,2025-01-20,地素时尚,603587,21.56,21.65,21.71,21.42,24831,30281853.0,1.35,0.89,0.19,0.52
236,2025-01-17,地素时尚,603587,21.62,21.46,21.62,21.38,26667,32230929.0,1.11,-0.83,-0.18,0.56
235,2025-01-16,地素时尚,603587,21.35,21.64,21.92,21.35,52351,64150989.0,2.67,1.5,0.32,1.1
234,2025-01-15,地素时尚,603587,21.3,21.32,21.52,21.22,31954,38335334.0,1.41,0.09,0.02,0.67
233,2025-01-14,地素时尚,603587,20.94,21.3,21.31,20.94,38303,45292754.0,1.78,2.35,0.49,0.81
232,2025-01-13,地素时尚,603587,20.71,20.81,20.83,20.44,23392,26708530.0,1.88,0.19,0.04,0.49
231,2025-01-10,地素时尚,603587,21.19,20.77,21.19,20.76,37898,44122342.0,2.03,-1.98,-0.42,0.8
230,2025-01-09,地素时尚,603587,21.24,21.19,21.34,21.12,28177,33462934.0,1.03,-0.61,-0.13,0.59
229,2025-01-08,地素时尚,603587,21.22,21.32,21.36,21.01,33232,39444128.0,1.64,0.0,0.0,0.7
228,2025-01-07,地素时尚,603587,21.3,21.32,21.35,21.0,39036,46304391.0,1.64,0.14,0.03,0.82
227,2025-01-06,地素时尚,603587,21.29,21.29,21.54,20.83,43270,51460198.0,3.33,-0.23,-0.05,0.91
226,2025-01-03,地素时尚,603587,22.19,21.34,22.21,21.34,69533,85110269.0,3.94,-3.44,-0.76,1.47
225,2025-01-02,地素时尚,603587,21.96,22.1,22.58,21.95,72745,92880989.0,2.85,0.09,0.02,1.53
224,2024-12-31,地素时尚,603587,22.36,22.08,22.55,22.07,53872,68760580.0,2.15,-1.08,-0.24,1.14
223,2024-12-30,地素时尚,603587,22.56,22.32,22.56,22.27,49401,63386051.0,1.29,-1.06,-0.24,1.04
222,2024-12-27,地素时尚,603587,22.52,22.56,22.72,22.38,66598,86667996.0,1.5,-0.27,-0.06,1.4
221,2024-12-26,地素时尚,603587,22.3,22.62,22.67,22.24,79143,102718855.0,1.92,0.98,0.22,1.67
220,2024-12-25,地素时尚,603587,22.26,22.4,22.67,21.72,113742,143745746.0,4.26,0.54,0.12,2.4
219,2024-12-24,地素时尚,603587,22.21,22.28,22.43,22.08,80229,102156177.0,1.58,0.36,0.08,1.69
218,2024-12-23,地素时尚,603587,22.81,22.2,22.88,22.2,130819,169255093.0,2.96,-3.39,-0.78,2.76
217,2024-12-20,地素时尚,603587,22.92,22.98,24.04,22.68,181990,246045460.0,5.99,1.23,0.28,3.84
216,2024-12-19,地素时尚,603587,23.4,22.7,23.75,22.5,210723,279553341.0,5.31,-3.57,-0.84,4.44
215,2024-12-18,地素时尚,603587,23.72,23.54,24.95,23.16,262929,376081143.0,7.55,-0.68,-0.16,5.55
