,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,康辰药业,603590,25.62,26.18,26.32,25.58,12371,29576959.0,2.87,1.59,0.41,0.79
239,2025-01-24,康辰药业,603590,26.15,25.77,26.29,25.15,17228,40215075.0,4.31,-2.53,-0.67,1.1
238,2025-01-23,康辰药业,603590,25.64,26.44,26.9,25.64,21484,52134265.0,4.93,3.48,0.89,1.37
237,2025-01-22,康辰药业,603590,25.06,25.55,25.7,24.96,9589,22326839.0,2.94,1.59,0.4,0.61
236,2025-01-21,康辰药业,603590,25.15,25.15,25.3,24.92,4524,10360134.0,1.5,-0.4,-0.1,0.29
235,2025-01-20,康辰药业,603590,25.05,25.25,25.25,24.9,6545,15065560.0,1.4,1.04,0.26,0.42
234,2025-01-17,康辰药业,603590,24.9,24.99,25.05,24.65,6620,15053226.0,1.61,0.32,0.08,0.42
233,2025-01-16,康辰药业,603590,24.96,24.91,25.18,24.75,5909,13478013.0,1.73,0.0,0.0,0.38
232,2025-01-15,康辰药业,603590,25.05,24.91,25.06,24.71,4721,10717312.0,1.4,-0.48,-0.12,0.3
231,2025-01-14,康辰药业,603590,24.53,25.03,25.03,24.53,9300,21098573.0,2.04,2.08,0.51,0.59
230,2025-01-13,康辰药业,603590,24.15,24.52,24.53,23.96,6724,14914174.0,2.35,1.2,0.29,0.43
229,2025-01-10,康辰药业,603590,24.47,24.23,24.78,24.19,7957,17703362.0,2.4,-1.54,-0.38,0.51
228,2025-01-09,康辰药业,603590,24.76,24.61,25.14,24.45,8847,19972676.0,2.79,-0.44,-0.11,0.56
227,2025-01-08,康辰药业,603590,24.72,24.72,24.86,24.3,7323,16468935.0,2.26,-0.12,-0.03,0.47
226,2025-01-07,康辰药业,603590,24.91,24.75,24.92,24.39,8807,19822967.0,2.13,-0.6,-0.15,0.56
225,2025-01-06,康辰药业,603590,24.63,24.9,25.28,24.54,12531,28582740.0,3.02,1.55,0.38,0.8
224,2025-01-03,康辰药业,603590,25.34,24.52,25.34,24.45,11206,25501003.0,3.54,-2.5,-0.63,0.71
223,2025-01-02,康辰药业,603590,25.63,25.15,25.74,24.97,10398,24107487.0,3.0,-2.03,-0.52,0.66
222,2024-12-31,康辰药业,603590,25.92,25.67,26.0,25.53,7897,18655987.0,1.81,-0.93,-0.24,0.5
221,2024-12-30,康辰药业,603590,26.16,25.91,26.33,25.85,10168,24224480.0,1.82,-1.71,-0.45,0.65
220,2024-12-27,康辰药业,603590,26.05,26.36,26.49,25.9,9971,24062738.0,2.26,1.19,0.31,0.63
219,2024-12-26,康辰药业,603590,26.2,26.05,26.32,25.85,10653,25548479.0,1.79,-0.57,-0.15,0.68
218,2024-12-25,康辰药业,603590,26.53,26.2,26.57,25.9,10472,25140018.0,2.53,-1.02,-0.27,0.67
217,2024-12-24,康辰药业,603590,26.39,26.47,26.65,26.1,8032,19466768.0,2.09,0.38,0.1,0.51
