,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,东方电缆,603606,208.92,211.55,212.71,208.11,82633,439276159.0,2.2,1.3,2.71,1.2
240,2025-01-23,东方电缆,603606,216.37,208.84,216.76,208.3,108767,578380267.0,3.94,-2.77,-5.95,1.58
239,2025-01-22,东方电缆,603606,213.98,214.79,217.34,211.2,58267,313000928.0,2.86,-0.07,-0.15,0.85
238,2025-01-21,东方电缆,603606,216.64,214.94,217.34,209.38,77174,414643838.0,3.67,-0.78,-1.7,1.12
237,2025-01-20,东方电缆,603606,215.83,216.64,219.85,214.25,76771,417976115.0,2.6,0.72,1.54,1.12
236,2025-01-17,东方电缆,603606,221.86,215.1,231.2,214.52,170580,953661518.0,7.78,0.31,0.66,2.48
235,2025-01-16,东方电缆,603606,216.95,214.44,219.89,213.17,63232,344176698.0,3.1,-1.16,-2.51,0.92
234,2025-01-15,东方电缆,603606,222.36,216.95,222.74,216.37,49489,271341278.0,2.88,-1.84,-4.06,0.72
233,2025-01-14,东方电缆,603606,212.71,221.01,222.86,210.77,93842,516908815.0,5.7,4.28,9.08,1.36
232,2025-01-13,东方电缆,603606,215.06,211.93,222.32,210.97,87902,477531541.0,5.22,-2.54,-5.52,1.28
231,2025-01-10,东方电缆,603606,213.01,217.45,220.23,212.44,80507,439641782.0,3.67,2.31,4.9,1.17
230,2025-01-09,东方电缆,603606,212.71,212.55,217.57,210.5,67604,362450760.0,3.26,-1.86,-4.02,0.98
229,2025-01-08,东方电缆,603606,214.37,216.57,219.58,210.77,67987,368293755.0,4.06,-0.23,-0.5,0.99
228,2025-01-07,东方电缆,603606,214.94,217.07,218.5,212.32,62138,338178138.0,2.88,0.99,2.13,0.9
227,2025-01-06,东方电缆,603606,206.95,214.94,218.38,206.95,116776,631297607.0,5.47,2.88,6.02,1.7
226,2025-01-03,东方电缆,603606,205.33,208.92,215.02,205.33,93345,495550072.0,4.73,1.98,4.05,1.36
225,2025-01-02,东方电缆,603606,209.04,204.87,210.35,203.05,52230,270775714.0,3.49,-1.99,-4.17,0.76
224,2024-12-31,东方电缆,603606,210.2,209.04,212.71,208.46,50298,266181703.0,2.02,-0.57,-1.19,0.73
223,2024-12-30,东方电缆,603606,210.43,210.23,213.05,209.27,64098,340182874.0,1.8,0.33,0.69,0.93
222,2024-12-27,东方电缆,603606,210.2,209.54,212.13,208.77,61261,324040127.0,1.6,-0.33,-0.69,0.89
221,2024-12-26,东方电缆,603606,214.64,210.23,216.18,209.27,81095,432471809.0,3.22,-2.05,-4.41,1.18
220,2024-12-25,东方电缆,603606,215.02,214.64,216.14,212.44,31505,169988839.0,1.73,0.36,0.78,0.46
219,2024-12-24,东方电缆,603606,210.43,213.86,215.22,210.39,49705,266350144.0,2.3,1.63,3.43,0.72
218,2024-12-23,东方电缆,603606,212.94,210.43,215.02,210.39,47941,256172419.0,2.17,-1.16,-2.47,0.7
217,2024-12-20,东方电缆,603606,219.46,212.9,221.78,212.9,82615,446196868.0,4.09,-1.9,-4.13,1.2
216,2024-12-19,东方电缆,603606,215.02,217.03,218.88,214.21,40618,222019158.0,2.16,0.18,0.39,0.59
215,2024-12-18,东方电缆,603606,217.72,216.64,219.31,215.72,34297,187400017.0,1.65,-0.37,-0.81,0.5
214,2024-12-17,东方电缆,603606,218.07,217.45,223.52,216.99,73321,405574123.0,2.99,-0.28,-0.62,1.07
213,2024-12-16,东方电缆,603606,219.66,218.07,219.66,214.98,45978,251370361.0,2.14,-0.46,-1.01,0.67
212,2024-12-13,东方电缆,603606,221.97,219.08,223.32,218.57,58575,325195663.0,2.14,-1.49,-3.32,0.85
211,2024-12-12,东方电缆,603606,220.16,222.4,224.29,218.73,41860,234833802.0,2.52,0.81,1.78,0.61
210,2024-12-11,东方电缆,603606,225.06,220.62,226.1,218.73,85664,477235375.0,3.27,-2.22,-5.02,1.25
209,2024-12-10,东方电缆,603606,233.17,225.64,233.63,224.71,73911,423309443.0,3.91,-1.03,-2.35,1.07
208,2024-12-09,东方电缆,603606,227.57,227.99,229.66,224.91,39900,228863393.0,2.08,0.01,0.03,0.58
207,2024-12-06,东方电缆,603606,226.88,227.96,231.28,224.29,43698,251325310.0,3.08,0.49,1.12,0.64
206,2024-12-05,东方电缆,603606,228.96,226.84,230.08,224.29,52668,301107396.0,2.51,-1.58,-3.63,0.77
205,2024-12-04,东方电缆,603606,233.4,230.47,235.87,228.92,44828,261730889.0,2.97,-1.39,-3.24,0.65
204,2024-12-03,东方电缆,603606,232.01,233.71,237.72,230.16,79334,470317304.0,3.26,0.73,1.7,1.15
203,2024-12-02,东方电缆,603606,228.54,232.01,233.44,224.37,93913,543967633.0,3.97,1.47,3.36,1.37
202,2024-11-29,东方电缆,603606,224.17,228.65,231.16,223.71,76172,439570187.0,3.33,2.17,4.86,1.11
201,2024-11-28,东方电缆,603606,226.14,223.79,230.74,221.89,65544,372900863.0,3.91,-1.07,-2.43,0.95
200,2024-11-27,东方电缆,603606,212.28,226.22,226.88,212.28,137140,763879054.0,6.85,6.07,12.94,1.99
199,2024-11-26,东方电缆,603606,216.37,213.28,218.88,212.82,48723,264181257.0,2.8,-1.41,-3.05,0.71
198,2024-11-25,东方电缆,603606,215.79,216.33,221.16,213.86,71699,392099522.0,3.38,0.19,0.42,1.04
197,2024-11-22,东方电缆,603606,224.29,215.91,227.76,215.91,103387,577093094.0,5.41,-1.36,-2.97,1.5
196,2024-11-21,东方电缆,603606,221.62,218.88,222.28,218.07,51759,286483945.0,1.9,-1.24,-2.74,0.75
195,2024-11-20,东方电缆,603606,218.42,221.62,226.03,218.42,78489,437262299.0,3.49,1.61,3.51,1.14
194,2024-11-19,东方电缆,603606,216.41,218.11,220.54,213.13,57556,312782179.0,3.43,1.0,2.16,0.84
193,2024-11-18,东方电缆,603606,215.41,215.95,224.29,214.64,131975,729940702.0,4.51,1.01,2.16,1.92
192,2024-11-15,东方电缆,603606,216.18,213.79,218.92,212.36,76727,415970675.0,3.03,-1.27,-2.74,1.12
191,2024-11-14,东方电缆,603606,220.81,216.53,222.36,216.18,76278,419008779.0,2.8,-1.96,-4.32,1.11
190,2024-11-13,东方电缆,603606,218.5,220.85,221.89,217.18,95770,530707736.0,2.13,-0.3,-0.66,1.39
189,2024-11-12,东方电缆,603606,223.13,221.51,225.49,215.79,139966,775282065.0,4.35,-0.76,-1.7,2.04
188,2024-11-11,东方电缆,603606,225.64,223.21,226.68,219.77,150791,844245654.0,3.04,-1.67,-3.78,2.19
