,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,利通电子,603629,42.62,43.97,44.87,42.33,163102,354226701.0,5.96,3.17,1.35,6.4
240,2025-01-23,利通电子,603629,44.54,42.62,45.3,42.48,175189,382456245.0,6.43,-2.81,-1.23,6.88
239,2025-01-22,利通电子,603629,44.54,43.85,45.13,43.5,156034,342370876.0,3.6,-3.16,-1.43,6.12
238,2025-01-21,利通电子,603629,44.52,45.28,45.76,43.62,216688,482650487.0,4.81,1.71,0.76,8.5
237,2025-01-20,利通电子,603629,45.76,44.52,49.13,44.48,346746,794784604.0,10.28,-1.61,-0.73,13.61
236,2025-01-17,利通电子,603629,45.42,45.25,45.44,44.29,225465,503315926.0,2.49,-2.18,-1.01,8.85
235,2025-01-16,利通电子,603629,44.44,46.26,46.68,43.7,382705,859762844.0,6.71,4.1,1.82,15.02
234,2025-01-15,利通电子,603629,45.27,44.44,46.44,44.3,420827,946499232.0,4.8,-0.31,-0.14,16.52
233,2025-01-14,利通电子,603629,40.54,44.58,44.58,40.05,266943,579825643.0,11.15,9.69,3.94,10.48
232,2025-01-13,利通电子,603629,41.68,40.64,41.72,39.01,205269,406699409.0,6.27,-5.95,-2.57,8.06
231,2025-01-10,利通电子,603629,42.33,43.21,44.05,41.56,251752,536729684.0,5.85,1.57,0.67,9.88
230,2025-01-09,利通电子,603629,44.29,42.54,46.05,42.5,316010,694740171.0,7.85,-5.99,-2.71,12.4
229,2025-01-08,利通电子,603629,43.66,45.25,46.21,43.13,316347,702413633.0,6.9,1.32,0.59,12.42
228,2025-01-07,利通电子,603629,43.93,44.66,44.72,42.36,311411,671682729.0,5.32,0.68,0.3,12.22
227,2025-01-06,利通电子,603629,41.01,44.36,44.46,39.8,366097,781043686.0,11.05,5.19,2.19,14.37
226,2025-01-03,利通电子,603629,39.91,42.17,43.01,38.17,307973,635464277.0,12.1,5.4,2.16,12.09
225,2025-01-02,利通电子,603629,39.86,40.01,40.93,38.6,143973,285069463.0,5.8,-0.45,-0.18,5.65
224,2024-12-31,利通电子,603629,42.38,40.19,42.68,40.09,201293,410372527.0,6.04,-6.3,-2.7,7.9
223,2024-12-30,利通电子,603629,43.31,42.89,44.09,42.58,210075,450358332.0,3.57,1.42,0.6,8.24
222,2024-12-27,利通电子,603629,44.68,42.29,44.68,42.11,349827,757368684.0,5.65,-7.05,-3.21,13.73
221,2024-12-26,利通电子,603629,42.52,45.5,47.42,41.38,367134,806964517.0,13.89,4.6,2.0,14.41
220,2024-12-25,利通电子,603629,41.7,43.5,46.03,41.38,318060,679527664.0,11.06,3.5,1.47,12.48
219,2024-12-24,利通电子,603629,41.38,42.03,43.46,39.99,310585,637266008.0,8.27,0.19,0.08,12.19
218,2024-12-23,利通电子,603629,40.07,41.95,44.3,40.07,404178,846019584.0,10.48,3.89,1.57,15.86
217,2024-12-20,利通电子,603629,39.6,40.38,41.85,39.44,437560,886236496.0,6.1,2.28,0.9,17.17
216,2024-12-19,利通电子,603629,35.62,39.48,39.48,35.47,209770,397463269.0,11.14,9.7,3.49,8.23
215,2024-12-18,利通电子,603629,35.25,35.99,36.45,34.74,67796,119692997.0,4.86,2.33,0.82,2.66
214,2024-12-17,利通电子,603629,36.13,35.17,36.39,35.15,63287,111200273.0,3.41,-3.25,-1.18,2.48
213,2024-12-16,利通电子,603629,36.94,36.35,37.07,36.05,58757,106088142.0,2.75,-1.94,-0.72,2.31
212,2024-12-13,利通电子,603629,37.82,37.07,38.13,37.05,75243,139790248.0,2.85,-2.27,-0.86,2.95
211,2024-12-12,利通电子,603629,38.41,37.93,38.48,37.43,85445,159991590.0,2.74,-0.94,-0.36,3.35
210,2024-12-11,利通电子,603629,37.43,38.29,38.33,37.43,100342,188593227.0,2.38,1.08,0.41,3.94
209,2024-12-10,利通电子,603629,38.8,37.88,39.03,37.72,172453,327642421.0,3.43,-0.76,-0.29,6.77
208,2024-12-09,利通电子,603629,36.94,38.17,40.13,36.43,228549,433571291.0,10.11,4.35,1.59,8.97
207,2024-12-06,利通电子,603629,36.84,36.58,37.01,36.25,82429,149089578.0,2.06,-0.97,-0.36,3.24
206,2024-12-05,利通电子,603629,35.6,36.94,37.29,35.47,118914,215208923.0,5.12,3.94,1.4,4.67
205,2024-12-04,利通电子,603629,35.31,35.54,36.17,35.11,82898,145514902.0,3.0,0.65,0.23,3.25
204,2024-12-03,利通电子,603629,35.21,35.31,35.82,34.7,66012,114812172.0,3.18,0.11,0.04,2.59
203,2024-12-02,利通电子,603629,34.72,35.27,35.45,34.72,66871,116189057.0,2.11,2.0,0.69,2.62
202,2024-11-29,利通电子,603629,33.62,34.58,34.88,33.37,79411,134253417.0,4.47,2.37,0.8,3.12
201,2024-11-28,利通电子,603629,34.41,33.78,34.56,33.72,57028,95995153.0,2.44,-1.89,-0.65,2.24
200,2024-11-27,利通电子,603629,33.98,34.43,34.45,32.53,79968,131406795.0,5.63,0.94,0.32,3.14
199,2024-11-26,利通电子,603629,34.52,34.11,35.15,34.11,57794,98332062.0,2.99,-2.1,-0.73,2.27
198,2024-11-25,利通电子,603629,34.58,34.84,35.23,33.7,92172,155445962.0,4.42,0.69,0.24,3.62
197,2024-11-22,利通电子,603629,36.21,34.6,37.13,34.5,115765,205617034.0,7.26,-4.5,-1.63,4.54
196,2024-11-21,利通电子,603629,36.52,36.23,36.8,35.74,99128,177444653.0,2.89,-1.28,-0.47,3.89
195,2024-11-20,利通电子,603629,35.84,36.7,37.33,35.62,126858,230129553.0,4.73,1.47,0.53,4.98
194,2024-11-19,利通电子,603629,35.45,36.17,36.41,34.58,124707,218283906.0,5.13,1.32,0.47,4.89
193,2024-11-18,利通电子,603629,39.44,35.7,39.54,35.7,217531,396561159.0,9.71,-9.71,-3.84,8.54
192,2024-11-15,利通电子,603629,37.9,39.54,41.35,37.62,304871,595387293.0,9.77,3.53,1.35,11.97
191,2024-11-14,利通电子,603629,37.72,38.19,38.99,37.35,170787,321129814.0,4.35,1.25,0.47,6.7
190,2024-11-13,利通电子,603629,37.07,37.72,37.74,36.27,102264,187277846.0,3.97,1.75,0.65,4.01
189,2024-11-12,利通电子,603629,37.62,37.07,38.31,36.7,111732,206944005.0,4.28,-1.36,-0.51,4.39
188,2024-11-11,利通电子,603629,36.11,37.58,37.66,36.11,108501,198944485.0,4.27,3.5,1.27,4.26
187,2024-11-08,利通电子,603629,36.35,36.31,36.97,36.01,98531,177396536.0,2.67,0.83,0.3,3.87
186,2024-11-07,利通电子,603629,35.5,36.01,36.01,34.98,77636,136946329.0,2.9,1.49,0.53,3.05
185,2024-11-06,利通电子,603629,36.23,35.48,36.23,35.17,86784,153135322.0,2.95,-1.36,-0.49,3.41
184,2024-11-05,利通电子,603629,35.05,35.97,36.13,34.86,86525,152107339.0,3.62,2.62,0.92,3.4
183,2024-11-04,利通电子,603629,33.29,35.05,35.05,33.29,66779,114346746.0,5.2,3.51,1.19,2.62
182,2024-11-01,利通电子,603629,36.23,33.86,36.29,33.82,121307,208378661.0,6.78,-7.11,-2.59,4.76
181,2024-10-31,利通电子,603629,36.5,36.45,36.84,36.07,110301,198741317.0,2.13,0.72,0.26,4.33
