,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,五洲新春,603667,56.85,64.53,64.53,56.55,945741,4305097778.0,13.57,9.71,5.71,25.83
240,2025-01-23,五洲新春,603667,58.77,58.82,62.58,56.22,916713,4080045091.0,10.82,0.09,0.05,25.03
239,2025-01-22,五洲新春,603667,59.21,58.77,61.16,58.31,732910,3245332489.0,4.64,-4.31,-2.65,20.01
238,2025-01-21,五洲新春,603667,57.77,61.42,61.42,55.81,1108325,4808293367.0,9.71,6.3,3.64,30.27
237,2025-01-20,五洲新春,603667,53.63,57.78,60.25,53.31,992185,4208358716.0,12.31,2.52,1.42,27.09
236,2025-01-17,五洲新春,603667,55.96,56.36,58.65,54.19,1042748,4379963904.0,8.24,4.1,2.22,28.47
235,2025-01-16,五洲新春,603667,53.1,54.14,56.08,52.84,1350848,5517281700.0,6.34,5.87,3.0,36.89
234,2025-01-15,五洲新春,603667,51.14,51.14,51.14,51.14,142009,539491393.0,0.0,9.62,4.49,3.88
233,2025-01-14,五洲新春,603667,43.35,46.65,46.65,42.57,660773,2172046283.0,9.58,9.58,4.08,18.04
232,2025-01-13,五洲新春,603667,45.7,42.57,46.22,41.47,1219692,4013251060.0,11.26,0.92,0.39,33.31
231,2025-01-10,五洲新春,603667,41.95,42.18,42.18,40.78,332401,1026019923.0,3.64,9.56,3.68,9.08
230,2025-01-09,五洲新春,603667,34.56,38.5,38.5,34.13,557276,1469778372.0,12.43,9.5,3.34,15.22
229,2025-01-08,五洲新春,603667,33.41,35.16,36.07,32.78,587968,1473067768.0,9.85,5.24,1.75,16.06
228,2025-01-07,五洲新春,603667,32.56,33.41,33.56,32.43,288789,693064196.0,3.49,3.18,1.03,7.89
227,2025-01-06,五洲新春,603667,32.3,32.38,32.86,31.51,217797,513537926.0,4.15,-0.37,-0.12,5.95
226,2025-01-03,五洲新春,603667,34.06,32.5,34.06,31.91,364584,867527822.0,6.27,-5.19,-1.78,9.96
225,2025-01-02,五洲新春,603667,33.91,34.28,35.73,33.28,406062,1022358150.0,7.22,1.03,0.35,11.09
224,2024-12-31,五洲新春,603667,35.36,33.93,35.8,33.67,358071,909267754.0,6.02,-4.07,-1.44,9.78
223,2024-12-30,五洲新春,603667,36.27,35.37,36.63,35.02,376567,980836980.0,4.36,-4.25,-1.57,10.28
222,2024-12-27,五洲新春,603667,38.23,36.94,39.06,36.59,490877,1364138703.0,6.49,-2.94,-1.12,13.4
221,2024-12-26,五洲新春,603667,36.2,38.06,39.02,36.2,525944,1459469298.0,7.75,4.65,1.69,14.36
220,2024-12-25,五洲新春,603667,37.05,36.37,37.96,35.4,468883,1262777960.0,6.74,-4.24,-1.61,12.8
219,2024-12-24,五洲新春,603667,39.14,37.98,39.53,36.59,563848,1569421107.0,7.81,0.96,0.36,15.4
218,2024-12-23,五洲新春,603667,37.57,37.62,39.71,36.98,584656,1644744757.0,7.17,-1.16,-0.44,15.97
217,2024-12-20,五洲新春,603667,36.2,38.06,39.31,36.2,706475,1967499295.0,8.53,4.39,1.6,19.29
216,2024-12-19,五洲新春,603667,35.55,36.46,37.89,35.42,671693,1818556879.0,6.78,0.11,0.04,18.34
215,2024-12-18,五洲新春,603667,36.84,36.42,38.14,35.36,927511,2477339093.0,7.11,-6.83,-2.67,25.33
214,2024-12-17,五洲新春,603667,39.09,39.09,39.84,39.09,219563,631908700.0,1.73,-9.58,-4.14,6.0
213,2024-12-16,五洲新春,603667,45.95,43.23,46.95,43.23,667606,2211134669.0,7.78,-9.64,-4.61,18.23
212,2024-12-13,五洲新春,603667,45.68,47.84,47.84,41.86,1309614,4334834824.0,13.7,9.6,4.19,35.76
211,2024-12-12,五洲新春,603667,38.48,43.65,43.65,38.48,1104487,3399302694.0,12.98,9.56,3.81,30.16
210,2024-12-11,五洲新春,603667,36.02,39.84,41.08,34.38,1387743,3901532402.0,17.87,6.24,2.34,37.9
209,2024-12-10,五洲新春,603667,39.06,37.5,41.79,35.36,1334609,3822354533.0,16.46,-3.99,-1.56,36.44
208,2024-12-09,五洲新春,603667,40.09,39.06,43.87,38.94,1377556,4347202181.0,12.31,-2.45,-0.98,37.62
207,2024-12-06,五洲新春,603667,40.04,40.04,40.04,36.55,1341480,3854082900.0,9.55,9.55,3.49,36.63
206,2024-12-05,五洲新春,603667,36.55,36.55,36.55,36.55,40821,109277282.0,0.0,9.46,3.16,1.11
205,2024-12-04,五洲新春,603667,33.39,33.39,33.39,33.39,88460,215310764.0,0.0,9.4,2.87,2.42
204,2024-12-03,五洲新春,603667,29.35,30.52,30.52,28.9,283925,613854410.0,5.8,9.35,2.61,7.75
203,2024-12-02,五洲新春,603667,27.61,27.91,27.91,26.71,367404,727911230.0,4.7,9.32,2.38,10.03
202,2024-11-29,五洲新春,603667,24.14,25.53,25.53,23.87,239400,421497627.0,7.1,9.24,2.16,6.54
201,2024-11-28,五洲新春,603667,24.7,23.37,24.76,23.27,207721,354088959.0,6.0,-5.88,-1.46,5.67
200,2024-11-27,五洲新春,603667,24.26,24.83,25.0,23.03,205816,351591655.0,8.19,3.2,0.77,5.62
199,2024-11-26,五洲新春,603667,25.49,24.06,25.49,23.94,173686,302863769.0,6.06,-5.91,-1.51,4.74
198,2024-11-25,五洲新春,603667,25.89,25.57,26.15,24.87,121427,220655334.0,4.94,-1.24,-0.32,3.32
197,2024-11-22,五洲新春,603667,27.17,25.89,27.4,25.75,141562,272186465.0,6.08,-4.64,-1.26,3.87
196,2024-11-21,五洲新春,603667,27.13,27.15,27.52,26.6,132527,258349333.0,3.38,-0.15,-0.04,3.62
195,2024-11-20,五洲新春,603667,25.67,27.19,27.49,25.48,224621,435852639.0,7.82,5.84,1.5,6.13
194,2024-11-19,五洲新春,603667,24.62,25.69,25.69,24.53,100422,180826807.0,4.73,4.86,1.19,2.74
193,2024-11-18,五洲新春,603667,25.15,24.5,25.52,24.2,89497,158657798.0,5.27,-2.23,-0.56,2.44
192,2024-11-15,五洲新春,603667,25.93,25.06,26.47,25.02,109699,201821427.0,5.54,-4.28,-1.12,3.0
191,2024-11-14,五洲新春,603667,26.96,26.18,27.47,26.1,106816,205172950.0,5.06,-3.25,-0.88,2.92
