,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,福龙马,603686,36.93,35.9,37.44,35.84,351370,382378091.0,4.27,-4.11,-1.54,8.46
239,2025-01-24,福龙马,603686,35.81,37.44,37.52,35.59,560430,617134276.0,5.42,5.05,1.8,13.49
238,2025-01-23,福龙马,603686,35.64,35.64,36.57,35.42,387221,414619811.0,3.25,0.85,0.3,9.32
237,2025-01-22,福龙马,603686,35.98,35.34,36.29,35.22,376771,399179106.0,2.96,-2.16,-0.78,9.07
236,2025-01-21,福龙马,603686,35.92,36.12,36.99,35.81,608751,660779403.0,3.29,0.7,0.25,14.65
235,2025-01-20,福龙马,603686,34.66,35.87,36.93,34.22,767354,820097939.0,7.95,5.19,1.77,18.47
234,2025-01-17,福龙马,603686,34.52,34.1,35.25,33.91,401879,408039435.0,3.82,-2.79,-0.98,9.67
233,2025-01-16,福龙马,603686,36.74,35.08,37.04,34.58,683999,724534268.0,6.95,-0.88,-0.31,16.46
232,2025-01-15,福龙马,603686,34.19,35.39,36.2,33.68,652379,676381524.0,7.37,3.51,1.2,15.7
231,2025-01-14,福龙马,603686,32.62,34.19,34.36,32.45,526204,520068667.0,5.91,5.72,1.85,12.67
230,2025-01-13,福龙马,603686,31.92,32.34,33.1,31.75,315579,297613364.0,4.12,-1.37,-0.45,7.6
229,2025-01-10,福龙马,603686,32.51,32.79,34.08,31.81,582255,561806371.0,6.98,0.86,0.28,14.02
228,2025-01-09,福龙马,603686,31.86,32.51,32.73,31.86,393074,370604515.0,2.71,1.21,0.39,9.46
227,2025-01-08,福龙马,603686,32.0,32.12,32.37,31.22,364771,336790555.0,3.56,-0.68,-0.22,8.78
226,2025-01-07,福龙马,603686,31.67,32.34,32.4,31.5,345984,320450323.0,2.86,2.67,0.84,8.33
225,2025-01-06,福龙马,603686,31.84,31.5,32.34,31.33,361307,333645262.0,3.14,-1.93,-0.62,8.7
224,2025-01-03,福龙马,603686,33.99,32.12,34.22,31.98,578222,553971001.0,6.59,-5.5,-1.87,13.92
223,2025-01-02,福龙马,603686,34.1,33.99,35.59,33.4,741845,752165969.0,6.24,-3.11,-1.09,17.86
222,2024-12-31,福龙马,603686,35.08,35.08,36.43,35.08,984998,1036069953.0,3.52,-8.41,-3.22,23.71
221,2024-12-30,福龙马,603686,38.3,38.3,38.3,38.3,121151,139929405.0,0.0,-8.57,-3.59,2.92
220,2024-12-27,福龙马,603686,46.51,41.89,46.54,40.91,1722083,2405556529.0,13.14,-2.22,-0.95,41.45
219,2024-12-26,福龙马,603686,42.84,42.84,42.84,42.84,74028,97495324.0,0.0,8.51,3.36,1.78
218,2024-12-25,福龙马,603686,39.23,39.48,39.48,38.44,327674,389468870.0,2.85,8.37,3.05,7.89
217,2024-12-24,福龙马,603686,35.08,36.43,36.43,35.08,155608,168072257.0,4.01,8.23,2.77,3.75
216,2024-12-23,福龙马,603686,33.63,33.66,35.36,33.4,361762,365750490.0,5.84,0.36,0.12,8.71
215,2024-12-20,福龙马,603686,32.0,33.54,34.19,32.0,259706,253328213.0,6.82,4.42,1.42,6.25
214,2024-12-19,福龙马,603686,32.06,32.12,32.26,31.64,95832,88965621.0,1.92,-0.68,-0.22,2.31
213,2024-12-18,福龙马,603686,32.45,32.34,32.62,32.26,77354,73167124.0,1.11,0.0,0.0,1.86
212,2024-12-17,福龙马,603686,33.12,32.34,33.43,32.23,120202,114750958.0,3.63,-2.21,-0.73,2.89
211,2024-12-16,福龙马,603686,33.18,33.07,33.49,32.84,108288,105124454.0,1.96,-0.33,-0.11,2.61
210,2024-12-13,福龙马,603686,33.77,33.18,33.85,33.15,161795,158863914.0,2.06,-2.3,-0.78,3.89
209,2024-12-12,福龙马,603686,33.82,33.96,34.19,33.46,156447,155705252.0,2.16,0.56,0.19,3.77
208,2024-12-11,福龙马,603686,33.35,33.77,33.8,33.24,139445,137463825.0,1.68,1.26,0.42,3.36
207,2024-12-10,福龙马,603686,34.24,33.35,34.38,33.26,203021,201044249.0,3.34,-0.57,-0.19,4.89
206,2024-12-09,福龙马,603686,33.66,33.54,34.52,33.4,217200,216397704.0,3.33,-0.36,-0.12,5.23
205,2024-12-06,福龙马,603686,34.24,33.66,34.47,33.26,277648,274430477.0,3.52,-1.95,-0.67,6.68
204,2024-12-05,福龙马,603686,34.33,34.33,34.94,33.8,327361,330506355.0,3.33,0.32,0.11,7.88
203,2024-12-04,福龙马,603686,35.64,34.22,36.57,33.96,539296,556520735.0,7.34,-3.77,-1.34,12.98
202,2024-12-03,福龙马,603686,32.9,35.56,35.56,32.51,731702,758868800.0,9.28,8.18,2.69,17.61
201,2024-12-02,福龙马,603686,32.17,32.87,33.26,32.09,276093,264419615.0,3.7,4.08,1.29,6.65
200,2024-11-29,福龙马,603686,31.36,31.58,31.81,31.28,95359,87161770.0,1.69,0.61,0.19,2.3
199,2024-11-28,福龙马,603686,30.77,31.39,32.17,30.74,128508,117033761.0,4.63,1.72,0.53,3.09
198,2024-11-27,福龙马,603686,30.6,30.86,30.86,29.99,54968,47933397.0,2.84,0.65,0.2,1.32
197,2024-11-26,福龙马,603686,30.83,30.66,31.0,30.55,43170,38230097.0,1.45,-1.0,-0.31,1.04
196,2024-11-25,福龙马,603686,30.72,30.97,31.0,30.35,71224,62986998.0,2.13,1.57,0.48,1.71
195,2024-11-22,福龙马,603686,31.5,30.49,31.67,30.46,99592,89319005.0,3.83,-3.39,-1.07,2.4
194,2024-11-21,福龙马,603686,31.44,31.56,31.7,31.25,65599,59788841.0,1.43,0.38,0.12,1.58
193,2024-11-20,福龙马,603686,31.19,31.44,31.47,31.05,83929,75909470.0,1.35,0.8,0.25,2.02
192,2024-11-19,福龙马,603686,30.66,31.19,31.39,30.58,74169,66373266.0,2.64,1.73,0.53,1.79
191,2024-11-18,福龙马,603686,30.77,30.66,31.16,30.46,84573,75035874.0,2.29,0.1,0.03,2.04
190,2024-11-15,福龙马,603686,30.8,30.63,31.36,30.6,77785,69535814.0,2.47,-0.65,-0.2,1.87
189,2024-11-14,福龙马,603686,31.56,30.83,31.7,30.83,96096,86551967.0,2.75,-2.65,-0.84,2.31
188,2024-11-13,福龙马,603686,31.95,31.67,31.98,31.25,86326,79049901.0,2.29,-0.78,-0.25,2.08
187,2024-11-12,福龙马,603686,31.92,31.92,32.87,31.75,156815,146928354.0,3.5,-0.34,-0.11,3.77
186,2024-11-11,福龙马,603686,31.47,32.03,32.17,31.36,126629,117325885.0,2.57,1.49,0.47,3.05
185,2024-11-08,福龙马,603686,32.12,31.56,32.2,31.39,119924,110084134.0,2.54,-1.13,-0.36,2.89
184,2024-11-07,福龙马,603686,31.39,31.92,31.95,31.16,143263,131441717.0,2.51,1.43,0.45,3.45
183,2024-11-06,福龙马,603686,31.72,31.47,32.2,31.28,148844,136677972.0,2.9,-0.63,-0.2,3.58
182,2024-11-05,福龙马,603686,31.14,31.67,31.81,31.0,143840,130977170.0,2.61,2.16,0.67,3.46
