,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,大胜达,603687,8.69,8.08,8.69,7.92,855822,707807429.0,9.72,2.02,0.16,15.66
240,2025-01-23,大胜达,603687,7.27,7.92,7.92,7.27,114917,86818669.0,9.0,9.7,0.7,2.1
239,2025-01-22,大胜达,603687,7.31,7.22,7.31,7.2,23187,16369297.0,1.51,-0.96,-0.07,0.42
238,2025-01-21,大胜达,603687,7.38,7.29,7.44,7.24,34016,24224194.0,2.7,-1.49,-0.11,0.62
237,2025-01-20,大胜达,603687,7.37,7.4,7.44,7.29,27446,19733021.0,2.05,0.95,0.07,0.5
236,2025-01-17,大胜达,603687,7.32,7.33,7.37,7.21,22697,16201507.0,2.19,0.41,0.03,0.42
235,2025-01-16,大胜达,603687,7.24,7.3,7.38,7.22,28861,20534466.0,2.22,1.11,0.08,0.53
234,2025-01-15,大胜达,603687,7.25,7.22,7.27,7.17,31921,22416039.0,1.39,0.28,0.02,0.58
233,2025-01-14,大胜达,603687,6.96,7.2,7.2,6.94,39150,27076516.0,3.74,3.45,0.24,0.72
232,2025-01-13,大胜达,603687,6.86,6.96,6.98,6.69,36037,24126371.0,4.23,1.61,0.11,0.66
231,2025-01-10,大胜达,603687,7.07,6.85,7.11,6.84,34158,23141417.0,3.83,-2.84,-0.2,0.63
230,2025-01-09,大胜达,603687,7.08,7.05,7.12,6.99,30185,20775244.0,1.83,-0.7,-0.05,0.55
229,2025-01-08,大胜达,603687,7.11,7.1,7.15,6.92,40816,27991281.0,3.23,-0.14,-0.01,0.75
228,2025-01-07,大胜达,603687,7.19,7.11,7.19,6.97,29779,20440914.0,3.11,0.57,0.04,0.54
227,2025-01-06,大胜达,603687,7.07,7.07,7.13,6.85,36084,24667039.0,3.96,0.0,0.0,0.66
226,2025-01-03,大胜达,603687,7.47,7.07,7.47,7.05,53935,37750074.0,5.68,-4.33,-0.32,0.99
225,2025-01-02,大胜达,603687,7.45,7.39,7.61,7.32,45370,32986943.0,3.88,-1.2,-0.09,0.83
224,2024-12-31,大胜达,603687,7.59,7.48,7.69,7.44,37097,27284196.0,3.29,-1.45,-0.11,0.68
223,2024-12-30,大胜达,603687,7.64,7.59,7.69,7.5,31270,23159083.0,2.46,-1.56,-0.12,0.57
222,2024-12-27,大胜达,603687,7.68,7.71,7.81,7.58,42911,32325950.0,3.01,0.78,0.06,0.79
221,2024-12-26,大胜达,603687,7.6,7.65,7.77,7.54,36265,27154071.0,3.03,0.66,0.05,0.66
220,2024-12-25,大胜达,603687,7.72,7.6,7.72,7.43,41122,30259518.0,3.77,-1.3,-0.1,0.75
219,2024-12-24,大胜达,603687,7.69,7.7,7.83,7.59,44510,33405827.0,3.12,0.13,0.01,0.81
218,2024-12-23,大胜达,603687,8.05,7.69,8.05,7.64,67348,51195741.0,5.12,-4.0,-0.32,1.23
217,2024-12-20,大胜达,603687,7.96,8.01,8.09,7.89,39596,31066268.0,2.51,0.63,0.05,0.72
216,2024-12-19,大胜达,603687,7.87,7.96,7.99,7.8,39912,30803405.0,2.39,0.0,0.0,0.73
215,2024-12-18,大胜达,603687,8.0,7.96,8.07,7.87,60030,46727205.0,2.51,-0.25,-0.02,1.1
214,2024-12-17,大胜达,603687,8.34,7.98,8.38,7.97,105799,83896897.0,4.89,-4.77,-0.4,1.94
213,2024-12-16,大胜达,603687,8.47,8.38,8.54,8.35,63877,52662585.0,2.24,-1.06,-0.09,1.17
212,2024-12-13,大胜达,603687,8.47,8.47,8.58,8.4,97008,80423365.0,2.11,-0.7,-0.06,1.78
211,2024-12-12,大胜达,603687,8.47,8.53,8.89,8.36,146013,122654744.0,6.26,0.71,0.06,2.67
210,2024-12-11,大胜达,603687,8.38,8.47,8.48,8.29,77005,63196270.0,2.29,1.93,0.16,1.41
209,2024-12-10,大胜达,603687,8.55,8.31,8.59,8.3,74074,60842305.0,3.46,-0.95,-0.08,1.36
208,2024-12-09,大胜达,603687,8.44,8.39,8.49,8.35,58978,48535250.0,1.67,-0.12,-0.01,1.08
207,2024-12-06,大胜达,603687,8.37,8.4,8.43,8.21,68438,55703079.0,2.65,1.2,0.1,1.25
206,2024-12-05,大胜达,603687,8.21,8.3,8.35,8.2,55738,45218173.0,1.81,0.36,0.03,1.02
205,2024-12-04,大胜达,603687,8.64,8.27,8.65,8.23,115512,94590936.0,4.87,-4.17,-0.36,2.11
204,2024-12-03,大胜达,603687,8.48,8.63,8.69,8.33,108640,90303453.0,4.25,1.77,0.15,1.99
203,2024-12-02,大胜达,603687,8.45,8.48,8.58,8.33,109928,90636441.0,2.96,0.24,0.02,2.01
202,2024-11-29,大胜达,603687,8.28,8.46,8.46,8.21,107536,87834776.0,3.0,1.68,0.14,1.97
