,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,宁水集团,603700,16.21,16.24,16.24,15.98,15243,15233751.0,1.62,1.18,0.19,0.75
240,2025-01-23,宁水集团,603700,16.1,16.05,16.19,16.04,12799,12783443.0,0.94,0.63,0.1,0.63
239,2025-01-22,宁水集团,603700,16.09,15.95,16.21,15.95,13032,12919357.0,1.62,-0.81,-0.13,0.64
238,2025-01-21,宁水集团,603700,16.34,16.08,16.35,16.04,16080,16070660.0,1.91,-0.8,-0.13,0.79
237,2025-01-20,宁水集团,603700,16.21,16.21,16.24,16.06,14410,14437291.0,1.12,0.43,0.07,0.71
236,2025-01-17,宁水集团,603700,15.88,16.14,16.19,15.71,27547,27279042.0,3.02,1.57,0.25,1.36
235,2025-01-16,宁水集团,603700,15.85,15.89,16.04,15.74,12640,12374298.0,1.89,0.25,0.04,0.62
234,2025-01-15,宁水集团,603700,16.04,15.85,16.04,15.75,12864,12569431.0,1.82,-0.38,-0.06,0.63
233,2025-01-14,宁水集团,603700,15.33,15.91,15.93,15.32,18374,17751857.0,3.98,3.92,0.6,0.9
232,2025-01-13,宁水集团,603700,15.14,15.31,15.39,14.88,13331,12350961.0,3.36,0.72,0.11,0.66
231,2025-01-10,宁水集团,603700,15.54,15.2,15.57,15.18,12486,11737467.0,2.52,-1.87,-0.29,0.61
230,2025-01-09,宁水集团,603700,15.58,15.49,15.7,15.23,11289,10792192.0,3.01,-0.77,-0.12,0.56
229,2025-01-08,宁水集团,603700,15.65,15.61,15.71,15.27,16889,16071713.0,2.81,-0.32,-0.05,0.83
228,2025-01-07,宁水集团,603700,15.45,15.66,15.69,15.39,13780,13167046.0,1.94,1.29,0.2,0.68
227,2025-01-06,宁水集团,603700,15.4,15.46,15.59,14.94,15806,14831845.0,4.22,0.45,0.07,0.78
226,2025-01-03,宁水集团,603700,16.0,15.39,16.04,15.39,23027,22143920.0,4.08,-3.33,-0.53,1.13
225,2025-01-02,宁水集团,603700,16.13,15.92,16.35,15.82,19123,19029239.0,3.28,-1.42,-0.23,0.94
224,2024-12-31,宁水集团,603700,16.34,16.15,16.45,16.13,18090,18244365.0,1.96,-0.92,-0.15,0.89
223,2024-12-30,宁水集团,603700,16.49,16.3,16.5,16.08,15820,15983439.0,2.55,-1.09,-0.18,0.78
222,2024-12-27,宁水集团,603700,16.36,16.48,16.61,16.22,17542,18010403.0,2.39,1.04,0.17,0.86
221,2024-12-26,宁水集团,603700,16.1,16.31,16.45,16.09,17965,18229972.0,2.24,1.3,0.21,0.88
220,2024-12-25,宁水集团,603700,16.41,16.1,16.41,15.92,27907,27825944.0,2.99,-1.89,-0.31,1.37
219,2024-12-24,宁水集团,603700,16.6,16.41,16.67,16.18,21756,22178506.0,2.98,-0.18,-0.03,1.07
218,2024-12-23,宁水集团,603700,17.19,16.44,17.26,16.35,36611,38185311.0,5.3,-4.31,-0.74,1.8
217,2024-12-20,宁水集团,603700,16.93,17.18,17.35,16.93,25796,27887482.0,2.47,1.0,0.17,1.27
216,2024-12-19,宁水集团,603700,16.84,17.01,17.09,16.76,18118,19198478.0,1.94,0.12,0.02,0.89
215,2024-12-18,宁水集团,603700,17.1,16.99,17.13,16.67,25404,27069673.0,2.71,-0.06,-0.01,1.25
214,2024-12-17,宁水集团,603700,17.75,17.0,17.75,16.92,35611,38590066.0,4.68,-4.23,-0.75,1.75
213,2024-12-16,宁水集团,603700,17.65,17.75,18.05,17.48,36625,41225495.0,3.23,0.74,0.13,1.8
212,2024-12-13,宁水集团,603700,17.64,17.62,18.25,17.61,51895,58840727.0,3.62,-0.4,-0.07,2.55
211,2024-12-12,宁水集团,603700,17.53,17.69,17.73,17.43,31725,35247390.0,1.71,0.97,0.17,1.56
210,2024-12-11,宁水集团,603700,17.35,17.52,17.54,17.35,23336,25691712.0,1.09,0.92,0.16,1.15
209,2024-12-10,宁水集团,603700,17.83,17.36,17.96,17.36,31206,34622724.0,3.42,-0.91,-0.16,1.54
208,2024-12-09,宁水集团,603700,17.53,17.52,17.64,17.4,19788,21907159.0,1.37,-0.06,-0.01,0.97
207,2024-12-06,宁水集团,603700,17.44,17.53,17.58,17.36,28039,30918851.0,1.27,0.81,0.14,1.38
206,2024-12-05,宁水集团,603700,17.38,17.39,17.49,17.22,23725,26042883.0,1.56,0.17,0.03,1.17
205,2024-12-04,宁水集团,603700,17.44,17.36,17.51,17.3,28119,30811069.0,1.21,-0.12,-0.02,1.38
204,2024-12-03,宁水集团,603700,17.27,17.38,17.51,17.22,37607,41079188.0,1.68,0.58,0.1,1.85
