,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,日辰股份,603755,28.2,28.33,28.98,28.2,9034,24362468.0,2.76,0.35,0.1,0.92
239,2025-01-24,日辰股份,603755,28.0,28.23,28.42,27.61,9181,24243968.0,2.9,0.97,0.27,0.93
238,2025-01-23,日辰股份,603755,28.44,27.96,28.55,27.93,9094,24216322.0,2.2,-0.85,-0.24,0.92
237,2025-01-22,日辰股份,603755,28.36,28.2,28.56,27.99,6231,16598124.0,2.0,-1.16,-0.33,0.63
236,2025-01-21,日辰股份,603755,28.52,28.53,28.74,28.15,6300,16853612.0,2.07,0.04,0.01,0.64
235,2025-01-20,日辰股份,603755,28.41,28.52,28.78,28.3,7484,20193688.0,1.69,0.67,0.19,0.76
234,2025-01-17,日辰股份,603755,27.74,28.33,28.4,27.74,8320,22143681.0,2.35,1.03,0.29,0.84
233,2025-01-16,日辰股份,603755,27.9,28.04,28.23,27.62,9160,24162369.0,2.17,-0.25,-0.07,0.93
232,2025-01-15,日辰股份,603755,28.28,28.11,28.38,27.93,8398,22295245.0,1.6,-0.04,-0.01,0.85
231,2025-01-14,日辰股份,603755,27.03,28.12,28.15,27.03,9700,25373714.0,4.15,4.3,1.16,0.98
230,2025-01-13,日辰股份,603755,26.69,26.96,27.35,26.28,8595,21696231.0,4.01,1.01,0.27,0.87
229,2025-01-10,日辰股份,603755,27.29,26.69,27.45,26.6,5172,13121429.0,3.13,-1.88,-0.51,0.52
228,2025-01-09,日辰股份,603755,27.26,27.2,27.72,27.02,8285,21306094.0,2.55,-0.73,-0.2,0.84
227,2025-01-08,日辰股份,603755,27.34,27.4,28.1,27.15,9691,25161388.0,3.46,-0.11,-0.03,0.98
226,2025-01-07,日辰股份,603755,27.15,27.43,27.48,26.48,6759,17196636.0,3.69,1.29,0.35,0.69
225,2025-01-06,日辰股份,603755,27.27,27.08,27.27,26.11,12109,30377080.0,4.23,-1.24,-0.34,1.23
224,2025-01-03,日辰股份,603755,28.59,27.42,28.65,27.33,12836,33575074.0,4.62,-4.09,-1.17,1.3
223,2025-01-02,日辰股份,603755,28.67,28.59,29.48,28.1,13095,35671642.0,4.81,-0.38,-0.11,1.33
222,2024-12-31,日辰股份,603755,29.25,28.7,29.32,28.47,8907,24277007.0,2.96,-0.03,-0.01,0.9
221,2024-12-30,日辰股份,603755,29.1,28.71,29.22,28.3,8597,23243995.0,3.14,-1.91,-0.56,0.87
220,2024-12-27,日辰股份,603755,28.96,29.27,29.56,28.6,10345,28546069.0,3.31,1.07,0.31,1.05
219,2024-12-26,日辰股份,603755,28.43,28.96,29.5,28.43,19224,52764862.0,3.75,1.44,0.41,1.95
218,2024-12-25,日辰股份,603755,28.73,28.55,28.99,28.22,8302,22298583.0,2.67,-1.11,-0.32,0.84
217,2024-12-24,日辰股份,603755,28.84,28.87,29.08,28.32,12673,34342777.0,2.65,0.49,0.14,1.29
216,2024-12-23,日辰股份,603755,29.96,28.73,30.65,28.71,12214,33738564.0,6.42,-4.96,-1.5,1.24
